previous_atc_code,substance_name,new_atc_code,year_of_change
J05AX66,"dasabuvir, ombitasvir, paritaprevir and ritonavir",J05AP52,2018
J05AX67,"ombitasvir, paritaprevir and ritonavir",J05AP53,2018
J05AX68,elbasvir and grazoprevir,J05AP54,2018
J05AX69,sofosbuvir and velpatasvir,J05AP55,2018
L01BA01 13),methotrexate,L04AX03,2017
L01XC04,alemtuzumab,L04AA34,2015
L01XD02,verteporfin,S01LA01,2007
L01XX09,miltefosine,P01CX04,2020
L01XX28,imatinib,L01XE01,2007
L01XX31,gefitinib,L01XE02,2007
L01XX34,erlotinib,L01XE03,2007
L04AA01,ciclosporin,L04AD01,2008
L04AA05,tacrolimus,L04AD02,2008
L04AA08,daclizumab,L04AC01,2008
L04AA09,basiliximab,L04AC02,2008
L04AA11,etanercept,L04AB01,2008
L04AA12,infliximab,L04AB02,2008
L04AA14,anakinra,L04AC03,2008
L04AA16,afelimomab,L04AB03,2008
L04AA17,adalimumab,L04AB04,2008
L04AC06,mepolizumab,R03DX09,2017
M01AE51 19),dihydrocodeine and other non-opioid analgesics,N02AJ03,2017
M01AE51 19),codeine and ibuprofen,N02AJ08,2017
N01AB03,methoxyflurane,N02BG09,2009
N01AX01,droperidol,N05AD08 (existing code),2013
N02AA09,diamorphine,N07BC06,2013
N02AA55 21),oxycodone and paracetamol,N02AJ17,2017
N02AA55 21),oxycodone and acetylsalicylic acid,N02AJ18,2017
N02AA55 21),oxycodone and ibuprofen,N02AJ19,2017
N02AA58 22),dihydrocodeine and paracetamol,N02AJ01,2017
N02AA58 22),dihydrocodeine and acetylsalicylic acid ,N02AJ02,2017
N02AA58 22),dihydrocodeine and other non-opioid analgesics,N02AJ03,2017
N02AA59 23),codeine and paracetamol,N02AJ06,2017
N02AA59 23),codeine and acetylsalicylic acid,N02AJ07,2017
N02AA59 23),codeine and ibuprofen,N02AJ08,2017
N02AA59 23),codeine and other non-opioid analgesics,N02AJ09,2017
N02AX52 20),tramadol and paracetamol,N02AJ13,2017
N02BA51 24),dihydrocodeine and acetylsalicylic acid,N02AJ02,2017
N02BA51 24),codeine and acetylsalicylic acid,N02AJ07,2017
N02BA51 24),oxycodone and acetylsalicylic acid,N02AJ18,2017
N02BE51 24),dihydrocodeine and paracetamol,N02AJ01,2017
N02BE51 25),codeine and paracetamol,N02AJ06,2017
N02BE51 25),codeine and other non-opioid analgesics,N02AJ09,2017
N02BE51 25),oxycodone and paracetamol,N02AJ17,2017
N02CX07,erenumab,N02CD01,2020
N02CX08,galcanezumab,N02CD02,2020
N05AK01,tetrabenazine,N07XX06,2008
N05AX09,clotiapine,N05AH06,2010
N05CM17,melatonin,N05CH01,2008
N07BA02,bupropion,N06AX12,2009
N07XX09,dimethyl fumarate,L04AX07,2019
P01BE52,artemether and lumefantrine 26),P01BF01,2011
R03AK03,fenoterol and ipratropium bromide 8),R03AL01,2014
R03AK04 9),salbutamol and ipratropium bromide,R03AL02,2014
R03AK07 10),formoterol and beclometasone,R03AK08,2014
R03AK07 10),formoterol and mometasone,R03AK09,2014
R03CA02,ephedrine,C01CA26 4),2011
R05CB12,tiopronin,G04BX16,2017
S01AX11,ofloxacin,S01AE01,2013
S01AX12,norfloxacin,S01AE02,2013
S01AX13,ciprofloxacin,S01AE03,2013
S01AX17,lomefloxacin,S01AE04,2013
S01AX19,levofloxacin,S01AE05,2013
S01AX21,gatifloxacin,S01AE06,2013
S01AX22,moxifloxacin,S01AE07,2013
S01AX23,besifloxacin,S01AE08,2013
S01XA16,anecortave,S01LA02,2007
S01XA17,pegaptanib,S01LA03,2007
V09AX02,fludeoxyglucose [18F],V09IX04,2005
