sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:possible_english_name,matchScore,mappingStatus,conceptId,comment
2377A,NEUROFIBROMATOSIS (VON RECKLINGHAUSEN),61,,Neurofibromatosis,0.6174041032791138,UNCHECKED,377252,
6535B,"EPÄTAVALLISEN ISO SIKIÖ (YLI 4500 G), SYNN AIKANA",203,,Unusually large fetus causing disproportion,0.18740610778331757,UNCHECKED,434758,
1727C,"MELANOMA MAL CUTIS EXTR INFER,NODULARE",9,,"Malignant melanoma of skin of lower limb, including hip",0.40499773621559143,UNCHECKED,36520455,
5169X,MORBUS ALVEOLARIS PULMONARIS NUD,20,,Unspecified alveolar and parietoalveolar pneumonopathy,0.5434406399726868,UNCHECKED,4008132,
9241A,CONTUSIO GENUS ET CRURIS,203,,Contusion of knee and lower leg,0.46201029419898987,UNCHECKED,441737,
3950A,STENOSIS AORTAE RHEUMATICA,61,,Rheumatic aortic stenosis,0.7497100830078125,UNCHECKED,313221,
1733C,"KASVOJEN IHON SYÖPÄ,MUU",9,,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,0.11292994767427444,UNCHECKED,4033006,
3092D,AHDISTUNEISUUTENA ILMENEVÄ SOPEUTUMISHÄIRIÖ,202,,Adjustment reaction with predominant disturbance of other emotions,0.12264591455459595,UNCHECKED,4216189,
5311A,"ULCUS VENTRICULI ANTRI,KOMPLISOITUMATON",20,,Acute gastric ulcer with perforation,0.25158464908599854,UNCHECKED,4089462,
1891X,"NEOPLASMA MALIGNUM PELVIS RENIS,EI HIST VAHV",9,,Malignant neoplasm of renal pelvis,0.3700334131717682,UNCHECKED,4054839,
7246A,MORBI ARTICULI SACROILIACALIS NONINFLAMMATORII,61,,Disorders of sacrum,0.5213704109191895,UNCHECKED,4208390,
5744B,"CHOLEDOCHOLITHIASIS CUM CHOLECYSTITIDE CHR,CUM OBST",20,,Calculus of bile duct with other cholecystitis,0.5671969652175903,UNCHECKED,4287084,
7321A,COXA PLANA (LEGG-CALVô-PERTHES),61,,Juvenile osteochondrosis of hip and pelvis,0.4363005459308624,UNCHECKED,4006963,
6660B,HAEMORRHAGIA POST PARTUM CUM RETENT PLAC TOTALI,201,,Third-stage postpartum hemorrhage,0.5445906519889832,UNCHECKED,443929,
2253A,NEOPLASMA BENIGNUM MEDULLAE SPINALIS,9,,Benign neoplasm of spinal cord,0.5292264819145203,UNCHECKED,36684436,
7340A,PES PLANUS,61,,Flat foot,1.0,APPROVED,437969,
7809X,SYMPTOMATA GENERALIA ALIA,201,,Other general symptoms,0.6822599768638611,UNCHECKED,4147183,
7526B,HYPOSPADIA,61,,Hypospadias and epispadias and other penile anomalies,0.9364823698997498,APPROVED,196528,
5990X,INFECTIO VIARUM URINARIUM ALIA DEFINITA SEU NUD,20,,"Urinary tract infection, site not specified",0.31495463848114014,UNCHECKED,36715981,
2387X,STATUS LYMPHO- ET MYELOPROLIFERATIVUS NUD,9,,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues,0.4634760022163391,UNCHECKED,4175485,
9657A,MYRKYTYS:MUUT ANTIPYREETTISET ANALGEETIT,61,,Poisoning by other non-narcotic analgesics,0.3299013376235962,UNCHECKED,439977,
6083A,ATROPHIA TESTIS,20,,Atrophy of testis,0.6201238036155701,UNCHECKED,438477,
2662A,HYPOVITAMINOSIS B12,9,,Other B-complex deficiencies,0.7783195376396179,APPROVED,4100822,
1743A,"RINTASYÖPÄ,ALAKESKINELJÄNNES",60,,Malignant neoplasm of lower-inner quadrant of female breast,0.16052307188510895,UNCHECKED,4104296,
5530A,HERNIA FEMORALIS SINE OBSTRUCTIONE ET GANGRAENA,199,,Femoral hernia without mention of obstruction or gangrene,0.5978609919548035,UNCHECKED,4187669,
2729X,MORBI CONGENITI METABOLICI LIPOIDICI NUD,9,,Unspecified disorder of lipoid metabolism,0.3201501965522766,UNCHECKED,437530,
8022A,FRACTURA MANDIBULAE,199,,Mandible closed fracture,0.6277061104774475,UNCHECKED,3177036,
6168X,"MORBI INFECTIOSI CERVICIS UTERI,VAGIN ET VULVAE AL",20,,"Other specified inflammatory diseases of cervix, vagina, and vulva",0.3415204882621765,UNCHECKED,4088316,
1889X,NEOPLASMA MALIGNUM VESICAE URINARIAE NUD,60,,"Malignant neoplasm of bladder, part unspecified",0.4064863324165344,UNCHECKED,40488919,
3001A,KONVERSIOHÄIRIÖ,60,,"Dissociative, conversion and factitious disorders",0.27744555473327637,UNCHECKED,4049367,
4829X,PNEUMONIA BACTERICA NUD,198,,"Bacterial pneumonia, unspecified",0.6352056264877319,UNCHECKED,257315,
6213X,HYPERPLASIA ENDOMETRII NUD,20,,Endometrial hyperplasia,0.6244416236877441,UNCHECKED,200775,
2810A,ANAEMIA PERNICIOSA CUM MYELOPATHIA SPINALI,9,,Pernicious anemia,0.4932921528816223,UNCHECKED,432295,
8470A,"DISTORSIO,DISTENSIO SEU RUPTURA NUCHAE",197,,Sprain of neck,0.31110990047454834,UNCHECKED,444066,
3700A,"ULCUS CORNAE (MARGINALE, SERPENS, PERFORANS)",60,,Corneal ulcer,0.3268651068210602,UNCHECKED,4326414,
6332A,GRAVIDITAS ECTOPICA (EXTRAUTERINA) OVARII,20,,Ovarian pregnancy,0.3475700914859772,UNCHECKED,4267424,
2898X,MORBUS SYSTEMATIS HEMATOPOETICI/SANGUINIS ALIA DEF,9,,Other specified diseases of blood and blood-forming organs,0.2809453010559082,UNCHECKED,4021915,
8730A,VULNUS CUTIS CAPITIS NON COMPLICATUM,197,,"Open wound of scalp, without mention of complication",0.3456820249557495,UNCHECKED,4310539,
4510A,PHLEBITIS/THROMBOPHLEB. SUPERFICIALIS EXTREM. INFER,60,,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,0.6163837313652039,UNCHECKED,4085025,
6350X,"ABORTUS PROV LEGAL SINE COMPL,MUUT LAILLISET SYYT",20,,Legally induced abortion complicated by genital tract and pelvic infection,0.2957463562488556,UNCHECKED,439310,
2921B,SYNDROMA DELUSIONALE EX USU MEDICAMENTORUM,9,,Drug-induced psychotic disorders,0.42124131321907043,UNCHECKED,4261352,
5350A,GASTRITIS ACUTA ET SUPERFICIALIS,194,,Acute gastritis,0.7277514338493347,UNCHECKED,37110305,
4618A,PANSINUITIS ACUTA,193,,Other acute sinusitis,0.5843051671981812,UNCHECKED,4173734,
7152G,"OSTEORTHROSIS SECUNDARIA,NILKKA",20,,"Osteoarthrosis, localized, secondary",0.29268065094947815,UNCHECKED,80180,
6598A,"INDICATIONES INTERVENTIONUM ALIAE,RASKAUDEN AIKANA",60,,Other specified indications for care or intervention related to labor and delivery,0.21131162345409393,UNCHECKED,4316222,
2956D,"RESIDUAALINEN SKITSOFRENIA,SUBKROONINEN AKUUTTI",9,,Residual type schizophrenic disorders,0.24278004467487335,UNCHECKED,443403,
5120A,PNEUMOTHORAX SPONTANEUS,193,,Spontaneous tension pneumothorax,0.7741984128952026,APPROVED,255302,
3123A,PELIHIMO,9,,"Disorders of impulse control, not elsewhere classified",0.4154829978942871,UNCHECKED,42709954,
7143X,POLYARTHRITIS JUVENILIS NUD,60,,Juvenile chronic polyarthritis,0.6906867027282715,UNCHECKED,4111856,
7178B,LAESIO LIGAMENTI COLLATERALIS LATERALIS,20,,Other internal derangement of knee,0.473768025636673,UNCHECKED,46287036,
3360A,SYRINGOMYELIA ET SYRINGOBULBIA,9,,Syringomyelia and syringobulbia,0.8945946097373962,APPROVED,377539,
7580A,TRISOMIA 21 (SYNDROMA DOWN),60,,Down's syndrome,0.5551852583885193,UNCHECKED,4110269,
8310B,"LUXATIO SCAPULAE TRAUM ACROMIOCLAVICULARIS,NON COMP",193,,Closed dislocation of shoulder,0.5501924157142639,UNCHECKED,4012601,
7183K,"LUXATIO HABITUALIS, MUU NIVEL",20,,Recurrent dislocation of joint,0.4448421895503998,UNCHECKED,4344155,
9651A,MYRKYTYS:SALISYLAATIT,60,,Poisoning by salicylates,0.1629282832145691,UNCHECKED,376105,
3457B,EPILEPSIA PARTIALIS CONTINUA,9,,Epilepsia partialis continua,1.0,APPROVED,374023,
7219X,SPONDYLARTHROSIS NUD,20,,Spondylosis of unspecified site,0.8418993949890137,APPROVED,4227449,
3041A,"ANKSIOLYYTTI-,SEDATIIVA- JA UNILÄÄKERIIPPUVUUS",192,,"Sedative, hypnotic or anxiolytic dependence",0.15739385783672333,UNCHECKED,4297916,
V400A,MIELENTERVEYDEN TAI KÄYTTÄYTYMISEN ONGELMA,60,,Mental and behavioral problems with learning,0.18973387777805328,UNCHECKED,4296631,
7531A,MORBUS CYSTICUS CONGENITUS RENIS,192,,Cystic kidney disease,0.5533360838890076,UNCHECKED,321588,
3623B,OCCLUSIO RAMI ARTERIAE CENTRALIS RETINAE,9,,Retinal vascular occlusion,0.578555703163147,UNCHECKED,437540,
7287X,"FIBROMATOSIS ALIA MUSCULI,LIGAMENTI ET FASCIAE",20,,"Other fibromatoses of muscle, ligament, and fascia",0.40784043073654175,UNCHECKED,134460,
7351A,HALLUX VARUS ACQUISITUS,20,,Hallux varus (acquired),0.782794713973999,APPROVED,80819,
2964E,"PSYCH BIPOLAR CIRCULARIS,VAIKEA-ASTE,PSYKOOT PIIRT",59,,"Bipolar I disorder, most recent episode (or current) manic",0.2221512645483017,UNCHECKED,4200385,
7860C,SYNDROMA HYPERVENTILATIONIS,190,,Dyspnea and respiratory abnormalities,0.8134547472000122,APPROVED,4103431,
3653A,KORTIKOSTEROIDIEN AIHEUTTAMA GLAUKOOMA,9,,Corticosteroid-induced glaucoma,0.23992860317230225,UNCHECKED,4041191,
3338X,DYSKINESIA ALIA,59,,Fragments of torsion dystonia,0.8662062883377075,APPROVED,4319906,
3660B,CATARACTA JUVENILIS,9,,"Infantile, juvenile, and presenile cataract",0.7266508936882019,UNCHECKED,4161420,
7542A,MALEFORMATIONES COLUMNAE VERTEBRALIS,20,,Congenital musculoskeletal deformities of spine,0.5611109733581543,UNCHECKED,44782549,
3468X,MIGREENI ALIA DEFINITA,59,,Other forms of migraine,0.31144198775291443,UNCHECKED,4050000,
8120A,FRACTURA HUMERI PARTIS SUPERIORIS NON COMPLICATA,190,,"Fracture of upper end of humerus, closed",0.374676376581192,UNCHECKED,376973,
4470A,FISTULA ARTERIOVENOSA ACQUISATA,9,,"Arteriovenous fistula, acquired",0.6818592548370361,UNCHECKED,36712772,
3570A,POLYNEUROPATHIA INFLAMMATORIA ACUTA,59,,Acute infective polyneuritis,0.7694979906082153,APPROVED,4296728,
3570A,POLYNEUROPATHIA INFLAMMATORIA ACUTA,59,,Acute infective polyneuritis,0.7694979906082153,APPROVED,4164770,
7553B,REDUCTIO EXTREMITATIS INFERIORIS LONGITUDINALIS,20,,"Reduction deformities of lower limb, congenital",0.47608286142349243,UNCHECKED,4096388,
5111A,PLEURITIS EXSUDATIVA BACTERICA,9,,"Pleurisy with effusion, with mention of a bacterial cause other than tuberculosis",0.4099135100841522,UNCHECKED,78786,
3680A,AMBLYOPIA EX ANOPSIA,59,,Amblyopia ex anopsia,1.0,APPROVED,372896,
9200A,"CONTUSIO FACIEI, VERTICIS ET COLLI, OCULO EXCEPTO",190,,"Contusion of face, scalp, and neck except eye(s)",0.3258056938648224,UNCHECKED,4303066,
7576A,ANOMALIAE CONGENITAE MAMMAE,20,,Specified congenital anomalies of breast,0.4446693956851959,UNCHECKED,4079975,
4540A,ULCUS VARICOSUM CRURIS,189,,Varicose veins of lower extremities with ulcer,0.45702889561653137,UNCHECKED,4030850,
4111B,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,AHTAUTUNUT",59,,Intermediate coronary syndrome,0.2959005534648895,UNCHECKED,321318,
7863A,HAEMOPTYSIS,189,,Hemoptysis,1.0,APPROVED,261687,
5310X,"ULCUS VENTRIC CURVAT MINOR ET ANGULAE,MUU",9,,Acute gastric ulcer with hemorrhage,0.1859915405511856,UNCHECKED,4068745,
7849X,SYMPTOMATA ALIA DEFINITA REGIONIS COLLI ET CAPITIS,20,,Other symptoms involving head and neck,0.32303452491760254,UNCHECKED,37399393,
5719X,MORBI HEPATIS NONALCOHOLICI ALII SEU NUD,59,,Unspecified chronic liver disease without mention of alcohol,0.49423128366470337,UNCHECKED,4340383,
8232A,"FRACTURA DIAPHYSEOS TIBIAE, NON COMPLICATA",189,,"Fracture of shaft of tibia and fibula, closed",0.37749743461608887,UNCHECKED,42536715,
5312A,"ULCUS VENTRICULI LOCO ATYPICO,KOMPLISOITUMATON",9,,Acute gastric ulcer with hemorrhage and perforation,0.2237919718027115,UNCHECKED,4089462,
6216A,MALPOSITIO UTERI,59,,Malposition of uterus,0.7770870923995972,APPROVED,201625,
7905X,MUIDEN ENTSYYMIEN EPÄSPESIFISTI KOHONNEET VERIPIT,20,,Other nonspecific abnormal serum enzyme levels,0.12226216495037079,UNCHECKED,36714103,
5314X,"ULCUS VENTRICULI ACUTA,MUU",9,,Chronic or unspecified gastric ulcer with hemorrhage,0.28886112570762634,UNCHECKED,4322647,
7108X,MORBUS TELAE CONJUNCTIVAE DIFFUSA ALIA,59,,Other specified diffuse diseases of connective tissue,0.47466686367988586,UNCHECKED,36541387,
2390A,NEOPLASMA NON DEF ORGANORUM DIGESTIONIS,188,,Neoplasm of unspecified nature of digestive system,0.57023686170578,UNCHECKED,4111798,
7143A,MB STILL,59,,Juvenile chronic polyarthritis,0.39996546506881714,UNCHECKED,138239,
5323A,"ULCUS POSTBULBARE ,KOMPLISOITUMATON",9,,Acute duodenal ulcer without mention of hemorrhage or perforation,0.3948695957660675,UNCHECKED,4299937,
8050A,"KAULARANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA",20,,Closed fracture of cervical vertebra without mention of spinal cord injury,0.16028834879398346,UNCHECKED,40481450,
5552A,MORBUS CROHN ILEI ET COLI,188,,Regional enteritis of small intestine with large intestine,0.4669745862483978,UNCHECKED,201606,
7532A,OBSTRUCTIO CONGENIT PELVICIS RENALIS ET URETERIS,59,,"Obstructive defects of renal pelvis and ureter, congenital",0.5142189860343933,UNCHECKED,4318839,
5838C,NEPHRITIS INTERSTITIALIS CHRONICA INFECTIOSA,9,,"Nephritis and nephropathy, not specified as acute or chronic, with other specified pathological lesion in kidney",0.7637501955032349,APPROVED,4125952,
8050D,"KAULARANGAN INSTAB ARCUS/PROC ARTIC-MURT,EI SPIN",20,,Closed fracture of cervical vertebra without mention of spinal cord injury,0.1858787089586258,UNCHECKED,4345332,
8500C,"COMMOTIO CEREBRI,ALLE TUNNIN KESTÄNYT TAJUTTOMUUS",188,,Concussion with no loss of consciousness,0.35182422399520874,UNCHECKED,4001336,
7756A,HYPOGLYCAEMIA NEONATORUM,59,,Neonatal hypoglycemia,0.816853940486908,APPROVED,23034,
1850A,NEOPLASMA MALIGNUM PROSTATAE,187,,Malignant neoplasm of prostate,0.48876747488975525,UNCHECKED,4129902,
8123A,FRACTURA HUMERI DIAPHYSEOS COMPLICATA,20,,"Fracture of shaft or unspecified part of humerus, open",0.4054029881954193,UNCHECKED,442619,
5845X,NEPHROPATHIA TUBULOINTERSTITIALIS ACUTA NUD,9,,Acute kidney failure with lesion of tubular necrosis,0.7104483246803284,UNCHECKED,4177206,
5930A,NEPHROPTOSIS,9,,Nephroptosis,0.7491387724876404,UNCHECKED,198124,
8510A,"CONTUSIO CEREBRI NON COMP,EI TIETOA TAJUTTOMUUDESTA",59,,Cortex (cerebral) contusion without mention of open intracranial wound,0.30087924003601074,UNCHECKED,4019347,
5660A,ABSCESSUS ANI ET ANORECTALIS,186,,Abscess of anal and rectal regions,0.6566144227981567,UNCHECKED,4326601,
8135A,FRACTURA COLLES COMPLICATA,20,,"Fracture of lower end of radius and ulna, open",0.6073532700538635,UNCHECKED,376973,
6061A,OLIGOSPERMIA,9,,Oligospermia,0.6336643099784851,UNCHECKED,194419,
6116A,GALACTORRHOEA,9,,Galactorrhea not associated with childbirth,0.772647500038147,APPROVED,4289543,
9228X,CONTUSIO TRUNCI LOCO MULTIPLICI,59,,Contusion of multiple sites of trunk,0.540323793888092,UNCHECKED,192502,
8220A,FRACTURA PATELLAE NON COMPLICATA,186,,Closed fracture of patella,0.5130618214607239,UNCHECKED,4177025,
8161B,"FRACTURA DIGITI II MANUS, COMPLICATA",20,,Open fracture of one or more phalanges of hand,0.37873575091362,UNCHECKED,376973,
V251A,KOHDUNSISÄINEN RASKAUDEN EHKÄISY,59,,Encounter for insertion or removal of intrauterine contraceptive device,0.13162852823734283,UNCHECKED,4133527,
9221A,CONTUSIO THORACIS,185,,Contusion of chest wall,0.6593834757804871,UNCHECKED,4095422,
6169X,"MORBI INFECT CERVICIS UTERI, VAGINAE ET VULVAE NUD",9,,"Unspecified inflammatory disease of cervix, vagina, and vulva",0.3827674686908722,UNCHECKED,197609,
8735A,VULNUS FACIEI COMPLICATUM,20,,"Open wound of face, complicated",0.3903009295463562,UNCHECKED,433128,
2050A,LEUCHAEMIA MYELOIDES ACUTA,58,,"Myeloid leukemia, acute",0.5872663259506226,UNCHECKED,140352,
7288A,"SYNDR TIBIALE, PENIKKATAUTI",184,,"Other disorders of muscle, ligament, and fascia",0.309102326631546,UNCHECKED,4044081,
9968A,ELINSIIRRÄNNÄISEEN LIITTYVÄ KOMPLIKAATIO,20,,Complications of transplanted organ,0.14301781356334686,UNCHECKED,4189296,
6183A,PROLAPSUS UTEROVAGINALIS COMPLETUS,9,,"Uterovaginal prolapse, complete",0.7381569743156433,UNCHECKED,193528,
2503A,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,TYYPPI II",58,,Diabetes with other coma,0.13597747683525085,UNCHECKED,4219624,
5609X,"OBSTRUCTIO INTESTINALIS,NUD",183,,Unspecified intestinal obstruction,0.4792647063732147,UNCHECKED,193518,
6240A,LEUKOPLAKIA ET KRAUROSIS VULVAE,9,,Dystrophy of vulva,0.6935646533966064,UNCHECKED,4113837,
0381B,SEPTICHAEMIA STAPHYLOCOCCUS EPIDERMIDIS,19,,Staphylococcal septicemia,0.7196373343467712,UNCHECKED,4042192,
7267A,TENDINITIS SEU BURSITIS ACHILLIS,183,,Enthesopathy of ankle and tarsus,0.5629667043685913,UNCHECKED,439524,
6263A,MENORRHAGIA IN PUBERTATE,9,,Puberty bleeding,0.8455014824867249,APPROVED,4028474,
2720A,HYPERCHOLESTEROLAEMIA FAMILIARIS (FHK),58,,Pure hypercholesterolemia,0.5736421346664429,UNCHECKED,4134862,
0781B,VERRUCA PLANA,19,,Viral warts,1.0,APPROVED,4080331,
3043A,KANNABISRIIPPUVUUS,58,,Cannabis dependence,0.28278177976608276,UNCHECKED,4323639,
3000C,YLEISTYNYT TUSKAISUUS,182,,Anxiety states,0.1984672248363495,UNCHECKED,4216189,
0790A,ADENOVIRUSINFEKTIO,19,,Adenovirus infection in conditions classified elsewhere and of unspecified site,0.5166121125221252,UNCHECKED,433413,
3716A,KERATOCONUS,58,,Keratoconus,1.0,APPROVED,374362,
6427A,"PRAE-ECL SEU ECL CUM HYPERT ART,ENNEN SYNNYTYSTÄ",9,,Pre-eclampsia or eclampsia superimposed on pre-existing hypertension,0.24450966715812683,UNCHECKED,141084,
3853A,CHOLESTEATOMA AURIS MEDIAE,182,,Cholesteatoma of middle ear and mastoid,0.6489585638046265,UNCHECKED,372925,
2104A,"NEOPLASMA BENIGNUM ORIS, LOCO ALIO ET NUD",19,,Benign neoplasm of other and unspecified parts of mouth,0.40043920278549194,UNCHECKED,4242333,
4039A,MORBUS RENALIS HYPERTONICUS,58,,"Hypertensive renal disease, unspecified",0.4836091995239258,UNCHECKED,4208994,
6525A,"KORKEALLE JÄÄNYT TARJOUTUVA SIKIÖN PÄÄ,RASK AIKANA",9,,High fetal head at term,0.10782365500926971,UNCHECKED,4223078,
6424B,"PRAE-ECLAMPSIA  LEVIS, SYNNYTYKSEN AIKANA",182,,Mild or unspecified pre-eclampsia,0.40639394521713257,UNCHECKED,439393,
2130A,"NEOPLASMA BENIGNUM OSSIUM CRANII ET FACIEI, MANDIB",19,,Benign neoplasm of bones of skull and face,0.38442203402519226,UNCHECKED,373166,
4911A,BRONCHITIS CHRONICA MUCOPURULENTA,58,,Mucopurulent chronic bronchitis,0.8619661331176758,APPROVED,257905,
6551A,"SIKIÖN KROMOS ABNORM, ÄID TUTK/HOITO,RASK AIKANA",9,,Chromosomal abnormality in fetus affecting management of mother,0.1592160165309906,UNCHECKED,4306432,
8200A,"FRACTURA COLLI FEMORIS TRANSCERVICALIS,NON COMPLICA",182,,"Transcervical fracture, closed",0.4306347072124481,UNCHECKED,444192,
2152A,"YLÄRAAJAN BENIGNI PEHMYTKUDOSKASVAIN,SIDEKUDOSPERÄI",19,,"Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder",0.14359962940216064,UNCHECKED,44499835,
