concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,freq_finngen,freq_total
37,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,Condition,ICD9fi,5-char ICD9fi,NA,0052A,1970-01-01,2099-12-31,NA,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,0,0
38,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,Condition,ICD9fi,5-char ICD9fi,NA,0053A,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,0,0
39,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,Condition,ICD9fi,5-char ICD9fi,NA,0054A,1970-01-01,2099-12-31,NA,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,0,0
40,INTOXICATIO ALIMENTARIA ALIA DEFINITA,Condition,ICD9fi,5-char ICD9fi,NA,0058X,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA ALIA DEFINITA,0,0
41,INTOXICATIO ALIMENTARIA NUD,Condition,ICD9fi,5-char ICD9fi,NA,0059X,1970-01-01,2099-12-31,NA,INTOXICATIO ALIMENTARIA NUD,0,0
42,AMOEBIASIS,Condition,ICD9fi,3-char ICD9fi,NA,006,1970-01-01,2099-12-31,NA,AMOEBIASIS,0,0
43,AMOEBIASIS CUM DYSENTERIA ACUTA,Condition,ICD9fi,5-char ICD9fi,NA,0060A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM DYSENTERIA ACUTA,0,0
44,AMOEBIASIS CUM DYSENTERIA CHRONICA,Condition,ICD9fi,5-char ICD9fi,NA,0061A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM DYSENTERIA CHRONICA,0,0
45,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,Condition,ICD9fi,5-char ICD9fi,NA,0062A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,0,0
46,AMOEBIASIS CUM ABSCESSU HEPATIS,Condition,ICD9fi,5-char ICD9fi,NA,0063A,1970-01-01,2099-12-31,NA,AMOEBIASIS CUM ABSCESSU HEPATIS,0,0
47,AMOEBISAIS LOCO ALIO,Condition,ICD9fi,5-char ICD9fi,NA,0068X,1970-01-01,2099-12-31,NA,AMOEBISAIS LOCO ALIO,0,0
48,AMOEBIASIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0069X,1970-01-01,2099-12-31,NA,AMOEBIASIS NUD,0,0
49,MORBI PROTOZOICI INTESTINALES ALII,Condition,ICD9fi,3-char ICD9fi,NA,007,1970-01-01,2099-12-31,NA,MORBI PROTOZOICI INTESTINALES ALII,0,0
50,BALANTIDIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0070A,1970-01-01,2099-12-31,NA,BALANTIDIASIS,0,0
51,GIARDIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0071A,1970-01-01,2099-12-31,NA,GIARDIASIS,0,0
52,COCCIDIOSIS ET ISOSPORIASIS,Condition,ICD9fi,5-char ICD9fi,NA,0072A,1970-01-01,2099-12-31,NA,COCCIDIOSIS ET ISOSPORIASIS,0,0
53,TRICHOMONIASIS INTESTINALIS,Condition,ICD9fi,5-char ICD9fi,NA,0073A,1970-01-01,2099-12-31,NA,TRICHOMONIASIS INTESTINALIS,0,0
54,CRYPTOSPORIDIOSIS,Condition,ICD9fi,5-char ICD9fi,NA,0078A,1970-01-01,2099-12-31,NA,CRYPTOSPORIDIOSIS,0,0
55,MORBUS PROTOZOICUS INTESTINALIS ALIA,Condition,ICD9fi,5-char ICD9fi,NA,0078X,1970-01-01,2099-12-31,NA,MORBUS PROTOZOICUS INTESTINALIS ALIA,0,0
56,MORBUS PROTOZOICUS INTESTINALIS NUD,Condition,ICD9fi,5-char ICD9fi,NA,0079X,1970-01-01,2099-12-31,NA,MORBUS PROTOZOICUS INTESTINALIS NUD,0,0
57,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,Condition,ICD9fi,3-char ICD9fi,NA,008,1970-01-01,2099-12-31,NA,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,0,0
58,ENTERITIS E. COLI PATHOGENICA PER TOXINUM,Condition,ICD9fi,5-char ICD9fi,NA,0080A,1970-01-01,2099-12-31,NA,ENTERITIS E. COLI PATHOGENICA PER TOXINUM,0,0
59,ENTERITIS E. COLI PATHOGENICA INVASIVA,Condition,ICD9fi,5-char ICD9fi,NA,0080B,1970-01-01,2099-12-31,NA,ENTERITIS E. COLI PATHOGENICA INVASIVA,0,0
60,ENTERITIS ARIZONA,Condition,ICD9fi,5-char ICD9fi,NA,0081A,1970-01-01,2099-12-31,NA,ENTERITIS ARIZONA,0,0
61,ENTERITIS AEROBACTER AEROGENES,Condition,ICD9fi,5-char ICD9fi,NA,0082A,1970-01-01,2099-12-31,NA,ENTERITIS AEROBACTER AEROGENES,0,0
62,ENTERITIS PROTEUS MIRABILIS,Condition,ICD9fi,5-char ICD9fi,NA,0083A,1970-01-01,2099-12-31,NA,ENTERITIS PROTEUS MIRABILIS,0,0
63,ENTERITIS STAPHYLOCOCCICA,Condition,ICD9fi,5-char ICD9fi,NA,0084A,1970-01-01,2099-12-31,NA,ENTERITIS STAPHYLOCOCCICA,0,0
64,ENTERITIS PSEUDOMONAS,Condition,ICD9fi,5-char ICD9fi,NA,0084B,1970-01-01,2099-12-31,NA,ENTERITIS PSEUDOMONAS,0,0
65,ENTERITIS YERSINIA ENTEROCOLITICA,Condition,ICD9fi,5-char ICD9fi,NA,0084C,1970-01-01,2099-12-31,NA,ENTERITIS YERSINIA ENTEROCOLITICA,0,0
66,ENTERITIS YERSINIA PSEUDOTUBERCULOSA,Condition,ICD9fi,5-char ICD9fi,NA,0084D,1970-01-01,2099-12-31,NA,ENTERITIS YERSINIA PSEUDOTUBERCULOSA,0,0
67,ENTERITIS CAMPYLOBACTER,Condition,ICD9fi,5-char ICD9fi,NA,0084E,1970-01-01,2099-12-31,NA,ENTERITIS CAMPYLOBACTER,0,0
68,ENTERITIS CLOSTRIDIUM DIFFICILE,Condition,ICD9fi,5-char ICD9fi,NA,0084F,1970-01-01,2099-12-31,NA,ENTERITIS CLOSTRIDIUM DIFFICILE,0,0
69,ENTERITIS BACTERIA ALIA SEU NUD,Condition,ICD9fi,5-char ICD9fi,NA,0085X,1970-01-01,2099-12-31,NA,ENTERITIS BACTERIA ALIA SEU NUD,0,0
70,ENTERITIS VIROSA ROTA,Condition,ICD9fi,5-char ICD9fi,NA,0086A,1970-01-01,2099-12-31,NA,ENTERITIS VIROSA ROTA,0,0
71,ENTERITIS VIROSA NORWALK,Condition,ICD9fi,5-char ICD9fi,NA,0086B,1970-01-01,2099-12-31,NA,ENTERITIS VIROSA NORWALK,0,0
72,ENTERITIS VIROSA ALIA DEFINITA SEU NUD,Condition,ICD9fi,5-char ICD9fi,NA,0086C,1970-01-01,2099-12-31,NA,ENTERITIS VIROSA ALIA DEFINITA SEU NUD,0,0
73,ENTERITIS VIROSA NUD,Condition,ICD9fi,5-char ICD9fi,NA,0086X,1970-01-01,2099-12-31,NA,ENTERITIS VIROSA NUD,0,0
74,ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR),Condition,ICD9fi,5-char ICD9fi,NA,0088X,1970-01-01,2099-12-31,NA,ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR),0,0
75,INFECTIO INTESTINALIS ALIA,Condition,ICD9fi,3-char ICD9fi,NA,009,1970-01-01,2099-12-31,NA,INFECTIO INTESTINALIS ALIA,0,0
76,RIPULI TARTUNTATAUTIPERÄINEN,Condition,ICD9fi,5-char ICD9fi,NA,0092A,1970-01-01,2099-12-31,NA,RIPULI TARTUNTATAUTIPERÄINEN,0,0
77,RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI,Condition,ICD9fi,5-char ICD9fi,NA,0093A,1970-01-01,2099-12-31,NA,RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI,0,0
78,TUBERCULOSIS PRIMARIA,Condition,ICD9fi,3-char ICD9fi,NA,010,1970-01-01,2099-12-31,NA,TUBERCULOSIS PRIMARIA,0,0
79,"COMPLEXUS TUBERCULOSIS PRIMARIUS, BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0100A,1970-01-01,2099-12-31,NA,"COMPLEXUS TUBERCULOSIS PRIMARIUS, BAKTER.VARMA",0,0
80,"COMPLEXUS TUBERCULOSIS PRIMARIUS, HISTOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0100B,1970-01-01,2099-12-31,NA,"COMPLEXUS TUBERCULOSIS PRIMARIUS, HISTOL.VARMA",0,0
81,"COMPLEXUS TUBERCULOSIS PRIMARIUS, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0100X,1970-01-01,2099-12-31,NA,"COMPLEXUS TUBERCULOSIS PRIMARIUS, EPÄILTY",0,0
82,"TUBERCULOSIS PRIM. CUM PLEURITIDE, BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0101A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIM. CUM PLEURITIDE, BAKTER.VARMA",0,0
83,"TUBERCULOSIS PRIM. CUM PLEURITIDE, HISTOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0101B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIM. CUM PLEURITIDE, HISTOL.VARMA",0,0
84,"TUBERCULOSIS PRIMARIA CUM PLEURITIDE, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0101X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA CUM PLEURITIDE, EPÄILTY",0,0
85,"TUBERCULOSIS PRIMARIA ALIA, BAKTERIOLOG. VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0108A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA ALIA, BAKTERIOLOG. VARMA",0,0
86,"TUBERCULOSIS PRIMARIA ALIA, HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0108B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA ALIA, HISTOLOGISESTI VARMA",0,0
87,"TUBERCULOSIS PRIMARIA ALIA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0108X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA ALIA, EPÄILTY",0,0
88,"TUBERCULOSIS PRIMARIA NUD, BAKTERIOLOG. VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0109A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA NUD, BAKTERIOLOG. VARMA",0,0
89,"TUBERCULOSIS PRIMARIA NUD, HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0109B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA NUD, HISTOLOGISESTI VARMA",0,0
90,"TUBERCULOSIS PRIMARIA NUD, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0109X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PRIMARIA NUD, EPÄILTY",0,0
91,TUBERCULOSIS PULMONUM,Condition,ICD9fi,3-char ICD9fi,NA,011,1970-01-01,2099-12-31,NA,TUBERCULOSIS PULMONUM,0,0
92,"TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0110A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA",0,0
93,"TUBERCULOSIS PULMONUM INFILTRATIVA, HISTOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0110B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM INFILTRATIVA, HISTOL.VARMA",0,0
94,"TUBERCULOSIS PULMONUM INFILTRATIVA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0110X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM INFILTRATIVA, EPÄILTY",0,0
95,"TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0112A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA",0,0
96,"TUBERCULOSIS PULMONUM CAVERNOSA, HISTOLOG. VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0112B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CAVERNOSA, HISTOLOG. VARMA",0,0
97,"TUBERCULOSIS PULMONUM CAVERNOSA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0112X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CAVERNOSA, EPÄILTY",0,0
98,"TUBERCULOSIS PULM. ET BRONCHIALIS, BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0113A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULM. ET BRONCHIALIS, BAKTER.VARMA",0,0
99,"TUBERCULOSIS PULM. ET BRONCHIALIS,HISTOLOG.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0113B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULM. ET BRONCHIALIS,HISTOLOG.VARMA",0,0
100,"TUBERCULOSIS PULMONUM ET BRONCHIALIS, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0113X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM ET BRONCHIALIS, EPÄILTY",0,0
101,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0116A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,BAKTER.VARMA",0,0
102,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,HISTOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0116B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,HISTOL.VARMA",0,0
103,"TUBERCULOSIS PULMONUM CUM PNEUMONIA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0116X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM CUM PNEUMONIA, EPÄILTY",0,0
104,"TUBERCULOSIS PULMONUM ALIA, BAKTERIOLOG.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0118A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM ALIA, BAKTERIOLOG.VARMA",0,0
105,"TUBERCULOSIS PULMONUM ALIA,HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0118B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM ALIA,HISTOLOGISESTI VARMA",0,0
106,"TUBERCULOSIS PULMONUM ALIA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0118X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM ALIA, EPÄILTY",0,0
107,"TUBERCULOSIS PULMONUM NUD, BAKTERIOLOG. VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0119A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM NUD, BAKTERIOLOG. VARMA",0,0
108,"TUBERCULOSIS PULMONUM NUD, HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0119B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM NUD, HISTOLOGISESTI VARMA",0,0
109,"TUBERCULOSIS PULMONUM NUD, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0119X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PULMONUM NUD, EPÄILTY",0,0
110,TUBERCULOSIS ALIA ORGANORUM RESPIRATIONIS,Condition,ICD9fi,3-char ICD9fi,NA,012,1970-01-01,2099-12-31,NA,TUBERCULOSIS ALIA ORGANORUM RESPIRATIONIS,0,0
111,"TUBERCULOSIS PLEURAE, BAKTERIOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0120A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PLEURAE, BAKTERIOLOGISESTI VARMA",0,0
112,"TUBERCULOSIS PLEURAE, HISTOLOGISESTI VARMENNETTU",Condition,ICD9fi,5-char ICD9fi,NA,0120B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PLEURAE, HISTOLOGISESTI VARMENNETTU",0,0
113,"TUBERCULOSIS PLEURAE, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0120X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS PLEURAE, EPÄILTY",0,0
114,"TUB. LYMPHONODORUM INTRATHORACALES, BAKTER.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0121A,1970-01-01,2099-12-31,NA,"TUB. LYMPHONODORUM INTRATHORACALES, BAKTER.VARMA",0,0
115,"TUB. LYMPHONODORUM INTRATHORACALES, HISTOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0121B,1970-01-01,2099-12-31,NA,"TUB. LYMPHONODORUM INTRATHORACALES, HISTOL.VARMA",0,0
116,"TUB. LYMPHONODORUM INTRATHORACALES, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0121X,1970-01-01,2099-12-31,NA,"TUB. LYMPHONODORUM INTRATHORACALES, EPÄILTY",0,0
117,"TUBERCULOSIS TRACHEAE ET BRONCHI,BAKTERIOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0122A,1970-01-01,2099-12-31,NA,"TUBERCULOSIS TRACHEAE ET BRONCHI,BAKTERIOL.VARMA",0,0
118,"TUBERCULOSIS TRACHEAE ET BRONCHI,HISTOLOG.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0122B,1970-01-01,2099-12-31,NA,"TUBERCULOSIS TRACHEAE ET BRONCHI,HISTOLOG.VARMA",0,0
119,"TUBERCULOSIS TRACHEAE ET BRONCHI, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0122X,1970-01-01,2099-12-31,NA,"TUBERCULOSIS TRACHEAE ET BRONCHI, EPÄILTY",0,0
120,"LARYNGITIS TUBERCULOSA,BAKTERIOLOGISETI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0123A,1970-01-01,2099-12-31,NA,"LARYNGITIS TUBERCULOSA,BAKTERIOLOGISETI VARMA",0,0
121,"LARYNGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0123B,1970-01-01,2099-12-31,NA,"LARYNGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",0,0
122,"LARYNGITIS TUBERCULOSA,EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0123X,1970-01-01,2099-12-31,NA,"LARYNGITIS TUBERCULOSA,EPÄILTY",0,0
123,"TUB. ORGANORUM RESPIRATIONIS ALIA,BAKTERIOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0128A,1970-01-01,2099-12-31,NA,"TUB. ORGANORUM RESPIRATIONIS ALIA,BAKTERIOL.VARMA",0,0
124,"TUB. ORGANORUM RESPIRATIONIS ALIA,HISTOLOG.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0128B,1970-01-01,2099-12-31,NA,"TUB. ORGANORUM RESPIRATIONIS ALIA,HISTOLOG.VARMA",0,0
125,"TUB. ORGANORUM RESPIRATIONIS ALIA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0128X,1970-01-01,2099-12-31,NA,"TUB. ORGANORUM RESPIRATIONIS ALIA, EPÄILTY",0,0
126,TUB. MENINGUM ET SYSTEMATIS NERVORUM CENTRALIS,Condition,ICD9fi,3-char ICD9fi,NA,013,1970-01-01,2099-12-31,NA,TUB. MENINGUM ET SYSTEMATIS NERVORUM CENTRALIS,0,0
127,"MENINGITIS TUBERCULOSA, BAKTERIOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0130A,1970-01-01,2099-12-31,NA,"MENINGITIS TUBERCULOSA, BAKTERIOLOGISESTI VARMA",0,0
128,"MENINGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0130B,1970-01-01,2099-12-31,NA,"MENINGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",0,0
129,"MENINGITIS TUBERCULOSA, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0130X,1970-01-01,2099-12-31,NA,"MENINGITIS TUBERCULOSA, EPÄILTY",0,0
130,"TUBERCULOMA MENINGUM,BAKTERIOLOGISESTI VARMENNETTU",Condition,ICD9fi,5-char ICD9fi,NA,0131A,1970-01-01,2099-12-31,NA,"TUBERCULOMA MENINGUM,BAKTERIOLOGISESTI VARMENNETTU",0,0
131,"TUBERCULOMA MENINGUM,HISTOLOGISESTI VARMENNETTU",Condition,ICD9fi,5-char ICD9fi,NA,0131B,1970-01-01,2099-12-31,NA,"TUBERCULOMA MENINGUM,HISTOLOGISESTI VARMENNETTU",0,0
132,"TUBERCULOMA MENINGUM, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0131X,1970-01-01,2099-12-31,NA,"TUBERCULOMA MENINGUM, EPÄILTY",0,0
133,"TUBERCULOMA CEREBRI,BAKTERIOLOGISESTI VARMENNETTU",Condition,ICD9fi,5-char ICD9fi,NA,0132A,1970-01-01,2099-12-31,NA,"TUBERCULOMA CEREBRI,BAKTERIOLOGISESTI VARMENNETTU",0,0
134,"TUBERCULOMA CEREBRI, HISTOLOGISESTI VARMENNETTU",Condition,ICD9fi,5-char ICD9fi,NA,0132B,1970-01-01,2099-12-31,NA,"TUBERCULOMA CEREBRI, HISTOLOGISESTI VARMENNETTU",0,0
135,"TUBERCULOMA CEREBRI, EPÄILTY",Condition,ICD9fi,5-char ICD9fi,NA,0132X,1970-01-01,2099-12-31,NA,"TUBERCULOMA CEREBRI, EPÄILTY",0,0
136,"ABSCESSUS TUBERCULOSIS CEREBRI,BAKTERIOL.VARMA",Condition,ICD9fi,5-char ICD9fi,NA,0133A,1970-01-01,2099-12-31,NA,"ABSCESSUS TUBERCULOSIS CEREBRI,BAKTERIOL.VARMA",0,0
