TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
AA1AD,Pään TT,Pään tietokonetomografiatutkimus,"Skalle och hjärna, DT",28973
WD125,Laaj lev kasv vaat syt.hoito,Laajalle levinneen kasvaimen vaativa solusalpaajahoito,Krävande behandling av spridd tumör med cellhämmare,28399
HA1AE,Rintarauhasten UÄ,Rintarauhasten ultraäänitutkimus,"Bröstkörtlar, UL",27263
WF049,Etäpesäkkeen sädehoito,Etäpesäkkeen sädehoito,Strålbehandling av metastas,26834
LX1AE,"Gynek.UÄ,kl.tutk.yht",Gynekologinen ultraäänitutkimus kliinisen tutkimuksen yhteydessä,Gynekologiskt UL i samband med klinisk undersökning,26396
GD1QA,"Thorax-rtg, makuu",Thoraxin röntgen makuuasennossa,Toraxröntgen i liggande,26359
WX400,Inhalaatioyleisanestesia,Yleisanestesian ylläpito inhaloitavalla höyrystyvällä anesteetilla,Generell anestesi baserad på inhalationsanestesi,24834
HA1AA,Mammografia,Rintarauhasten röntgen,Mammografi,24378
RS221,,,,22833
H0275,,,,21465
JN3BD,Vatsan laaja TT,Vatsan laaja tietokonetomografiatutkimus,"Buk, omfattande DT",21348
TPH07,Valtimon kanylointi,Valtimon kanylointi,Kanylering av arteria,21005
H0142,,,,20850
H0113,,,,20668
WD105,Laaj lev kasv yks syt.hoito,Laajalle levinneen kasvaimen yksinkertainen tavanomainen solusalpaajahoito,Enkel behandling av vitt spridd tumör med cellhämmare,20567
WX602,Toistuva tai jatkuva katetripuudutus,Toistuva tai jatkuva puudutus katetrilla,"Anestesi genom kateter, flera injektioner eller kontinuerlig infusion",20413
EP1AE,Kaulan UÄ,Kaulan ultraäänitutkimus,"Hals, UL",19418
H0188,,,,19077
UJD10,"Esofago-, gastro- ja duodenoskopia","Ruokatorven, mahalaukun ja duodenumin tähystys","Esofago-, gastro- och duodenoskopi",19029
NF1AA,Lonkan rtg,Lonkan röntgen,"Höftled, röntgen",18554
UJF32,"Paksusuolen tähystys, kolonoskopia","Koko paksusuolen tähystys, kolonoskopia","Kolonoskopi, hela kolon",17804
LC2BE,"Kohdun, sivuelinten ja alavatsan UÄ","Kohdun, sivuelinten ja alavatsan ultraäänitutkimus emättimen kautta","Livmoder, parametrier och nedre delen av buken, UL, transvaginal",17324
WZC30,Hoidonohjaus,Hoidonohjaus,Vårdhandledning,16937
JN1AE,Ylävatsan UÄ,Ylävatsan ultraäänitutkimus,"Övre del av buken, UL",16732
H0130,,,,16341
H0476,,,,16253
WX302,Epiduraalipuudutus rintarangan tasolla,Epiduraalipuudutus rintarangan tasolla,Thorakal epiduralanestesi,15940
CKD05,Lääkkeen ruiskutus lasiaiseen,Lääkkeen ruiskutus lasiaiseen,Injektion av läkemedel i glaskroppen,15928
WZC20,Moniammatillinen hoitokokous,Moniammatillinen hoitokokous,Multiprofessionellt vårdmöte,15915
H0049,,,,15839
TQX10,Ihon ja ihonalaiskudoksen koepalan otto,Ihon ja ihonalaiskudoksen koepalan otto,Biopsi av hud och subkutant vävnad,15596
XKD00,"Virtsasuihkun virtausmittaus, flowmetria","Virtsasuihkun virtausmittaus, flowmetria",Urinflödesmätning,15547
XFP20,Sydämen tahdistinlaitteen kontrolli,Sydämen tahdistinlaitteen kontrolli,Kontrol av pacemaker i hjärtat,15001
WF004,Sädehoito primaarikasv palliatiivisena hoitona,Sädehoito primaarikasvaimen palliatiivisena hoitona,Palliativ strålbehandling av primärtumör,14996
UKC02,Virtsarakon tähystys,Virtsarakon tähystys,Cystoskopi (inkl uretroskopi),14951
NG1AA,Polven rtg,Polven röntgen,"Knä, röntgen",14725
H0157,,,,14511
NE1AA,Lantion rtg,Lantion röntgen,"Bäcken, röntgen",14439
NA3AA,Lannerangan rtg,Lannerangan röntgen,"Ländrygg, röntgen",13354
NK6AN,Luuston gammakuvaus,Luuston gammakuvaus,Isotopundersökning av hela kroppens ben,13139
WD415,Laaj lev kasv vaat vasta-ainehoito,Laajalle levinneen kasvaimen vaativa vasta-ainehoito,Krävande behandling av metastaserad tumör med antikroppar,12866
XPX99,Muu verisuonen tutkimustoimenpide,Muu verisuonen tutkimustoimenpide,Annan diagnostisk åtgärd på perifert kärl,12247
QXA25,"Ihomuutoksen paikall käsittely, paikkaa ei määrit","Ihomuutoksen paikallinen käsittely, paikkaa ei määritelty","Destruktion av hudförändring, ospecificerad region",12119
H0030,,,,11747
PH2AE,"Alaraajalaskimot,UÄ",Alaraajalaskimoiden ultraäänitutkimus,"Nedre extremitetens vener, UL",11694
JN3AA,Vatsan natiivi-rtg,Vatsan röntgen,"Buköversikt, röntgen",11394
GD1PA,"Thorax-rtg, 1 proj","Thoraxin röntgen, yksi projektio","Toraxröntgen, en projektion",11287
WD325,Laaj lev kasv vaat biovas.hoito,Laajalle levinneen kasvaimen vaativa hoito biovasteenmuuntajilla,Krävande behandling av vitt spridd tumör med biomodulatorer,11070
WD405,Laaj lev kasv yks vasta-ainehoito,Laajalle levinneen kasvaimen yksinkertainen vasta-ainehoito,Enkel behandling av metastaserad tumör med antikroppar,10858
SAA03,Suun erikoisalakohtainen tutkimus,Suun erikoisalakohtainen tutkimus,Specialistundersökning av munnen,10724
ZXE20,Toimenpiteen kesto vähintään 3 mutta alle 5 tuntia,Toimenpiteen kesto vähintään 3 mutta alle 5 tuntia,"Vårdkontakt minst 3 h, men under 5 h",10518
WX002,Sedaatio tai kivunlievitys,Sedaatio tai kivunlievitys ilman anestesiaa,Sedering eller smärtlindring utan anestesi,10443
QAE10,Pään tai kaulan ihon tai ihonal. muutoksen poisto,Pään tai kaulan ihon tai ihonalaiskudoksen ihon paikallisen muutoksen poisto,Excision av kutan eller subkutan förändring i huvud-halsregionen,10384
H0316,,,,10308
F763,,,,10274
JN4CD,Vartalon erittäin laaja TT,Vartalon erittäin laaja tietokonetomografiatutkimus,"Kropp,  mycket omfattande DT",10271
H0054,,,,10246
H0414,,,,10192
CJE20,"Fakoemulsifik, takakammiotekomykiö","Kaihimykiön ultraäänipoisto, takakammiotekomykiö",Fakoemulsifikation med implantation av linsprotes i bakre kammaren,10083
GD1BD,"Thorax,l.TT",Thoraxin laaja tietokonetomografiatutkimus,"Toraxregion, omfattande DT",9972
H0112,,,,9657
H0473,,,,9615
ZXC50,"Jäädytys, kryokoagulaatio","Jäädytys, kryokoagulaatio",Användande av kryoterapi,9584
AA1CG,Pään l.VKMT,Pään laaja magneettitutkimus,"Skalle och hjärna, omfattande MR",9399
ZXA10,Molemminpuolinen,Molemminpuolinen,Bilateral,9262
NB1AA,Olkanivelen rtg,Olkanivelen röntgen,"Axelled, röntgen",8861
WF001,Sädehoito prim.kasvaimen  preoper hoitona,Sädehoito primaarikasvaimen  preoperatiivisena hoitona,Preoperativ strålbehandling av primärtumör,8725
EB1HA,OPG,Hampaiston ja leuan panoraamatomografia tai muu yksinkertainen rakokuvaus,Ortopantomo- eller annan enkel spaltröntgen av käkar och tänder,8457
H0702,,,,8427
WD135,Laaj lev kasv er vaat syt.hoito,Laajalle levinneen kasvaimen erittäin vaativa solusalpaajahoito,Mycket krävande behandling av spridd tumör med cellhämmare,8376
FB1BD,Keuhkojen laaja TT-angio,Keuhkojen laaja TT-angiografia,"Lungkärl, omfattande DT",8324
H0003,,,,8298
H0266,,,,8170
6007,,,,8091
WW500,Verensiirto,Verensiirto,Blodtransfusion,8052
JN4JR,Koko kehon metab laaja PET-TT,Koko kehon aineenvaihdunnan laaja PET-tietokonetomografiatutkimus,Hela kroppen omfattande metabolisk PET med DT,7993
ZXC96,Robotin käyttö leikkauksessa,Robotin käyttö leikkauksessa,Robotassisterad operation,7947
R4110,Fysioterapia,Fysioterapia,Fysioterapi,7919
UGC12,"Keuhkoputkitähystys,taipuisa tähystin",Keuhkoputkien tähystys taipuisalla tähystimellä,Bronkoskopi med flexibla instrument,7912
H0468,,,,7749
ND2AA,Käden rtg,Käden tai sormien röntgen,"Hand eller fingrar, röntgen",7615
PJA12,Merkityn vartijasolmukeen poisto,Merkityn vartijasolmukkeen poisto,Excision av märkt sentinel lymfkörtel,7546
TPH04,Laskimon kanylointi,Laskimon kanylointi,Kanylering av ven,7201
ND1AA,Ranteen rtg,Ranteen röntgen,"Handled, röntgen",7081
WB103,Prim.kasv yks liit. sytost.hoito,Primaarikasvaimen yksinkertainen solusalpaajahoito liitännäishoitona,Enkel adjuvant behandling av primärtumör med cellhämmare,6936
WX306,Epiduraalipuudutus lannerangan tasolla,Epiduraalipuudutus lannerangan tasolla,Lumbal epiduralanestesi,6911
XF600,Verenpaineen mittaus,Verenpaineen mittaus,Blodtrycksmätning,6823
TNX10,Nivelpisto,Nivelpisto,Ledpunktion,6752
TPH20,Keskuslaskimokatetri solis/ylär/päälaski,Keskuslaskimokatetrin asettaminen solislaskimon tai vena brachiocephalikuksen kautta,Inläggande av CVK via vena subclavia eller brachiocephalica,6655
KH1AE,Virtsaelinten UÄ,Virtsaelinten ultraäänitutkimus,"Njurar och urinvägar, UL",6573
NH3AA,Jalkaterän rtg,Jalkaterän tai varpaiden röntgen,"Fot eller tår, röntgen",6516
WX402,Yleisanestesia,Yleisanestesia,Generell anestesi,6469
WF099,Muu sädehoito,Muu sädehoito,Annan strålbehandling,6410
UDC00,Otomikroskopia,Korvan mikroskopia,Otomikroskopi,6320
1246,,,,6274
NH1AA,Nilkan rtg,Nilkan röntgen,"Fotled, röntgen",6214
RS220,,,,6193
WD305,Laaj lev kasv yks biovas.hoito,Laajalle levinneen kasvaimen yksinkertainen hoito biovasteenmuuntajilla sisältäen bifosfonaatti- ja muut  luustolääkkeet,Enkel behandling av vitt spridd tumör med biomodulatorer innehållande bifosfonat- och andra skelettläkemedel,6164
NK4XE,Nivelen muu UÄ,Nivelen muu ultraäänitutkimus,"Led, övrig UL",6102
QX2XE,Pehmytosan muu UÄ,Pehmytosan muu ultraäänitutkimus,Annan UL av mjukdelar,6023
GD1DD,Keuhkokudoksen HR-TT,Keuhkokudoksen HR-tietokonetomografiatutkimus,"Lungor, högresolutions-DT",6021
NEA10,Neulakudosnäytteen otto lantion alueelta,"Neulakudosnäyte, lantion alue",Nålbiopsi från bäckenregionen,5997
NK6QA,Luun tiheysmitt 2 k,"Luun laaja tiheysmittausröntgen, DXA (kaksi kohdetta)","Bentäthetsmätning med röntgen, omfattande (två mätpunkter)",5987
H0900,,,,5849
ZXM10,Läpivalaisun käyttö leikkauksen aikana,Läpivalaisun käyttö leikkauksen aikana,Användande av konventionell röntgen under operation,5830
JN3CD,Vatsan natiivi- ja varjoaine-TT,Vatsan erittäin laaja tietokonetomografiatutkimus,"Buk, mycket omfattande DT",5671
RS222,,,,5647
XX9DW,,,,5626
WXQ27,"UVB-valohoito, kapeakaistainen","UVB-valohoito, kapeakaistainen (311-313 nm)","Ljusbehandling, smal spektrum UVB",5420
TAB00,"Lannepisto, lumbaalipunktio",Lannepisto (lumbaalipunktio),Lumbalpunktion,5357
WB203,Prim.kasv yks horm.liit.hoit,Primaarikasvaimen yksinkertainen hormonihoito liitännäishoitona,Enkel adjuvant behandling av primärtumör med hormoner,5299
WB113,Prim.kasv liit. monisytost.hoito,Primaarikasvaimen monisolusalpaajahoito liitännäishoitona,Multipel adjuvant behandling av primärtumör med cellhämmare,5252
JN4AD,Vartalon TT,Vartalon tietokonetomografiatutkimus,"Kropp,  DT",5243
F000,,,,5196
WX204,Axillaarinen olkapunoksen puudutus,Axillaarinen olkapunoksen puudutus,Axillär plexusblockad,5176
RS121,,,,5126
QXB99,"Muu ihohaavan hoitotoimenpide, paikkaa e","Muu ihohaavan hoitotoimenpide, paikkaa ei määritelty","Annan åtgärd för sårbehandling i huden, ospecificerad hudregion",5103
F309,,,,5077
ZZA00,"Iho,  split skin , omakudos, autografti","Iho,  split skin , omakudos, autografti",Fritt autologt delhudstransplantat,5069
AA1BD,Pään laaja TT,Pään laaja tietokonetomografiatutkimus,"Skalle och hjärna, omfattande DT",5014
H0139,,,,4949
FN1BC,Sydämen laaja angio,Sydämen ja/tai sepelvaltimoiden laaja varjoainetutkimus,"Angiografi av hjärta och/eller koronarkärl, omfattande",4866
AA1DG,Pään er.l.VKMT,Pään erittäin laaja magneettitutkimus,"Skalle och hjärna, mycket omfattande MR",4864
H0569,,,,4849
AA1CD,Pään erittäin laaja TT,Pään erittäin laaja tietokonetomografiatutkimus,"Skalle och hjärna, mycket omfattande DT",4835
QAA25,Pään tai kaulan ihomuutoksen paikallinen käsittely,Pään tai kaulan ihomuutoksen paikallinen käsittely,Behandling av lokal hudförändring i huvud-halsregionen,4774
H0110,,,,4720
NJ2MA,Alar.mek. akselimitt,Alaraajan mekaanisen akselin mittausröntgen,"Mätning av benens mekaniska axel, röntgen",4711
FM1DE,Sydämen Doppler,Sydämen doppler-UÄ,"Hjärta, UL med dopplerteknik",4635
WB123,Prim.kasv vaat liit sytos.hoito,Primaarikasvaimen vaativa solusalpaajahoito liitännäishoitona,Krävande adjuvant behandling av primärtumör med cellhämmare,4623
WD515,Laaj lev kasv vaat ent-inhib tms hoito,Laajalle levinneen kasvaimen vaativa entsyymi-inhibiittori- ja vastaava hoito,Krävande behandling av metastaserad tumör med entsym inhibitor eller motsvarande,4621
LAF11,Molempien tuubien+ovarioiden poisto LAP,Molempien munanjohtimien ja munasarjojen poisto vatsaontelon tähystyksessä,Laparoskopisk bilateral salpingo-ooforektomi,4538
MA2DE,"Sikiö,vaativa. UÄ",Sikiön yksityiskohtainen vaativa ultraäänitutkimus erikoistekniikoin,"Foster, detaljerad grävande UL med specialtekniker",4499
F310,,,,4486
LC2AE,Kohdun UÄ,Kohdun ja sivuelinten ultraäänitutkimus,"Livmoder och parametrier, UL",4464
JN4KR,Koko kehon metab er laaja PET-TT,Koko kehon aineenvaihdunnan erittäin laaja PET-tietokonetomografiatutkimus,Hela kroppen mycket omfattande metabolisk PET med DT,4380
TFP20,Sydämen rytminsiirto,Sydämen rytminsiirto,Cardioversion av hjärtat,4309
LCA06,Koepalan otto kohdun limakalvosta,Koepalan otto kohdun limakalvosta,Biopsi av endometriet,4299
H0943,,,,4291
H0577,,,,4223
ZX121,Keskuslaskimokatetriin,Keskuslaskimokatetriin,Central venkateter,4139
NG1DA,Polvien rtg,Polvien röntgen,"Knä, bilateral röntgen",4126
AA1CM,Pään laaja 3 Teslan MT,Pään laaja 3 Teslan MT,"Skalle och hjärna, omfattande MR (över 1,5T)",4122
LAF10,Molempien tuubien+ovarioiden poisto,Molempien munanjohtimien ja munasarjojen poisto,Öppen bilateral salpingo-ooforektomi,4103
F220,,,,4012
NA2AA,Rintarangan rtg,Rintarangan röntgen,"Bröstrygg, röntgen",3997
RS120,,,,3997
XF404,EKG:n pitkäaikaisrekisteröinti,EKG:n pitkäaikaisrekisteröinti,Ambulatorisk EKG,3995
PJD52,Laaja imusolmukepoisto kainalosta,Imusolmukkeiden radikaalinen poisto kainalosta,Radikal utrymning av axillära lymfkörtlar,3985
XX2VW,Radiologin konsultaatio,Radiologin konsultaatio,Radiologisk konsultation,3959
H0451,,,,3934
NF3AA,Reiden rtg,Reiden röntgen,"Lår, röntgen",3891
QBE10,Vart iho/subcutis muutoksen poisto,Vartalon ihon tai ihonalaiskudoksen paikallisen muutoksen poisto koko ihon paksuudelta,Excision av kutan/subkutan förändring från all skikter av hud på bålen,3884
YX9AD,Annosuunn. muu TT,Annossuunnittelun muu TT,Annan DT för dosplanering,3871
H0901,,,,3849
FN1AC,Sepelvaltimoiden angiografia,Sepelvaltimoiden varjoainetutkimus,Angiografi av koronarkärl,3807
H0631,,,,3803
ZXC15,Fotodyn. menetelmäkäyttö (PDT),Fotodynaamisen menetelmän käyttö (PDT),Användande av fotodynamisk teknik,3777
XLD00,Gynekologinen irtosolunäytteen otto,Gynekologinen irtosolunäytteen otto,Gynekologisk cellprovtagning,3706
H0941,,,,3645
DM1AA,NSO-rtg,Nenän sivuonteloiden röntgen,"Näsans bihålor, röntgen",3642
H0320,,,,3609
RS230,,,,3602
FN1YT,"Stent.as.sepelv,kat",Sepelvaltimon suonensisäinen stenttaus,Kranskärlsdilatation med stent,3569
NG4AA,Säären rtg,Säären röntgen,"Underben, röntgen",3565
XJH00,Ultraäänitutkimus peräaukon kautta,Ultraäänitutkimus peräaukon kautta,Transanal ultraljudsundersökning,3562
YG1BD,Rintakehän laaja annossuunnittelu-TT,Rintakehän laaja annossuunnittelu-TT,Toraxregionens  omfattande DT för dosplanering,3544
K123,,,,3521
K250,,,,3496
DM1QA,Kuutamokuva,"Nenän sivuonteloiden röntgen, yksi suunta (esim. kuutamokuva)","Näsans bihålor, röntgen (t.ex.frontalbild i PA-projektion)",3492
ZX108,Inhalaatio,Inhalaatio,Inhalation,3491
ZZR00,Iho-subkutiskieleke,Iho-subkutiskieleke,Hud-subcutis-lambå,3490
WX140,Silmämunanvieruspuudutus,Silmämunan vieruspuudutus,Parabulbärbedövning,3452
EN1BD,Suun ja kaulan pehmytosien laaja TT,Suun ja kaulan pehmytosien laaja tietokonetomografiatutkimus,"Munhåla och hals, omfattande DT",3434
UDQ12,Nenän ja kurkunpään tähystys,Nenän ja kurkunpään tähystys,Rinoskopi med laryngoskopi,3420
XW000,Luuydinnäytteenotto,Luuydinnäytteenotto,Benmärgsprovtagning,3416
NA3BG,Lannerangan VKMT,Lannerangan magneettitutkimus,"Ländrygg, MR",3397
WX105,Pintapuudutus iholle tai limakalvolle,Pintapuudutus iholle tai limakalvolle,Ytanestesi (hud eller slemhinnor),3396
ZX050,Stereotaktinen sädehoito,Stereotaktinen sädehoito,Steretaktisk strålbehandling,3388
XX9EW,,,,3357
F100,,,,3303
GD5BD,Rintakehän laaja TT,Thoraxin ja ylävatsan laaja tietokonetomografiatutkimus,"Torax och övre delen av buken, omfattande DT",3300
NA1AA,Kaularangan rtg,Kaularangan röntgen,"Halsrygg, röntgen",3294
WX1DG,Kokokehon erittäin laaja VKMT,Koko kehon erittäin laaja magneettitutkimus,"Hela kroppen, mycket omfattande MR",3246
WX702,Supraglott hengitysvarmistusväline,Supraglottinen hengitystien varmistusväline,Supraglottisk ventilation apparat,3246
ULA02,Emättimen tähystys,"Kohdunkaulan, emättimen ja ulkosynnyttimien tähystys mikroskoopilla (kolposkopia)",Kolposkopi,3237
AA1BG,Pään VKMT,Pään magneettitutkimus,"Skalle och hjärna, MR",3233
H0077,,,,3220
K2,,,,3217
KC1EE,Jäännösvirtsan UÄ,Jäännösvirtsan määritys ultraäänitutkimuksella,Residualurinets mätning med UL,3215
KH1FT,"Kat.vaihto,virtsatie",Virtsatiekatetrin vaihto radiologisessa ohjauksessa,Radiologiskt styrt kateterbyte,3197
WB133,Prim.kasv er vaat sytosh liit.hoit,Primaarikasvaimen erittäin vaativa solusalpaajahoito liitännäishoitona,Mycket krävande adjuvant behandling av primärtumör med cellhämmare,3184
K220,,,,3181
SAA02,Suun perustutkimus,Suun perustutkimus,Grundundersökning av munnen,3165
WX720,Oma hengitys,Oma hengitys,Spontan andning,3158
EB1JA,Kaksois-OPG,Hampaiston ja leuan kaksoispanoraamatomografia tai muu vaativa rakokuvaus,Dubbel ortopantomografi eller annan krävande spaltröntgen av käkar och tänder,3157
H0146,,,,3108
FM1BE,"Sydän,transesofag.UÄ",Sydämen ultraäänitutkimus ruokatorven kautta (transesofageaalinen ultraäänitutkimus),"Hjärta, UL med transesofagealteknik",3085
1302,,,,3074
AA400,Sähköshokki psyyk sairauden hoitona,Sähköshokki psyykkisen sairauden hoitona,Elektrokonvulsiv terapi (ECT),3073
YL1BD,Lantion laaja annossuunnittelu-TT,Lantion laaja annossuunnittelu-TT,Bäckenets omfattande DT för dosplanering,3066
PJD64,Laaja imusolmukepoisto iliaka-alue LAP,Imusolmukkeiden radikaalinen poisto tähystyksessä lonkkavaltimoiden ympäriltä,Laparoskopisk radikal utrymning av iliakala lymkörtlar,3050
HA1AT,"Rintar.kudosn,UÄ-ohj",Rintarauhasen kudosnäytteen otto UÄ-ohjauksessa,"Bröstkörtel, UL-styrd vävnadsbiopsi",3035
H0144,,,,3034
UDH02,Nenän ja nenänielun tähystys,Nenän ja nenänielun tähystys,Rinofaryngoskopi,3018
JN3AD,Vatsan TT,Vatsan tietokonetomografiatutkimus,"Buk, DT",3010
YX9BD,Annossuunnittelun muu laaja TT,Annossuunnittelun muu laaja TT,Annan omfattande DT för dosplanering,2972
ZX013,Sädeh muot laajakentillä - SSD,Sädehoito muotoilluilla laajakentillä - SSD hoito,Strålbehandling med formulerade utsträckta fält - SSD behandling,2951
H0951,,,,2946
NH3BA,Jalkaterän ja varpaiden laaja natiivirön,Jalkaterän tai varpaiden laaja röntgen,"Fot eller tår, omfattande röntgen",2944
JEA00,Umpilisäkkeen poisto,Umpilisäkkeen poisto,Öppen appendektomi,2918
YG1AD,"Thorax,annos-TT",Rintakehän annossuunnittelu-TT,Toraxregionens  DT för dosplanering,2914
H0069,,,,2905
H0499,,,,2887
WB401,Primaarikasvaimen yksinkertainen vasta-ainehoito,Primaarikasvaimen yksinkertainen vasta-ainehoito,Enkel antikroppsbehandling av primärtumör,2887
NC1AA,Kyynärnivelen rtg,Kyynärnivelen röntgen,"Armbågsled, röntgen",2820
H0059,,,,2803
RP125,,,,2775
NB6AA,Olkavarren rtg,Olkavarren röntgen,"Överarmsben, röntgen",2773
H0114,,,,2763
XW1AT,"Pinn.el,solunäyte,UÄ",Muun pinnallisen elimen solunäytteen otto UÄ-ohjauksessa,"Annan ytligt belägen organ, UL-styrd finnålsbiopsi",2741
FN1BT,"Sepelvalt. PTA,laaja",Sepelvaltimon laaja suonensisäinen laajennushoito (PTCA),"Kranskärl intravaskulär angioplastik (PTCA) , omfattande",2696
WB121,Prim.kasv leik/sädeh ed vaat sytos.hoito,Primaarikasvaimen leikkausta tai sädehoitoa edeltävä vaativa solusalpaajahoito,Krävande behandling av primärtumör med cellhämmare före operation eller strålbehandling,2691
KDE20,Vierasesineen poisto virtsaputkesta,Vierasesineen poisto virtsaputkesta,Avlägsnande av främmande kropp från uretra (öppen operation),2669
WX290,Muu johtopuudutus,Muu johtopuudutus,Annan ledningsanestesi,2667
KCW96,Muu virtsarakon toimenpide,Muu virtsarakon toimenpide,Annan öppen operation på urinblåsan,2609
H0904,,,,2604
S2900,,,,2588
TPX10,Pysyvän injektioreitin asettaminen,Pysyvän injektioreitin asettaminen,Applikation av permanent injektions-/infusionsport,2563
JFA15,Polyypin poisto paksusuolesta tähystykse,Polyypin poisto paksusuolesta tähystyksessä,Endoskopisk polypektomi ur kolon,2559
H0102,,,,2550
KA1AE,Munuaisten UÄ,Munuaisten ultraäänitutkimus,"Njurar, UL",2547
KEB00,Koepalan otto eturauhasesta,Koepalan otto eturauhasesta,Biopsi av prostata,2542
KH1BT,"Virtsatiedren,lpv-oh",Virtsateiden kanavointi LPV-ohjauksessa,"Urinvägsdränage, genomlysningsstyrt",2539
ZX120,Laskimoon,Laskimoon,Intravenös,2536
K412,,,,2529
KF8AE,Kivespussin UÄ,Kivespussin ultraäänitutkimus,"Skrotum, UL",2521
TKW99,Muu virtsatie/miessukuelinpientmp,Muu virsateiden ja miehen sukuelinten pientoimenpide,Annan mindre operation på urinvägar och manliga genitalia,2519
CJB10,Jälkikaihin laserkapsulotomia,"Jälkikaihin avaus laserilla, laserkapsulotomia","Laserdiscission av sekundär katarakt eller membran, kapsulotomi",2514
NH3EA,Jalkater.ras.tutk.,Jalkaterien kuormitusröntgen,Fötter röntgen med belastning,2498
SCA01,"Ehkäisevä suun terveydenhoito, suppea","Ehkäisevä suun terveydenhoito, suppea",Preventiv munnens hälsovård i samband med samma vårdbesök,2475
YL1AD,"Lantio,annos-TT",Lantion annossuunnittelu-TT,Bäckenets DT för dosplanering,2467
JF1AB,Ohutsuolipasaasi,Ohutsuolen varjoainetutkimus (pasaasi),"Tunntarmen (passage), kontrastundersökning",2465
ZXE30,Toimenpiteen kesto vähintään 5 mutta alle 7 tuntia,Toimenpiteen kesto vähintään 5 mutta alle 7 tuntia,"Vårdkontakt minst 5 h, men under 7 h",2461
NB1AE,Olkanivelen UÄ,Olkanivelen ultraäänitutkimus,"Axelled, UL",2428
JAL30,Vatsapaidan poisto,Vatsapaidan poisto,Omentexstirpation,2425
NB1BA,"Olkanivel-rtg, laaja",Olkanivelen laaja röntgen,"Axelled, omfattande röntgen",2414
HA1DG,Rintarauh. er.l.VKMT,Rintarauhasten erittäin laaja magneettitutkimus,"Bröstkörtlar, mycket omfattande MR",2411
H0009,,,,2407
H1201,,,,2398
H0567,,,,2383
F933,,,,2374
NG2CA,Polvil.eritproj-rtg,Polvilumpioiden röntgen erityisprojektiolla,"Knä, special projektion röntgen",2365
ND2BA,Käden ja sormien laaja natiiviröntgen,Käden tai sormien laaja röntgen,"Hand elle fingrar, omfattande röntgen",2363
JDB10,Mahalaukkuavanteen teko iholta käsin,Mahalaukkuavanteen teko iholta käsin,Perkutan gastrostomi,2348
K320,,,,2343
