concept_id,concept_code,concept_name,tmp_name_fi,freq_tays,freq_finngen,freq_total
255,A32.1+G05.0,"Encephalitis, myelitis or encephalomyelitis (in) listerial",Listerioosiin liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
258,A32.8+I39.8,Listerial endocarditis+,Listerian aiheuttama sydämen sisäkalvon tulehdus,0,0,0
259,A32.8+I68.1,Listerial cerebral arteritis,Listerian aiheuttama aivovaltimotulehdus,0,0,0
270,A36.8+G63.0,Diphtheritic polyneuritis+,Kurkkumädän aiheuttama monihermotulehdus,0,0,0
271,A36.8+H13.1,Diphtheritic conjunctivitis+,Kurkkumädän aiheuttama sidekalvotulehdus,0,0,0
272,A36.8+I41.0,Diphtheritic myocarditis+,Kurkkumädän aiheuttama sydänlihastulehdus,0,0,0
273,A36.8+I43.0,Cardiomyopathy in diphtheria,Kurkkumädän sydänlihassairaus,0,0,0
274,A36.8+N16.0,Renal tubulo-interstitial disorders (due to)(in) diphtheria,Kurkkumätään liittyvä tubulointerstitiaalinen munuaissairaus,0,0,0
281,A37.9+J17.0,Pneumonia (due to)(in) whooping cough,Hinkuyskään liittyvä keuhkokuume,0,9,0
283,A38+H67.0,Otitis media in scarlet fever,Tulirokko ja välikorvan tulehdus,0,0,0
286,A39.0+G01,Meningococcal meningitis,Meningokokin aiheuttama aivokalvotulehdus,0,0,0
288,A39.1+E35.1,Waterhouse-Friderichsen syndrome (meningococcal),Waterhouse-Friderichsenin oireyhtymä,0,0,0
293,A39.5+I32.0,Meningococcal pericarditis,Meningokokin aiheuttama sydänpussin tulehdus,0,0,0
294,A39.5+I39.8,Meningococcal endocarditis,Meningokokin aiheuttama sydämen sisäkalvon tulehdus,0,0,0
295,A39.5+I41.0,Meningococcal myocarditis,Meningokokin aiheuttama sydänlihaksen tulehdus,0,0,0
296,A39.5+I52.0,Meningococcal carditis NOS,Tarkemmin määrittämätön meningokokin aiheuttama sydäntulehdus,0,0,0
298,A39.8+G05.0,"Encephalitis, myelitis or encephalomyelitis (in) meningococcal",Meningokokkisairauteen liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
299,A39.8+H13.1,Meningococcal conjunctivitis+,Meningokokin aiheuttama sidekalvotulehdus,0,0,0
300,A39.8+H48.1,Meningococcal retrobulbar neuritis+,Meningokokin aiheuttama silmämunantakainen näköhermotulehdus,0,0,0
301,A39.8+M01.0,Meningococcal arthritis,Meningokokin aiheuttama niveltulehdus,0,0,0
302,A39.8+M03.0,Postmeningococcal arthritis,Meningokokkitulehduksen jälkeinen niveltulehdus,0,0,0
311,A40.9+N08.0,Streptococcal septicemia and glomerular disease,Streptokokkiseptikemia ja munuaiskerässairaus,0,0,0
321,A41.9+N08.0,Septicemia of unspecified bacteria and glomerulonephritis,Määrittämättömän bakteerin septikemia ja munuaiskerässairaus,0,37,0
324,A42.0+J17.0,Pneumonia (due to)(in) actinomycosis,Aktinomykoosiin liittyvä keuhkokuume,0,0,0
332,A43.0+J17.0,Pneumonia (due to)(in) nocardiosis,Nokardioosiin liittyvä keuhkokuume,0,0,0
342,A46+H62.0,Otitis externa in erysipelas,Ulkokorvan ruusu (erysipelas),0,599,0
359,A50.0+H58.8,Syphilitic oculopathy NEC congenital: early,Muualla luokittamaton synnynnäisen kupan varhaisvaiheen silmäsairaus,0,0,0
360,A50.0+J99.8,Early congenital syphilitic respiratory disease,Varhaisen synnynnäisen kupan aiheuttama hengitysteiden sairaus,0,0,0
361,A50.0+K67.2,Early congenital syphilis visceral,Varhainen synnynnäinen sisäelinkuppa,0,0,0
362,A50.0+L99.8,Early congenital syphilis cutaneous,Varhainen synnynnäinen ihokuppa,0,0,0
363,A50.0+M90.2,Early congenital syphilitic pharyngitis,Varhaisen synnynnäisen kupan aiheuttama luu-rustosairaus,0,0,0
367,A50.3+H19.2,Keratitis and keratoconjunctivitis (interstitial) in syphilis,Kupan aiheuttama sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,0,0,0
368,A50.3+H58.8,Late congenital syphilitic oculopathy NEC+,Muualla luokittamaton myöhäisen synnynnäisen kupan aiheuttama silmäsairaus,0,0,0
370,A50.4+G01,Late congenital syphilitic meningitis+,Myöhäinen synnynnäisen kupan aiheuttama aivokalvotulehdus,0,0,0
371,A50.4+G05.0,"Encephalitis, myelitis or encephalomyelitis (in) syphilis: congenital",Synnynnäiseen kuppaan liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
372,A50.4+G63.0,Late congenital syphilitic polyneuropathy+,Myöhäisen synnynnäisen kupan aiheuttama monihermosairaus,0,0,0
379,A50.59+I98.0,Late congenital cardiovascular syphilis+,Myöhäisen synnynnäisen kupan sydän-verisuonisairaus,0,0,0
380,A50.59+M03.1,Clutton's joints+,Myöhäisen synnynnäisen kupan nivelsairaus,0,0,0
381,A50.59+M90.2,Late congenital syphilitic: osteochondropathy+,Myöhäisen synnynnäisen kupan aiheuttama luu-rustosairaus,0,0,0
390,A51.3+L99.8,Late congenital leukoderma or alopecia,Varhaisen kupan aiheuttama leukoderma tai kaljuus,0,18,0
392,A51.4+G01,Secondary syphilitic meningitis+,Sekundaarisen kupan aiheuttama aivokalvotulehdus,0,0,0
393,A51.4+H22.0,Secondary syphilitic iridocyclitis+,Sekundaarisen kupan aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
394,A51.4+H58.8,Secondary syphilitic oculopathy NEC+,Muualla luokittamaton sekundaarisen kupan aiheuttama silmäsairaus,0,0,0
395,A51.4+M63.0,Secondary syphilitic myositis+,Sekundaarisen kupan aiheuttama lihastulehdus,0,0,0
396,A51.4+M90.1,Secondary syphilitic periostitis+,Sekundaarisen kupan aiheuttama luukalvotulehdus,0,0,0
397,A51.4+N74.2,Secondary syphilitic female pelvic inflammatory disease+,Sekundaarisen kupan aiheuttama sisäsynnyttimien tulehdus,0,0,0
402,A52.0+I32.0,Syphilitic pericarditis,Kupan aiheuttama sydänpussitulehdus,0,0,0
403,A52.0+I39.1,Syphilitic aortic incompetence,Kupan aiheuttama aorttaläpän vuoto,0,0,0
404,A52.0+I39.3,Syphilitic pulmonary regurgitation,Kupan aiheuttama keuhkovaltimoläpän vuoto,0,0,0
405,A52.0+I39.8,Syphilitic endocarditis NOS,Tarkemmin määrittämätön kupan aiheuttama sydämen sisäkalvon tulehdus,0,0,0
406,A52.0+I41.0,Syphilitic myocarditis,Kupan aiheuttama sydänlihastulehdus,0,0,0
407,A52.0+I68.1,"Syphilitic arteritis, cerebral",Kupan aiheuttama aivovaltimotulehdus,0,0,0
408,A52.0+I79.0,Syphilitic aneurysm of aorta,Kupan aiheuttama aortta-aneurysma,0,0,0
409,A52.0+I79.1,Syphilitic aortitis,Kupan aiheuttama aorttatulehdus,0,0,0
410,A52.0+I98.0,Cardiovascular syphilis NOS,Tarkemmin määrittämätön sydän-verisuonikuppa,0,0,0
412,A52.1+F02.89,Nervous system dementia,Hermostokuppaan liittyvä dementia,0,0,0
413,A52.1+G01,Late syphilitic meningitis+,Myöhäiskupan aiheuttama aivokalvotulehdus,0,0,0
414,A52.1+G05.0,Late syphilitic encephalitis+,Myöhäiskupan aiheuttama aivotulehdus,0,0,0
415,A52.1+G22,Syphilitic parkinsonism+,Kupan aiheuttama parkinsonismi,0,0,0
416,A52.1+G63.0,Late syphilitic polyneuropathy,Myöhäiskuppaan liittyvä monihermosairaus,0,0,0
417,A52.1+H48.0,Late syphilitic optic atrophy+,Myöhäiskuppaan liittyvä näköhermon surkastuminen,0,0,0
418,A52.1+H48.1,Late syphilitic retrobulbar neuritis+,Myöhäiskuppaan liittyvä näköhermon tulehdus,0,0,0
419,A52.1+H58.0,"Argyll Robertson phenomenon or pupil, syphilitic",Kuppaan liittyvä Argyll Robertsonin mustuainen,0,0,0
420,A52.1+H94.0,Late syphilitic acoustic neuritis+,Myöhäiskuppaan liittyvä kuulohermotulehdus,0,0,0
421,A52.1+M14.6,Charcot's or tabetic arthropathy,Tabeettinen nivelsairaus (Charcot),0,0,0
422,A52.1+M49.4,Neuropathic spondylopathy in tabes dorsalis,Tabes dorsaliksesta johtuva nikamasairaus,0,0,0
432,A52.79+H19.0,Late syphilitic episcleritis+,Myöhäiskupan aiheuttama episkleriitti,0,0,0
433,A52.79+H32.0,Late syphilitic chorioretinitis+,Myöhäiskupan aiheuttama suoni- ja verkkokalvon tulehdus,0,0,0
434,A52.79+H58.8,Late syphilitic oculopathy NEC+,Muualla luokittamaton myöhäiskupan aiheuttama silmäsairaus,0,0,0
435,A52.79+J99.8,Syphilis [stage unspecified] of lung+,Kuppaan liittyvä hengityselinsairaus,0,0,0
437,A52.79+K77.0,Syphilitic liver disease,Kupan aiheuttama maksasairaus,0,0,0
438,A52.79+L99.8,Late syphilitic leukoderma+,Myöhäisen kupan aiheuttama leukoderma,0,0,0
439,A52.79+M63.0,Syphilis [stage unspecified] of muscle+,Myöhäiskupan aiheuttama lihassairaus,0,0,0
440,A52.79+M68.0,Synovitis or tenosynovitis in syphilis,Kuppaan liittyvä nivelkalvotulehdus/jännetuppitulehdus,0,0,0
441,A52.79+M73.1,Syphilitic bursitis,Myöhäiskupan aiheuttama limapussitulehdus,0,0,0
442,A52.79+M90.2,Syphilis [stage unspecified] of bone+,Luukuppa,0,0,0
443,A52.79+N08.0,Glomerular disease in syphilis+,Kuppaan liittyvä munuaiskerässairaus,0,0,0
444,A52.79+N29.0,Late syphilis of kidney,Munuaisen myöhäiskuppa,0,0,0
445,A52.79+N74.2,Late syphilitic female pelvic inflammatory disease+,Myöhäiskupan aiheuttama sisäsynnyttimien tulehdus,0,0,0
455,A54.2+N51.0,Gonococcal prostatitis,Gonokokin aiheuttama eturauhastulehdus,0,0,0
456,A54.2+N51.1,Gonococcal epididymitis,Gonokokin aiheuttama lisäkivestulehdus,0,0,0
457,A54.2+N74.3,Female gonococcal pelvic inflammatory disease,Gonokokin aiheuttama sisäsynnyttimien tulehdussairaus,0,0,0
459,A54.3+H13.1,Gonococcal conjunctivitis+,Gonokokin aiheuttama sidekalvotulehdus,0,0,0
460,A54.3+H22.0,Gonococcal iridocyclitis+,Gonokokin aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
462,A54.4+M01.3,Gonococcal arthritis,Gonokokin aiheuttama niveltulehdus,0,0,0
463,A54.4+M68.0,Synovitis or tenosynovitis in gonorrhoea,Tippuriin liittyvä nivelkalvotulehdus/jännetuppitulehdus,0,0,0
464,A54.4+M73.0,Gonococcal bursitis,Gonokokin aiheuttama limapussitulehdus,0,0,0
465,A54.4+M90.2,Gonococcal osteomyelitis,Gonokokin aiheuttama luuydintulehdus,0,0,0
469,A54.8+G01,Gonococcal meningitis+,Gonokokin aiheuttama aivokalvotulehdus,0,0,0
470,A54.8+G07,Gonococcal brain abscess+,Gonokokin aiheuttama aivopaise,0,0,0
471,A54.8+I32.0,Gonococcal pericarditis+,Gonokokin aiheuttama sydänpussitulehdus,0,0,0
472,A54.8+I39.8,Gonococcal endocarditis+,Gonokokin aiheuttama sydämen sisäkalvon tulehdus,0,0,0
473,A54.8+I41.0,Gonococcal myocarditis+,Gonokokin aiheuttama sydänlihastulehdus,0,0,0
474,A54.8+J17.0,Gonococcal pneumonia+,Gonokokin aiheuttama keuhkokuume,0,0,0
481,A56.1+N51.0,Chlamydia-induced prostatitis,Klamydian aiheuttama eturauhastulehdus,0,0,0
482,A56.1+N51.1,Chlamydial epididymitis,Klamydian aiheuttama lisäkivestulehdus,0,0,0
483,A56.1+N74.4,Female chlamydial pelvic inflammatory disease,Klamydian aiheuttama sisäsynnyttimien tulehdus,0,0,0
492,A59.0+N51.0,Prostatitis trichomonal,Trichomonas vaginalis -alkueläimen aiheuttama eturauhastulehdus,0,0,0
497,A60.0+N51.8,Male genital herpes virus infection,Miehen sukupuolielinten herpesvirusinfektio,0,38,0
498,A60.0+N77.0,Ulceration of vulva in herpesviral [herpes simplex] infection,Herpesvirusinfektioon (herpes simplex) liittyvä ulkosynnyttimien haavauma,0,38,0
499,A60.0+N77.1,"Vaginitis, vulvitis and vulvovaginitis in herpesviral [herpes simplex] infection",Herpesvirusinfektioon (herpes simplex) liittyvä emättimen ja/tai ulkosynnyttimien tulehdus,0,38,0
518,A66.9+H03.1,Involvement of eyelid in yaws,Silmäluomen vaapukkasyylätauti,0,0,0
523,A67.2+I98.1,Cardiovascular lesions of pinta [carate]+,Pintan [karaten] sydän-verisuonivauriot,0,0,0
536,A69.2+F02.89,Dementia associated with Lyme disease (Lyme disease),Lymen tautiin (borrelioosiin) liittyvä dementia,0,131,0
537,A69.2+G01,Meningitis (in) Lyme disease,Lymen borrelioosiin liittyvä aivokalvotulehdus,0,131,0
538,A69.2+G63.0,Polyneuropathy (in) Lyme disease,Lymen borrelioosiin liittyvä monihermosairaus,0,131,0
539,A69.2+H13.1,Conjunctivitis associated with Lyme borreliosis,Lymen borrelioosiin liittyvä sidekalvotulehdus,0,131,0
540,A69.2+H19.0,Hard tissue superficial inflammation associated with Lyme borreliosis,Lymen borrelioosiin liittyvä kovakalvon pintakudostulehdus,0,131,0
541,A69.2+H19.2,Corneal inflammation associated with Lyme borreliosis or inflammation of the cornea and conjunctiva,Lymen borrelioosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,0,131,0
542,A69.2+H22.0,Inflammation of the iris and radius caused by Borrelia (Lyme borreliosis),Borrelian (Lymen borrelioosin) aiheuttama värikalvon ja sädekehän tulehdus,0,131,0
543,A69.2+H32.0,Vascular and retinal inflammation associated with Lyme borreliosis,Lymen borrelioosiin liittyvä suoni- ja verkkokalvotulehdus,0,131,0
544,A69.2+H48.1,Inflammation of the posterior part of the optic nerve associated with Lyme borreliosis,Lymen borrelioosiin liittyvä näköhermon silmäntakaisen osan tulehdus,0,131,0
545,A69.2+H58.8,Eye disease associated with Lyme borreliosis,Lymen borrelioosiin liittyvä silmäsairaus,0,131,0
548,A69.8+J17.8,"Pneumonia (in) spirochaetal, not elsewhere classified",Muualla luokittamattomaan spirokeettainfektioon liittyvä keuhkokuume,0,0,0
551,A70+J17.8,Pneumonia (in) ornithosis,Papukaijatautiin liittyvä keuhkokuume,0,0,0
558,A74.0+H13.1,Chlamydial conjunctivitis,Klamydian aiheuttama sidekalvotulehdus,0,0,0
560,A74.8+H22.0,Chlamydia-induced inflammation of the iris and radius,Klamydian aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
577,A78+J17.8,Pneumonia (in) Q fever,Q-kuumeeseen liittyvä keuhkokuume,0,0,0
592,A81.0+F02.19,Dementia associated with Creutzfeldt-Jakob disease is not known for comorbid symptoms,Creutzfeldt-Jakobin tautiin liittyvä dementia ei tietoa liitännäisoireista,0,0,0
618,A85.0+G05.1,"Encephalitis, myelitis or encephalomyelitis (in) enteroviral",Enterovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
620,A85.1+G05.1,"Encephalitis, myelitis or encephalomyelitis (in) adenoviral",Adenovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
626,A87.0+G02.0,Enteroviral meningitis,Enteroviruksen aiheuttama aivokalvotulehdus,0,0,0
628,A87.1+G02.0,Adenoviral meningitis,Adenoviruksen aiheuttama aivokalvotulehdus,0,0,0
642,A92.1+M01.5,Arthritis in O'nyong-nyong fever,O'nyong-nyong-kuumeeseen liittyvä nivelinfektio,0,0,0
684,B00.19+H62.1,Otitis externa in herpesviral [herpes simplex] infection,Herpesvirusinfektioon (herpes simplex) liittyvä ulkokorvatulehdus,0,0,0
686,B00.3+G02.0,Herpesviral meningitis,Herpesviruksen aiheuttama aivokalvotulehdus,0,0,0
688,B00.4+G05.1,Herpesviral meningoencephalitis,Herpesviruksen aiheuttama aivokalvojen ja aivojen tulehdus,0,0,0
690,B00.5+H03.1,Herpesviral dermatitis of eyelid,Herpesviruksen aiheuttama silmäluomi-ihottuma,0,0,0
691,B00.5+H13.1,Herpesviral conjunctivitis,Herpesviruksen aiheuttama sidekalvotulehdus,0,0,0
693,B00.5+H22.0,Herpesviral iridocyclitis,Herpesviruksen aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
696,B00.8+K77.0,Herpesviral hepatitis+,Herpesviruksen aiheuttama maksatulehdus,0,0,0
709,B02.0+G05.1,Zoster encephalitis,Vyöruusuun liittyvä aivotulehdus,0,0,0
711,B02.1+G02.0,Zoster meningitis,Vyöruusuun liittyvä aivokalvotulehdus,0,0,0
714,B02.20+G53.0,Trigeminal neuralgia after shingles,Vyöruusun jälkeinen kolmoishermosärky,0,0,0
716,B02.21+G53.0,Postherpetic geniculate ganglionitis,Vyöruusun jälkeinen muun aivohermon neuralgia,0,0,0
718,B02.29+G63.0,Postherpetic polyneuropathy,Vyöruusun jälkeinen monihermotulehdus,0,0,0
719,G53.0*B02.20,Trigeminal neuralgia after shingles,Vyöruusun jälkeinen kolmoishermosärky,0,0,0
720,G53.0*B02.21,Postherpetic geniculate ganglionitis,Vyöruusun jälkeinen muun aivohermon neuralgia,0,0,0
721,G63.0*B02.29,Postherpetic polyneuropathy,Vyöruusun jälkeinen monihermotulehdus,0,0,0
723,B02.3+H03.1,Zoster blepharitis,Vesirokkoviruksen aiheuttama silmäluomitulehdus,0,0,0
724,B02.3+H13.1,Zoster conjunctivitis,Vesirokkoviruksen aiheuttama sidekalvotulehdus,0,0,0
725,B02.3+H19.0,Zoster scleritis,Vesirokkoviruksen aiheuttama kovakalvotulehdus,0,0,0
726,B02.3+H19.2,Zoster keratitis,Vesirokkoviruksen aiheuttama sarveiskalvon ja sidekalvon tulehdus,0,0,0
727,B02.3+H22.0,Zoster iridocyclitis,Vesirokkoviruksen aiheuttama värikalvon ja sädekehän tulehdus,0,0,0
730,B02.8+H62.1,Otitis externa in zoster,Vyöruusu ja ulkokorvan tulehdus,0,0,0
731,B02.8+I68.1,Shingles and encephalitis,Vyöruusu ja aivovaltimotulehdus,0,0,0
746,B05.8+H19.2,Measles and inflammation of the cornea or cornea and conjunctiva,Tuhkarokko ja sarveiskalvon tai sarveis- ja sidekalvon tulehdus,0,0,0
750,B06.0+G02.0,Rubella meningitis,Vihurirokkoviruksen aiheuttama aivokalvotulehdus,0,0,0
751,B06.0+G05.1,Rubella encephalitis,Vihurirokkoviruksen aiheuttama aivotulehdus,0,0,0
753,B06.8+J17.1,Rubella pneumonia+,Vihurirokkoviruksen aiheuttama keuhkokuume,0,0,0
768,B08.1+H03.1,Involvement of eyelid in molluscum contagiosum,Silmäluomen ontelosyylätauti,0,0,0
797,B19.9+M03.2,Postinfectious arthropathy in viral hepatitis,Virusmaksatulehdusta seuraava nivelsairaus,0,16,0
819,B22.0+F02.49,HIV-related dementia is not known for comorbid symptoms,HIV-tautiin liittyvä dementia ei tietoa liitännäisoireista,0,0,0
837,B25.8+G05.1,"Encephalitis, myelitis or encephalomyelitis (in) cytomegaloviral",Sytomegalovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,0,0,0
841,B26.0+N51.1,Mumps orchitis,Sikotaudin kivestulehdus,0,0,0
843,B26.1+G02.0,Mumps meningitis,Sikotaudin aivokalvotulehdus,0,0,0
845,B26.2+G05.1,Mumps encephalitis,Sikotaudin aivotulehdus,0,0,0
847,B26.3+K87.1,Mumps pancreatitis,Sikotaudin haimatulehdus,0,0,0
849,B26.8+G63.0,Mumps polyneuropathy+,Sikotaudin monihermosairaus,0,0,0
850,B26.8+I41.1,Mumps myocarditis+,Sikotaudin sydänlihastulehdus,0,0,0
851,B26.8+M01.5,Mumps arthritis+,Sikotautiin liittyvä nivelinfektio,0,0,0
852,B26.8+N08.0,Mumps nephritis+,Sikotaudin munuaistulehdus,0,0,0
859,B27.9+G02.0,Meningitis (due to) infectious mononucleosis,Mononukleoosiin liittyvä aivokalvotulehdus,0,26,0
860,B27.9+G63.0,Polyneuropathy (in) infectious mononucleosis,Mononukleoosiin liittyvä monihermosairaus,0,26,0
863,B30.0+H19.2,Keratoconjunctivitis due to adenovirus,Adenoviruksen aiheuttama sarveiskalvon ja sidekalvon tulehdus,0,0,0
865,B30.1+H13.1,Conjunctivitis due to adenovirus,Adenoviruksen aiheuttama sidekalvotulehdus,0,0,0
868,B30.3+H13.1,Acute epidemic haemorrhagic conjunctivitis (enteroviral),Enteroviruksen aiheuttama akuutti epideeminen verenvuotoinen sidekalvotulehdus,0,0,0
870,B30.8+H13.1,Other viral conjunctivitis,Muu viruksen aiheuttama sidekalvotulehdus,0,0,0
904,B36.9+H62.2,Otomycosis NOS,Tarkemmin määrittämätön ulkokorvan sienitauti,0,0,0
917,B37.1+J17.2,Pneumonia in candidiasis,Kandidiaasiin liittyvä keuhkokuume,0,0,0
919,B37.2+H62.2,Otitis externa in candidiasis,Kandidiaasiin liittyvä ulkokorvan tulehdus,0,26,0
921,B37.3+N77.1,Candidiasis of vulva and vagina,Ulkosynnyttimien ja emättimen kandidiaasi,0,31,0
923,B37.4+N37.0,Candidal urethritis,Virtsaputken kandidiaasi,0,19,0
924,B37.4+N51.2,Candidal balanitis,Kandidan aiheuttama terskatulehdus,0,19,0
926,B37.5+G02.1,Candidal meningitis,Kandidan aiheuttama aivokalvotulehdus,0,0,0
928,B37.6+I39.8,Candidal endocarditis,Kandidan aiheuttama sydämen sisäkalvon tulehdus,0,0,0
931,B37.8+K23.8,Candida inflammation caused by candidiasis,Kandidan aiheuttama ruokatorvitulehdus,0,0,0
939,B38.2+J17.2,Pneumonia in coccidioidomycosis,Koksidioidomykoosiin liittyvä keuhkokuume,0,0,0
948,B39.0+J17.2,Pneumonia in histoplasmosis,Histoplasmoosiin liittyvä keuhkokuume,0,0,0
970,B42.0+J99.8,Pulmonary sporotrichosis,Keuhkojen sporotrikoosi,0,0,0
983,B44.0+J17.2,Pneumonia in invasive aspergillosis,Invasiivisen aspergilloosiin aiheuttama keuhkokuume,0,0,0
