CodeId;Abbreviation;ShortName;LongName;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Harkitse (icpc);ALONG:Huom.;ALONG:Kriteerit (icpc);A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien
-40;Diagn. endoskopia;Diagn. endoskopia;Diagnostinen endoskopia;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;kehon onteloiden ja sisäelinten tähystäminen endoskooppia käyttäen;Diagnostisk endoskopi;rinoskopia, faryngoskopia, laryngoskopia, trakeoskopia, bronkoskopia, mediastinoskopia, hysteroskopia, kolposkopia, laparoskopia, gastroskopia, kolonoskopia, sigmoidoskopia, rektoskopia, anoskopia, artroskopia;oftalmoskopia -43, fundoskopia -43, dermatoskopia -43
-41;Diagn. kuvantaminen;Diagn. kuvantaminen;Diagnostinen kuvantaminen;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;anatomisten rakenteiden kuvantaminen elektromagneettista säteilyä tai ääniaaltoja käyttäen, valokuvaaminen tai videointi diagnostista tarkoitusta varten;Radiologisk diagnostik eller annan bilddiagnostik;röntgen- tai ultraäänitutkimus, tietokonetomografia (TT), magneettikuvaus (MRI), isotooppitutkimus, PET-tutkimus, angiografia, luuston, kilpirauhasen tai sydämen skintigrafia, ihon valokuvaus, isotooppikartoitus, termografia;sädehoito -59
-42;Elektrofys. tutk.;Elektrofys. tutk.;Elektrofysiologinen tutkimus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;tutkimus, jonka tarkoituksena on mitata jonkin elimen sähköistä toimintaa (esim. sydän, hermo, aivot, lihas);Elektrofysiologisk undersökning;sydänfilmi (EKG), rasitus-EKG, Holter-monitorointi, elektromyografia (EMG), aivosähkökäyrä (EEG), elektronystagmografia (ENG);
-43;Muu tutkimus;Muu tutkimus;Muu tutkimustoimenpide;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Annan diagnostisk åtgärd;oftalmoskopia, dermatoskopia, diagnostinen laparotomia, dementiatesti, älykkyystesti, masennustesti, ahdistuneisuustesti;Helicobacter pylori -hengityskoe -38, endoskopia -40, biopsia -52, punktio -52
-44;Rokotus / enn.ehk.lääk.;Rokotus / enn.ehk.lääk.;Rokotus / ennaltaehkäisevä lääkitys;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Lääkitys -50;Jos potilaalla on todennettavissa jokin tila (esim. kohonnut verenpaine), jota hoidetaan lääkehoidolla, käytä lääkityksen koodia -50;immunisaatio/siedätyshoito/ennaltaehkäisevä lääkitys, joka on tarkoitettu välttämään tiloja/reaktioita, jotka eivät ole olemassa määräyshetkellä;Preventiv immunisering / medicinering;aktiivinen tai passiivinen immunisaatio, profylaktinen lääkehoito (esim. malarian estolääkitys), raskauden ennaltaehkäisy, siedätyshoito;
-45;Seuranta/neuvonta;Seuranta/neuvonta;Seuranta/terveysneuvonta/ruokavalioneuvonta;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;terveysongelmien ennaltaehkäisy ja terveysneuvonta;Observation / hälsofostran / rådgivning / dietrådgivning;terveellisiä tapoja ja käyttäytymistä tukeva neuvonta, terveysongelmien ehkäisy, perhesuunnitteluun liittyvä neuvonta, terveyspalvelujen käyttöä tukeva neuvonta, työterveyttä tai sosiaalisia ongelmia koskeva neuvonta, tilanteen seuranta tai tarkkailu;terapeuttinen keskustelu/kuunteleminen -58
-46;Pth konsultaatio;Pth konsultaatio;Perusterveydenhuollon asiantuntijan konsultaatio;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Hoitovastuu säilyy edelleen alkuperäisellä perusterveydenhuollon ammattihenkilöllä;;konsultaatio toisen perusterveydenhuollossa toimivan ammattihenkilön kanssa riippumatta siitä, onko potilas läsnä vai ei;Konsultation med person yrkesverksam inom primärvården;telelääketieteellinen konsultaatio perusterveydenhuollossa toimivan ammattihenkilön kanssa;erikoislääkärin konsultaatio -47, lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri) -66, lähete erikoislääkärille/sairaalaan -67, muualla luokittelematon lähete -68
-47;Esh konsultaatio;Esh konsultaatio;Erikoislääkärin konsultaatio;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Hoitovastuu säilyy edelleen alkuperäisellä perusterveydenhuollon ammattihenkilöllä;;erikoislääkärin konsultaatio riippumatta siitä, onko potilas läsnä vai ei;Specialistkonsultation;telelääketieteellinen konsultaatio erikoislääkärin kanssa;perusterveydenhuollon asiantuntijan konsultaatio -46, lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri) -66, lähete erikoislääkärille/sairaalaan -67, muualla luokittelematon lähete -68
-48;Pot. tarpeiden selvitt.;Pot. tarpeiden selvitt.;Potilaan tarpeiden/tulosyyn selvittäminen;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Seuranta/terveysneuvonta/ruokavalioneuvonta -45;;potilaan tulosyytä tai tarpeita koskeva vuoropuhelu perusterveydenhuollon ammattihenkilön ja potilaan välillä, ja heidän  vastavuoroinen arviointinsa seulonnan, hoidon tai muiden toimenpiteiden toteuttamismahdollisuuksista;Utredning av patientens kontaktorsak / -behov;keskustelu seulontatestien tarpeellisuudesta;
-49;Muu ennaltaehk. tmp;Muu ennaltaehk. tmp;Muu ennaltaehkäisevä toimenpide;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Laaja terveydentilan arviointi/tarkastus -30, Suppea terveydentilan arviointi/tarkastus -31 , Lääkitys/lääkemääräys/uusinta/injektio -50;;;Annan förebyggande åtgärd;terveysongelmien ja ympäristöriskien arviointi yhteisössä, terveysongelmien ja ympäristöriskien arviointi työpaikalla,  terveysongelmien ja ympäristöriskien arviointi koulussa, terveysongelmien ja ympäristöriskien arviointi kodissa, lääkityksen kokonaisarvio;rokotus -44, ennaltaehkäisevä lääkitys -44
-50;Lääkitys;Lääkitys;Lääkitys/lääkemääräys/uusinta/injektio;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Rokotus / ennaltaehkäisevä lääkitys -44;Määrätyn sairauden/tilan hoitaminen lääkkein tulee luokitella tässä;;Medicinering / ordination / förnyelse / injektion;lääkityksen määrääminen, lääkityksen uusiminen, lääkkeen antaminen, systeemisesti vaikuttavan lääkeinjektion antaminen, siedätyshoito;venesektio -51, paikallisesti vaikuttavan injektion antaminen -55, akupunktio -59
-51;Aukaisu/kanylointi/huuht.;Aukaisu/kanylointi/huuht.;Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Incision / dränage / sköljning / aspiration;paiseen avaus tai inkiisio, hematooman punktio tai tyhjennys, poskiontelon punktio, rakkopunktio, nivelpunktio, kystan punktio tai tyhjennys, limapussin punktio tai tyhjennys, ganglion punktio tai tyhjennys, pleurapunktio, ventrikkelin punktio tai tyhjennys, venesektio, askitespunktio, lumbaalipunktio, tympanostomia, parasenteesi, torakosenteesi, amniosenteesi, korvan tai silmän huuhtelu;verikoe -34, virtsakoe -35, ekskiisio -52, katetrointi -53, tympanostomia-putken laitto -53, peräruiske -53, proteesin laitto/poisto -54, akupunktio -59, vierasesineen poisto -59
-52;Kudoksen poisto/poltto;Kudoksen poisto/poltto;Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Excision / avlägsnande av vävnad / biopsi / destruktion / revision / kauterisation;kudoksen poisto tai ekskiisio, elinbiopsia, ihobiopsia, kynnen poisto tai kiilaekskiisio, hampaan poisto, amputaatio, embolektomia, suonikohjuleikkaus, sterilisaatio, kohdun kaavinta, ihon kaavinta, hermon tuhoaminen, laskimon tuhoaminen, kirurginen revisio, mekaaninen tuhoaminen, kemiallinen tuhoaminen, autolyyttinen tuhoaminen, toukkaterapia, tuhoaminen polttamalla, jäädytyshoito, kemiallinen syövytyshoito, poltto diatermialla, poltto laserilla;Papa-näytteen otto -37
-53;Katetrointi/intub.;Katetrointi/intub.;Katetrointi/intubointi/laajentaminen;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto -51;;;Katetrisering / intubering / dilatering;endotrakeaalinen intubaatio, trakeotomia, tympanostomiaputken asennus, peräruiske, katetrointi, kyynelkanavan laajentaminen, virtsaputken laajentaminen, kohdunkaulan laajentaminen, sikiökalvojen puhkaisu, suonensisäinen kanylointi;hormonisauvaimplantin asennus -54
-54;Ompelu/korjaus/kipsaus;Ompelu/korjaus/kipsaus;Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto);01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Kaksoiskoodaa -50 kanssa, jos toimenpiteeseen liittyy lääkitys;;Reparation / fixation - suturering / gipsning / protetik (applikation / borttagning);ompelu, kirurginen liima, haavan perhosteippaus, ompeleen poisto, nyrjähdyksen hoito, repositio, sijoiltaanmenon korjaus, murtuman hoito, ortopedinen proteesi, tuki tai lasta(t), ortoosi(t), plastiikkakirurginen toimenpide, teippaus, mitella, tyrävyö, sähköinen hermoärsytys (THS), sähköinen lihasärsytys, kuulokojeet, silmälasit ja näön apuvälineet, tekniset apuvälineet ja kojeet, hammasimplantit, hormonisauvaimplantti, pessaarin  tai kierukan asettaminen;amputaatio -52, vierasesineen poisto -59, verensiirto -59, transplantaatio -59
-55;Paikall. lääkeaineinjekt.;Paikall. lääkeaineinjekt.;Paikallinen lääkeaineinjektio;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Rokotus / ennaltaehkäisevä lääkitys  -44, Lääkitys/lääkemääräys/uusinta/injektio -50 (kun kyseessä systeemisesti vaikuttava lääkeaineinjektio);Kaksoiskoodaa -50 kanssa, jos myös lääkitys on määrätty;lääkeaineen injektointi ihoon/ pehmytkudokseen/lihakseen/elimeen paikallisen vaikutuksen saavuttamiseksi;Lokal injektion / infiltration;epiduraali-injektio, intradermaalinen injektio, subkutaaninen injektio, intramuskulaarinen injektio, intravenöösi injektio, nivelinjektio, limapussi-injektio, jännetuppi-injektio, sklerosoiva laskimoinjektio suonikohjuissa, hermoblokadi;akupunktio -59, verensiirto -59
-56;Sidos/kompr./tampon.;Sidos/kompr./tampon.;Sidos/kompressi/tamponointi;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto) -54, Lähete muulle perusterveydenhuollon ammattihenkilölle -66;;;Förbindning / tryckförband / tamponad;tukisidos, haavasidos, silmälapun asettaminen;haavan perhosteippaus -54
-57;Fys.hoito/kuntoutus;Fys.hoito/kuntoutus;Fysikaalinen hoito / kuntoutus;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Lähete muulle perusterveydenhuollon ammattihenkilölle -66, Lähete erikoislääkärille/sairaalaan, Muu lähete -68;;kuntoutus, jossa terveydenhuollon ammattihenkilö on läsnä;Fysioterapi / rehabilitation;kiropraktinen hoito, fysioterapia, toimintaterapia, jalkahoito, lihasvoiman parantaminen, kuntoilu, lihasharjoittelu, puheterapia, spesifi vaativa kuntoutus, lämmön, kylmän, ultraäänen tai sähkövirran käyttäminen lääkinnälliseen tarkoitukseen;
-58;Terapeuttinen neuvonta;Terapeuttinen neuvonta;Terapeuttinen neuvonta / kuuntelu;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Fysikaalinen hoito / kuntoutus -57;;ammattihenkilön ja potilaan välinen keskustelu, jolla on terapeuttinen tarkoitus ja jonka avulla potilasta voidaan tukea tulemaan toimeen sairautensa kanssa (muulla tarkemmin määritellyllä tavalla kuin yksinkertaisella neuvolla);Terapeutisk rådgivning / lyssnande;motivoiva haastattelu, supportiivinen psykoterapia, määriteltyyn sairauteen liittyvä neuvonta;seuranta/terveysneuvonta/ruokavalioneuvonta -45
-59;Muu hoitotoimenpide;Muu hoitotoimenpide;Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Annan terapeutisk åtgärd / mindre kirurgiskt ingrepp UNS;elvytys, resuskitaatio, CPR, happihoito, akupunktio, dialyysi, synnytys, keisarileikkaus tai vaativa kirurgia;
-60;Tulosten kuuleminen;Tulosten kuuleminen;Tutkimustulosten kuuleminen;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Seuranta/terveysneuvonta/ruokavalioneuvonta -45, jos potilas pyytää saada tietoa taustalla olevasta ongelmasta tai tutkimustulosten edellyttämistä jatkotoimenpiteistä;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen.;tulosten saanti kokeista tai toimenpiteistä, joita on määrätty tai suoritettu terveydenhuollon ammattihenkilön toimesta: veritutkimus, kuvantaminen, sähköinen rekisteröinti tai muu;Resultat av test / åtgärder;;
-61;Tutk.tulos toiselta;Tutk.tulos toiselta;Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;Seuranta/terveysneuvonta/ruokavalioneuvonta -45, jos potilas pyytää saada tietoa taustalla olevasta ongelmasta tai tutkimustulosten edellyttämistä jatkotoimenpiteistä;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen;tulosten saanti tutkimuksista tai toimenpiteistä, joita on määrätty muiden terveydenhuollon ammattihenkilöiden toimesta;Resultat av test / åtgärd / sjukjournal föreskriven av annan vårdgivare;;
-62;Hallinnollinen toimenpide;Hallinnollinen toimenpide;Hallinnollinen toimenpide;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Administrativa åtgärder;todistukset (esim. sairausloma-, ajokortti- tai kuolintodistus), laskutusasiat, terveyskertomusasiat, asiakirjojen tai lomakkeiden täyttö, lausunnot kolmannen osapuolen vaatimuksesta;
-63;Muu seuranta;Muu seuranta;Muu seurantakäynti;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen;käynti, missä potilas ei selvästi pysty ilmaisemaan tulosyytään;Uppföljningsbesök, annat;;
-64;Hoidonantaja käynnistänyt;Hoidonantaja käynnistänyt;Hoidonantajan käynnistämä tapahtuma;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen. Jos käynti on tapahtunut potilaan aloitteesta, koodaa spesifinen tulosyy;;Besök / problem initierat av vårdgivaren;potilas on kutsuttu vastaanotolle, ongelma, joka on nostettu esille hoidonantajan toimesta (ilman, että potilaalla ollut tarkoituksena ottaa se esille);kolmannen osaspuolen edellyttämät lausunnot -62, käynti tai ongelma, joka on nostettu esille muun kuin potilaan, hänen läheisensä tai muun vastaavan henkilön toimesta (hoidonantaja pois lukien) -65
-65;Muu henkilö käynnistänyt;Muu henkilö käynnistänyt;Muun henkilön käynnistämä tapahtuma;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen. Jos käynti on tapahtunut potilaan aloitteesta, koodaa spesifinen tulosyy;;Besök / problem initierat av annan än patienten eller vårdgivaren;potilas toteaa, että joku muu on lähettänyt hänet;kolmannen osaspuolen edellyttämät lausunnot -62, käynti tai ongelma, joka on nostettu esille muun kuin potilaan, hänen läheisensä tai muun vastaavan henkilön toimesta (hoidonantaja pois lukien) -65
-66;Lähete pth;Lähete pth;Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri);01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;jos hoidonantaja itse toteuttaa palvelun, harkitse koodien -50–59 käyttöä;;;Remiss till annan vårdgivare / skötare / terapeut / socialarbetare;lähete terveydenhoitajalle, sairaanhoitajalle, fysioterapeutille, kuntohoitajalle, toimintaterapeutille, jalkahoitajalle, hammaslääkärille, suuhygienistille, kiropraktikolle, optikolle, ravitsemusterapeutille, sosiaalityöntekijälle, psykologille tai muulle vastaavalle ammattihenkilölle;lähete lääkärille -67,  lähete laitoskuntoutukseen -68
-67;Lähete esh/sairaala;Lähete esh/sairaala;Lähete erikoislääkärille/sairaalaan;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;jos määrätään erityinen toimenpide, jonka toinen lääkäri tulee suorittamaan, harkitse koodien -32  –  -43 käyttöä;;;Remiss till läkare / specialist / poliklinik / sjukhus / specialsjukvård;lähete toiselle yleislääkärille/yleislääketieteen erikoislääkärille, lähete erikoisalakohtaisille poliklinikoille tai sairaaloihin;lähete laitoskuntoutukseen -68
-68;Muu lähete;Muu lähete;Muu lähete;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;;;Annan remiss;lähetteet terveydenhuollon ulkopuolisiin toimintoihin tai palveluihin (potilasyhdistykset, työttömyyspalvelut), lähete asumispalveluihin/saattohoitoon;lähete muulle ammattihenkilölle kuin lääkärille, lähete lähete sairaanhoitajalle tai kuntoutus- tai erityistyöntekijälle -66, lähete lääkärille, erikoislääkärille tai sairaalaan -67
-69;Muualla luokittelematon;Muualla luokittelematon;Muu käynnin syy;01.01.2000;31.12.2030;26.08.2016;Lehtonen, Santeri;1;;;01.07.2009;;Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen;;Annan orsak för kontakt;;
