code,name_fi,name_en,name_se,valid_start_date,valid_end_date,name_en_source
A02.2+J17.0,Salmonellan aiheuttama keuhkokuume,Salmonella pneumonia,Salmonellapneumoni,1900-01-01,2020-12-31,THL
A02.2+M01.3,Salmonellan aiheuttama niveltulehdus,Salmonella arthritis,Salmonellaartrit,1900-01-01,2020-12-31,THL
A02.2+M90.2,Salmonellan aiheuttama osteomyeliitti,Salmonella osteomyelitis,Salmonellaosteomyelit,1900-01-01,2020-12-31,THL
A02.2+N16.0,Salmonellan aiheuttama munuaisten tubulointerstitiaalinen sairaus,Salmonella renal tubulo-interstitial disease,"Renal tubulo-interstitiell sjukdom, orsakad av salmonella",1900-01-01,2020-12-31,THL
A02.8,Muu salmonellainfektio,Other specified salmonella infections,Annan specificerad salmonellainfektion,1900-01-01,2020-12-31,THL
A02.9,Määrittämätön salmonellainfektio,"Salmonella infection, unspecified","Salmonellainfektion, ospecificerad",1900-01-01,2020-12-31,THL
A03,Shigelloosi,Shigellosis,"Shigellos (bakteriell dysenteri, rödsot)",1900-01-01,2020-12-31,THL
A03.0,Shigella dysenteriae -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella dysenteriae,Shigella dysenteriae (serogrupp A),1900-01-01,2020-12-31,THL
A03.1,Shigella flexneri -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella flexneri,Shigella flexneri (serogrupp B),1900-01-01,2020-12-31,THL
A03.2,Shigella boydii -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella boydii,Shigella boydii (serogrupp C),1900-01-01,2020-12-31,THL
A03.3,Shigella sonnei -bakteerin aiheuttama shigelloosi,Shigellosis due to Shigella sonnei,Shigella sonnei (serogrupp D),1900-01-01,2020-12-31,THL
A03.8,Muu shigelloosi,Other shigellosis,Annan specificerad shigellos,1900-01-01,2020-12-31,THL
A03.9,Määrittämätön shigelloosi,"Shigellosis, unspecified","Shigellos, ospecificerad",1900-01-01,2020-12-31,THL
A04,Muut bakteeriperäiset suolistoinfektiot,Other bacterial intestinal infections,Andra bakteriella tarminfektioner,1900-01-01,2020-12-31,THL
A04.0,Enteropatogeenisen kolibakteerin aiheuttama infektio,Enteropathogenic Escherichia coli infection,Infektion med tarmpatogena Escherichia coli-bakterier,1900-01-01,2020-12-31,THL
A04.1,Enterotoksigeenisen kolibakteerin aiheuttama infektio,Enterotoxigenic Escherichia coli infection,Infektion med tarmtoxiska Escherichia coli-bakterier,1900-01-01,2020-12-31,THL
A04.2,Enteroinvasiivisen kolibakteerin aiheuttama infektio,Enteroinvasive Escherichia coli infection,Infektion med tarminvasiva Escherichia coli-bakterier,1900-01-01,2020-12-31,THL
A04.3,Enterohemorragisen kolibakteerien aiheuttama infektio,Enterohaemorrhagic Escherichia coli infection,Infektion med tarmhemorragiska Escherichia coli-bakterier,1900-01-01,2020-12-31,THL
A04.4,Muu kolibakteerin aiheuttama suoli-infektio,Other intestinal Escherichia coli infections,Annan specificerad tarminfektion med Escherichia coli,1900-01-01,2020-12-31,THL
A04.5,Kampylobakteerin aiheuttama suolitulehdus,Campylobacter enteritis,Enterit osakad av Campylobacter,1900-01-01,2020-12-31,THL
A04.6,Yersinia enterocolitican aiheuttama suolitulehdus,Enteritis due to Yersinia enterocolitica,Enterit orsakad av Yersinia enterocolitica,1900-01-01,2020-12-31,THL
A04.6+M03.2,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,Postinfektiös artrit vid enterit orsakad av Yersinia enterocolitica,1900-01-01,2020-12-31,THL
A04.7,Clostridium difficilen aiheuttama ohut- ja paksusuolen tulehdus,Enterocolitis due to Clostridium difficile,Enterokolit orsakad av Clostridium difficile,1900-01-01,2020-12-31,THL
A04.8,Muu bakteeriperäinen suolistoinfektio,Other specified bacterial intestinal infections,Annan specificerad bakteriell tarminfektion,1900-01-01,2020-12-31,THL
A04.9,Määrittämätön bakteeriperäinen suolistoinfektio,"Bacterial intestinal infection, unspecified","Bakteriell tarminfektion, ospecificerad",1900-01-01,2020-12-31,THL
A05,"Muut, muualla luokittelemattomat bakteerien aiheuttamat ruokamyrkytykset","Other bacterial foodborn intoxications, not elsewhere classified",Annan matförgiftning orsakad av bakterier som ej klassificeras annorstädes,1900-01-01,2020-12-31,THL
A05.0,Stafylokokin aiheuttama ruokamyrkytys,Foodborne staphylococcal intoxication,Matförgiftning orsakad av stafylokocker,1900-01-01,2020-12-31,THL
A05.1,Botulismi,Botulism,Botulism,1900-01-01,2020-12-31,THL
A05.2,Clostridium perfringens (Clostridium welchii) -bakteerin aiheuttama ruokamyrkytys,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,Matförgiftning orsakad av Clostridium perfringens [Clostridium welchii],1900-01-01,2020-12-31,THL
A05.3,Vibrio parahaemolyticus -bakteerin aiheuttama ruokamyrkytys,Foodborne Vibrio parahaemolyticus intoxication,Matförgiftning orsakad av Vibrio parahaemolyticus,1900-01-01,2020-12-31,THL
A05.4,Bacillus cereus -bakteerin aiheuttama ruokamyrkytys,Foodborne Bacillus cereus intoxication,Matförgiftning orsakad av Bacillus cereus,1900-01-01,2020-12-31,THL
A05.8,Muu bakteerien aiheuttama ruokamyrkytys,Other specified bacterial foodborne intoxications,Annan specificerad matförgiftning orsakad av bakterier,1900-01-01,2020-12-31,THL
A05.9,Määrittämätön bakteerin aiheuttama ruokamyrkytys,"Bacterial foodborne intoxication, unspecified","Matförgiftning orsakad av bakterier, ospecificerad",1900-01-01,2020-12-31,THL
A06,Amebiaasi,Amoebiasis,Amöbainfektion,1900-01-01,2020-12-31,THL
A06.0,Akuutti amebiaasi,Acute amoebic dysentery,Akut amöbadysenteri,1900-01-01,2020-12-31,THL
A06.1,Pitkäaikainen suolistoamebiaasi,Chronic intestinal amoebiasis,Kronisk intestinal amöbainfektion,1900-01-01,2020-12-31,THL
A06.2,Ameban aiheuttama koliitti ilman dysenteriaa,Amoebic nondysenteric colitis,Kolit orsakad av amöba,1900-01-01,2020-12-31,THL
A06.3,Suolen amebooma,Amoeboma of intestine,Amöbom i tarmen,1900-01-01,2020-12-31,THL
A06.4,Ameban aiheuttama maksapaise,Amoebic liver abscess,Leverabscess orsakad av amöba,1900-01-01,2020-12-31,THL
A06.5,Ameba keuhkopaiseen syynä,Amoeba as the cause of pulmonary emphysema,Amöba som orsak för lungabscess,1900-01-01,2020-12-31,Google
A06.5+J99.8,Ameban aiheuttama keuhkopaise,Amoebic lung abscess,Lungabscess orsakad av amöba,1900-01-01,2020-12-31,THL
A06.6,Ameba aivopaiseen syynä,Amoeba as the cause of cerebral palsy,Amöba som orsak för hjärnabscess,1900-01-01,2020-12-31,Google
A06.6+G07,Ameban aiheuttama aivopaise,Amoebic brain abscess,Hjärnabscess orsakad av amöba,1900-01-01,2020-12-31,THL
A06.7,Ihoamebiaasi,Cutaneous amoebiasis,Sårbildning i huden orsakad av amöba,1900-01-01,2020-12-31,THL
A06.8,Muu amebiaasi,Amoebic infection of other sites,Amöbainfektion med annan lokalisation,1900-01-01,2020-12-31,THL
A06.8+N51.2,Ameban aiheuttama terskatulehdus,Amoebic balanitis+,Amöbabalanit,1900-01-01,2020-12-31,THL
A06.9,Määrittämätön amebiaasi,"Amoebiasis, unspecified","Amöbainfektion, ospecificerad",1900-01-01,2020-12-31,THL
A07,Muut suoliston alkueläintaudit,Other protozoal intestinal diseases,Andra protozosjukdomar i tarmen,1900-01-01,2020-12-31,THL
A07.0,Balantidiaasi,Balantidiasis,Balantidiasis,1900-01-01,2020-12-31,THL
A07.1,Giardiaasi,Giardiasis [lambliasis],Giardiasis,1900-01-01,2020-12-31,THL
A07.2,Kryptosporidioosi,Cryptosporidiosis,Infektion orsakad av Cryptosporidium,1900-01-01,2020-12-31,THL
A07.3,Isosporiaasi,Isosporiasis,Isosporiasis,1900-01-01,2020-12-31,THL
A07.8,Muu suoliston alkueläintauti,Other specified protozoal intestinal diseases,Annan specificerad tarmsjukdom orsakad av protozoer,1900-01-01,2020-12-31,THL
A07.9,Määrittämätön suoliston alkueläintauti,"Protozoal intestinal disease, unspecified","Protozosjukdom i tarmen, ospecificerad",1900-01-01,2020-12-31,THL
A08,Virusperäiset ja muut määritetyt suolistoinfektiot,Viral and other specified intestinal infections,Tarminfektioner orsakade av virus och andra specificerade organismer,1900-01-01,2020-12-31,THL
A08.0,Rotaviruksen aiheuttama suolitulehdus,Rotaviral enteritis,Enterit orsakad av rotavirus,1900-01-01,2020-12-31,THL
A08.1,Norwalk-tekijän aiheuttama akuuttimaha-suolistosairaus,Acute gastroenteropathy due to Norwalk agent,Akut gastroenteropati orsakad av Norwalk-faktor,1900-01-01,2020-12-31,THL
A08.2,Adenoviruksen aiheuttama suolitulehdus,Adenoviral enteritis,Enterit orsakad av adenovirus,1900-01-01,2020-12-31,THL
A08.3,Muu virussuolitulehdus,Other viral enteritis,Enterit orsakad av annat specificerat virus,1900-01-01,2020-12-31,THL
A08.4,Määrittämätön virussuolitulehdus,"Viral intestinal infection, unspecified",Enterit orsakad av icke specificerat virus,1900-01-01,2020-12-31,THL
A08.5,Muu suolistoinfektio,Other specified intestinal infections,Annan specificerad tarminfektion,1900-01-01,2020-12-31,THL
A09,Tarttuvaksi oletettu ripuli ja maha-suolitulehdus,Diarrhoea and gastroenteritis of presumed infectious origin,Diarré och mag-tarmsjukdom där infektiös orsak förmodas,1900-01-01,2020-12-31,THL
A15-A19,Tuberkuloosi,Tuberculosis,Tuberkulos,1900-01-01,2020-12-31,THL
A15,Bakteriologisesti tai histologisesti varmennettu hengityselinten tuberkuloosi,"Respiratory tuberculosis, bacteriologically and histologically confirmed","Tuberkulos i andningsorganen, bakteriologiskt och histologiskt verifierad",1900-01-01,2020-12-31,THL
A15.0,Mikroskooppisella ysköstutkimuksella varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture","Lungtuberkulos, verifierad med mikroskopisk sputumundersökning",1900-01-01,2020-12-31,THL
A15.1,Ainoastaan viljelyllä varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by culture only","Lungtuberkulos, verifierad endast med odling",1900-01-01,2020-12-31,THL
A15.2,Histologisesti varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed histologically","Lungtuberkulos, verifierad histologiskt",1900-01-01,2020-12-31,THL
A15.3,Mainitsemattomalla menetelmällä varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by unspecified means","Lungtuberkulos, verifierad med icke angiven metod",1900-01-01,2020-12-31,THL
A15.4,Varmennettu rintakehänsisäisten imusolmukkeiden tuberkuloosi,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Verifierad tuberkulos i intratorakala lymfkörtlar,1900-01-01,2020-12-31,THL
A15.5,"Varmennettu kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically","Verifierad tuberkulos i larynx, trakea eller bronker",1900-01-01,2020-12-31,THL
A15.6,Varmennettu tuberkuloottinen keuhkopussitulehdus,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Verifierad tuberkulös pleurit,1900-01-01,2020-12-31,THL
A15.7,Varmennettu hengityselinten primaarituberkuloosi,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Verifierad primär tuberkulos i andningsorganen,1900-01-01,2020-12-31,THL
A15.8,Muu varmennettu hengityselinten tuberkuloosi,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Annan verifierad tuberkulos i andningsorganen,1900-01-01,2020-12-31,THL
A15.9,Määrittämättömien hengityselinten bakteriologisesti tai histologisesti varmennettu tuberkuloosi,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically","Tuberkulos i ospecificerade andningsorganen, verifierad bakteriologiskt eller histologiskt",1900-01-01,2020-12-31,THL
A16,Kliinisesti todettu hengityselinten tuberkuloosi,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",Kliniskt verifierad tuberkulos i andningsorganen,1900-01-01,2020-12-31,THL
A16.0,"Kliinisesti todettu keuhkotuberkuloosi, bakteriologinen ja histologinen tutkimus negatiivinen","Tuberculosis of lung, bacteriologically and histologically negative",Kliniskt verifierad lungtuberkulos med bakteriologiskt och histologiskt negativt fynd,1900-01-01,2020-12-31,THL
A16.1,"Kliinisesti todettu keuhkotuberkuloosi, bakteriologisia tai histologisia tutkimuksia ei ole suoritettu","Tuberculosis of lung, bacteriological and histological examination not done","Lungtuberkulos, bakteriologisk eller histologisk undersökning ej genomförd",1900-01-01,2020-12-31,THL
A16.2,"Kliinisesti todettu keuhkotuberkuloosi, ei tietoa bakteriologisesta tai histologisesta tutkimuksesta","Tuberculosis of lung, without mention of bacteriological or histological confirmation","Lungtuberkulos, utan uppgift om bakteriologisk eller histologisk verifikation",1900-01-01,2020-12-31,THL
A16.3,"Rintakehänsisäisten imusolmukkeiden tuberkuloosi, ei tietoa etiologian varmistamisesta","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation","Tuberkulos i intratorakala lymfkörtlar, utan uppgift om etiologisk verifikation",1900-01-01,2020-12-31,THL
A16.4,"Kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi, ei tietoa etiologian varmistuksesta","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation","Tuberkulos i larynx, trakea och bronker utan uppgift om etiologisk verifikation",1900-01-01,2020-12-31,THL
A16.5,"Tuberkuloottinen keuhkopussin tulehdus, ei tietoa etiologian varmistuksesta","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Tuberkulös pleurit utan uppgift om etiologisk verifikation,1900-01-01,2020-12-31,THL
A16.7,"Hengityselinten primaarituberkuloosi, ei tietoa etiologisesta varmistuksesta",Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Primär tuberkulos i andningsorganen utan uppgift om etiologisk verifikation,1900-01-01,2020-12-31,THL
A16.8,"Muu hengityselinten tuberkuloosi, ei tietoa etiologian varmistuksesta","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Annan tuberkulos i andningsorganen utan uppgift om etiologisk verifikation,1900-01-01,2020-12-31,THL
A16.9,"Määrittämättömien hengityselinten tuberkuloosi, ei tietoa etiologisesta varmistuksesta","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Tuberkulos i icke specificerade andningsorganen utan uppgift om etiologisk verifikation,1900-01-01,2020-12-31,THL
A17,Hermoston tuberkuloosi,Tuberculosis of nervous system,Tuberkulos i nervsystemet,1900-01-01,2020-12-31,THL
A17.0,Tuberkuloosi aivokalvojen tulehduksen syynä,Tuberculous meningitis,Tuberkulos som orsak för meningit,1998-08-21,2020-12-31,THL
A17.0+G01,Tuberkuloottinen meningiitti,Tuberculous meningitis,Tuberkulös meningit,1900-01-01,2020-12-31,THL
A17.1,Tuberkuloosipesäke aivokalvoilla,Meningeal tuberculoma,Tuberkulom i hjärnhinnorna,1998-08-21,2020-12-31,THL
A17.1+G07,Aivokalvojen tuberkulooma,Meningeal tuberculoma,Meningealt tuberkulom,1900-01-01,2020-12-31,THL
A17.8,Muu hermoston tuberkuloosi,Other tuberculosis of nervous system,Annan specificerad tuberkulos i nervsystemet,1900-01-01,2020-12-31,THL
A17.8+G05.0,Tuberkuloottinen aivokalvo-aivotulehdus,Tuberculous meningoencephalitis,Tuberkulös meningoencefalit,1900-01-01,2020-12-31,THL
A17.8+G07,Aivojen tuberkuloosi,Tuberculoma or tuberculosis of brain or spinal cord,Tuberkulos och tuberkulom i hjärna,1900-01-01,2020-12-31,THL
A17.8+G63.0,Tuberkuloottinen monihermosairaus,Tuberculous polyneuropathy,Tuberkulös polyneuropati,1900-01-01,2020-12-31,THL
A17.9+,Määrittämätön hermoston tuberkuloosi,"Tuberculosis of nervous system, unspecified","Tuberkulos i nervsystemet, ospecificerad",1999-11-25,2011-10-09,THL
A17.9+G99.8,Määrittämätön hermoston tuberkuloosi,"Tuberculosis of nervous system, unspecified","Tuberkulos i nervsystemet, ospecificerad",1900-01-01,2020-12-31,THL
A18,Muiden elinten tuberkuloosi,Tuberculosis of other organs,Tuberkulos i andra organ,1900-01-01,2020-12-31,THL
A18.0,Luu- ja niveltuberkuloosi,Tuberculosis of bones and joints,Tuberkulos i skelettet och lederna,1900-01-01,2020-12-31,THL
A18.0+H75.0,Tuberkuloottinen kartiolisäkkeen tulehdus,Tuberculous mastoiditis,Tuberkulös mastoidit,1900-01-01,2020-12-31,THL
A18.0+M01.1,Tuberkuloottinen nivelinfektio,Tuberculous joint infection,Tuberkulös artrit,1900-01-01,2020-12-31,Google
A18.0+M49.0,Selkärangan tuberkuloosi,Tuberculosis of spine,Tuberkulos i kotpelare,1900-01-01,2020-12-31,THL
A18.0+M68.0,Tuberkuloottinen nivelkalvotulehdus,Tuberculous synovitis,Tuberkulös synovit,1900-01-01,2020-12-31,THL
A18.0+M90.0,Luutuberkuloosi,Luutuberkuloosi,Bentuberkulos,1900-01-01,2020-12-31,Google
A18.1,Virtsa- ja sukupuolielinten tuberkuloosi,Tuberculosis of genitourinary system,Tuberkulos i urin- och könsorganen,1900-01-01,2020-12-31,THL
A18.1+N29.1,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,Kidney or ureteral disease associated with tuberculosis,Tuberkulos i njure eller uretär,1900-01-01,2020-12-31,Google
A18.1+N33.0,Virtsarakon tuberkuloosi,Tuberculous cystitis,Tuberkulos i urinblåsan,1900-01-01,2020-12-31,THL
A18.1+N51.0,Tuberkuloottinen eturauhastulehdus,Prostatitis tuberculous,Tuberkulös prostatit,1900-01-01,2020-12-31,THL
A18.1+N51.1,Kiveksen tuberkuloosi,Tuberculosis of epididymis,Tuberkulos i testikel,1900-01-01,2020-12-31,THL
A18.1+N51.8,Miehen sukupuolielinten tuberkuloosi,Male genital tuberculosis,Tuberkulos i manliga könsorganen,1900-01-01,2020-12-31,Google
A18.1+N74.0,Kohdunkaulan tuberkuloosi,Tuberculous infection of cervix uteri,Tuberkulos i cervix,1900-01-01,2020-12-31,THL
A18.1+N74.1,Sisäsynnytinten tuberkuloottinen tulehdus,Female tuberculous pelvic inflammatory disease,Tuberkulös inflammation i bäckenet hos kvinna,1900-01-01,2020-12-31,THL
A18.1+N77.0,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,Ulceration of vulva in tuberculosis,Ulceration i vulva vid tuberkulos,1900-01-01,2020-12-31,THL
A18.2,Tuberkuloottinen perifeerinen imusolmukesairaus,Tuberculous peripheral lymphadenopathy,Tuberkulös perifer lymfadenopati,1900-01-01,2020-12-31,THL
A18.3,"Suoliston, suoliliepeen, vatsakalvon tai vatsakalvontakaisen alueen tuberkuloosi","Tuberculosis of intestines, peritoneum and mesenteric glands","Intestinal, mesenterial eller retroperitoneal tuberkulos",1900-01-01,2020-12-31,THL
A18.3+K67.3,Tuberkuloottinen vatsakalvotulehdus,Tuberculous peritonitis,Tuberkulös peritonit,1900-01-01,2020-12-31,THL
A18.3+K93.0,"Suoliston, vatsakalvon tai suoliliepeen imusolmukkeiden tuberkuloottinen sairaus","Tuberculous disease of the intestinal, peritoneal or mesenteric lymph nodes","Tuberkulösa sjukdom i tarmar, peritoneum och mesenteriekörtlar",1900-01-01,2020-12-31,Google
A18.4,Ihon ja ihonalaiskudoksen tuberkuloosi,Tuberculosis of skin and subcutaneous tissue,Tuberkulos i hud och subkutan vävnad,1900-01-01,2020-12-31,THL
A18.4+H03.1,Silmäluomen lupus vulgaris,Lupus vulgaris: of eyelid+,Lupus vulgaris i ögonlock,1900-01-01,2020-12-31,THL
A18.5,Silmän tuberkuloosi,Tuberculosis of eye,Tuberkulos i öga,1900-01-01,2020-12-31,THL
A18.5+H19.0,Tuberkuloottinen episkleriitti,Lupus episcleritis,Tuberkulös episklerit,1900-01-01,2020-12-31,THL
A18.5+H19.2,Tuberkuloosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,Keratitis and keratoconjunctivitis (interstitial) in tuberculosis,Keratit och keratokonjunktivit vid tuberkulos,1900-01-01,2020-12-31,THL
A18.5+H22.0,Tuberkuloottinen värikalvon ja sädekehän tulehdus,Lupus iridocyclitis,Tuberkulös kronisk iridocyklit,1900-01-01,2020-12-31,THL
A18.5+H32.0,Tuberkuloottinen suoni- ja verkkokalvon tulehdus,Lupus chorioretinitis,Tuberkulös korioretinit,1900-01-01,2020-12-31,THL
A18.6,Korvan tuberkuloosi,Tuberculosis of ear,Tuberkulos i öra,1900-01-01,2020-12-31,THL
A18.6+H67.0,Tuberkuloottinen välikorvan tulehdus,Tuberculous otitis media,Tuberkulös otitis media,1900-01-01,2020-12-31,THL
A18.7+,Lisämunuaistuberkuloosi,Tuberculosis of adrenal glands,Tuberkulos i binjurar,1999-11-25,2011-10-09,THL
A18.7+E35.1,Lisämunuaistuberkuloosi,Tuberculosis of adrenal glands,Tuberkulos i binjurar,1900-01-01,2020-12-31,THL
A18.8,Muun elimen tuberkuloosi,Tuberculosis of other specified organs,Tuberkulos i annat specificerat organ,1900-01-01,2020-12-31,THL
A18.8+D77,Pernan tuberkuloosi,Tuberculosis of spleen,Tuberkulos i mjälten,1998-08-19,2020-12-31,THL
A18.8+E35.0,Kilpirauhasen tuberkuloosi,Tuberculosis of thyroid gland,Tuberkulos i tyreoidea,1900-01-01,2020-12-31,THL
A18.8+I32.0,Sydänpussin tuberkuloosi,Tuberculosis of pericardium,Tuberkulos i perikardiet,1900-01-01,2020-12-31,THL
A18.8+I39.8,Sydämen sisäkalvon tuberkuloosi,Tuberculosis of endocardium,Tuberkulos i endokardiet,1900-01-01,2020-12-31,THL
A18.8+I41.0,Sydänlihaksen tuberkuloosi,Tuberculosis of myocardium,Tuberkulos i myokardiet,1900-01-01,2020-12-31,THL
A18.8+I68.1,Tuberkuloottinen aivovaltimotulehdus,Tuberculous cerebral arteritis,Tuberkulös cerebral arterit,1900-01-01,2020-12-31,THL
A18.8+K23.0,Ruokatorven tuberkuloosi,Tuberculous oesophagitis,Tuberkulos i esofagus,1900-01-01,2020-12-31,THL
A18.8+K77.0,Maksan tuberkuloosi,Liver tuberculosis,Tuberkulos i levern,1998-08-19,2020-12-31,THL
A18.8+K87.1,Haiman tuberkuloosi,Tuberculosis of pancreas,Tuberkulos i pankreas,1998-08-19,2020-12-31,THL
A19,Miliaarituberkuloosi,Miliary tuberculosis,Miliartuberkulos (utspridd tuberkulos),1900-01-01,2020-12-31,THL
A19.0,Yhdessä määritetyssä sijaintipaikassa esiintyvä akuutti miliaarituberkuloosi,Acute miliary tuberculosis of a single specified site,"Akut miliartuberkulos, en enda specificerad lokalisation",1900-01-01,2020-12-31,THL
A19.1,Useassa sijaintipaikassa esiintyvä akuutti miliaarituberkuloosi,Acute miliary tuberculosis of multiple sites,"Akut miliartuberkulos, flera lokalisationer",1900-01-01,2020-12-31,THL
A19.2,Määrittämätön akuutti miliaarituberkuloosi,"Acute miliary tuberculosis, unspecified",Icke specificerad akut miliartuberkulos,1900-01-01,2020-12-31,THL
A19.8,Muu miliaarituberkuloosi,Other miliary tuberculosis,Annan miliartuberkulos,1900-01-01,2020-12-31,THL
A19.9,Määrittämätön miliaarituberkuloosi,"Miliary tuberculosis, unspecified","Miliartuberkulos, ospecificerad",1900-01-01,2020-12-31,THL
A20-A28,Eräät eläinperäiset bakteeritaudit,Certain zoonotic bacterial diseases,Vissa djurburna bakteriesjukdomar,1900-01-01,2020-12-31,THL
A20,Rutto,Plague,Pest,1900-01-01,2020-12-31,THL
A20.0,Paiserutto,Bubonic plague,Böldpest,1900-01-01,2020-12-31,THL
A20.1,Ihorutto,Cellulocutaneous plague,Cellulokutan pest,1900-01-01,2020-12-31,THL
A20.2,Keuhkorutto,Pneumonic plague,Lungpest,1900-01-01,2020-12-31,THL
A20.3,Ruton aiheuttama aivokalvotulehdus,Plague meningitis,Meningit av Yersinia pestis,1900-01-01,2020-12-31,THL
A20.7,Ruttoon liittyvä septikemia,Septicaemic plague,Pestseptikemi,1900-01-01,2020-12-31,THL
A20.8,Muu ruttomuoto,Other forms of plague,Annan specificerad pestform,1900-01-01,2020-12-31,THL
A20.9,Määrittämätön rutto,"Plague, unspecified","Pest, ospecificerad",1900-01-01,2020-12-31,THL
A21,Tularemia (jänisrutto),Tularaemia,Tularemi (kanin- eller harpest),1900-01-01,2020-12-31,THL
A21.0,Haavainen tularemia,Ulceroglandular tularaemia,Ulceroglandulär tularemi,1900-01-01,2020-12-31,THL
A21.1,Silmätularemia,Oculoglandular tularaemia,Okuloglandulär tularemi,1900-01-01,2020-12-31,THL
