code,name_en_source,name_fi,name_en,better_name_en
A05.3,THL,Vibrio parahaemolyticus -bakteerin aiheuttama ruokamyrkytys,Foodborne Vibrio parahaemolyticus intoxication,
A05.4,THL,Bacillus cereus -bakteerin aiheuttama ruokamyrkytys,Foodborne Bacillus cereus intoxication,
A05.8,THL,Muu bakteerien aiheuttama ruokamyrkytys,Other specified bacterial foodborne intoxications,
A05.9,THL,Määrittämätön bakteerin aiheuttama ruokamyrkytys,"Bacterial foodborne intoxication, unspecified",
A06,THL,Amebiaasi,Amoebiasis,
A06.0,THL,Akuutti amebiaasi,Acute amoebic dysentery,
A06.1,THL,Pitkäaikainen suolistoamebiaasi,Chronic intestinal amoebiasis,
A06.2,THL,Ameban aiheuttama koliitti ilman dysenteriaa,Amoebic nondysenteric colitis,
A06.3,THL,Suolen amebooma,Amoeboma of intestine,
A06.4,THL,Ameban aiheuttama maksapaise,Amoebic liver abscess,
A06.5,Google,Ameba keuhkopaiseen syynä,Amoeba as the cause of pulmonary emphysema,
A06.5+J99.8,THL,Ameban aiheuttama keuhkopaise,Amoebic lung abscess,
A06.6,Google,Ameba aivopaiseen syynä,Amoeba as the cause of cerebral palsy,
A06.6+G07,THL,Ameban aiheuttama aivopaise,Amoebic brain abscess,
A06.7,THL,Ihoamebiaasi,Cutaneous amoebiasis,
A06.8,THL,Muu amebiaasi,Amoebic infection of other sites,
A06.8+N51.2,THL,Ameban aiheuttama terskatulehdus,Amoebic balanitis+,
A06.9,THL,Määrittämätön amebiaasi,"Amoebiasis, unspecified",
A07,THL,Muut suoliston alkueläintaudit,Other protozoal intestinal diseases,
A07.0,THL,Balantidiaasi,Balantidiasis,
A07.1,THL,Giardiaasi,Giardiasis [lambliasis],
A07.2,THL,Kryptosporidioosi,Cryptosporidiosis,
A07.3,THL,Isosporiaasi,Isosporiasis,
A07.8,THL,Muu suoliston alkueläintauti,Other specified protozoal intestinal diseases,
A07.9,THL,Määrittämätön suoliston alkueläintauti,"Protozoal intestinal disease, unspecified",
A08,THL,Virusperäiset ja muut määritetyt suolistoinfektiot,Viral and other specified intestinal infections,
A08.0,THL,Rotaviruksen aiheuttama suolitulehdus,Rotaviral enteritis,
A08.1,THL,Norwalk-tekijän aiheuttama akuuttimaha-suolistosairaus,Acute gastroenteropathy due to Norwalk agent,
A08.2,THL,Adenoviruksen aiheuttama suolitulehdus,Adenoviral enteritis,
A08.3,THL,Muu virussuolitulehdus,Other viral enteritis,
A08.4,THL,Määrittämätön virussuolitulehdus,"Viral intestinal infection, unspecified",
A08.5,THL,Muu suolistoinfektio,Other specified intestinal infections,
A09,THL,Tarttuvaksi oletettu ripuli ja maha-suolitulehdus,Diarrhoea and gastroenteritis of presumed infectious origin,
A15,THL,Bakteriologisesti tai histologisesti varmennettu hengityselinten tuberkuloosi,"Respiratory tuberculosis, bacteriologically and histologically confirmed",
A15.0,THL,Mikroskooppisella ysköstutkimuksella varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",
A15.1,THL,Ainoastaan viljelyllä varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by culture only",
A15.2,THL,Histologisesti varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed histologically",
A15.3,THL,Mainitsemattomalla menetelmällä varmennettu keuhkotuberkuloosi,"Tuberculosis of lung, confirmed by unspecified means",
A15.4,THL,Varmennettu rintakehänsisäisten imusolmukkeiden tuberkuloosi,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",
A15.5,THL,"Varmennettu kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi","Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",
A15.6,THL,Varmennettu tuberkuloottinen keuhkopussitulehdus,"Tuberculous pleurisy, confirmed bacteriologically and histologically",
A15.7,THL,Varmennettu hengityselinten primaarituberkuloosi,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",
A15.8,THL,Muu varmennettu hengityselinten tuberkuloosi,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",
A15.9,THL,Määrittämättömien hengityselinten bakteriologisesti tai histologisesti varmennettu tuberkuloosi,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",
A16,THL,Kliinisesti todettu hengityselinten tuberkuloosi,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",
A16.0,THL,"Kliinisesti todettu keuhkotuberkuloosi, bakteriologinen ja histologinen tutkimus negatiivinen","Tuberculosis of lung, bacteriologically and histologically negative",
A16.1,THL,"Kliinisesti todettu keuhkotuberkuloosi, bakteriologisia tai histologisia tutkimuksia ei ole suoritettu","Tuberculosis of lung, bacteriological and histological examination not done",
A16.2,THL,"Kliinisesti todettu keuhkotuberkuloosi, ei tietoa bakteriologisesta tai histologisesta tutkimuksesta","Tuberculosis of lung, without mention of bacteriological or histological confirmation",
A16.3,THL,"Rintakehänsisäisten imusolmukkeiden tuberkuloosi, ei tietoa etiologian varmistamisesta","Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",
A16.4,THL,"Kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi, ei tietoa etiologian varmistuksesta","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",
A16.5,THL,"Tuberkuloottinen keuhkopussin tulehdus, ei tietoa etiologian varmistuksesta","Tuberculous pleurisy, without mention of bacteriological or histological confirmation",
A16.7,THL,"Hengityselinten primaarituberkuloosi, ei tietoa etiologisesta varmistuksesta",Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,
A16.8,THL,"Muu hengityselinten tuberkuloosi, ei tietoa etiologian varmistuksesta","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",
A16.9,THL,"Määrittämättömien hengityselinten tuberkuloosi, ei tietoa etiologisesta varmistuksesta","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",
A17,THL,Hermoston tuberkuloosi,Tuberculosis of nervous system,
A17.0,THL,Tuberkuloosi aivokalvojen tulehduksen syynä,Tuberculous meningitis,
A17.0+G01,THL,Tuberkuloottinen meningiitti,Tuberculous meningitis,
A17.1,THL,Tuberkuloosipesäke aivokalvoilla,Meningeal tuberculoma,
A17.1+G07,THL,Aivokalvojen tuberkulooma,Meningeal tuberculoma,
A17.8,THL,Muu hermoston tuberkuloosi,Other tuberculosis of nervous system,
A17.8+G05.0,THL,Tuberkuloottinen aivokalvo-aivotulehdus,Tuberculous meningoencephalitis,
A17.8+G07,THL,Aivojen tuberkuloosi,Tuberculoma or tuberculosis of brain or spinal cord,
A17.8+G63.0,THL,Tuberkuloottinen monihermosairaus,Tuberculous polyneuropathy,
A17.9+,THL,Määrittämätön hermoston tuberkuloosi,"Tuberculosis of nervous system, unspecified",
A17.9+G99.8,THL,Määrittämätön hermoston tuberkuloosi,"Tuberculosis of nervous system, unspecified",
A18,THL,Muiden elinten tuberkuloosi,Tuberculosis of other organs,
A18.0,THL,Luu- ja niveltuberkuloosi,Tuberculosis of bones and joints,
A18.0+H75.0,THL,Tuberkuloottinen kartiolisäkkeen tulehdus,Tuberculous mastoiditis,
A18.0+M01.1,Google,Tuberkuloottinen nivelinfektio,Tuberculous joint infection,
A18.0+M49.0,THL,Selkärangan tuberkuloosi,Tuberculosis of spine,
A18.0+M68.0,THL,Tuberkuloottinen nivelkalvotulehdus,Tuberculous synovitis,
A18.0+M90.0,Google,Luutuberkuloosi,Luutuberkuloosi,
A18.1,THL,Virtsa- ja sukupuolielinten tuberkuloosi,Tuberculosis of genitourinary system,
A18.1+N29.1,Google,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,Kidney or ureteral disease associated with tuberculosis,
A18.1+N33.0,THL,Virtsarakon tuberkuloosi,Tuberculous cystitis,
A18.1+N51.0,THL,Tuberkuloottinen eturauhastulehdus,Prostatitis tuberculous,
A18.1+N51.1,THL,Kiveksen tuberkuloosi,Tuberculosis of epididymis,
A18.1+N51.8,Google,Miehen sukupuolielinten tuberkuloosi,Male genital tuberculosis,
A18.1+N74.0,THL,Kohdunkaulan tuberkuloosi,Tuberculous infection of cervix uteri,
A18.1+N74.1,THL,Sisäsynnytinten tuberkuloottinen tulehdus,Female tuberculous pelvic inflammatory disease,
A18.1+N77.0,THL,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,Ulceration of vulva in tuberculosis,
A18.2,THL,Tuberkuloottinen perifeerinen imusolmukesairaus,Tuberculous peripheral lymphadenopathy,
A18.3,THL,"Suoliston, suoliliepeen, vatsakalvon tai vatsakalvontakaisen alueen tuberkuloosi","Tuberculosis of intestines, peritoneum and mesenteric glands",
A18.3+K67.3,THL,Tuberkuloottinen vatsakalvotulehdus,Tuberculous peritonitis,
A18.3+K93.0,Google,"Suoliston, vatsakalvon tai suoliliepeen imusolmukkeiden tuberkuloottinen sairaus","Tuberculous disease of the intestinal, peritoneal or mesenteric lymph nodes",
A18.4,THL,Ihon ja ihonalaiskudoksen tuberkuloosi,Tuberculosis of skin and subcutaneous tissue,
A18.4+H03.1,THL,Silmäluomen lupus vulgaris,Lupus vulgaris: of eyelid+,
A18.5,THL,Silmän tuberkuloosi,Tuberculosis of eye,
A18.5+H19.0,THL,Tuberkuloottinen episkleriitti,Lupus episcleritis,
A18.5+H19.2,THL,Tuberkuloosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,Keratitis and keratoconjunctivitis (interstitial) in tuberculosis,
A18.5+H22.0,THL,Tuberkuloottinen värikalvon ja sädekehän tulehdus,Lupus iridocyclitis,
A18.5+H32.0,THL,Tuberkuloottinen suoni- ja verkkokalvon tulehdus,Lupus chorioretinitis,
A18.6,THL,Korvan tuberkuloosi,Tuberculosis of ear,
A18.6+H67.0,THL,Tuberkuloottinen välikorvan tulehdus,Tuberculous otitis media,
A18.7+,THL,Lisämunuaistuberkuloosi,Tuberculosis of adrenal glands,
A18.7+E35.1,THL,Lisämunuaistuberkuloosi,Tuberculosis of adrenal glands,
A18.8,THL,Muun elimen tuberkuloosi,Tuberculosis of other specified organs,
A18.8+D77,THL,Pernan tuberkuloosi,Tuberculosis of spleen,
A18.8+E35.0,THL,Kilpirauhasen tuberkuloosi,Tuberculosis of thyroid gland,
A18.8+I32.0,THL,Sydänpussin tuberkuloosi,Tuberculosis of pericardium,
A18.8+I39.8,THL,Sydämen sisäkalvon tuberkuloosi,Tuberculosis of endocardium,
A18.8+I41.0,THL,Sydänlihaksen tuberkuloosi,Tuberculosis of myocardium,
A18.8+I68.1,THL,Tuberkuloottinen aivovaltimotulehdus,Tuberculous cerebral arteritis,
A18.8+K23.0,THL,Ruokatorven tuberkuloosi,Tuberculous oesophagitis,
A18.8+K77.0,THL,Maksan tuberkuloosi,Liver tuberculosis,
A18.8+K87.1,THL,Haiman tuberkuloosi,Tuberculosis of pancreas,
A19,THL,Miliaarituberkuloosi,Miliary tuberculosis,
A19.0,THL,Yhdessä määritetyssä sijaintipaikassa esiintyvä akuutti miliaarituberkuloosi,Acute miliary tuberculosis of a single specified site,
A19.1,THL,Useassa sijaintipaikassa esiintyvä akuutti miliaarituberkuloosi,Acute miliary tuberculosis of multiple sites,
A19.2,THL,Määrittämätön akuutti miliaarituberkuloosi,"Acute miliary tuberculosis, unspecified",
A19.8,THL,Muu miliaarituberkuloosi,Other miliary tuberculosis,
A19.9,THL,Määrittämätön miliaarituberkuloosi,"Miliary tuberculosis, unspecified",
A20,THL,Rutto,Plague,
A20.0,THL,Paiserutto,Bubonic plague,
A20.1,THL,Ihorutto,Cellulocutaneous plague,
A20.2,THL,Keuhkorutto,Pneumonic plague,
A20.3,THL,Ruton aiheuttama aivokalvotulehdus,Plague meningitis,
A20.7,THL,Ruttoon liittyvä septikemia,Septicaemic plague,
A20.8,THL,Muu ruttomuoto,Other forms of plague,
A20.9,THL,Määrittämätön rutto,"Plague, unspecified",
A21,THL,Tularemia (jänisrutto),Tularaemia,
A21.0,THL,Haavainen tularemia,Ulceroglandular tularaemia,
A21.1,THL,Silmätularemia,Oculoglandular tularaemia,
A21.2,THL,Keuhkotularemia,Pulmonary tularaemia,
A21.2+J17.0,THL,Tularemiaan liittyvä keuhkokuume,Pneumonia (due to)(in) tularaemia,
A21.3,THL,Gastrointestinaalinen tularemia,Gastrointestinal tularaemia,
A21.7,THL,Yleistynyt tularemia,Generalized tularaemia,
A21.8,THL,Muu tularemia,Other forms of tularaemia,
A21.9,THL,Määrittämätön tularemia,"Tularaemia, unspecified",
A22,THL,Pernarutto,Anthrax,
A22.0,THL,Ihopernarutto,Cutaneous anthrax,
A22.1,THL,Keuhkopernarutto,Pulmonary anthrax,
A22.1+J17.0,THL,Pernaruttoon liittyvä keuhkokuume,Pneumonia (due to)(in) anthrax,
A22.2,THL,Gastrointestinaalinen pernarutto,Gastrointestinal anthrax,
A22.7,THL,Pernaruttoon liittyvä septikemia,Anthrax septicaemia,
A22.8,THL,Muu pernaruttomuoto,Other forms of anthrax,
A22.8+G01,THL,Pernaruton aiheuttama aivokalvotulehdus,Anthrax meningitis+,
A22.9,THL,Määrittämätön pernarutto,"Anthrax, unspecified",
A23,THL,Bruselloosi,Brucellosis,
A23.0,THL,Brucella melitensis -bakteerin aiheuttama bruselloosi,Brucellosis due to Brucella melitensis,
A23.1,THL,Brucella abortus -bakteerin aiheuttama bruselloosi,Brucellosis due to Brucella abortus,
A23.2,THL,Brucella suis -bakteerin aiheuttama bruselloosi,Brucellosis due to Brucella suis,
A23.3,THL,Brucella canis -bakteerin aiheuttama bruselloosi,Brucellosis due to Brucella canis,
A23.8,THL,Muu bruselloosi,Other brucellosis,
A23.9,THL,Määrittämätön bruselloosi,"Brucellosis, unspecified",
A23.9+M49.1,THL,Määrittämättömän bruselloosin aiheuttama nikamatulehdus,Brucella spondylitis,
A23.9+N16.0,THL,Bruselloosiin liittyvä tubulointerstitiaalinen munuaissairaus,Renal tubulo-interstitial disorders (due to)(in) brucellosis,
A24,THL,Pseudomonas mallei ja pseudomallei -bakteerien aiheuttamat infektiot,Ghanders and melioidosis,
A24.0,THL,Pseudomonas mallei -bakteerin aiheuttama räkätauti,Glanders,
A24.1,THL,Pseudomonas pseudomallei -bakteerin aiheuttama akuuttivoimakasoireinen valeräkätauti,Acute and fulminating melioidosis,
A24.2,THL,Pseudomonas pseudomallei -bakteerin aiheuttama puoliakuutti tai pitkäaikainen valeräkätauti,Subacute and chronic melioidosis,
A24.3,THL,Muu Pseudomonas mallei -bakteerin aiheuttama valeräkätauti,Other melioidosis,
A24.4,THL,Tarkemmin määrittämätön Pseudomonas pseudomallei -bakteerin aiheuttama valeräkätauti,"Melioidosis, unspecified",
A25,THL,Rotanpuremakuumeet,Rat-bite fevers,
A25.0,THL,Spirilloosi,Spirillosis,
A25.1,THL,Streptobasilloosi,Streptobacillosis,
A25.9,THL,Määrittämätön rotanpuremakuume,"Rat-bite fever, unspecified",
A26,THL,Sikaruusu,Erysipeloid,
A26.0,THL,Ihon sikaruusu,Cutaneous erysipeloid,
A26.7,THL,Erysipehothrix-bakteerin aiheuttama septikemia,Erysipelothrix septicaemia,
A26.8,THL,Muu sikaruusun muoto,Other forms of erysipeloid,
A26.9,THL,Määrittämätön sikaruusu,"Erysipeloid, unspecified",
A27,THL,Leptospiroosi,Leptospirosis,
A27.0,THL,Leptospirosis icterohaemorrhagica,Leptospirosis icterohaemorrhagica,
A27.8,THL,Muu leptospiroosin muoto,Other forms of leptospirosis,
A27.9,THL,Määrittämätön leptospiroosi,"Leptospirosis, unspecified",
A27.9+G01,THL,Leptospiroosiin liittyvä aivokalvotulehdus,Meningitis (in) leptospirosis,
A28,THL,Muut muualla luokittamattomat eläinperäiset bakteerisairaudet,"Other zoonotic bacterial diseases, not elsewhere classified",
A28.0,THL,Pasteurelloosi,Pasteurellosis,
A28.1,THL,Kissanraapaisutauti,Cat-scratch disease,
A28.10,Google,Kissanraapaisutaudin suun alueen ilmentymät,Oral manifestations of feline scrapie,
A28.11,Google,Kaulan imusolmukkeiden tulehdus kissanraapaisutaudissa,Inflammation of the lymph nodes in the neck in feline scrapie,
A28.19,Google,Muu tai määrittämätön kissanraapaisutauti,Other or unspecified feline scrapie,
A28.2,THL,Suoliston ulkopuolinen yersinioosi,Extraintestinal yersiniosis,
A28.8,THL,Muualla luokittamaton muu eläinperäinen bakteerisairaus,"Other specified zoonotic bacterial diseases, not elsewhere classified",
A28.9,THL,Määrittämätön eläinperäinen bakteerisairaus,"Zoonotic bacterial disease, unspecified",
A30,THL,Lepra,Leprosy [Hansen's disease],
A30.0,THL,Epätyypillinen lepra,Indeterminate leprosy,
A30.1,THL,Tuberkuloidilepra,Tuberculoid leprosy,
A30.2,THL,Tuberkuloidilepran rajamuoto,Borderline tuberculoid leprosy,
A30.3,THL,Rajamuotolepra,Borderline leprosy,
A30.4,THL,Lepromatoosilepran rajamuoto,Borderline lepromatous leprosy,
A30.5,THL,Lepromatoosilepra,Lepromatous leprosy,
A30.8,THL,Muu lepran muoto,Other forms of leprosy,
A30.9,THL,Määrittämätön lepra,"Leprosy, unspecified",
A30.9+G63.0,THL,Lepraan liittyvä monihermosairaus,Polyneuropathy (in) leprosy,
A30.9+M01.3,THL,Lepraan liittyvä nivelinfektio,Arthritis in leprosy [Hansen's disease],
A31,THL,Muiden mykobakteerien aiheuttamat infektiot,Infection due to other mycobacteria,
A31.0,THL,Mykobakteriaalinen keuhkoinfektio,Pulmonary mycobacterial infection,
A31.1,THL,Mykobakteriaalinen ihoinfektio,Cutaneous mycobacterial infection,
A31.80,Google,Mycobacterium intracellulare-bakteerin aiheuttamat tulehdusmuutokset suussa,Inflammatory changes in the mouth caused by Mycobacterium intracellulare,
A31.81,Google,Mycobacterium chelonei-bakteerin aiheuttamat tulehdusmuutokset suussa,Inflammatory changes in the mouth caused by Mycobacterium chelonei,
A31.84,Google,Muun tai määrittämättömän mykobakteerin aiheuttama suun alueen infektio,Infection of the oral area caused by another or unspecified mycobacterium,
A31.89,THL,Muu mykobakteriaalinen infektio,Other mycobacterial infections,
A31.9,THL,Määrittämätön mykobakteeri-infektio,"Mycobacterial infection, unspecified",
A32,THL,Listerioosi,Listeriosis,
A32.0,THL,Iholisterioosi,Cutaneous listeriosis,
A32.1,THL,Listerian aiheuttama aivokalvo- ja aivotulehdus,Listerial meningitis and meningoencephalitis,
A32.1+G01,THL,Listerian aiheuttama aivokalvotulehdus,Listerial meningitis,
A32.1+G05.0,THL,Listerioosiin liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) listerial",
A32.7,THL,Listerian aiheuttama septikemia,Listerial septicaemia,
A32.8,THL,Muu listerioosi,Other forms of listeriosis,
A32.8+I39.8,THL,Listerian aiheuttama sydämen sisäkalvon tulehdus,Listerial endocarditis+,
A32.8+I68.1,THL,Listerian aiheuttama aivovaltimotulehdus,Listerial cerebral arteritis,
A32.9,THL,Määrittämätön listerioosi,"Listeriosis, unspecified",
A33,THL,Vastasyntyneen jäykkäkouristus,Tetanus neonatorum,
A34,THL,Synnytykseen liittyvä jäykkäkouristus,Obstetrical tetanus,
A35,THL,Muu jäykkäkouristus,Other tetanus,
A36,THL,Kurkkumätä,Diphtheria,
A36.0,THL,Nielun kurkkumätä,Pharyngeal diphtheria,
A36.1,THL,Nenänielun kurkkumätä,Nasopharyngeal diphtheria,
A36.2,THL,Kurkunpään kurkkumätä,Laryngeal diphtheria,
A36.3,THL,Ihodifteria,Cutaneous diphtheria,
A36.8,THL,Muu kurkkumätä,Other diphtheria,
A36.8+G63.0,THL,Kurkkumädän aiheuttama monihermotulehdus,Diphtheritic polyneuritis+,
A36.8+H13.1,THL,Kurkkumädän aiheuttama sidekalvotulehdus,Diphtheritic conjunctivitis+,
A36.8+I41.0,THL,Kurkkumädän aiheuttama sydänlihastulehdus,Diphtheritic myocarditis+,
A36.8+I43.0,THL,Kurkkumädän sydänlihassairaus,Cardiomyopathy in diphtheria,
A36.8+N16.0,THL,Kurkkumätään liittyvä tubulointerstitiaalinen munuaissairaus,Renal tubulo-interstitial disorders (due to)(in) diphtheria,
A36.9,THL,Määrittämätön kurkkumätä,"Diphtheria, unspecified",
A37,THL,Hinkuyskä,Whooping cough,
A37.0,THL,Bordetella pertussis -bakteerin aiheuttama hinkuyskä,Whooping cough due to Bordetella pertussis,
A37.1,THL,Bordetella parapertussis -bakteerin aiheuttama hinkuyskä,Whooping cough due to Bordetella parapertussis,
A37.8,THL,Muun Bordetella-lajin aiheuttama hinkuyskä,Whooping cough due to other Bordetella species,
A37.9,THL,Määrittämätön hinkuyskä,"Whooping cough, unspecified",
A37.9+J17.0,THL,Hinkuyskään liittyvä keuhkokuume,Pneumonia (due to)(in) whooping cough,
A38,THL,Tulirokko,Scarlet fever,
A38+H67.0,THL,Tulirokko ja välikorvan tulehdus,Otitis media in scarlet fever,
A39,THL,Meningokokki-infektio,Meningococcal infection,
A39.0,Google,Meningokokki aivokalvontulehduksen syynä,Meningococcus as a cause of meningitis,
A39.0+G01,THL,Meningokokin aiheuttama aivokalvotulehdus,Meningococcal meningitis,
A39.1,Google,Meningokokki lisämunuaistulehduksen syynä,Meningococcus as a cause of adrenal inflammation,
A39.1+E35.1,THL,Waterhouse-Friderichsenin oireyhtymä,Waterhouse-Friderichsen syndrome (meningococcal),
A39.2,THL,Akuutti meningokokkemia,Acute meningococcaemia,
A39.3,THL,Pitkäaikainen meningokokkemia,Chronic meningococcaemia,
A39.4,THL,Määrittämätön meningokokkemia,"Meningococcaemia, unspecified",
A39.5,THL,Meningokokki sydänsairauden syynä,Meningococcal heart disease,
A39.5+I32.0,THL,Meningokokin aiheuttama sydänpussin tulehdus,Meningococcal pericarditis,
A39.5+I39.8,THL,Meningokokin aiheuttama sydämen sisäkalvon tulehdus,Meningococcal endocarditis,
A39.5+I41.0,THL,Meningokokin aiheuttama sydänlihaksen tulehdus,Meningococcal myocarditis,
A39.5+I52.0,THL,Tarkemmin määrittämätön meningokokin aiheuttama sydäntulehdus,Meningococcal carditis NOS,
A39.8,THL,Muu meningokokki-infektio,Other meningococcal infections,
A39.8+G05.0,THL,Meningokokkisairauteen liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) meningococcal",
A39.8+H13.1,THL,Meningokokin aiheuttama sidekalvotulehdus,Meningococcal conjunctivitis+,
A39.8+H48.1,THL,Meningokokin aiheuttama silmämunantakainen näköhermotulehdus,Meningococcal retrobulbar neuritis+,
A39.8+M01.0,THL,Meningokokin aiheuttama niveltulehdus,Meningococcal arthritis,
A39.8+M03.0,THL,Meningokokkitulehduksen jälkeinen niveltulehdus,Postmeningococcal arthritis,
A39.9,THL,Määrittämätön meningokokki-infektio,"Meningococcal infection, unspecified",
A40,THL,Streptokokin aiheuttama septikemia,Streptococcal septicaemia,
A40.0,THL,A-ryhmän streptokokin aiheuttama septikemia,"Septicaemia due to streptococcus, group A",
A40.1,THL,B-ryhmän streptokokin aiheuttama septikemia,"Septicaemia due to streptococcus, group B",
A40.2,THL,D-ryhmän streptokokin aiheuttama septikemia,"Septicaemia due to streptococcus, group D",
