concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi,freq_finngen,freq_tays,freq_total
50,Very extensive MRI examination of sella turcica with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4DG,2003-01-01,2030-12-31,NA,Sellan erittäin laaja magneettitutkimus,0,0,0
51,Very extensive MRI examination of sella turcica with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4DM,2009-01-01,2016-12-31,NA,Sellan erittäin laaja 3 Teslan MT,0,0,0
52,Other special CT of sella turcica,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA4XD,1999-01-01,2002-11-10,NA,Sellan muu TT,0,0,0
53,Brain ultrasound examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AE,1999-01-01,2030-12-31,NA,Intrakraniaalitilan ultraäänitutkimus,0,0,0
54,Brain spectroscopy,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AK,1999-01-01,2030-12-31,NA,Aivojen spektroskopia,0,0,0
55,Magnetoencephalography (MEG),Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AL,1999-01-01,2016-12-31,NA,"Aivojen magneettikenttämittaus (magnetoenkefalografia, MEG)",0,0,0
56,Brain isotope imaging,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AN,2009-01-01,2030-12-31,NA,Aivojen gammakuvaus,0,0,0
57,Brain PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AP,2009-01-01,2018-11-30,NA,Aivojen PET,0,0,0
58,PET-CT of brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AR,2016-01-01,2030-12-31,NA,Aivojen PET-tietokonetomografiatutkimus,0,0,0
59,Restricted PET-MRI of brain oxygen consumption,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5AS,2014-01-01,2030-12-31,NA,Aivojen hapenkulutuksen suppea PET-magneettitutkimus,0,0,0
60,CT of cerebral ischaemia,Condition,NOMESCOfi,NOMESCOfi Level 3,NA,AA5BD,2016-01-01,2030-12-31,NA,Aivoiskemian tietokonetomografiatutkimus,0,0,0
61,Extensive brain spectroscopy,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5BK,2003-01-01,2030-12-31,NA,Aivojen laaja spektroskopia,0,0,0
62,Brain blood flow isotope examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5CN,2009-01-01,2030-12-31,NA,Aivoperfuusion gammakuvaus,0,0,0
63,Brain perfusion PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5CP,2009-01-01,2018-11-30,NA,Aivojen perfuusion PET,0,0,0
64,Brain perfusion SPECT with low dose CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5CQ,2009-01-01,2030-12-31,NA,Aivoperfuusion SPET ja matala-annos-TT,0,0,0
65,PET-CT of brain perfusion,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5CR,2020-04-01,2030-12-31,NA,Aivojen perfuusion PET-tietokonetomografiatutkimus,0,0,0
66,PET-MRI of brain perfusion,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5CS,2014-01-01,2030-12-31,NA,Aivojen perfuusion PET-magneettitutkimus,0,0,0
67,Brain metabolism PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5DP,2009-01-01,2018-11-30,NA,Aivojen hapenkulutuksen/aineenvaihdunnan PET,0,0,0
68,Brain metabolism PET with CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5DR,2009-01-01,2030-12-31,NA,Aivojen hapenkulutuksen tai aineenvaihdunnan PET-tietokonetomografiatutkimus,0,0,0
69,PET-MRI of brain metabolism,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5DS,2014-01-01,2030-12-31,NA,Aivojen aineenvaihdunnan PET-magneettitutkimus,0,0,0
70,Brain reseptor or transprot protein distribution isotope imaging,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5EN,2009-01-01,2030-12-31,NA,Aivoreseptoreiden tai kuljettajaproteiinien gammakuvaus,0,0,0
71,Brain reseptor or transportprotein PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5EP,2009-01-01,2018-11-30,NA,Aivojen reseptoreiden/transportterien PET,0,0,0
72,Brain receptor and transport protein SPECT with low dose CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5EQ,2009-01-01,2030-12-31,NA,Aivojen reseptoreiden tai kuljettajaproteiinien SPET ja matala-annos-TT,0,0,0
73,Brain receptor or transportprotein PET with TT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5ER,2009-01-01,2030-12-31,NA,Aivojen reseptoreiden/transportterien PET-tietokonetomografiatutkimus,0,0,0
74,Functional MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5FF,2003-01-01,2010-12-31,NA,Aivojen toiminnallinen magneettitutkimus keskikenttälaitteella,0,0,0
75,Functional MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5FG,2000-01-01,2030-12-31,NA,Aivojen toiminnallinen magneettitutkimus,0,0,0
76,Functional assessment (fMRI) of brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5FK,2011-01-01,2030-12-31,NA,Aivojen toiminnallinen tutkimus (fMRI),0,0,0
77,Functional MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5FM,2009-01-01,2010-12-31,NA,Aivojen toiminnallinen 3 Teslan MT,0,0,0
78,Brain blood volume PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5FP,2009-01-01,2018-11-30,NA,Aivojen veritilavuuden PET,0,0,0
79,Extensive functional MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5GF,2003-01-01,2010-12-31,NA,Aivojen laaja toiminnallinen keskikenttä-MT,0,0,0
80,Extensive functional MRI examination of brain withhigh intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5GG,2003-01-01,2010-12-31,NA,Aivojen laaja toiminnallinen vahvakenttä-MT,0,0,0
81,Extensive functional MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5GM,2009-01-01,2010-12-31,NA,Aivojen laaja toiminnallinen 3 Teslan MT,0,0,0
82,Brain gamma PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5GP,2009-01-01,2018-11-30,NA,Aivojen gamma-PET-tutkimus,0,0,0
83,PET-MRI of brain function,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5GS,2014-01-01,2030-12-31,NA,Aivojen toiminnan PET-magneettitutkimus,0,0,0
84,Brain ultrasound examination in a child,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5HE,1999-01-01,2030-12-31,NA,Lapsen aivojen ultraäänitutkimus,0,0,0
85,Very extensive functional MRI examination of brain with median intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5HF,2003-01-01,2010-12-31,NA,Aivojen erittäin laaja toiminnallinen magneettitutkimus keskikenttälaitteella,0,0,0
86,Very extensive functional MRI examination of brain with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5HG,2000-01-01,2010-12-31,NA,Aivojen erittäin laaja toiminnallinen magneettitutkimus vahvakenttälaitteella,0,0,0
87,Very extensive functional MRI examination of brain with 3 Tesla magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5HM,2009-01-01,2010-12-31,NA,Aivojen erittäin laaja toiminnallinen 3 Teslan MT,0,0,0
88,Brain metabolism extensive PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5JP,2009-01-01,2018-11-30,NA,Aivojen aineenvaihdunnan laaja PET,0,0,0
89,Extensive PET-MRI of brain metabolism,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5JS,2014-01-01,2030-12-31,NA,Aivojen aineenvaihdunnan laaja PET-magneettitutkimus,0,0,0
90,Brain metabolism very extensive PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5KP,2009-01-01,2018-11-30,NA,Aivojen aineenvaihdunnan erittäin laaja PET,0,0,0
91,Very extensive PET-MRI of brain metabolism,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5KS,2014-01-01,2030-12-31,NA,Aivojen aineenvaihdunnan erittäin laaja PET-magneettitutkimus,0,0,0
92,Brain reseptor or transportprotein extensive PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5LP,2009-01-01,2018-11-30,NA,Aivojen reseptoreiden/transportterien laaja PET,0,0,0
93,Brain receptor and transport protein SPECT with low dose CT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5LQ,2009-01-01,2030-12-31,NA,Aivojen reseptoreiden tai kuljettajaproteiinien monivaiheinen SPET ja matala-annos-TT,0,0,0
94,Tractography within white matter of central nervous system,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5NK,2009-01-01,2030-12-31,NA,Keskushermoston valkoisen aineen traktrografia,0,0,0
95,PET-MRI of brain oxygen consumption,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5NS,2014-01-01,2030-12-31,NA,Aivojen hapenkulutuksen PET-magneettitutkimus,0,0,0
96,CT examination of brain pefusion,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5PD,2003-01-01,2030-12-31,NA,Aivojen perfuusio-TT,0,0,0
97,Brain SPECT,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5PS,2014-01-01,2030-12-31,NA,Aivojen veritilavuuden PET-magneettitutkimus,0,0,0
98,SPECT of brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5SN,2009-01-01,2030-12-31,NA,Aivojen SPET,0,0,0
99,Brain reseptor or transport protein very extensive PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5SP,2009-01-01,2018-11-30,NA,Aivojen reseptoreiden/transportterien erittäin laaja PET,0,0,0
100,PET-CT of brain tumours,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5TR,2020-04-01,2030-12-31,NA,Aivotuumoreiden PET-tietokonetomografiatutkimus,0,0,0
101,Brain other PET,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA5XP,2009-01-01,2018-11-30,NA,Aivojen muu PET,0,0,0
102,Cranial sutures X-ray examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA6AA,1999-01-01,2030-12-31,NA,Kallon saumojen röntgen,0,0,0
103,Cranial bones CT examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA6AD,1999-01-01,2030-12-31,NA,Kallon luiden tietokonetomografiatutkimus,0,0,0
104,Cranial bones extensive CT examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA6BD,2003-01-01,2030-12-31,NA,Kallon luiden laaja tietokonetomografiatutkimus,0,0,0
105,Cranial bones very extensive CT examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA6CD,2003-01-01,2030-12-31,NA,Kallon luiden erittäin laaja tietokonetomografiatutkimus,0,0,0
106,Cranial bones CT scout view,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA6JD,2009-01-01,2030-12-31,NA,Kallon pyyhkäisykuvaus-TT,0,0,0
107,Liquor cerebri shunt X-ray examinatin without contrast,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA7AA,1999-01-01,2030-12-31,NA,Aivonesteyhdystien ja laitteiston röntgen (sunttiröntgen),0,0,0
108,Cerebrospinal fluid flow isotope examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA7AN,2009-01-01,2030-12-31,NA,Aivo-selkäydinnesteen kierron gammakuvaus,0,0,0
109,Valvulography or liquor cerebri shunt with contrast,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA7EB,1999-01-01,2030-12-31,NA,Aivokammiosuntin varjoainetutkimus,0,0,0
110,CT of brain cisternas with X-ray positive contrast,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA8DD,1999-01-01,2002-11-10,NA,Aivosisternojen TT röntgenpositiivisella varjoaineella,0,0,0
111,CT of brain cisternas with X-ray negative contrast,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA8ED,1999-01-01,2002-11-10,NA,Aivosisternojen TT röntgennegatiivisella varjoaineella,0,0,0
112,Intraoperative ultrasound examination of CNS,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA9GE,2011-01-01,2030-12-31,NA,Keskushermoston leikkauksenaikainen ultraäänitutkimus,0,0,0
113,Other ultrasound examination of central nervous system,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AA9XE,1999-01-01,2010-12-31,NA,Keskushermoston muu UÄ,0,0,0
114,Brain activity PET examination,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AE3CP,2009-01-01,2018-11-30,NA,Aivojen aktivaation PET,0,0,0
115,PET-CT of brain activation,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AE3CR,2015-01-01,2030-12-31,NA,Aivojen aktivaation PET-tietokonetomografiatutkimus,0,0,0
116,Extensive PET-MRI of brain receptors/transporters,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AR1BS,2014-01-01,2030-12-31,NA,Aivojen reseptoreiden/transporttereiden laaja PET-magneettitutkimus,0,0,0
117,PET-MRI of brain receptors/transporters,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AR1FS,2014-01-01,2030-12-31,NA,Aivojen reseptoreiden ja transporttereiden PET-magneettitutkimus,0,0,0
118,Very extensive PET-MRI of brain receptors/transporters,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AR1QS,2014-01-01,2030-12-31,NA,Aivojen reseptoreiden/transporttereiden erittäin laaja PET-magneettitutkimus,0,0,0
119,Other PET-MRI of brain receptors/transporters,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,AR1XS,2014-01-01,2030-12-31,NA,Aivojen reseptoreiden/transporttereiden muu PET-magneettitutkimus,0,0,0
120,Cerebral angiography with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2AC,1999-01-01,2030-12-31,NA,Aivovaltimoiden varjoainetutkimus,0,0,0
121,CT angiography of brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2AD,2003-01-01,2030-12-31,NA,Aivovaltimoiden TT-angiografia,0,0,0
122,Ultrasound examination of brain artery,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2AE,2006-01-01,2030-12-31,NA,Aivojen valtimon ultraäänitutkimus,0,0,0
123,Cerebral extensive angiography with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2BC,1999-01-01,2030-12-31,NA,Aivovaltimoiden laaja varjoainetutkimus,0,0,0
124,Extensive CT angiography of brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2BD,2003-01-01,2030-12-31,NA,Aivovaltimoiden laaja TT-angiografia,0,0,0
125,Cerebral very extensive angiography with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA2CC,1999-01-01,2030-12-31,NA,Aivovaltimoiden erittäin laaja varjoainetutkimus,0,0,0
126,Carotis angiography with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA3AC,1999-01-01,2030-12-31,NA,Karotisvaltimoiden selektiivinen varjoainetutkimus,0,0,0
127,Direct puncture and X-ray angiongraphy of artery of head and neck,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA3DC,2003-01-01,2010-12-31,NA,Kaulan ja pään valtimon suora pisto ja varjoainetutkimus,0,0,0
128,Vertebralis angiography with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA4AC,1999-01-01,2030-12-31,NA,Nikamavaltimoiden varjoainetutkimus,0,0,0
129,Angiography of arteries to the face with X-ray,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA5AC,1999-01-01,2030-12-31,NA,Kasvojen valtimoiden varjoainetutkimus,0,0,0
130,Angiography of arteries of neck and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7AC,2003-01-01,2030-12-31,NA,Kaula- ja aivovaltimoiden varjoainetutkimus,0,0,0
131,CT angiography of head and neck vasculature,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7AD,2017-01-01,2030-12-31,NA,Pään ja kaulan verisuonten TT-angiografia,0,0,0
132,Extensive angiography of arteries of neck and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7BC,2003-01-01,2030-12-31,NA,Kaula- ja aivovaltimoiden laaja varjoainetutkimus,0,0,0
133,CT angiography of neck and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7BD,2009-01-01,2030-12-31,NA,Pään ja kaulan verisuonten laaja TT-angiografia,0,0,0
134,MRI of head and neck vasculature,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7BG,2017-01-01,2030-12-31,NA,Pään ja kaulan verisuonten magneettitutkimus,0,0,0
135,Very extensive angiography of arteries of neck and brain,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7CC,2003-10-01,2030-12-31,NA,Kaula- ja aivovaltimoiden erittäin laaja varjoainetutkimus,0,0,0
136,"CT angiography of neck and brain, extensive",Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7CD,2009-01-01,2030-12-31,NA,Pään ja kaulan verisuonten erittäin laaja TT-angiografia,0,0,0
137,Extended MRI examination of vessesl in brain and neck with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7CG,2009-01-01,2030-12-31,NA,Pään ja kaulan verisuonten laaja magneettitutkimus,0,0,0
138,Extensive MRI of head and neck vasculature (more than 1.5 T),Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7CM,2011-01-01,2016-12-31,NA,"Pään ja kaulan verisuonten laaja magneettitutkimus (yli 1,5T)",0,0,0
139,Very extended MRI examination of vessesl in brain and neck with high intensity magnet,Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7DG,2009-01-01,2030-12-31,NA,Pään ja kaulan verisuonten erittäin laaja magneettitutkimus,0,0,0
140,Very extensive MRI of head and neck vasculature (more than 1.5 T),Procedure,NOMESCOfi,NOMESCOfi Level 3,NA,PA7DM,2011-01-01,2016-12-31,NA,"Pään ja kaulan verisuonten erittäin laaja magneettitutkimus (yli 1,5T)",0,0,0
