ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
3018X,1335,0.33399%,MUU TAI SEKAMUOTOINEN PERSOONALLISUUSHÄIRIÖ,Other personality disorders
3820A,1286,0.32173%,OTITIS MEDIA SUPPURATIVA ACUTA,Acute suppurative otitis media
6310A,1276,0.31923%,OVUM ABORTIVUM,Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
4741B,1235,0.30897%,HYPERTROPHIA TONSILLAE PHARYNGICAE,Hypertrophy of tonsils and adenoids
4100X,1231,0.30797%,"INFARCTUS MYOCARDII ACUTUS DEFINITUS,MÄÄRITTELEMÄT","Acute myocardial infarction, of anterolateral wall"
6480A,1217,0.30447%,DIABETES MELLITUS IN GRAVIDITATE,"Diabetes mellitus complicating pregnancy, childbirth, or the puerperium"
2957A,1212,0.30322%,SKITSOAFFEKTIIVINEN PSYKOOSI,Schizoaffective disorder
6563B,1210,0.30272%,"ASPHYXIA FOETALIS, SYNNYTYKSEN AIKANA",Fetal distress affecting management of mother
4120X,1208,0.30222%,"STATUS POST INFARCTUM CORDIS,MÄÄRITTELEMÄT",Old myocardial infarction
4630A,1189,0.29746%,TONSILLITIS ACUTA,Acute tonsillitis
7177A,1169,0.29246%,CHONDROMALACIA PATELLAE,Chondromalacia of patella
2959C,1155,0.28896%,"ERILAISTUMATON SKITSOFRENIA,KROONINEN",Unspecified schizophrenia
7804A,1129,0.28245%,VERTIGO,Dizziness and giddiness
3540A,1113,0.27845%,SYNDROMA CANALIS CARPI,Carpal tunnel syndrome
4700A,1109,0.27745%,DEFORMATIO SEPTI NASI,Deviated nasal septum
4120B,1071,0.26794%,"STATUS POST INFARCTUM CORDIS,AHTAUTUNUT",Old myocardial infarction
6918B,1067,0.26694%,ECZEMA ATOPICUM,Other atopic dermatitis and related conditions
7245A,1050,0.26269%,LUMBALGIA NUD,"Backache, unspecified"
7803A,1040,0.26019%,CONVULSIONES,Convulsions
2959E,1015,0.25393%,"ERILAISTUMATON SKITSOFRENIA,KROONINEN AKUUTTI VAIHE",Unspecified schizophrenia
6522B,1013,0.25343%,"PRAESENTATIO CLUNIUM,SYNNYTYKSEN AIKANA",Breech presentation without mention of version
5509A,1012,0.25318%,"HERNIA INGUINALIS SINE GANGR/OBSTR,MEDIALIS","Inguinal hernia, without mention of obstruction or gangrene"
3050A,1011,0.25293%,ALKOHOLIPÄIHTYMYS,Alcohol abuse
5921A,994,0.24868%,URETEROLITHIASIS,Calculus of ureter
6331A,989,0.24743%,GRAVIDITAS ECTOPICA (EXTRAUTERINA) TUBARIA,Tubal pregnancy
6202X,982,0.24568%,CYSTA OVARII ALIA/NUD,Other and unspecified ovarian cyst
0093A,981,0.24543%,RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI,Diarrhea of presumed infectious origin
6256A,940,0.23517%,NAISEN STRESSI-INKONTINENSSI,"Stress incontinence, female"
0092A,937,0.23442%,RIPULI TARTUNTATAUTIPERÄINEN,Infectious diarrhea
7840A,935,0.23392%,CEPHALALGIA,Headache
6440B,931,0.23292%,PARTUS PRAEMATURUS,Threatened premature labor
6171A,921,0.23042%,ENDOMETRIOSIS OVARII,Endometriosis of ovary
6441A,920,0.23017%,"LABORES INHIBITI (""FALSE LABOUR"")",Other threatened labor
2953E,902,0.22566%,"PARANOIDISTYYPPINEN SKITSOFRENIA,KROONINEN AKUUTTI",Paranoid type schizophrenia
7819X,900,0.22516%,SYMPTOMATA ALIA SYSTEMATIS NERVORUM ET MUSCULOSCEL,Other symptoms involving nervous and musculoskeletal systems
8450B,893,0.22341%,"DISTORSIO,DISTENSIO/RUPT. LIGAMENTI LATERALIS TARSI",Ankle sprain
6000A,872,0.21816%,HYPERPLASIA PROSTATAE,Hypertrophy (benign) of prostate
7231A,866,0.21666%,CERVICALGIA,Cervicalgia
5901A,865,0.21641%,PYELONEPHRITIS ACUTA,Acute pyelonephritis
4750B,852,0.21315%,PERITONSILLITIS ABSCEDENS,Peritonsillar abscess
4931A,843,0.21090%,INTRINSIC ASTHMA SINE EXACERBATIONE,Intrinsic asthma
7261X,843,0.21090%,MUU TAI TARKEMMIN MÄÄRITTELEM KIERTÄJÄKALVOSINSDR,Rotator cuff syndrome of shoulder and allied disorders
8360A,837,0.20940%,RUPTURA MENISCI MEDIALIS,"Tear of medial cartilage or meniscus of knee, current"
2961C,832,0.20815%,"VAKAVA MASENNUSTILA,KESKIVAIKEA","Manic disorder, recurrent episode"
3661A,829,0.20740%,CATARACTA SENILIS,Senile cataract
7151E,827,0.20690%,"OSTEOARTHROSIS PRIMARIA, LONKKANIVEL","Osteoarthrosis, localized, primary"
4779A,825,0.20640%,RHINITIS ALLERGICA,"Allergic rhinitis, cause unspecified"
2959A,817,0.20440%,"ERILAISTUMATON SKITSOFRENIA,TARKEMMIN MÄÄRITTELEMÄT",Unspecified schizophrenia
6423A,813,0.20340%,"HYPERTENSIO GRAVIDARUM, ENNEN SYNNYTYSTÄ",Transient hypertension of pregnancy
4660A,794,0.19864%,BRONCHITIS ACUTA,Acute bronchitis
6320A,786,0.19664%,"ABORTUS INHIBITUS (""MISSED ABORTION"")",Missed abortion
4340A,785,0.19639%,THROMBOSIS CEREBRI,Cerebral thrombosis
7849C,785,0.19639%,KUORSAUS,Other symptoms involving head and neck
0088X,784,0.19614%,ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR),"Intestinal infection due to other organism, not elsewhere classified"
6370A,778,0.19464%,RESIDUA POST ABORTUM,Unspecified abortion complicated by genital tract and pelvic infection
6173B,777,0.19439%,ENDOMETRIOSIS RETROUTERINA,Endometriosis of pelvic peritoneum
4511A,775,0.19389%,PHLEBITIS/THROMBOPHLEB. PROFUNDA EXTREM. INFERIORUM,Phlebitis and thrombophlebitis of deep vessels of lower extremities
V230A,766,0.19164%,RISKIRASKAUDEN SEURANTA,Supervision of high-risk pregnancy with history of infertility
2953C,762,0.19064%,"PARANOIDISTYYPPINEN SKITSOFRENIA,KROONINEN",Paranoid type schizophrenia
2200A,752,0.18814%,NEOPLASMA BENIGNUM OVARII,Benign neoplasm of ovary
4402A,741,0.18538%,ARTERIOSCLEROSIS ARTERIAE EXTREMITATIS INFERIORIS,Atherosclerosis of native arteries of the extremities
4600A,738,0.18463%,NASOPHARYNGITIS ACUTA,Acute nasopharyngitis [common cold]
3004A,735,0.18388%,KROONINEN MASENTUNEISUUS,Dysthymic disorder
4930B,732,0.18313%,EXTRINSIC ASTHMA CUM EXACERBATIONE,Extrinsic asthma
6271A,728,0.18213%,METRORRHAGIA POSTMENOPAUSALIS,Postmenopausal bleeding
6146A,726,0.18163%,ADHESIONES PELVEOPERITONEI,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)"
4111X,717,0.17938%,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,MÄÄRITTELEMÄT",Intermediate coronary syndrome
2951C,709,0.17738%,"HEBEFREENISTYYPPINEN SKITSOFRENIA,KROONINEN",Disorganized type schizophrenia
9694A,704,0.17613%,MYRKYTYS:BENTSODIATSEPIINIT,Poisoning by benzodiazepine-based tranquilizers
6170A,703,0.17588%,ENDOMETRIOSIS UTERI,Endometriosis of uterus
6424A,702,0.17563%,"PRAE-ECLAMPSIA  LEVIS, ENNEN SYNNYTYSTÄ",Mild or unspecified pre-eclampsia
6400A,687,0.17187%,ABORTUS IMMINENS,Threatened abortion
2040A,678,0.16962%,LEUCHAEMIA LYMPHATICA ACUTA,"Lymphoid leukemia, acute"
7860A,678,0.16962%,DYSPNOEA,Dyspnea and respiratory abnormalities
7806A,668,0.16712%,FEBRIS,Fever and other physiologic disturbances of temperature regulation
2954A,662,0.16562%,SKITSOFREENISTYYPPINEN PSYKOOSI,Schizophreniform disorder
8242A,659,0.16487%,"FRACTURA MALLEOLI LATERALIS, NON COMPLICATA","Fracture of lateral malleolus, closed"
4556A,657,0.16437%,HAEMORRHOIDES INTERNI ET EXTERNI NON COMPLICATAE,Unspecified hemorrhoids without mention of complication
8404A,652,0.16312%,"KIERTÄJÄKALVOSIMEN NYRJÄHDYS, VENÄHDYS TAI REPEÄMÄ",Rotator cuff (capsule) sprain
8442A,651,0.16287%,DISTORSIO/DISTEN/RUPT.LIG.CRUCIATI ANTERIORIS GENUS,Sprain of cruciate ligament of knee
6611B,628,0.15711%,INERTIA UTERI SECUNDARIA,Secondary uterine inertia
0350X,627,0.15686%,ERYSIPELAS ALIA DEFINITA SEU NUD,Erysipelas
7240B,620,0.15511%,STENOSIS CANALIS SPINALIS LUMBOSACRALIS,"Spinal stenosis, other than cervical"
4640A,613,0.15336%,LARYNGITIS ACUTA,Acute laryngitis
6542B,607,0.15186%,"CICATRIX UTERI POSTOPERATIVA, SYNNYTYKSEN AIKANA",Previous cesarean section complicating pregnancy or childbirth
2961D,606,0.15161%,"VAKAVA MASENNUSTILA,VAIKEA-ASTEINEN","Manic disorder, recurrent episode"
9054A,603,0.15086%,SEQUELAE FRACTURAE ALIAE EXTREMITATIS INFERIORIS,Late effect of fracture of lower extremities
9981A,594,0.14861%,TOIMEENPITEEN AIHEUTTAMA VERENVUOTO TAI HEMATOOMA,Hemorrhage or hematoma complicating a procedure
7221A,589,0.14736%,"PROLAPSUS DISCI INTERVERT THOR, SINE MYELO/RHIZOPAT",Displacement of thoracic or lumbar intervertebral disc without myelopathy
7140B,586,0.14661%,ARTHRITIS RHEUMATOIDES SERONEGATIVA,Rheumatoid arthritis
9985A,575,0.14385%,"POSTOPERATIIVINEN INFEKTIO, TARK MÄÄRITT",Postoperative infection
2008X,566,0.14160%,LYMPHOMA MALIGNUM (NON-HODGKIN) ALIA,Other named variants of lymphosarcoma and reticulosarcoma
6140A,558,0.13960%,S-O-ITIS ACUTA,Acute salpingitis and oophoritis
2780A,553,0.13835%,OBESITAS NON ORIGINE ENDOCRINA,Overweight and obesity
4140B,543,0.13585%,"ATHEROSCLEROSIS ARTER CORON CORDIS,AHTAUTUNUT",Coronary atherosclerosis
6050A,538,0.13460%,PHIMOSIS,Redundant prepuce and phimosis
6270A,537,0.13435%,METRORRHAGIA PRAEMENOPAUSALIS,Premenopausal menorrhagia
9057A,531,0.13285%,"SEQUELAE TORSIONIS, LAESIONE TENDINI EXCEPTA",Late effect of sprain and strain without mention of tendon injury
3000A,529,0.13235%,TARKEMMIN MÄÄRITTELEMÄTÖN AHDISTUNEISUUSHÄIRIÖ,Anxiety states
6622B,528,0.13210%,PARTUS PROLONGATUS STADII II,Prolonged second stage of labor
0086X,527,0.13184%,ENTERITIS VIROSA NUD,Enteritis due to specified virus
6173A,524,0.13109%,ENDOMETRIOSIS SEROSAE PELVIS,Endometriosis of pelvic peritoneum
6289A,524,0.13109%,STERILITAS ET INFERTILITAS MULIERIS NUD PRIM,"Infertility, female, of unspecified origin"
7862A,523,0.13084%,TUSSIS,Cough
5650B,522,0.13059%,FISSURA ANI TYPICA,Anal fissure
4550A,521,0.13034%,HAEMORRHOIDES INTERNI NON COMPLICATAE,Internal hemorrhoids without mention of complication
5301A,518,0.12959%,OESOPHAGITIS REFLUENS,Esophagitis
7200A,517,0.12934%,"SPONDYLARTHRITIS ANKYLOPOETICA, MORBUS BECHTEREW",Ankylosing spondylitis
5740A,515,0.12884%,"CHOLECYSTOLITHIASIS CUM CHOLECYSTITIDE AC,SINE OBST",Calculus of gallbladder with acute cholecystitis
2501B,505,0.12634%,"DIABETES MELLITUS CUM KETOACIDOSI ,TYYPPI I",Diabetes with ketoacidosis
6227A,505,0.12634%,POLYPUS CERVICIS UTERI,Mucous polyp of cervix
4380A,493,0.12334%,SEQUELAE MORBI CEREBROVASCULARIS,"Late effects of cerebrovascular disease, cognitive deficits"
4931B,492,0.12309%,INTRINSIC ASTHMA CUM EXACERBATIONE,Intrinsic asthma
1744A,490,0.12259%,"RINTASYÖPÄ,YLÄLATERAALINELJÄNNES",Malignant neoplasm of upper-outer quadrant of female breast
7174A,489,0.12234%,LAESIO MENISCI LATERALIS,Derangement of lateral meniscus
6180A,486,0.12159%,CYSTOCELE,Prolapse of vaginal walls without mention of uterine prolapse
0781C,476,0.11909%,CONDYLOMA ACCUMINATUM,Viral warts
5990B,475,0.11884%,INFECTIO VIARUM URINARIUM ACUTA,"Urinary tract infection, site not specified"
7143C,475,0.11884%,POLYARTHRITIS JUVENILIS SERONEGATIVA,Juvenile chronic polyarthritis
5741A,469,0.11733%,"CHOLECYSTOLITHIASIS CUM CHOLECYSTITIDE CHR,SINE OBS",Calculus of gallbladder with other cholecystitis
6210A,458,0.11458%,POLYPUS CORPORIS UTERI,Polyp of corpus uteri
6660A,450,0.11258%,HAEMORRHAGIA POST PARTUM STADII III,Third-stage postpartum hemorrhage
6350D,442,0.11058%,"ABORT PROV LEGAL SINE COMPL,ÄIDIN IKÄ <17 V TAI >40",Legally induced abortion complicated by genital tract and pelvic infection
2971A,441,0.11033%,HARHALUULOISUUSHÄIRIÖ,Delusional disorder
7290A,441,0.11033%,FIBROSITIS,"Rheumatism, unspecified and fibrositis"
7263A,435,0.10883%,EPICONDYLITIS LATERALIS HUMERI,Enthesopathy of elbow region
4741A,431,0.10783%,HYPERTROPHIA TONSILLAE PALATINAE,Hypertrophy of tonsils and adenoids
6180C,428,0.10708%,RECTOCELE,Prolapse of vaginal walls without mention of uterine prolapse
6467A,427,0.10683%,HEPATOSIS GRAVIDARUM,Liver and biliary tract disorders in pregnancy
2956C,423,0.10583%,"RESIDUAALINEN SKITSOFRENIA,KROONINEN",Residual type schizophrenic disorders
1350A,422,0.10558%,SARCOIDOSIS,Sarcoidosis
6282B,417,0.10433%,STERIL ET INFERT EX ORIG TUBAE UTERINAE SEC,"Infertility, female, of tubal origin"
6450B,417,0.10433%,GRAVIDITAS PROLANGATA CUM PARTU,Late pregnancy
5562A,415,0.10382%,COLITIS ULCEROSA TOTALIS,Ulcerative (chronic) proctitis
2507B,414,0.10357%,"DIABETES MELLITUS CUM COMPLICAT ALIA ,TYYPPI I",Diabetes with peripheral circulatory disorders
3651A,414,0.10357%,GLAUCOMA SIMPLEX (AVOKULMA),Open-angle glaucoma
6200A,412,0.10307%,CYSTA OVARII FOLLICULARIS,Follicular cyst of ovary
2961E,407,0.10182%,"VAKAVA MASENNUSTILA,VAIKEA-ASTEINEN+PSYKOOT PIIRTEI","Manic disorder, recurrent episode"
7286A,407,0.10182%,CONTRACTURA FASCIAE PALMARIS (DUPUYTREN),Contracture of palmar fascia
6420X,405,0.10132%,"HYPERTENSIO ARTER ESS IN GRAVIDITATE,","Benign essential hypertension complicating pregnancy, childbirth, and the puerperium"
7100A,405,0.10132%,LUPUS ERYTHEMATOSUS DISSEMINATUS,Systemic lupus erythematosus
3459X,403,0.10082%,EPILEPSIA NUD,"Epilepsy, unspecified"
5621B,403,0.10082%,DIVERTICULITIS COLI SINE HAEMORRHAGIA,Diverticula of colon
7260A,403,0.10082%,CAPSULITIS ADHESIVA HUMEROSCAPULARIS,Adhesive capsulitis of shoulder
8363A,400,0.10007%,"LUXATIO PATELLAE, NON COMPLICATA","Dislocation of patella, closed"
6534B,399,0.09982%,"DISPROPORTIO FOETOPELVICA,SYNNYTYKSEN AIKANA",Fetopelvic disproportion
8244A,398,0.09957%,"FRACTURA BIMALLEOLARIS, NON COMPLICATA","Bimalleolar fracture, closed"
7183F,396,0.09907%,"LUXATIO HABITUALIS, POLVI",Recurrent dislocation of joint
8246A,396,0.09907%,"FRACTURA TRIMALLEOLARIS, NON COMPLICATA","Trimalleolar fracture, closed"
3454A,394,0.09857%,EPILEPSIA GENERALISATA SECUNDARIA,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures
8441A,393,0.09832%,DISTORSIO/DISTEN/RUPT.LIGAM.COLLATE. MEDIALIS GENUS,Sprain of medial collateral ligament of knee
8232C,392,0.09807%,"FRACTURA DIAPHYSEOS TIBAE ET FIBULAE,NON COMPLICATA","Fracture of shaft of tibia and fibula, closed"
2951E,389,0.09732%,"HEBEFREENISTYYPPINEN SKITSOFRENIA,KROONINEN AKUUTTI",Disorganized type schizophrenia
2140A,388,0.09707%,LIPOMA,Lipoma of skin and subcutaneous tissue of face
4939A,386,0.09657%,ASTHMA ALIA DEFINITA SINE EXACERBATIONE,"Asthma, unspecified"
7802X,386,0.09657%,SYNCOPE ET COLLAPSUS NUD,Syncope and collapse
4148X,378,0.09457%,"MORBUS CORDIS ISCHAEMICUS ALIA,MÄÄRITTELEMÄT",Other specified forms of chronic ischemic heart disease
6851A,377,0.09432%,CYSTA DERMOIDES SINE INFECTIONE ACUTA,Pilonidal cyst without mention of abscess
7274A,377,0.09432%,GANGLION CARPI,"Ganglion and cyst of synovium, tendon, and bursa"
7228C,376,0.09407%,SYNDROMA LUMBOSACRALE POSTLAMINECTOMIAM,Postlaminectomy syndrome
1830A,374,0.09357%,NEOPLASMA MALIGNUM OVARII,Malignant neoplasm of ovary
5243A,374,0.09357%,POSITIO DENTIUM ABNORMIS,Anomalies of tooth position of fully erupted teeth
6961A,368,0.09207%,PSORIASIS VULGARIS,Other psoriasis
1888X,367,0.09182%,NEOPLASMA MALIGNUM VESICAE URINARIAE LOCO ALIUD,Malignant neoplasm of other specified sites of bladder
2170A,367,0.09182%,NEOPLASMA BENIGNUM MAMMAE,Benign neoplasm of breast
3870A,362,0.09057%,OTOSCLEROSIS,"Otosclerosis involving oval window, nonobliterative"
7188E,362,0.09057%,"MB ARTICULI, LIGAM ET CARTILAG AL DEF,LONKKANIVEL","Other joint derangement, not elsewhere classified"
2503B,361,0.09032%,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,TYYPPI I",Diabetes with other coma
3451A,359,0.08981%,EPILEPSIA GENERALISATA CONVULSIVA,Generalized convulsive epilepsy
4029A,359,0.08981%,DECOMPENSATIO CORDIS NON INDICATA (WHO  II),Unspecified hypertensive heart disease
3090A,356,0.08906%,MASENTUNEISUUTENA ILMENEVÄ SOPEUTUMISHÄIRIÖ,Adjustment disorder with depressed mood
6581A,356,0.08906%,"RUPTURA MEMBRANAE FOETUS ANTE TEMPUS,",Premature rupture of membranes
2988A,355,0.08881%,LYHYTKESTOINEN PSYKOOSIREAKTIO,Other and unspecified reactive psychosis
3012C,355,0.08881%,PSYKOOSIPIIRTEINEN PERSOONALLISUUS,Schizoid personality disorder
6960A,354,0.08856%,PSORIASIS ARTHROPATHICA,Psoriatic arthropathy
7225A,352,0.08806%,DEGENERATIO DISCI INTERVERTEBRALIS THORAC SEU LUMB,Degeneration of thoracic or lumbar intervertebral disc
3400A,350,0.08756%,SCLEROSIS MULTIPLEX (DISSEMINATA),Multiple sclerosis
4270A,348,0.08706%,TACHYCARDIA SUPRAVENTRICULARIS PAROXYSMALIS,Paroxysmal supraventricular tachycardia
2504B,346,0.08656%,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,TYYPPI I",Diabetes with renal manifestations
4276B,344,0.08606%,EXTRASYSTOLIA VENTRICULARIS,Premature beats
5561A,343,0.08581%,PROCTOCOLITIS ULCEROSA,Ulcerative (chronic) ileocolitis
5951A,343,0.08581%,CYSTITIS INTERSTITIALIS CHRONICA,Chronic interstitial cystitis
3074A,339,0.08481%,UNIHÄIRIÖ,Specific disorders of sleep of nonorganic origin
4711A,339,0.08481%,POLYPUS ETHMOIDALIS,Polypoid sinus degeneration
9052A,339,0.08481%,SEQUELAE FRACTURAE  EXTREMITATIS SUPERIORIS,Late effect of fracture of upper extremities
5997A,338,0.08456%,HAEMATURIA,Hematuria
7210A,338,0.08456%,SPONDYLARTHROSIS CERVICALIS SINE MYELOPATHIA,Cervical spondylosis without myelopathy
0086A,337,0.08431%,ENTERITIS VIROSA ROTA,Enteritis due to specified virus
5770D,337,0.08431%,PANCREATITIS ACUTA ALCOHOLICA NONHAEMORHAGICA,Acute pancreatitis
6700A,337,0.08431%,ENDOMETRITIS IN PUERPERIO,"Major puerperal infection, unspecified"
9691A,337,0.08431%,MYRKYTYS:FENTIATSIINIT,Poisoning by phenothiazine-based tranquilizers
3810A,336,0.08406%,OTITIS MEDIA NONSUPPURATIVA ACUTA,Acute nonsuppurative otitis media
8449X,336,0.08406%,DISTORSIO/DISTENSIO/RUPTURA GENUS ET CRURIS NUD,Sprains and strains of unspecified site of knee and leg
6253A,333,0.08331%,DYSMENORRHOEA,Dysmenorrhea
4900A,332,0.08306%,BRONCHITIS NUD,"Bronchitis, not specified as acute or chronic"
4912A,332,0.08306%,BRONCHITIS CHRONICA OBSTRUCTIVA,Obstructive chronic bronchitis
6181A,330,0.08256%,DESCENSUS UTERI,Uterine prolapse without mention of vaginal wall prolapse
9690A,330,0.08256%,MYRKYTYS:MASENNUSLÄÄKKEET,Poisoning by antidepressants
4140X,328,0.08206%,"ATHEROSCLEROSIS ARTER CORON CORDIS,MÄÄRITTELEMÄT",Coronary atherosclerosis
7354A,326,0.08156%,DIGITUS MALLEUS ACQUISITUS,Other hammer toe (acquired)
6582B,325,0.08131%,SYNNYTYKSEN VIIVÄST KÄYNN SIKIÖKALVOJEN PUHJETTUA,Delayed delivery after spontaneous or unspecified rupture of membranes
8448X,322,0.08056%,DISTORSIO/DISTEN/RUPTURA GENUS ET CRURIS ALIA DEFIN,Sprains and strains of other specified sites of knee and leg
8500B,322,0.08056%,"COMMOTIO CEREBRI,EI TAJUTTOMUUTTA",Concussion with no loss of consciousness
7870A,320,0.08006%,NAUSEA ET EMESIS,Nausea and vomiting
6289B,318,0.07956%,STERILITAS ET INFERTILITAS MULIERIS NUD SEC,"Infertility, female, of unspecified origin"
6510B,316,0.07906%,"GEMINI, SYNNYTYKSEN AIKANA",Twin pregnancy
V624A,315,0.07881%,SOSIAALINEN ONGELMA,Social maladjustment
2790C,314,0.07856%,DEFICIENTIA IMMUNOGLOBULINI ALIA,Deficiency of humoral immunity
5621A,314,0.07856%,DIVERTICULOSIS COLI,Diverticula of colon
9058A,312,0.07806%,SEQUELAE LAESIONUM TENDINIS,Late effect of tendon injury
6531B,311,0.07781%,"PELVIS ANGUSTA,SYNNYTYKSEN AIKANA","Generally contracted pelvis in pregnancy, labor, and delivery"
7213A,311,0.07781%,SPONDYLARTHROSIS LUMBOSACRALIS SINE MYELOPATHIA,Lumbosacral spondylosis without myelopathy
7242A,311,0.07781%,LUMBAGO,Lumbago
7225B,309,0.07731%,DEGEN DISCI INTERVERT THORAC SEU LUMBOSACR CUM INST,Degeneration of thoracic or lumbar intervertebral disc
8230A,309,0.07731%,"FRACTURA TIBIAE SEU FIBULAE SUPERIORIS,NON COMPLICA","Fracture of upper end of tibia and fibula, closed"
5509D,306,0.07656%,"HERNIA INGUINALIS SINE GANGR/OBSTR,RECIDIVANS","Inguinal hernia, without mention of obstruction or gangrene"
6610B,305,0.07630%,INERTIA UTERI PRIMARIA,Primary uterine inertia
5308A,304,0.07605%,"HERNIA HIATUS OESOPHAGI (""SLIDING HERNIA"")",Other specified disorders of esophagus
8070A,304,0.07605%,FRACTURA COSTAE,Closed fracture of rib(s)
3660C,301,0.07530%,CATARACTA PRAESENILIS,"Infantile, juvenile, and presenile cataract"
5568X,300,0.07505%,COLITIS ULCEROSA ALIA DEFINITA,Other ulcerative colitis
6264A,300,0.07505%,MENSTRUATIO IRREGULARIS,Irregular menstrual cycle
6510A,298,0.07455%,"GEMINI, RASKAUDEN AIKANA",Twin pregnancy
