code,name_fi,name_en,ICPC_version,main_icd10fi,concept_id,mappingStatus
-50,Lääkitys/lääkemääräys/uusinta/injektio,Medication/prescr/renewal,ICPC2_proc,NA,NA,NOT_MAPPED
-51,Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto,I&d/flush/aspiration,ICPC2_proc,NA,NA,NOT_MAPPED
-52,Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto,Exc/remov/biopsy/destruc/debrid/caut,ICPC2_proc,NA,NA,NOT_MAPPED
-53,Katetrointi/intubointi/laajentaminen,Instrument/catheter/intubate/dilate,ICPC2_proc,NA,NA,NOT_MAPPED
-54,Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto),Repair/fix-suture/cast/prosth device,ICPC2_proc,NA,NA,NOT_MAPPED
-55,Paikallinen lääkeaineinjektio,Local injection/infiltration,ICPC2_proc,NA,NA,NOT_MAPPED
-56,Sidos/kompressi/tamponointi,Dressing/pressure/compress/tamponade,ICPC2_proc,NA,NA,NOT_MAPPED
-57,Fysikaalinen hoito / kuntoutus,Physical medicine/rehabilitation,ICPC2_proc,NA,NA,NOT_MAPPED
-58,Terapeuttinen neuvonta / kuuntelu,Therapeutic counselling/listening,ICPC2_proc,NA,NA,NOT_MAPPED
-59,Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia,Other therap proced/minor surg NEC,ICPC2_proc,NA,NA,NOT_MAPPED
-60,Tutkimustulosten kuuleminen,Result test/procedure,ICPC2_proc,NA,NA,NOT_MAPPED
-61,Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta,Result examination/test/record/letter from other provider,ICPC2_proc,NA,NA,NOT_MAPPED
-62,Hallinnollinen toimenpide,Administrative procedure,ICPC2_proc,NA,NA,NOT_MAPPED
-63,Muu seurantakäynti,Follow-up encounter unspecified,ICPC2_proc,NA,NA,NOT_MAPPED
-64,Hoidonantajan käynnistämä tapahtuma,Encounter/prob initiated by provider,ICPC2_proc,NA,NA,NOT_MAPPED
-65,Muun henkilön käynnistämä tapahtuma,Enc/prob init by other than pt/prov,ICPC2_proc,NA,NA,NOT_MAPPED
-66,Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri),Referral to non-MD provider,ICPC2_proc,NA,NA,NOT_MAPPED
-67,Lähete erikoislääkärille/sairaalaan,Referral to physician/hospital,ICPC2_proc,NA,NA,NOT_MAPPED
-68,Muu lähete,Other referral NEC,ICPC2_proc,NA,NA,NOT_MAPPED
-69,Muu käynnin syy,Other reason for encounter NEC,ICPC2_proc,NA,NA,NOT_MAPPED
A,Yleiset ja epämääräiset,General and Unspecified,ICPC2,NA,NA,NOT_MAPPED
A01,"Kipu, yleinen / monessa paikassa",Pain general/multiple sites,ICPC2,R52.9,45576225,AUTO_MAPPED
A02,Vilunväristykset,Chills,ICPC2,R68.88,45532807,AUTO_MAPPED
A03,Kuume,Fever,ICPC2,R50.9,45600395,AUTO_MAPPED
A04,"Heikkous/väsymys, yleinen",Weakness/tiredness general,ICPC2,R53,45532809,AUTO_MAPPED
A05,Sairauden tunne,Feeling ill,ICPC2,R53,45547384,AUTO_MAPPED
A06,Pyörtyminen,Fainting/syncope,ICPC2,R55,45532812,AUTO_MAPPED
A07,Tajuttomuus,Coma,ICPC2,R40.2,45547387,AUTO_MAPPED
A08,Turvotus,Swelling,ICPC2,R68.88,45755296,AUTO_MAPPED
A09,Hikoiluongelma,Sweating problem,ICPC2,R61.9,45605189,AUTO_MAPPED
A10,"Verenvuoto, määrittämätön",Bleeding/haemorrhage NOS,ICPC2,R58,NA,NOT_MAPPED
A11,"Rintakipu, määrittämätön",Chest pain NOS,ICPC2,R07.4,NA,NOT_MAPPED
A13,Huoli lääkkeen/hoidon sivuvaikutuksesta,Concern/fear medical treatment,ICPC2,Z71.1,NA,NOT_MAPPED
A16,Ärtyisä vauva,Irritable infant,ICPC2,R68.1,45576232,AUTO_MAPPED
A18,Huoli ulkonäöstä,Concern about appearance,ICPC2,R46.8,45755302,AUTO_MAPPED
A20,Eutanasiaan liittyvä keskustelu/pyyntö,Euthanasia request/discussion,ICPC2,Z71.8,45600402,AUTO_MAPPED
A21,Syöpäsairauden riskitekijä,Risk factor for malignancy,ICPC2,Z85.9,45585906,AUTO_MAPPED
A23,"Sairauden riskitekijä, määrittämätön",Risk factor NOS,ICPC2,Z91.8,45532821,AUTO_MAPPED
A25,Kuolemanpelko,Fear of death/dying,ICPC2,Z71.1,45600404,AUTO_MAPPED
A26,"Huoli/pelko syövästä, määrittämätön","Fear of cancer, NOS",ICPC2,Z71.1,45566496,AUTO_MAPPED
A27,"Huoli/pelko muusta sairaudesta, määrittämätön",Fear of other disease NOS,ICPC2,Z71.1,45561695,AUTO_MAPPED
A28,"Toiminnanvajaus, määrittämätön",Limited function/disability NOS,ICPC2,Z73.6,45552168,AUTO_MAPPED
A29,Muu yleisoire/-vaiva,General symptom/complaint other,ICPC2,R68.88,NA,NOT_MAPPED
A30,"Yleiset ja epämääräiset, Laaja terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval complete",ICPC2,NA,45552170,AUTO_MAPPED
A31,"Yleiset ja epämääräiset, Suppea terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval partial",ICPC2,NA,45552171,AUTO_MAPPED
A32,"Yleiset ja epämääräiset, Allergiatutkimus","General and Unspecified, Sensitivity test",ICPC2,NA,45595582,AUTO_MAPPED
A33,"Yleiset ja epämääräiset, Mikrobiologinen/immunologinen koe","General and Unspecified, Microbiological/immunological test",ICPC2,NA,45552175,AUTO_MAPPED
A34,"Yleiset ja epämääräiset, Veritutkimus","General and Unspecified, Blood test",ICPC2,NA,45556894,AUTO_MAPPED
A35,"Yleiset ja epämääräiset, Virtsatutkimus","General and Unspecified, Urine test",ICPC2,NA,45542526,AUTO_MAPPED
A36,"Yleiset ja epämääräiset, Ulostetutkimus","General and Unspecified, Faeces test",ICPC2,NA,45590807,AUTO_MAPPED
A37,"Yleiset ja epämääräiset, Histologinen/sytologinen tutkimus","General and Unspecified, Histological/exfoliative cytology",ICPC2,NA,45547403,AUTO_MAPPED
A38,"Yleiset ja epämääräiset, Muu laboratoriotutkimus","General and Unspecified, Other laboratory test NEC",ICPC2,NA,45552176,AUTO_MAPPED
A39,"Yleiset ja epämääräiset, Kliininen toimintakoe","General and Unspecified, Physical function test",ICPC2,NA,45571426,AUTO_MAPPED
A40,"Yleiset ja epämääräiset, Diagnostinen endoskopia","General and Unspecified, Diagnostic endoscopy",ICPC2,NA,45556901,AUTO_MAPPED
A41,"Yleiset ja epämääräiset, Diagnostinen kuvantaminen","General and Unspecified, Diagnostic radiology/imaging",ICPC2,NA,45532831,AUTO_MAPPED
A42,"Yleiset ja epämääräiset, Elektrofysiologinen tutkimus","General and Unspecified, Electrical tracing",ICPC2,NA,45532834,AUTO_MAPPED
A43,"Yleiset ja epämääräiset, Muu tutkimustoimenpide","General and Unspecified, Other diagnostic procedure",ICPC2,NA,45590815,AUTO_MAPPED
A44,"Yleiset ja epämääräiset, Rokotus / ennaltaehkäisevä lääkitys","General and Unspecified, Preventive immunization/medic",ICPC2,NA,45605203,AUTO_MAPPED
A45,"Yleiset ja epämääräiset, Seuranta/terveysneuvonta/ruokavalioneuvonta","General and Unspecified, Observ/health educat/advice/diet",ICPC2,NA,NA,NOT_MAPPED
A46,"Yleiset ja epämääräiset, Perusterveydenhuollon asiantuntijan konsultaatio","General and Unspecified, Consultation primary care provider",ICPC2,NA,45561706,AUTO_MAPPED
A47,"Yleiset ja epämääräiset, Erikoislääkärin konsultaatio","General and Unspecified, Consultation with specialist",ICPC2,NA,NA,NOT_MAPPED
A48,"Yleiset ja epämääräiset, Potilaan tarpeiden/tulosyyn selvittäminen","General and Unspecified, Clarification/discussion RFE/demand",ICPC2,NA,45755303,AUTO_MAPPED
A49,"Yleiset ja epämääräiset, Muu ennaltaehkäisevä toimenpide","General and Unspecified, Other preventive procedure",ICPC2,NA,45561708,AUTO_MAPPED
A50,"Yleiset ja epämääräiset, Lääkitys/lääkemääräys/uusinta/injektio","General and Unspecified, Medication/prescr/renewal",ICPC2,NA,45605205,AUTO_MAPPED
A51,"Yleiset ja epämääräiset, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","General and Unspecified, I&d/flush/aspiration",ICPC2,NA,45532841,AUTO_MAPPED
A52,"Yleiset ja epämääräiset, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","General and Unspecified, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA,45576242,AUTO_MAPPED
A53,"Yleiset ja epämääräiset, Katetrointi/intubointi/laajentaminen","General and Unspecified, Instrument/catheter/intubate/dilate",ICPC2,NA,45556908,AUTO_MAPPED
A54,"Yleiset ja epämääräiset, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","General and Unspecified, Repair/fix-suture/cast/prosth device",ICPC2,NA,45547415,AUTO_MAPPED
A55,"Yleiset ja epämääräiset, Paikallinen lääkeaineinjektio","General and Unspecified, Local injection/infiltration",ICPC2,NA,45552190,AUTO_MAPPED
A56,"Yleiset ja epämääräiset, Sidos/kompressi/tamponointi","General and Unspecified, Dressing/pressure/compress/tamponade",ICPC2,NA,45755304,AUTO_MAPPED
A57,"Yleiset ja epämääräiset, Fysikaalinen hoito / kuntoutus","General and Unspecified, Physical medicine/rehabilitation",ICPC2,NA,45581127,AUTO_MAPPED
A58,"Yleiset ja epämääräiset, Terapeuttinen neuvonta / kuuntelu","General and Unspecified, Therapeutic counselling/listening",ICPC2,NA,45532847,AUTO_MAPPED
A59,"Yleiset ja epämääräiset, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","General and Unspecified, Other therap proced/minor surg NEC",ICPC2,NA,45600429,AUTO_MAPPED
A60,"Yleiset ja epämääräiset, Tutkimustulosten kuuleminen","General and Unspecified, Result test/procedure",ICPC2,NA,45561722,AUTO_MAPPED
A61,"Yleiset ja epämääräiset, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","General and Unspecified, Result examination/test/record/letter from other provider",ICPC2,NA,NA,NOT_MAPPED
A62,"Yleiset ja epämääräiset, Hallinnollinen toimenpide","General and Unspecified, Administrative procedure",ICPC2,NA,NA,NOT_MAPPED
A63,"Yleiset ja epämääräiset, Muu seurantakäynti","General and Unspecified, Follow-up encounter unspecified",ICPC2,NA,45755305,AUTO_MAPPED
A64,"Yleiset ja epämääräiset, Hoidonantajan käynnistämä tapahtuma","General and Unspecified, Encounter/prob initiated by provider",ICPC2,NA,45532848,AUTO_MAPPED
A65,"Yleiset ja epämääräiset, Muun henkilön käynnistämä tapahtuma","General and Unspecified, Enc/prob init by other than pt/prov",ICPC2,NA,45600432,AUTO_MAPPED
A66,"Yleiset ja epämääräiset, Lähete muulle perusterveydenhuollon ammattihenkilölle","General and Unspecified, Referral to non-MD provider",ICPC2,NA,45556913,AUTO_MAPPED
A67,"Yleiset ja epämääräiset, Lähete erikoislääkärille/sairaalaan","General and Unspecified, Referral to physician/hospital",ICPC2,NA,45595592,AUTO_MAPPED
A68,"Yleiset ja epämääräiset, Muu lähete","General and Unspecified, Other referral NEC",ICPC2,NA,45556915,AUTO_MAPPED
A69,"Yleiset ja epämääräiset, Muu käynnin syy","General and Unspecified, Other reason for encounter NEC",ICPC2,NA,45542534,AUTO_MAPPED
A70,Tuberkuloosi,Tuberculosis,ICPC2,A15.8,45595595,AUTO_MAPPED
A71,Tuhkarokko,Measles,ICPC2,B05.9,45552195,AUTO_MAPPED
A72,Vesirokko,Chickenpox,ICPC2,B01.9,NA,NOT_MAPPED
A73,Malaria,Malaria,ICPC2,B54,NA,NOT_MAPPED
A74,Vihurirokko,Rubella,ICPC2,B06.9,45542537,AUTO_MAPPED
A75,Mononukleoosi,Infectious mononucleosis,ICPC2,B27.9,45571442,AUTO_MAPPED
A76,"Virusperäinen ihottuma, muu",Viral exanthem other,ICPC2,B09,NA,NOT_MAPPED
A77,"Virustauti, muu",Viral disease other/NOS,ICPC2,B34.9,45537744,AUTO_MAPPED
A78,"Tartuntatauti, muu",Infectious disease other/NOS,ICPC2,B99,45542540,AUTO_MAPPED
A79,"Syöpä, määrittämätön",Malignancy NOS,ICPC2,C80.90&,45585933,AUTO_MAPPED
A80,"Vamma, määrittämätön",Trauma/injury NOS,ICPC2,T14.9,45532851,AUTO_MAPPED
A81,Monivamma,Multiple trauma/injuries,ICPC2,T07,45532852,AUTO_MAPPED
A82,Vamman myöhäisseuraus,Secondary effect of trauma,ICPC2,T94.1,45576247,AUTO_MAPPED
A84,Lääkemyrkytys,Poisoning by medical agent,ICPC2,T50.9,45571446,AUTO_MAPPED
A85,Lääkkeen haittavaikutus,Adverse effect medical agent,ICPC2,T88.7#,45755299,AUTO_MAPPED
A86,Muiden aineiden myrkkyvaikutus,Toxic effect non-medicinal substance,ICPC2,T65.9,45542542,AUTO_MAPPED
A87,Kirurgisen tai muun hoidon komplikaatio,Complication of medical treatment,ICPC2,T88.9,45585935,AUTO_MAPPED
A88,Fysikaalisen tekijän haittavaikutus,Adverse effect physical factor,ICPC2,T78.9,45755300,AUTO_MAPPED
A89,Proteesin haittavaikutus,Effect prosthetic device,ICPC2,T85.9,45561731,AUTO_MAPPED
A90,"Synnynnäinen epämuodostuma, määrittämätön/useita",Congenital anomaly NOS/multiple,ICPC2,Q89.7,45581135,AUTO_MAPPED
A91,"Poikkeava tutkimustulos, muu",Abnormal result investigation NOS,ICPC2,R89.9,45566527,AUTO_MAPPED
A92,"Allergia / allerginen reaktio, määrittämätön",Allergy/allergic reaction NOS,ICPC2,T78.4,45576251,AUTO_MAPPED
A93,Ennenaikaisesti syntynyt lapsi,Premature newborn,ICPC2,P07.3,45755301,AUTO_MAPPED
A94,"Vastasyntyneen sairastavuus, muu",Perinatal morbidity other,ICPC2,P96.9,45576252,AUTO_MAPPED
A95,Perinataalikuolema,Perinatal mortality,ICPC2,R95,45571449,AUTO_MAPPED
A96,Kuolema,Death,ICPC2,R99,45566529,AUTO_MAPPED
A97,Ei sairautta,No disease,ICPC2,Z00.0,42616294,AUTO_MAPPED
A98,Terveyden ylläpito / Sairauden ennaltaehkäisy,Health maint/preventive medicine,ICPC2,Z29.9,45755322,AUTO_MAPPED
A99,"Sairaus/tila, luonne tai sijainti määrittämätön",Disease/condition unspecnature/site,ICPC2,R69,45561734,AUTO_MAPPED
B,"Veri, vertamuodostavat elimet ja immuunijärjestelmä",Blood and Immunity,ICPC2,NA,NA,NOT_MAPPED
B02,"Imusolmuke, suurentunut/kivulias",Lymph gland(s) enlarged/painful,ICPC2,R59.0,45552205,AUTO_MAPPED
B04,Vereen / lymfaattiseen kudokseen liittyvä oire/vaiva,Blood symptom/complaint,ICPC2,R68.88,45556928,AUTO_MAPPED
B25,Huoli/Pelko AIDSista/HIV:stä,Fear of AIDS/HIV,ICPC2,Z71.1,45552214,AUTO_MAPPED
B26,Huoli/pelko veren tai verta muodostavien elinten syövästä,Fear cancer blood/lymph,ICPC2,Z71.1,45556934,AUTO_MAPPED
B27,Huoli/pelko veren tai verta muodostavien elinten muusta taudista,Fear blood/lymph disease other,ICPC2,Z71.1,45547444,AUTO_MAPPED
B28,"Toiminnanvajaus, veren / vertamuodostavien kudosten",Limited function/disability (B),ICPC2,Z73.6,NA,NOT_MAPPED
B29,Muu imusuoni-/immuunijärjestelmän oire/vaiva,Lymph/immune mech sympt/complt other,ICPC2,R68.88,NA,NOT_MAPPED
B30,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Laaja terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval complete",ICPC2,NA,45561751,AUTO_MAPPED
B31,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Suppea terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval partial",ICPC2,NA,NA,NOT_MAPPED
B32,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Allergiatutkimus","Blood and Immunity, Sensitivity test",ICPC2,NA,NA,NOT_MAPPED
B33,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Mikrobiologinen/immunologinen koe","Blood and Immunity, Microbiological/immunological test",ICPC2,NA,45755327,AUTO_MAPPED
B34,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Veritutkimus","Blood and Immunity, Blood test",ICPC2,NA,45547449,AUTO_MAPPED
B35,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Virtsatutkimus","Blood and Immunity, Urine test",ICPC2,NA,45537760,AUTO_MAPPED
B36,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ulostetutkimus","Blood and Immunity, Faeces test",ICPC2,NA,45532874,AUTO_MAPPED
B37,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Histologinen/sytologinen tutkimus","Blood and Immunity, Histological/exfoliative cytology",ICPC2,NA,45595615,AUTO_MAPPED
B38,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu laboratoriotutkimus","Blood and Immunity, Other laboratory test NEC",ICPC2,NA,45542560,AUTO_MAPPED
B39,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kliininen toimintakoe","Blood and Immunity, Physical function test",ICPC2,NA,45561755,AUTO_MAPPED
B40,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen endoskopia","Blood and Immunity, Diagnostic endoscopy",ICPC2,NA,45542562,AUTO_MAPPED
B41,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen kuvantaminen","Blood and Immunity, Diagnostic radiology/imaging",ICPC2,NA,45600457,AUTO_MAPPED
B42,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Elektrofysiologinen tutkimus","Blood and Immunity, Electrical tracing",ICPC2,NA,45561756,AUTO_MAPPED
B43,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu tutkimustoimenpide","Blood and Immunity, Other diagnostic procedure",ICPC2,NA,45605236,AUTO_MAPPED
B44,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Rokotus / ennaltaehkäisevä lääkitys","Blood and Immunity, Preventive immunization/medic",ICPC2,NA,45595619,AUTO_MAPPED
B45,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Seuranta/terveysneuvonta/ruokavalioneuvonta","Blood and Immunity, Observ/health educat/advice/diet",ICPC2,NA,45537765,AUTO_MAPPED
B46,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Perusterveydenhuollon asiantuntijan konsultaatio","Blood and Immunity, Consultation primary care provider",ICPC2,NA,45547457,AUTO_MAPPED
B47,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Erikoislääkärin konsultaatio","Blood and Immunity, Consultation with specialist",ICPC2,NA,45542566,AUTO_MAPPED
B48,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Potilaan tarpeiden/tulosyyn selvittäminen","Blood and Immunity, Clarification/discussion RFE/demand",ICPC2,NA,45755328,AUTO_MAPPED
B49,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu ennaltaehkäisevä toimenpide","Blood and Immunity, Other preventive procedure",ICPC2,NA,45600461,AUTO_MAPPED
B50,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lääkitys/lääkemääräys/uusinta/injektio","Blood and Immunity, Medication/prescr/renewal",ICPC2,NA,45556942,AUTO_MAPPED
B51,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","Blood and Immunity, I&d/flush/aspiration",ICPC2,NA,45600462,AUTO_MAPPED
B52,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","Blood and Immunity, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA,45590857,AUTO_MAPPED
B53,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Katetrointi/intubointi/laajentaminen","Blood and Immunity, Instrument/catheter/intubate/dilate",ICPC2,NA,45755306,AUTO_MAPPED
B54,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","Blood and Immunity, Repair/fix-suture/cast/prosth device",ICPC2,NA,45552228,AUTO_MAPPED
B55,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Paikallinen lääkeaineinjektio","Blood and Immunity, Local injection/infiltration",ICPC2,NA,45576275,AUTO_MAPPED
B56,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Sidos/kompressi/tamponointi","Blood and Immunity, Dressing/pressure/compress/tamponade",ICPC2,NA,45571472,AUTO_MAPPED
B57,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Fysikaalinen hoito / kuntoutus","Blood and Immunity, Physical medicine/rehabilitation",ICPC2,NA,45585964,AUTO_MAPPED
B58,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Terapeuttinen neuvonta / kuuntelu","Blood and Immunity, Therapeutic counselling/listening",ICPC2,NA,45605242,AUTO_MAPPED
B59,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","Blood and Immunity, Other therap proced/minor surg NEC",ICPC2,NA,45566559,AUTO_MAPPED
B60,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulosten kuuleminen","Blood and Immunity, Result test/procedure",ICPC2,NA,45755307,AUTO_MAPPED
B61,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","Blood and Immunity, Result examination/test/record/letter from other provider",ICPC2,NA,NA,NOT_MAPPED
B62,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hallinnollinen toimenpide","Blood and Immunity, Administrative procedure",ICPC2,NA,NA,NOT_MAPPED
B63,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu seurantakäynti","Blood and Immunity, Follow-up encounter unspecified",ICPC2,NA,NA,NOT_MAPPED
B64,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hoidonantajan käynnistämä tapahtuma","Blood and Immunity, Encounter/prob initiated by provider",ICPC2,NA,45576277,AUTO_MAPPED
B65,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muun henkilön käynnistämä tapahtuma","Blood and Immunity, Enc/prob init by other than pt/prov",ICPC2,NA,45595622,AUTO_MAPPED
B66,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete muulle perusterveydenhuollon ammattihenkilölle","Blood and Immunity, Referral to non-MD provider",ICPC2,NA,45547463,AUTO_MAPPED
B67,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete erikoislääkärille/sairaalaan","Blood and Immunity, Referral to physician/hospital",ICPC2,NA,45581181,AUTO_MAPPED
B68,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu lähete","Blood and Immunity, Other referral NEC",ICPC2,NA,45547467,AUTO_MAPPED
B69,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu käynnin syy","Blood and Immunity, Other reason for encounter NEC",ICPC2,NA,45566562,AUTO_MAPPED
B70,"Imusolmuketulehdus, akuutti",Lymphadenitis acute,ICPC2,L04.9,45755308,AUTO_MAPPED
B71,"Imusolmuketulehdus, krooninen/määrittämätön",Lymphadenitis chronic/non-specific,ICPC2,I88.9,45576282,AUTO_MAPPED
B72,Hodgkinin tauti / lymfooma,Hodgkin Lymphoma,ICPC2,C81.9,45556951,AUTO_MAPPED
B73,Leukemia,Leukaemia,ICPC2,C95.9,45585970,AUTO_MAPPED
B74,"Pahanlaatuinen veritauti, muu",Malignant neoplasm blood other,ICPC2,C96.9,45532885,AUTO_MAPPED
B75,"Hyvänlaatuinen/muu kasvain, vertamuodostavien elinten",Neoplasm blood benign/unspecified,ICPC2,D47.9,45556953,AUTO_MAPPED
B76,"Pernarepeämä, vamman aiheuttama",Ruptured spleen traumatic,ICPC2,S36.0,45605247,AUTO_MAPPED
B77,"Vamma vertamuodostavassa elimessä / imukudoksessa / pernassa, muu",Injury blood/lymph/spleen other,ICPC2,T14.9,45600467,AUTO_MAPPED
B78,"Anemia, perinnöllinen hemolyyttinen",Hereditary haemolytic anaemia,ICPC2,D58.9,45581185,AUTO_MAPPED
B79,"Synnynnäinen epämuodostuma, verta muodostavien elinten ja imusuoniston, muu",Congen anomaly blood/lymph other,ICPC2,Q89.88,45532887,AUTO_MAPPED
B80,Raudanpuuteanemia,Iron deficiency anaemia,ICPC2,D50.9,45571479,AUTO_MAPPED
B81,"Anemia, B12-vitamiinin/folaatin puute",Anaemia vit B12/folate deficiency,ICPC2,D51.9,45755309,AUTO_MAPPED
B82,"Anemia, muu/määrittämätön",Anaemia other/unspecified,ICPC2,D64.9,45581187,AUTO_MAPPED
B83,Punatäplätauti/hyytymishäiriö,Purpura/coagulation defect,ICPC2,D69.9,45576287,AUTO_MAPPED
B84,"Valkosolujen poikkeama, selittämätön",Unexplained abnormal white cells,ICPC2,R72,NA,NOT_MAPPED
B87,Pernan suurentuma,Splenomegaly,ICPC2,R16.1,45595626,AUTO_MAPPED
B90,HIV/AIDS,HIV-infection/AIDS,ICPC2,B24,45552240,AUTO_MAPPED
B99,Muu veren / verta muodostavan elimen / imukudoksen / pernan sairaus,Blood/lymph/spleen disease other,ICPC2,D75.8,45590874,AUTO_MAPPED
D,Ruoansulatuselimet,Digestive,ICPC2,NA,NA,NOT_MAPPED
