Id_FIN	Abbreviation_FIN	Short name_FIN	Long name_FIN	shortTitle_ENG	ICD-10_FIN	icd10_ENG	Ensisijainen ICD-10_FIN	Parent code_FIN	Hierarchy level_FIN	Alakomponentti (icpc)_FIN	Harkitse (icpc)_FIN	Huom._FIN	Komponentti (icpc)_FIN	Kriteerit (icpc)_FIN	Lehtisolmu_FIN	Mukaan lukien_FIN	Pois lukien_FIN	Subkomponent (icpc)_FIN	Code_ENG	preferred_ENG	inclusion_ENG	exclusion_ENG	criteria_ENG	consider_ENG	note_ENG	ICPC2_mapping	ICPC_version
-40	Diagn. endoskopia	Diagn. endoskopia	Diagnostinen endoskopia	Diagnostic endoscopy					0					kehon onteloiden ja sisäelinten tähystäminen endoskooppia käyttäen		rinoskopia, faryngoskopia, laryngoskopia, trakeoskopia, bronkoskopia, mediastinoskopia, hysteroskopia, kolposkopia, laparoskopia, gastroskopia, kolonoskopia, sigmoidoskopia, rektoskopia, anoskopia, artroskopia	oftalmoskopia -43, fundoskopia -43, dermatoskopia -43		-40	Diagnostic endoscopy	rhinoscopy; pharyngoscopy; laryngoscopy; tracheoscopy; bronchoscopy; mediastinoscopy; hysteroscopy; colposcopy; laparoscopy; gastroscopy; colonoscopy; sigmoidoscopy; rectoscopy; anoscopy; arthroscopy	ophtalmoscopy -43; fundoscopy -43; dermoscopy -43	looking inside the body for medical reasons using an endoscope, an instrument used to examine the interior of a hollow organ or cavity of the body			-40	2
-41	Diagn. kuvantaminen	Diagn. kuvantaminen	Diagnostinen kuvantaminen	Diagnostic radiology/imaging					0					anatomisten rakenteiden kuvantaminen elektromagneettista säteilyä tai ääniaaltoja käyttäen, valokuvaaminen tai videointi diagnostista tarkoitusta varten		röntgen- tai ultraäänitutkimus, tietokonetomografia (TT), magneettikuvaus (MRI), isotooppitutkimus, PET-tutkimus, angiografia, luuston, kilpirauhasen tai sydämen skintigrafia, ihon valokuvaus, isotooppikartoitus, termografia	sädehoito -59		-41	Diagnostic radiology/imaging	x-ray/ultrasound imaging; computed tomography (CT); nuclear medicine; positron emission tomography (PET); magnetic resonance imaging (MRI); angiography; bone/thyroid/heart scintigraphy; isotope scanning; thermography	radiotherapy -59	taking images of anatomic structures through the use of electromagnetic radiation or sound waves			-41	2
-42	Elektrofys. tutk.	Elektrofys. tutk.	Elektrofysiologinen tutkimus	Electrical tracing					0					tutkimus, jonka tarkoituksena on mitata jonkin elimen sähköistä toimintaa (esim. sydän, hermo, aivot, lihas)		sydänfilmi (EKG), rasitus-EKG, Holter-monitorointi, elektromyografia (EMG), aivosähkökäyrä (EEG), elektronystagmografia (ENG)			-42	Electrical tracing	electrocardiogram; exercise electrocardiogram; Holter monitoring; electromyogram (EMG); electroencephalogram (EEG); electronystagmography (ENG)		a test used to measure the electrical activity of an organ (e.g. heart, nerve, brain, muscle)			-42	2
-43	Muu tutkimus	Muu tutkimus	Muu tutkimustoimenpide	Other diagnostic procedure					0							oftalmoskopia, dermatoskopia, diagnostinen laparotomia, dementiatesti, älykkyystesti, masennustesti, ahdistuneisuustesti	Helicobacter pylori -hengityskoe -38, endoskopia -40, biopsia -52, punktio -52		-43	Other diagnostic procedure	ophtalmoscopy; dermatoscopy; diagnostic laparotomy; dementia test; intelligence test; depression test; anxiety test; skin photo		a skin photo is a photography/video recording for diagnostic purpose			-43	2
-44	Rokotus / enn.ehk.lääk.	Rokotus / enn.ehk.lääk.	Rokotus / ennaltaehkäisevä lääkitys	Preventive immunization/medic					0		Lääkitys -50	Jos potilaalla on todennettavissa jokin tila (esim. kohonnut verenpaine), jota hoidetaan lääkehoidolla, käytä lääkityksen koodia -50		immunisaatio/siedätyshoito/ennaltaehkäisevä lääkitys, joka on tarkoitettu välttämään tiloja/reaktioita, jotka eivät ole olemassa määräyshetkellä		aktiivinen tai passiivinen immunisaatio, profylaktinen lääkehoito (esim. malarian estolääkitys), raskauden ennaltaehkäisy, siedätyshoito			-44	Preventive immunization/medication	active/passive immunization; prophylactic treatment with drugs e.g. malaria prophylaxis; desensitisation		immunization/desensitisation/preventive medication used to avoid conditions/reactions, not present at the time of prescribing	-50 medication; contraceptive medication W11. If contraceptive medication is prescribed for medical reasons, use the code for medication -50.	If the patient has a condition (e.g. hypertension), use the code for medication -50.  	-44	2
-45	Seuranta/neuvonta	Seuranta/neuvonta	Seuranta/terveysneuvonta/ruokavalioneuvonta	Observ/health educat/advice/diet					0					terveysongelmien ennaltaehkäisy ja terveysneuvonta		terveellisiä tapoja ja käyttäytymistä tukeva neuvonta, terveysongelmien ehkäisy, perhesuunnitteluun liittyvä neuvonta, terveyspalvelujen käyttöä tukeva neuvonta, työterveyttä tai sosiaalisia ongelmia koskeva neuvonta, tilanteen seuranta tai tarkkailu	terapeuttinen keskustelu/kuunteleminen -58		-45	Observation/health education/advice/diet	advice on healthy behaviour; prevention of health problems; advice on pregnancy and family planning; advice on regarding the use of health services; advice on regarding occupational health/social problems; watchful waiting	therapeutic counselling/listening  -58	prevention of health problems and advice on healthy behaviour			-45	2
-46	Pth konsultaatio	Pth konsultaatio	Perusterveydenhuollon asiantuntijan konsultaatio	Consultation primary care provider					0		Hoitovastuu säilyy edelleen alkuperäisellä perusterveydenhuollon ammattihenkilöllä			konsultaatio toisen perusterveydenhuollossa toimivan ammattihenkilön kanssa riippumatta siitä, onko potilas läsnä vai ei		telelääketieteellinen konsultaatio perusterveydenhuollossa toimivan ammattihenkilön kanssa	erikoislääkärin konsultaatio -47, lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri) -66, lähete erikoislääkärille/sairaalaan -67, muualla luokittelematon lähete -68		-46	Consultation with primary care provider	telemedicine consultation with primary care provider	consultation with specialist -47; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68	consultation with another primary care provider, regardless whether the patient is present or not		Treatment responsibility remains at the original primary care provider.	-46	2
-47	Esh konsultaatio	Esh konsultaatio	Erikoislääkärin konsultaatio	Consultation with specialist					0		Hoitovastuu säilyy edelleen alkuperäisellä perusterveydenhuollon ammattihenkilöllä			erikoislääkärin konsultaatio riippumatta siitä, onko potilas läsnä vai ei		telelääketieteellinen konsultaatio erikoislääkärin kanssa	perusterveydenhuollon asiantuntijan konsultaatio -46, lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri) -66, lähete erikoislääkärille/sairaalaan -67, muualla luokittelematon lähete -68		-47	Consultation with specialist	telemedicine consultation with specialist	consultation with primary care provider -46; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68	consultation with a specialist, regardless whether the patient is present or not		Treatment responsibility remains at the original primary care provider.	-47	2
-48	Pot. tarpeiden selvitt.	Pot. tarpeiden selvitt.	Potilaan tarpeiden/tulosyyn selvittäminen	Clarification/discussion RFE/demand					0		Seuranta/terveysneuvonta/ruokavalioneuvonta -45			potilaan tulosyytä tai tarpeita koskeva vuoropuhelu perusterveydenhuollon ammattihenkilön ja potilaan välillä, ja heidän  vastavuoroinen arviointinsa seulonnan, hoidon tai muiden toimenpiteiden toteuttamismahdollisuuksista		keskustelu seulontatestien tarpeellisuudesta			-48	Clarification/discussion of patient's RFE/demand	discussion about the need of screening tests		dialogue between the primary health care provider and the patient about the patient’s reason for encounter or demand, and their mutual assessment of opportunities for screening/treatment/other interventions	Observation/health education/advice/diet -45		-48	2
-49	Muu ennaltaehk. tmp	Muu ennaltaehk. tmp	Muu ennaltaehkäisevä toimenpide	Other preventive procedure					0		Laaja terveydentilan arviointi/tarkastus -30, Suppea terveydentilan arviointi/tarkastus -31 , Lääkitys/lääkemääräys/uusinta/injektio -50					terveysongelmien ja ympäristöriskien arviointi yhteisössä, terveysongelmien ja ympäristöriskien arviointi työpaikalla,  terveysongelmien ja ympäristöriskien arviointi koulussa, terveysongelmien ja ympäristöriskien arviointi kodissa, lääkityksen kokonaisarvio	rokotus -44, ennaltaehkäisevä lääkitys -44		-49	Other preventive procedure	assessment of health conditions and environmental risks	complete check-up/well-baby exam -30; screening of single health problems/check-up for patient with specific chronic disease(s) -31, medication/prescription/renewal/injection -50				-49	2
-50	Lääkitys	Lääkitys	Lääkitys/lääkemääräys/uusinta/injektio	Medication/prescr/renewal					0		Rokotus / ennaltaehkäisevä lääkitys -44	Määrätyn sairauden/tilan hoitaminen lääkkein tulee luokitella tässä				lääkityksen määrääminen, lääkityksen uusiminen, lääkkeen antaminen, systeemisesti vaikuttavan lääkeinjektion antaminen, siedätyshoito	venesektio -51, paikallisesti vaikuttavan injektion antaminen -55, akupunktio -59		-50	Medication/prescription/renewal	prescribing of medication; prescribing of an injectable drug; renewal of medication; administration of medication	preventive immunization/medication -44; venesection -51; injection of medication with local effect -55; acupuncture -59			Clarify what drug is meant.	-50	2
-51	Aukaisu/kanylointi/huuht.	Aukaisu/kanylointi/huuht.	Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto	I&d/flush/aspiration 					0							paiseen avaus tai inkiisio, hematooman punktio tai tyhjennys, poskiontelon punktio, rakkopunktio, nivelpunktio, kystan punktio tai tyhjennys, limapussin punktio tai tyhjennys, ganglion punktio tai tyhjennys, pleurapunktio, ventrikkelin punktio tai tyhjennys, venesektio, askitespunktio, lumbaalipunktio, tympanostomia, parasenteesi, torakosenteesi, amniosenteesi, korvan tai silmän huuhtelu	verikoe -34, virtsakoe -35, ekskiisio -52, katetrointi -53, tympanostomia-putken laitto -53, peräruiske -53, proteesin laitto/poisto -54, akupunktio -59, vierasesineen poisto -59		-51	Incision/drainage/flushing/aspiration/removal body fluid 	incision of abscess; puncture/aspiration of hematoma; puncture/aspiration of sinus; puncture/aspiration of the urinary bladder; puncture/aspiration of joint; puncture/aspiration of cyst; puncture/aspiration of bursa; puncture/aspiration of ganglion; puncture/aspiration of lungs; puncture/aspiration of stomach; venesection; ascitic fluid puncture; lumbar puncture; tympanostomy; paracentesis; thoracentesis; irrigation of ear/eye	blood test -34; urine test -35; amniocentesis -38; excision -52; catheterization -53; tympanostomy tube insertion/removal -53; enema -53; prosthetic device -54; acupuncture -59; removal of foreign body -59				-51	2
-52	Kudoksen poisto/poltto	Kudoksen poisto/poltto	Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto	Exc/remov/biopsy/destruc/debrid/caut					0							kudoksen poisto tai ekskiisio, elinbiopsia, ihobiopsia, kynnen poisto tai kiilaekskiisio, hampaan poisto, amputaatio, embolektomia, suonikohjuleikkaus, sterilisaatio, kohdun kaavinta, ihon kaavinta, hermon tuhoaminen, laskimon tuhoaminen, kirurginen revisio, mekaaninen tuhoaminen, kemiallinen tuhoaminen, autolyyttinen tuhoaminen, toukkaterapia, tuhoaminen polttamalla, jäädytyshoito, kemiallinen syövytyshoito, poltto diatermialla, poltto laserilla	Papa-näytteen otto -37		-52	Excision/removal tissue/biopsy/destruction/debridement/cauterization	excision/removal tissue; biopsy of organ; biopsy of skin; excision/removal of nail; extraction of tooth; amputation; embolectomy; vein stripping; sterilisation; uterine curettage; skin curettage; nerve destruction; vein destruction; surgical debridement; mechanical debridement; chemical debridement; autolytic debridement; maggot therapy; burning cauterization; cold cauterization; chemical cauterization; electric cauterization; laser cauterization	cervical smear -37				-52	2
-53	Katetrointi/intub.	Katetrointi/intub.	Katetrointi/intubointi/laajentaminen	Instrument/catheter/intubate/dilate					0		Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto -51					endotrakeaalinen intubaatio, trakeotomia, tympanostomiaputken asennus, peräruiske, katetrointi, kyynelkanavan laajentaminen, virtsaputken laajentaminen, kohdunkaulan laajentaminen, sikiökalvojen puhkaisu, suonensisäinen kanylointi	hormonisauvaimplantin asennus -54		-53	Instrumentation/catheterization/intubation/dilation	endotracheal intubation; tracheotomy; tympanostomy tube insertion/removal; enema; catheterization; lacrimal dilatation; urethral dilatation; uterine cervical dilatation; artificial rupture of the amniotic membranes; intravenous cannulation	implantation of a hormone or long acting drug -54		incision/drainage/flushing/aspiration/removal body fluid -51		-53	2
-54	Ompelu/korjaus/kipsaus	Ompelu/korjaus/kipsaus	Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)	Repair/fix-suture/cast/prosth device					0			Kaksoiskoodaa -50 kanssa, jos toimenpiteeseen liittyy lääkitys				ompelu, kirurginen liima, haavan perhosteippaus, ompeleen poisto, nyrjähdyksen hoito, repositio, sijoiltaanmenon korjaus, murtuman hoito, ortopedinen proteesi, tuki tai lasta(t), ortoosi(t), plastiikkakirurginen toimenpide, teippaus, mitella, tyrävyö, sähköinen hermoärsytys (THS), sähköinen lihasärsytys, kuulokojeet, silmälasit ja näön apuvälineet, tekniset apuvälineet ja kojeet, hammasimplantit, hormonisauvaimplantti, pessaarin  tai kierukan asettaminen	amputaatio -52, vierasesineen poisto -59, verensiirto -59, transplantaatio -59		-54	Repair/fixation-suture/cast/prosthetic device (apply/remove)	sutures/stitches; surgical glue; strip-plaster; strapping for sprains; treatment of luxation; treatment of fracture; orthopaedic prosthetic(s); brace(s); orthose(s); strapping; sling; hernia support; hearing aids and device(s); visual aids and device(s); technical aids and device(s); denture(s); implantation of a hormone or long acting drug; vaginal pessary/IUD; pacemaker; stent	amputation -52; removal of foreign body-59; blood transfusion -59; plastic surgery -59; transplantation -59			In this rubric is included also devices, which are not prosthetic devices. Insertion of IUD should not be used as a problem label, but only as a process code. The problem should be coded W12. The hormone stave implantation should not be used as a problem label, but only as a process code. The problem should be coded W14. Clarify what drug is meant.	-54	2
-55	Paikall. lääkeaineinjekt.	Paikall. lääkeaineinjekt.	Paikallinen lääkeaineinjektio	Local injection/infiltration					0		Rokotus / ennaltaehkäisevä lääkitys  -44, Lääkitys/lääkemääräys/uusinta/injektio -50 (kun kyseessä systeemisesti vaikuttava lääkeaineinjektio)	Kaksoiskoodaa -50 kanssa, jos myös lääkitys on määrätty		lääkeaineen injektointi ihoon/ pehmytkudokseen/lihakseen/elimeen paikallisen vaikutuksen saavuttamiseksi		epiduraali-injektio, intradermaalinen injektio, subkutaaninen injektio, intramuskulaarinen injektio, intravenöösi injektio, nivelinjektio, limapussi-injektio, jännetuppi-injektio, sklerosoiva laskimoinjektio suonikohjuissa, hermoblokadi	akupunktio -59, verensiirto -59		-55	Local injection/infiltration	epidural injection; skin injection; subcutaneous tissue injection; intramuscular injection; intravenous injection; joint injection; bursa injection; tendon sheath injection; sclerosing injection for varices; nerve block	vaccination -55; injection with systemic effect -50; acupuncture -59; blood transfusion -59			Double code with -50, if medication is prescribed. Clarify what drug is meant.	-55	2
-56	Sidos/kompr./tampon.	Sidos/kompr./tampon.	Sidos/kompressi/tamponointi	Dressing/pressure/compress/tamponade					0		Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto) -54, Lähete muulle perusterveydenhuollon ammattihenkilölle -66					tukisidos, haavasidos, silmälapun asettaminen	haavan perhosteippaus -54		-56	Dressing/pressure/compression/tamponade	application of an eye pad; support bandage; wound bandage	applying strip-plaster -54		repair/fixation-suture/cast/prosthetic device -54; referral to a nurse -66	Double code with -50, if medication is involved.	-56	2
-57	Fys.hoito/kuntoutus	Fys.hoito/kuntoutus	Fysikaalinen hoito / kuntoutus	Physical medicine/rehabilitation					0		Lähete muulle perusterveydenhuollon ammattihenkilölle -66, Lähete erikoislääkärille/sairaalaan, Muu lähete -68			kuntoutus, jossa terveydenhuollon ammattihenkilö on läsnä		kiropraktinen hoito, fysioterapia, toimintaterapia, jalkahoito, lihasvoiman parantaminen, kuntoilu, lihasharjoittelu, puheterapia, spesifi vaativa kuntoutus, lämmön, kylmän, ultraäänen tai sähkövirran käyttäminen lääkinnälliseen tarkoitukseen			-57	Physical medicine/rehabilitation	chiropractic physiotherapy; ergotherapy; podiatry; strength; physical medicine; rehabilitation; fitness training; muscle exercise; speech therapy; specific disability rehabilitation; using heat/cold/ultrasound/electrical current for therapeutic purposes; electronic nerve stimulator; electronic muscle stimulator	psychosocial (drug or alcohol) rehabilitation -58; referral to other primary health care provider -66; referral to physician -67; referral for rehabilitation -68				-57	2
-58	Terapeuttinen neuvonta	Terapeuttinen neuvonta	Terapeuttinen neuvonta / kuuntelu	Therapeutic counselling/listening					0		Fysikaalinen hoito / kuntoutus -57			ammattihenkilön ja potilaan välinen keskustelu, jolla on terapeuttinen tarkoitus ja jonka avulla potilasta voidaan tukea tulemaan toimeen sairautensa kanssa (muulla tarkemmin määritellyllä tavalla kuin yksinkertaisella neuvolla)		motivoiva haastattelu, supportiivinen psykoterapia, määriteltyyn sairauteen liittyvä neuvonta	seuranta/terveysneuvonta/ruokavalioneuvonta -45		-58	Therapeutic counselling/listening	motivational interview; supportive psychotherapy; counselling for a specific disease	observation/health education/advice/diet -45	counselling/listening by the provider with a specific therapeutic aim for a patient to be able to cope with his/her disease, in a more comprehensive  fashion than simple advice	physical medicine/rehabilitation -57	Counselling: a term used to describe a process of consultation and discussion in which one individual (the counsellor) listens and offers guidance or advice to another who is experiencing difficulties (the patient). The counsellor does not direct or make decisions for the client. The general aim is to solve problems, increase awareness, and promote constructive exploration of difficulties so that the future may be approached more confidently and more constructively.	-58	2
-59	Muu hoitotoimenpide	Muu hoitotoimenpide	Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia	Other therap proced/minor surg NEC					0							elvytys, resuskitaatio, CPR, happihoito, akupunktio, dialyysi, synnytys, keisarileikkaus tai vaativa kirurgia			-59	Other therapeutic procedure/minor surgery NEC	cardiopulmonary resuscitation; oxygen therapy; acupuncture; removal of foreign body; blood transfusion; plastic surgery; transplantation; dialysis; delivery/ caesarean section/major surgery					-59	2
-60	Tulosten kuuleminen	Tulosten kuuleminen	Tutkimustulosten kuuleminen	Result test/procedure					0		Seuranta/terveysneuvonta/ruokavalioneuvonta -45, jos potilas pyytää saada tietoa taustalla olevasta ongelmasta tai tutkimustulosten edellyttämistä jatkotoimenpiteistä	Tätä koodia ei voi käyttää toimenpidetiedon (prosessin) dokumentointiin, vaan ainoastaan potilaan tulosyytiedon kirjaamiseen.		tulosten saanti kokeista tai toimenpiteistä, joita on määrätty tai suoritettu terveydenhuollon ammattihenkilön toimesta: veritutkimus, kuvantaminen, sähköinen rekisteröinti tai muu					-60	Result test/procedure			results from tests or procedures ordered / performed by the health care provider: blood, imaging, electrical tracing or other	-45 health education, advice, if the patient requests information on the underlying problem or consequences of the results	This code can only be used to classify a reason for encounter.	-60	2
