concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_main_icd10fi,tmp_name_fi,tmp_name_en_source
42,Referral to physician/hospital,Procedure,ICPC,ICPC2proc,NA,-67,1970-01-01,2099-12-31,NA,NA,Lähete erikoislääkärille/sairaalaan,THL
43,Other referral NEC,Procedure,ICPC,ICPC2proc,NA,-68,1970-01-01,2099-12-31,NA,NA,Muu lähete,THL
44,Other reason for encounter NEC,Procedure,ICPC,ICPC2proc,NA,-69,1970-01-01,2099-12-31,NA,NA,Muu käynnin syy,THL
45,General and Unspecified,Condition,ICPC,ICPC2,NA,A,1970-01-01,2099-12-31,NA,NA,Yleiset ja epämääräiset,THL
46,Pain general/multiple sites,Condition,ICPC,ICPC2,NA,A01,1970-01-01,2099-12-31,NA,R52.9,"Kipu, yleinen / monessa paikassa",THL
47,Chills,Condition/Obs,ICPC,ICPC2,NA,A02,1970-01-01,2099-12-31,NA,R68.88,Vilunväristykset,THL
48,Fever,Condition,ICPC,ICPC2,NA,A03,1970-01-01,2099-12-31,NA,R50.9,Kuume,THL
49,Weakness/tiredness general,Condition,ICPC,ICPC2,NA,A04,1970-01-01,2099-12-31,NA,R53,"Heikkous/väsymys, yleinen",THL
50,Feeling ill,Condition,ICPC,ICPC2,NA,A05,1970-01-01,2099-12-31,NA,R53,Sairauden tunne,THL
51,Fainting/syncope,Condition,ICPC,ICPC2,NA,A06,1970-01-01,2099-12-31,NA,R55,Pyörtyminen,THL
52,Coma,Condition,ICPC,ICPC2,NA,A07,1970-01-01,2099-12-31,NA,R40.2,Tajuttomuus,THL
53,Swelling,Condition/Obs,ICPC,ICPC2,NA,A08,1970-01-01,2099-12-31,NA,R68.88,Turvotus,THL
54,Sweating problem,Condition,ICPC,ICPC2,NA,A09,1970-01-01,2099-12-31,NA,R61.9,Hikoiluongelma,THL
55,Bleeding/haemorrhage NOS,Condition,ICPC,ICPC2,NA,A10,1970-01-01,2099-12-31,NA,R58,"Verenvuoto, määrittämätön",THL
56,Chest pain NOS,Condition,ICPC,ICPC2,NA,A11,1970-01-01,2099-12-31,NA,R07.4,"Rintakipu, määrittämätön",THL
57,Concern/fear medical treatment,Condition,ICPC,ICPC2,NA,A13,1970-01-01,2099-12-31,NA,Z71.1,Huoli lääkkeen/hoidon sivuvaikutuksesta,THL
58,Irritable infant,Condition,ICPC,ICPC2,NA,A16,1970-01-01,2099-12-31,NA,R68.1,Ärtyisä vauva,THL
59,Concern about appearance,Condition,ICPC,ICPC2,NA,A18,1970-01-01,2099-12-31,NA,R46.8,Huoli ulkonäöstä,THL
60,Euthanasia request/discussion,Procedure,ICPC,ICPC2,NA,A20,1970-01-01,2099-12-31,NA,Z71.8,Eutanasiaan liittyvä keskustelu/pyyntö,THL
61,Risk factor for malignancy,Observation,ICPC,ICPC2,NA,A21,1970-01-01,2099-12-31,NA,Z85.9,Syöpäsairauden riskitekijä,THL
62,Risk factor NOS,Observation,ICPC,ICPC2,NA,A23,1970-01-01,2099-12-31,NA,Z91.8,"Sairauden riskitekijä, määrittämätön",THL
63,Fear of death/dying,Condition,ICPC,ICPC2,NA,A25,1970-01-01,2099-12-31,NA,Z71.1,Kuolemanpelko,THL
64,"Fear of cancer, NOS",Condition,ICPC,ICPC2,NA,A26,1970-01-01,2099-12-31,NA,Z71.1,"Huoli/pelko syövästä, määrittämätön",THL
65,Fear of other disease NOS,Condition,ICPC,ICPC2,NA,A27,1970-01-01,2099-12-31,NA,Z71.1,"Huoli/pelko muusta sairaudesta, määrittämätön",THL
66,Limited function/disability NOS,Observation,ICPC,ICPC2,NA,A28,1970-01-01,2099-12-31,NA,Z73.6,"Toiminnanvajaus, määrittämätön",THL
67,General symptom/complaint other,Condition/Obs,ICPC,ICPC2,NA,A29,1970-01-01,2099-12-31,NA,R68.88,Muu yleisoire/-vaiva,THL
68,"General and Unspecified, Medical examin/health eval complete",Condition,ICPC,ICPC2,NA,A30,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Laaja terveydentilan arviointi/tarkastus",THL
69,"General and Unspecified, Medical examin/health eval partial",Condition,ICPC,ICPC2,NA,A31,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Suppea terveydentilan arviointi/tarkastus",THL
70,"General and Unspecified, Sensitivity test",Condition,ICPC,ICPC2,NA,A32,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Allergiatutkimus",THL
71,"General and Unspecified, Microbiological/immunological test",Condition,ICPC,ICPC2,NA,A33,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Mikrobiologinen/immunologinen koe",THL
72,"General and Unspecified, Blood test",Condition,ICPC,ICPC2,NA,A34,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Veritutkimus",THL
73,"General and Unspecified, Urine test",Condition,ICPC,ICPC2,NA,A35,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Virtsatutkimus",THL
74,"General and Unspecified, Faeces test",Condition,ICPC,ICPC2,NA,A36,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Ulostetutkimus",THL
75,"General and Unspecified, Histological/exfoliative cytology",Condition,ICPC,ICPC2,NA,A37,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Histologinen/sytologinen tutkimus",THL
76,"General and Unspecified, Other laboratory test NEC",Condition,ICPC,ICPC2,NA,A38,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu laboratoriotutkimus",THL
77,"General and Unspecified, Physical function test",Condition,ICPC,ICPC2,NA,A39,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Kliininen toimintakoe",THL
78,"General and Unspecified, Diagnostic endoscopy",Condition,ICPC,ICPC2,NA,A40,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Diagnostinen endoskopia",THL
79,"General and Unspecified, Diagnostic radiology/imaging",Condition,ICPC,ICPC2,NA,A41,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Diagnostinen kuvantaminen",THL
80,"General and Unspecified, Electrical tracing",Condition,ICPC,ICPC2,NA,A42,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Elektrofysiologinen tutkimus",THL
81,"General and Unspecified, Other diagnostic procedure",Condition,ICPC,ICPC2,NA,A43,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu tutkimustoimenpide",THL
82,"General and Unspecified, Preventive immunization/medic",Condition,ICPC,ICPC2,NA,A44,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Rokotus / ennaltaehkäisevä lääkitys",THL
83,"General and Unspecified, Observ/health educat/advice/diet",Condition,ICPC,ICPC2,NA,A45,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Seuranta/terveysneuvonta/ruokavalioneuvonta",THL
84,"General and Unspecified, Consultation primary care provider",Condition,ICPC,ICPC2,NA,A46,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Perusterveydenhuollon asiantuntijan konsultaatio",THL
85,"General and Unspecified, Consultation with specialist",Condition,ICPC,ICPC2,NA,A47,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Erikoislääkärin konsultaatio",THL
86,"General and Unspecified, Clarification/discussion RFE/demand",Condition,ICPC,ICPC2,NA,A48,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Potilaan tarpeiden/tulosyyn selvittäminen",THL
87,"General and Unspecified, Other preventive procedure",Condition,ICPC,ICPC2,NA,A49,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu ennaltaehkäisevä toimenpide",THL
88,"General and Unspecified, Medication/prescr/renewal",Condition,ICPC,ICPC2,NA,A50,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Lääkitys/lääkemääräys/uusinta/injektio",THL
89,"General and Unspecified, I&d/flush/aspiration",Condition,ICPC,ICPC2,NA,A51,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto",THL
90,"General and Unspecified, Exc/remov/biopsy/destruc/debrid/caut",Condition,ICPC,ICPC2,NA,A52,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto",THL
91,"General and Unspecified, Instrument/catheter/intubate/dilate",Condition,ICPC,ICPC2,NA,A53,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Katetrointi/intubointi/laajentaminen",THL
92,"General and Unspecified, Repair/fix-suture/cast/prosth device",Condition,ICPC,ICPC2,NA,A54,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)",THL
93,"General and Unspecified, Local injection/infiltration",Condition,ICPC,ICPC2,NA,A55,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Paikallinen lääkeaineinjektio",THL
94,"General and Unspecified, Dressing/pressure/compress/tamponade",Condition,ICPC,ICPC2,NA,A56,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Sidos/kompressi/tamponointi",THL
95,"General and Unspecified, Physical medicine/rehabilitation",Condition,ICPC,ICPC2,NA,A57,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Fysikaalinen hoito / kuntoutus",THL
96,"General and Unspecified, Therapeutic counselling/listening",Condition,ICPC,ICPC2,NA,A58,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Terapeuttinen neuvonta / kuuntelu",THL
97,"General and Unspecified, Other therap proced/minor surg NEC",Condition,ICPC,ICPC2,NA,A59,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia",THL
98,"General and Unspecified, Result test/procedure",Condition,ICPC,ICPC2,NA,A60,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Tutkimustulosten kuuleminen",THL
99,"General and Unspecified, Result examination/test/record/letter from other provider",Condition,ICPC,ICPC2,NA,A61,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta",THL
100,"General and Unspecified, Administrative procedure",Condition,ICPC,ICPC2,NA,A62,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Hallinnollinen toimenpide",THL
101,"General and Unspecified, Follow-up encounter unspecified",Condition,ICPC,ICPC2,NA,A63,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu seurantakäynti",THL
102,"General and Unspecified, Encounter/prob initiated by provider",Condition,ICPC,ICPC2,NA,A64,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Hoidonantajan käynnistämä tapahtuma",THL
103,"General and Unspecified, Enc/prob init by other than pt/prov",Condition,ICPC,ICPC2,NA,A65,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muun henkilön käynnistämä tapahtuma",THL
104,"General and Unspecified, Referral to non-MD provider",Condition,ICPC,ICPC2,NA,A66,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Lähete muulle perusterveydenhuollon ammattihenkilölle",THL
105,"General and Unspecified, Referral to physician/hospital",Condition,ICPC,ICPC2,NA,A67,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Lähete erikoislääkärille/sairaalaan",THL
106,"General and Unspecified, Other referral NEC",Condition,ICPC,ICPC2,NA,A68,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu lähete",THL
107,"General and Unspecified, Other reason for encounter NEC",Condition,ICPC,ICPC2,NA,A69,1970-01-01,2099-12-31,NA,NA,"Yleiset ja epämääräiset, Muu käynnin syy",THL
108,Tuberculosis,Condition,ICPC,ICPC2,NA,A70,1970-01-01,2099-12-31,NA,A15.8,Tuberkuloosi,THL
109,Measles,Condition,ICPC,ICPC2,NA,A71,1970-01-01,2099-12-31,NA,B05.9,Tuhkarokko,THL
110,Chickenpox,Condition,ICPC,ICPC2,NA,A72,1970-01-01,2099-12-31,NA,B01.9,Vesirokko,THL
111,Malaria,Condition,ICPC,ICPC2,NA,A73,1970-01-01,2099-12-31,NA,B54,Malaria,THL
112,Rubella,Condition,ICPC,ICPC2,NA,A74,1970-01-01,2099-12-31,NA,B06.9,Vihurirokko,THL
113,Infectious mononucleosis,Condition,ICPC,ICPC2,NA,A75,1970-01-01,2099-12-31,NA,B27.9,Mononukleoosi,THL
114,Viral exanthem other,Condition,ICPC,ICPC2,NA,A76,1970-01-01,2099-12-31,NA,B09,"Virusperäinen ihottuma, muu",THL
115,Viral disease other/NOS,Condition,ICPC,ICPC2,NA,A77,1970-01-01,2099-12-31,NA,B34.9,"Virustauti, muu",THL
116,Infectious disease other/NOS,Condition,ICPC,ICPC2,NA,A78,1970-01-01,2099-12-31,NA,B99,"Tartuntatauti, muu",THL
117,Malignancy NOS,Condition,ICPC,ICPC2,NA,A79,1970-01-01,2099-12-31,NA,C80.90&,"Syöpä, määrittämätön",THL
118,Trauma/injury NOS,Condition,ICPC,ICPC2,NA,A80,1970-01-01,2099-12-31,NA,T14.9,"Vamma, määrittämätön",THL
119,Multiple trauma/injuries,Condition,ICPC,ICPC2,NA,A81,1970-01-01,2099-12-31,NA,T07,Monivamma,THL
120,Secondary effect of trauma,Condition,ICPC,ICPC2,NA,A82,1970-01-01,2099-12-31,NA,T94.1,Vamman myöhäisseuraus,THL
121,Poisoning by medical agent,Condition,ICPC,ICPC2,NA,A84,1970-01-01,2099-12-31,NA,T50.9,Lääkemyrkytys,THL
122,Adverse effect medical agent,Observation,ICPC,ICPC2,NA,A85,1970-01-01,2099-12-31,NA,T88.7#,Lääkkeen haittavaikutus,THL
123,Toxic effect non-medicinal substance,Condition,ICPC,ICPC2,NA,A86,1970-01-01,2099-12-31,NA,T65.9,Muiden aineiden myrkkyvaikutus,THL
124,Complication of medical treatment,Condition,ICPC,ICPC2,NA,A87,1970-01-01,2099-12-31,NA,T88.9,Kirurgisen tai muun hoidon komplikaatio,THL
125,Adverse effect physical factor,Condition,ICPC,ICPC2,NA,A88,1970-01-01,2099-12-31,NA,T78.9,Fysikaalisen tekijän haittavaikutus,THL
126,Effect prosthetic device,Condition,ICPC,ICPC2,NA,A89,1970-01-01,2099-12-31,NA,T85.9,Proteesin haittavaikutus,THL
127,Congenital anomaly NOS/multiple,Condition,ICPC,ICPC2,NA,A90,1970-01-01,2099-12-31,NA,Q89.7,"Synnynnäinen epämuodostuma, määrittämätön/useita",THL
128,Abnormal result investigation NOS,Condition,ICPC,ICPC2,NA,A91,1970-01-01,2099-12-31,NA,R89.9,"Poikkeava tutkimustulos, muu",THL
129,Allergy/allergic reaction NOS,Condition,ICPC,ICPC2,NA,A92,1970-01-01,2099-12-31,NA,T78.4,"Allergia / allerginen reaktio, määrittämätön",THL
130,Premature newborn,Condition,ICPC,ICPC2,NA,A93,1970-01-01,2099-12-31,NA,P07.3,Ennenaikaisesti syntynyt lapsi,THL
131,Perinatal morbidity other,Condition,ICPC,ICPC2,NA,A94,1970-01-01,2099-12-31,NA,P96.9,"Vastasyntyneen sairastavuus, muu",THL
132,Perinatal mortality,Condition,ICPC,ICPC2,NA,A95,1970-01-01,2099-12-31,NA,R95,Perinataalikuolema,THL
133,Death,Observation,ICPC,ICPC2,NA,A96,1970-01-01,2099-12-31,NA,R99,Kuolema,THL
134,No disease,Procedure,ICPC,ICPC2,NA,A97,1970-01-01,2099-12-31,NA,Z00.0,Ei sairautta,THL
135,Health maint/preventive medicine,Procedure,ICPC,ICPC2,NA,A98,1970-01-01,2099-12-31,NA,Z29.9,Terveyden ylläpito / Sairauden ennaltaehkäisy,THL
136,Disease/condition unspecnature/site,Condition,ICPC,ICPC2,NA,A99,1970-01-01,2099-12-31,NA,R69,"Sairaus/tila, luonne tai sijainti määrittämätön",THL
137,Blood and Immunity,Condition,ICPC,ICPC2,NA,B,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä",THL
138,Lymph gland(s) enlarged/painful,Condition,ICPC,ICPC2,NA,B02,1970-01-01,2099-12-31,NA,R59.0,"Imusolmuke, suurentunut/kivulias",THL
139,Blood symptom/complaint,Condition/Obs,ICPC,ICPC2,NA,B04,1970-01-01,2099-12-31,NA,R68.88,Vereen / lymfaattiseen kudokseen liittyvä oire/vaiva,THL
140,Fear of AIDS/HIV,Condition,ICPC,ICPC2,NA,B25,1970-01-01,2099-12-31,NA,Z71.1,Huoli/Pelko AIDSista/HIV:stä,THL
141,Fear cancer blood/lymph,Condition,ICPC,ICPC2,NA,B26,1970-01-01,2099-12-31,NA,Z71.1,Huoli/pelko veren tai verta muodostavien elinten syövästä,THL
142,Fear blood/lymph disease other,Condition,ICPC,ICPC2,NA,B27,1970-01-01,2099-12-31,NA,Z71.1,Huoli/pelko veren tai verta muodostavien elinten muusta taudista,THL
143,Limited function/disability (B),Observation,ICPC,ICPC2,NA,B28,1970-01-01,2099-12-31,NA,Z73.6,"Toiminnanvajaus, veren / vertamuodostavien kudosten",THL
144,Lymph/immune mech sympt/complt other,Condition/Obs,ICPC,ICPC2,NA,B29,1970-01-01,2099-12-31,NA,R68.88,Muu imusuoni-/immuunijärjestelmän oire/vaiva,THL
145,"Blood and Immunity, Medical examin/health eval complete",Condition,ICPC,ICPC2,NA,B30,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Laaja terveydentilan arviointi/tarkastus",THL
146,"Blood and Immunity, Medical examin/health eval partial",Condition,ICPC,ICPC2,NA,B31,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Suppea terveydentilan arviointi/tarkastus",THL
147,"Blood and Immunity, Sensitivity test",Condition,ICPC,ICPC2,NA,B32,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Allergiatutkimus",THL
148,"Blood and Immunity, Microbiological/immunological test",Condition,ICPC,ICPC2,NA,B33,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Mikrobiologinen/immunologinen koe",THL
149,"Blood and Immunity, Blood test",Condition,ICPC,ICPC2,NA,B34,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Veritutkimus",THL
150,"Blood and Immunity, Urine test",Condition,ICPC,ICPC2,NA,B35,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Virtsatutkimus",THL
151,"Blood and Immunity, Faeces test",Condition,ICPC,ICPC2,NA,B36,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ulostetutkimus",THL
152,"Blood and Immunity, Histological/exfoliative cytology",Condition,ICPC,ICPC2,NA,B37,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Histologinen/sytologinen tutkimus",THL
153,"Blood and Immunity, Other laboratory test NEC",Condition,ICPC,ICPC2,NA,B38,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu laboratoriotutkimus",THL
154,"Blood and Immunity, Physical function test",Condition,ICPC,ICPC2,NA,B39,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kliininen toimintakoe",THL
155,"Blood and Immunity, Diagnostic endoscopy",Condition,ICPC,ICPC2,NA,B40,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen endoskopia",THL
156,"Blood and Immunity, Diagnostic radiology/imaging",Condition,ICPC,ICPC2,NA,B41,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen kuvantaminen",THL
157,"Blood and Immunity, Electrical tracing",Condition,ICPC,ICPC2,NA,B42,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Elektrofysiologinen tutkimus",THL
158,"Blood and Immunity, Other diagnostic procedure",Condition,ICPC,ICPC2,NA,B43,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu tutkimustoimenpide",THL
159,"Blood and Immunity, Preventive immunization/medic",Condition,ICPC,ICPC2,NA,B44,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Rokotus / ennaltaehkäisevä lääkitys",THL
160,"Blood and Immunity, Observ/health educat/advice/diet",Condition,ICPC,ICPC2,NA,B45,1970-01-01,2099-12-31,NA,NA,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Seuranta/terveysneuvonta/ruokavalioneuvonta",THL
