code,name_fi,name_en,ICPC_version,main_icd10fi
-63,Muu seurantakäynti,Follow-up encounter unspecified,ICPC2_proc,NA
-64,Hoidonantajan käynnistämä tapahtuma,Encounter/prob initiated by provider,ICPC2_proc,NA
-65,Muun henkilön käynnistämä tapahtuma,Enc/prob init by other than pt/prov,ICPC2_proc,NA
-66,Lähete perusterveydenhuollon ammattihenkilölle (pl. lääkäri),Referral to non-MD provider,ICPC2_proc,NA
-67,Lähete erikoislääkärille/sairaalaan,Referral to physician/hospital,ICPC2_proc,NA
-68,Muu lähete,Other referral NEC,ICPC2_proc,NA
-69,Muu käynnin syy,Other reason for encounter NEC,ICPC2_proc,NA
A,Yleiset ja epämääräiset,General and Unspecified,ICPC2,NA
A01,"Kipu, yleinen / monessa paikassa",Pain general/multiple sites,ICPC2,R52.9
A02,Vilunväristykset,Chills,ICPC2,R68.88
A03,Kuume,Fever,ICPC2,R50.9
A04,"Heikkous/väsymys, yleinen",Weakness/tiredness general,ICPC2,R53
A05,Sairauden tunne,Feeling ill,ICPC2,R53
A06,Pyörtyminen,Fainting/syncope,ICPC2,R55
A07,Tajuttomuus,Coma,ICPC2,R40.2
A08,Turvotus,Swelling,ICPC2,R68.88
A09,Hikoiluongelma,Sweating problem,ICPC2,R61.9
A10,"Verenvuoto, määrittämätön",Bleeding/haemorrhage NOS,ICPC2,R58
A11,"Rintakipu, määrittämätön",Chest pain NOS,ICPC2,R07.4
A13,Huoli lääkkeen/hoidon sivuvaikutuksesta,Concern/fear medical treatment,ICPC2,Z71.1
A16,Ärtyisä vauva,Irritable infant,ICPC2,R68.1
A18,Huoli ulkonäöstä,Concern about appearance,ICPC2,R46.8
A20,Eutanasiaan liittyvä keskustelu/pyyntö,Euthanasia request/discussion,ICPC2,Z71.8
A21,Syöpäsairauden riskitekijä,Risk factor for malignancy,ICPC2,Z85.9
A23,"Sairauden riskitekijä, määrittämätön",Risk factor NOS,ICPC2,Z91.8
A25,Kuolemanpelko,Fear of death/dying,ICPC2,Z71.1
A26,"Huoli/pelko syövästä, määrittämätön","Fear of cancer, NOS",ICPC2,Z71.1
A27,"Huoli/pelko muusta sairaudesta, määrittämätön",Fear of other disease NOS,ICPC2,Z71.1
A28,"Toiminnanvajaus, määrittämätön",Limited function/disability NOS,ICPC2,Z73.6
A29,Muu yleisoire/-vaiva,General symptom/complaint other,ICPC2,R68.88
A30,"Yleiset ja epämääräiset, Laaja terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval complete",ICPC2,NA
A31,"Yleiset ja epämääräiset, Suppea terveydentilan arviointi/tarkastus","General and Unspecified, Medical examin/health eval partial",ICPC2,NA
A32,"Yleiset ja epämääräiset, Allergiatutkimus","General and Unspecified, Sensitivity test",ICPC2,NA
A33,"Yleiset ja epämääräiset, Mikrobiologinen/immunologinen koe","General and Unspecified, Microbiological/immunological test",ICPC2,NA
A34,"Yleiset ja epämääräiset, Veritutkimus","General and Unspecified, Blood test",ICPC2,NA
A35,"Yleiset ja epämääräiset, Virtsatutkimus","General and Unspecified, Urine test",ICPC2,NA
A36,"Yleiset ja epämääräiset, Ulostetutkimus","General and Unspecified, Faeces test",ICPC2,NA
A37,"Yleiset ja epämääräiset, Histologinen/sytologinen tutkimus","General and Unspecified, Histological/exfoliative cytology",ICPC2,NA
A38,"Yleiset ja epämääräiset, Muu laboratoriotutkimus","General and Unspecified, Other laboratory test NEC",ICPC2,NA
A39,"Yleiset ja epämääräiset, Kliininen toimintakoe","General and Unspecified, Physical function test",ICPC2,NA
A40,"Yleiset ja epämääräiset, Diagnostinen endoskopia","General and Unspecified, Diagnostic endoscopy",ICPC2,NA
A41,"Yleiset ja epämääräiset, Diagnostinen kuvantaminen","General and Unspecified, Diagnostic radiology/imaging",ICPC2,NA
A42,"Yleiset ja epämääräiset, Elektrofysiologinen tutkimus","General and Unspecified, Electrical tracing",ICPC2,NA
A43,"Yleiset ja epämääräiset, Muu tutkimustoimenpide","General and Unspecified, Other diagnostic procedure",ICPC2,NA
A44,"Yleiset ja epämääräiset, Rokotus / ennaltaehkäisevä lääkitys","General and Unspecified, Preventive immunization/medic",ICPC2,NA
A45,"Yleiset ja epämääräiset, Seuranta/terveysneuvonta/ruokavalioneuvonta","General and Unspecified, Observ/health educat/advice/diet",ICPC2,NA
A46,"Yleiset ja epämääräiset, Perusterveydenhuollon asiantuntijan konsultaatio","General and Unspecified, Consultation primary care provider",ICPC2,NA
A47,"Yleiset ja epämääräiset, Erikoislääkärin konsultaatio","General and Unspecified, Consultation with specialist",ICPC2,NA
A48,"Yleiset ja epämääräiset, Potilaan tarpeiden/tulosyyn selvittäminen","General and Unspecified, Clarification/discussion RFE/demand",ICPC2,NA
A49,"Yleiset ja epämääräiset, Muu ennaltaehkäisevä toimenpide","General and Unspecified, Other preventive procedure",ICPC2,NA
A50,"Yleiset ja epämääräiset, Lääkitys/lääkemääräys/uusinta/injektio","General and Unspecified, Medication/prescr/renewal",ICPC2,NA
A51,"Yleiset ja epämääräiset, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","General and Unspecified, I&d/flush/aspiration",ICPC2,NA
A52,"Yleiset ja epämääräiset, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","General and Unspecified, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA
A53,"Yleiset ja epämääräiset, Katetrointi/intubointi/laajentaminen","General and Unspecified, Instrument/catheter/intubate/dilate",ICPC2,NA
A54,"Yleiset ja epämääräiset, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","General and Unspecified, Repair/fix-suture/cast/prosth device",ICPC2,NA
A55,"Yleiset ja epämääräiset, Paikallinen lääkeaineinjektio","General and Unspecified, Local injection/infiltration",ICPC2,NA
A56,"Yleiset ja epämääräiset, Sidos/kompressi/tamponointi","General and Unspecified, Dressing/pressure/compress/tamponade",ICPC2,NA
A57,"Yleiset ja epämääräiset, Fysikaalinen hoito / kuntoutus","General and Unspecified, Physical medicine/rehabilitation",ICPC2,NA
A58,"Yleiset ja epämääräiset, Terapeuttinen neuvonta / kuuntelu","General and Unspecified, Therapeutic counselling/listening",ICPC2,NA
A59,"Yleiset ja epämääräiset, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","General and Unspecified, Other therap proced/minor surg NEC",ICPC2,NA
A60,"Yleiset ja epämääräiset, Tutkimustulosten kuuleminen","General and Unspecified, Result test/procedure",ICPC2,NA
A61,"Yleiset ja epämääräiset, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","General and Unspecified, Result examination/test/record/letter from other provider",ICPC2,NA
A62,"Yleiset ja epämääräiset, Hallinnollinen toimenpide","General and Unspecified, Administrative procedure",ICPC2,NA
A63,"Yleiset ja epämääräiset, Muu seurantakäynti","General and Unspecified, Follow-up encounter unspecified",ICPC2,NA
A64,"Yleiset ja epämääräiset, Hoidonantajan käynnistämä tapahtuma","General and Unspecified, Encounter/prob initiated by provider",ICPC2,NA
A65,"Yleiset ja epämääräiset, Muun henkilön käynnistämä tapahtuma","General and Unspecified, Enc/prob init by other than pt/prov",ICPC2,NA
A66,"Yleiset ja epämääräiset, Lähete muulle perusterveydenhuollon ammattihenkilölle","General and Unspecified, Referral to non-MD provider",ICPC2,NA
A67,"Yleiset ja epämääräiset, Lähete erikoislääkärille/sairaalaan","General and Unspecified, Referral to physician/hospital",ICPC2,NA
A68,"Yleiset ja epämääräiset, Muu lähete","General and Unspecified, Other referral NEC",ICPC2,NA
A69,"Yleiset ja epämääräiset, Muu käynnin syy","General and Unspecified, Other reason for encounter NEC",ICPC2,NA
A70,Tuberkuloosi,Tuberculosis,ICPC2,A15.8
A71,Tuhkarokko,Measles,ICPC2,B05.9
A72,Vesirokko,Chickenpox,ICPC2,B01.9
A73,Malaria,Malaria,ICPC2,B54
A74,Vihurirokko,Rubella,ICPC2,B06.9
A75,Mononukleoosi,Infectious mononucleosis,ICPC2,B27.9
A76,"Virusperäinen ihottuma, muu",Viral exanthem other,ICPC2,B09
A77,"Virustauti, muu",Viral disease other/NOS,ICPC2,B34.9
A78,"Tartuntatauti, muu",Infectious disease other/NOS,ICPC2,B99
A79,"Syöpä, määrittämätön",Malignancy NOS,ICPC2,C80.90&
A80,"Vamma, määrittämätön",Trauma/injury NOS,ICPC2,T14.9
A81,Monivamma,Multiple trauma/injuries,ICPC2,T07
A82,Vamman myöhäisseuraus,Secondary effect of trauma,ICPC2,T94.1
A84,Lääkemyrkytys,Poisoning by medical agent,ICPC2,T50.9
A85,Lääkkeen haittavaikutus,Adverse effect medical agent,ICPC2,T88.7#
A86,Muiden aineiden myrkkyvaikutus,Toxic effect non-medicinal substance,ICPC2,T65.9
A87,Kirurgisen tai muun hoidon komplikaatio,Complication of medical treatment,ICPC2,T88.9
A88,Fysikaalisen tekijän haittavaikutus,Adverse effect physical factor,ICPC2,T78.9
A89,Proteesin haittavaikutus,Effect prosthetic device,ICPC2,T85.9
A90,"Synnynnäinen epämuodostuma, määrittämätön/useita",Congenital anomaly NOS/multiple,ICPC2,Q89.7
A91,"Poikkeava tutkimustulos, muu",Abnormal result investigation NOS,ICPC2,R89.9
A92,"Allergia / allerginen reaktio, määrittämätön",Allergy/allergic reaction NOS,ICPC2,T78.4
A93,Ennenaikaisesti syntynyt lapsi,Premature newborn,ICPC2,P07.3
A94,"Vastasyntyneen sairastavuus, muu",Perinatal morbidity other,ICPC2,P96.9
A95,Perinataalikuolema,Perinatal mortality,ICPC2,R95
A96,Kuolema,Death,ICPC2,R99
A97,Ei sairautta,No disease,ICPC2,Z00.0
A98,Terveyden ylläpito / Sairauden ennaltaehkäisy,Health maint/preventive medicine,ICPC2,Z29.9
A99,"Sairaus/tila, luonne tai sijainti määrittämätön",Disease/condition unspecnature/site,ICPC2,R69
B,"Veri, vertamuodostavat elimet ja immuunijärjestelmä",Blood and Immunity,ICPC2,NA
B02,"Imusolmuke, suurentunut/kivulias",Lymph gland(s) enlarged/painful,ICPC2,R59.0
B04,Vereen / lymfaattiseen kudokseen liittyvä oire/vaiva,Blood symptom/complaint,ICPC2,R68.88
B25,Huoli/Pelko AIDSista/HIV:stä,Fear of AIDS/HIV,ICPC2,Z71.1
B26,Huoli/pelko veren tai verta muodostavien elinten syövästä,Fear cancer blood/lymph,ICPC2,Z71.1
B27,Huoli/pelko veren tai verta muodostavien elinten muusta taudista,Fear blood/lymph disease other,ICPC2,Z71.1
B28,"Toiminnanvajaus, veren / vertamuodostavien kudosten",Limited function/disability (B),ICPC2,Z73.6
B29,Muu imusuoni-/immuunijärjestelmän oire/vaiva,Lymph/immune mech sympt/complt other,ICPC2,R68.88
B30,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Laaja terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval complete",ICPC2,NA
B31,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Suppea terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval partial",ICPC2,NA
B32,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Allergiatutkimus","Blood and Immunity, Sensitivity test",ICPC2,NA
B33,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Mikrobiologinen/immunologinen koe","Blood and Immunity, Microbiological/immunological test",ICPC2,NA
B34,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Veritutkimus","Blood and Immunity, Blood test",ICPC2,NA
B35,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Virtsatutkimus","Blood and Immunity, Urine test",ICPC2,NA
B36,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ulostetutkimus","Blood and Immunity, Faeces test",ICPC2,NA
B37,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Histologinen/sytologinen tutkimus","Blood and Immunity, Histological/exfoliative cytology",ICPC2,NA
B38,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu laboratoriotutkimus","Blood and Immunity, Other laboratory test NEC",ICPC2,NA
B39,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kliininen toimintakoe","Blood and Immunity, Physical function test",ICPC2,NA
B40,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen endoskopia","Blood and Immunity, Diagnostic endoscopy",ICPC2,NA
B41,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen kuvantaminen","Blood and Immunity, Diagnostic radiology/imaging",ICPC2,NA
B42,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Elektrofysiologinen tutkimus","Blood and Immunity, Electrical tracing",ICPC2,NA
B43,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu tutkimustoimenpide","Blood and Immunity, Other diagnostic procedure",ICPC2,NA
B44,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Rokotus / ennaltaehkäisevä lääkitys","Blood and Immunity, Preventive immunization/medic",ICPC2,NA
B45,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Seuranta/terveysneuvonta/ruokavalioneuvonta","Blood and Immunity, Observ/health educat/advice/diet",ICPC2,NA
B46,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Perusterveydenhuollon asiantuntijan konsultaatio","Blood and Immunity, Consultation primary care provider",ICPC2,NA
B47,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Erikoislääkärin konsultaatio","Blood and Immunity, Consultation with specialist",ICPC2,NA
B48,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Potilaan tarpeiden/tulosyyn selvittäminen","Blood and Immunity, Clarification/discussion RFE/demand",ICPC2,NA
B49,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu ennaltaehkäisevä toimenpide","Blood and Immunity, Other preventive procedure",ICPC2,NA
B50,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lääkitys/lääkemääräys/uusinta/injektio","Blood and Immunity, Medication/prescr/renewal",ICPC2,NA
B51,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","Blood and Immunity, I&d/flush/aspiration",ICPC2,NA
B52,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","Blood and Immunity, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA
B53,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Katetrointi/intubointi/laajentaminen","Blood and Immunity, Instrument/catheter/intubate/dilate",ICPC2,NA
B54,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","Blood and Immunity, Repair/fix-suture/cast/prosth device",ICPC2,NA
B55,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Paikallinen lääkeaineinjektio","Blood and Immunity, Local injection/infiltration",ICPC2,NA
B56,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Sidos/kompressi/tamponointi","Blood and Immunity, Dressing/pressure/compress/tamponade",ICPC2,NA
B57,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Fysikaalinen hoito / kuntoutus","Blood and Immunity, Physical medicine/rehabilitation",ICPC2,NA
B58,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Terapeuttinen neuvonta / kuuntelu","Blood and Immunity, Therapeutic counselling/listening",ICPC2,NA
B59,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","Blood and Immunity, Other therap proced/minor surg NEC",ICPC2,NA
B60,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulosten kuuleminen","Blood and Immunity, Result test/procedure",ICPC2,NA
B61,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","Blood and Immunity, Result examination/test/record/letter from other provider",ICPC2,NA
B62,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hallinnollinen toimenpide","Blood and Immunity, Administrative procedure",ICPC2,NA
B63,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu seurantakäynti","Blood and Immunity, Follow-up encounter unspecified",ICPC2,NA
B64,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hoidonantajan käynnistämä tapahtuma","Blood and Immunity, Encounter/prob initiated by provider",ICPC2,NA
B65,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muun henkilön käynnistämä tapahtuma","Blood and Immunity, Enc/prob init by other than pt/prov",ICPC2,NA
B66,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete muulle perusterveydenhuollon ammattihenkilölle","Blood and Immunity, Referral to non-MD provider",ICPC2,NA
B67,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete erikoislääkärille/sairaalaan","Blood and Immunity, Referral to physician/hospital",ICPC2,NA
B68,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu lähete","Blood and Immunity, Other referral NEC",ICPC2,NA
B69,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu käynnin syy","Blood and Immunity, Other reason for encounter NEC",ICPC2,NA
B70,"Imusolmuketulehdus, akuutti",Lymphadenitis acute,ICPC2,L04.9
B71,"Imusolmuketulehdus, krooninen/määrittämätön",Lymphadenitis chronic/non-specific,ICPC2,I88.9
B72,Hodgkinin tauti / lymfooma,Hodgkin Lymphoma,ICPC2,C81.9
B73,Leukemia,Leukaemia,ICPC2,C95.9
B74,"Pahanlaatuinen veritauti, muu",Malignant neoplasm blood other,ICPC2,C96.9
B75,"Hyvänlaatuinen/muu kasvain, vertamuodostavien elinten",Neoplasm blood benign/unspecified,ICPC2,D47.9
B76,"Pernarepeämä, vamman aiheuttama",Ruptured spleen traumatic,ICPC2,S36.0
B77,"Vamma vertamuodostavassa elimessä / imukudoksessa / pernassa, muu",Injury blood/lymph/spleen other,ICPC2,T14.9
B78,"Anemia, perinnöllinen hemolyyttinen",Hereditary haemolytic anaemia,ICPC2,D58.9
B79,"Synnynnäinen epämuodostuma, verta muodostavien elinten ja imusuoniston, muu",Congen anomaly blood/lymph other,ICPC2,Q89.88
B80,Raudanpuuteanemia,Iron deficiency anaemia,ICPC2,D50.9
B81,"Anemia, B12-vitamiinin/folaatin puute",Anaemia vit B12/folate deficiency,ICPC2,D51.9
B82,"Anemia, muu/määrittämätön",Anaemia other/unspecified,ICPC2,D64.9
B83,Punatäplätauti/hyytymishäiriö,Purpura/coagulation defect,ICPC2,D69.9
B84,"Valkosolujen poikkeama, selittämätön",Unexplained abnormal white cells,ICPC2,R72
B87,Pernan suurentuma,Splenomegaly,ICPC2,R16.1
B90,HIV/AIDS,HIV-infection/AIDS,ICPC2,B24
B99,Muu veren / verta muodostavan elimen / imukudoksen / pernan sairaus,Blood/lymph/spleen disease other,ICPC2,D75.8
D,Ruoansulatuselimet,Digestive,ICPC2,NA
D01,"Vatsakipu, yleinen",Abdominal pain/cramps general,ICPC2,R10.4
D02,Ylävatsakipu,Abdominal pain epigastric,ICPC2,R10.1
D03,Närästys,Heartburn,ICPC2,R12
D04,Peräsuolen/peräaukon kipu,Rectal/anal pain,ICPC2,R10.2
D05,Peräaukon kutina,Perianal itching,ICPC2,L29.0
D06,"Vatsan alueen kipu, paikallinen, muu",Abdominal pain localized other,ICPC2,R10.3
D07,Happovaiva/ruoansulatushäiriö,Dyspepsia/indigestion,ICPC2,K30
D08,Ilmavaivat/röyhtäily,Flatulence/gas/belching,ICPC2,R14
D09,Pahoinvointi,Nausea,ICPC2,R11
D10,Oksentelu,Vomiting,ICPC2,R11
D11,Ripuli,Diarrhoea,ICPC2,K59.1
D12,Ummetus,Constipation,ICPC2,K59.0
D13,Keltaisuus,Jaundice,ICPC2,R17
D14,Verioksennus/hematemeesi,Haematemesis/vomiting blood,ICPC2,K92.0
D15,Meleena,Melaena,ICPC2,K92.1
D16,Verenvuoto peräsuolesta,Rectal bleeding,ICPC2,K62.5
D17,Ulosteen pidätyskyvyttömyys,Incontinence of bowel,ICPC2,R15
D18,Muutos ulosteessa / suolen toiminnassa,Change in faeces/bowel movements,ICPC2,R19.4
D19,Hampaiden/ikenien oire/vaiva,Teeth/gum symptom/complaint,ICPC2,K03.88
D20,Suun/kielen/huulen oire/vaiva,Mouth/tongue/lip symptom/complaint,ICPC2,K13.7
D21,Nielemisongelma,Swallowing problem,ICPC2,R13
D23,Maksan suurentuma,Hepatomegaly,ICPC2,R16.0
D24,"Kyhmy/patti/muhkura mahassa, määrittämätön",Abdominal mass NOS,ICPC2,R19.0
D25,Vatsan turvotus,Abdominal distension,ICPC2,R19.0
D26,Huoli/pelko ruuansulatuselimen syövästä,Fear of cancer of digestive system,ICPC2,Z71.1
D27,Huoli/pelko ruuansulatuselimen muusta sairaudesta,Fear of digestive disease other,ICPC2,Z71.1
D28,"Toiminnanvajaus, ruuansulatuselimen",Limited function/disability (D),ICPC2,Z73.6
D29,Muu ruuansulatuselimen oire/vaiva,Digestive symptom/complaint other,ICPC2,R19.8
D30,"Ruoansulatuselimet, Laaja terveydentilan arviointi/tarkastus","Digestive, Medical examin/health eval complete",ICPC2,NA
D31,"Ruoansulatuselimet, Suppea terveydentilan arviointi/tarkastus","Digestive, Medical examin/health eval partial",ICPC2,NA
D32,"Ruoansulatuselimet, Allergiatutkimus","Digestive, Sensitivity test",ICPC2,NA
D33,"Ruoansulatuselimet, Mikrobiologinen/immunologinen koe","Digestive, Microbiological/immunological test",ICPC2,NA
D34,"Ruoansulatuselimet, Veritutkimus","Digestive, Blood test",ICPC2,NA
D35,"Ruoansulatuselimet, Virtsatutkimus","Digestive, Urine test",ICPC2,NA
D36,"Ruoansulatuselimet, Ulostetutkimus","Digestive, Faeces test",ICPC2,NA
D37,"Ruoansulatuselimet, Histologinen/sytologinen tutkimus","Digestive, Histological/exfoliative cytology",ICPC2,NA
D38,"Ruoansulatuselimet, Muu laboratoriotutkimus","Digestive, Other laboratory test NEC",ICPC2,NA
D39,"Ruoansulatuselimet, Kliininen toimintakoe","Digestive, Physical function test",ICPC2,NA
D40,"Ruoansulatuselimet, Diagnostinen endoskopia","Digestive, Diagnostic endoscopy",ICPC2,NA
D41,"Ruoansulatuselimet, Diagnostinen kuvantaminen","Digestive, Diagnostic radiology/imaging",ICPC2,NA
D42,"Ruoansulatuselimet, Elektrofysiologinen tutkimus","Digestive, Electrical tracing",ICPC2,NA
D43,"Ruoansulatuselimet, Muu tutkimustoimenpide","Digestive, Other diagnostic procedure",ICPC2,NA
D44,"Ruoansulatuselimet, Rokotus / ennaltaehkäisevä lääkitys","Digestive, Preventive immunization/medic",ICPC2,NA
D45,"Ruoansulatuselimet, Seuranta/terveysneuvonta/ruokavalioneuvonta","Digestive, Observ/health educat/advice/diet",ICPC2,NA
D46,"Ruoansulatuselimet, Perusterveydenhuollon asiantuntijan konsultaatio","Digestive, Consultation primary care provider",ICPC2,NA
D47,"Ruoansulatuselimet, Erikoislääkärin konsultaatio","Digestive, Consultation with specialist",ICPC2,NA
D48,"Ruoansulatuselimet, Potilaan tarpeiden/tulosyyn selvittäminen","Digestive, Clarification/discussion RFE/demand",ICPC2,NA
D49,"Ruoansulatuselimet, Muu ennaltaehkäisevä toimenpide","Digestive, Other preventive procedure",ICPC2,NA
D50,"Ruoansulatuselimet, Lääkitys/lääkemääräys/uusinta/injektio","Digestive, Medication/prescr/renewal",ICPC2,NA
D51,"Ruoansulatuselimet, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","Digestive, I&d/flush/aspiration",ICPC2,NA
D52,"Ruoansulatuselimet, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","Digestive, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA
D53,"Ruoansulatuselimet, Katetrointi/intubointi/laajentaminen","Digestive, Instrument/catheter/intubate/dilate",ICPC2,NA
D54,"Ruoansulatuselimet, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","Digestive, Repair/fix-suture/cast/prosth device",ICPC2,NA
D55,"Ruoansulatuselimet, Paikallinen lääkeaineinjektio","Digestive, Local injection/infiltration",ICPC2,NA
D56,"Ruoansulatuselimet, Sidos/kompressi/tamponointi","Digestive, Dressing/pressure/compress/tamponade",ICPC2,NA
D57,"Ruoansulatuselimet, Fysikaalinen hoito / kuntoutus","Digestive, Physical medicine/rehabilitation",ICPC2,NA
D58,"Ruoansulatuselimet, Terapeuttinen neuvonta / kuuntelu","Digestive, Therapeutic counselling/listening",ICPC2,NA
D59,"Ruoansulatuselimet, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","Digestive, Other therap proced/minor surg NEC",ICPC2,NA
