code,name_fi,name_en,ICPC_version,main_icd10fi,concept_id
A50,"Yleiset ja epämääräiset, Lääkitys/lääkemääräys/uusinta/injektio","General and Unspecified, Medication/prescr/renewal",ICPC2,NA,45605205
A51,"Yleiset ja epämääräiset, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","General and Unspecified, I&d/flush/aspiration",ICPC2,NA,45532841
A52,"Yleiset ja epämääräiset, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","General and Unspecified, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA,45576242
A53,"Yleiset ja epämääräiset, Katetrointi/intubointi/laajentaminen","General and Unspecified, Instrument/catheter/intubate/dilate",ICPC2,NA,45556908
A54,"Yleiset ja epämääräiset, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","General and Unspecified, Repair/fix-suture/cast/prosth device",ICPC2,NA,45547415
A55,"Yleiset ja epämääräiset, Paikallinen lääkeaineinjektio","General and Unspecified, Local injection/infiltration",ICPC2,NA,45552190
A56,"Yleiset ja epämääräiset, Sidos/kompressi/tamponointi","General and Unspecified, Dressing/pressure/compress/tamponade",ICPC2,NA,45755304
A57,"Yleiset ja epämääräiset, Fysikaalinen hoito / kuntoutus","General and Unspecified, Physical medicine/rehabilitation",ICPC2,NA,45581127
A58,"Yleiset ja epämääräiset, Terapeuttinen neuvonta / kuuntelu","General and Unspecified, Therapeutic counselling/listening",ICPC2,NA,45532847
A59,"Yleiset ja epämääräiset, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","General and Unspecified, Other therap proced/minor surg NEC",ICPC2,NA,45600429
A60,"Yleiset ja epämääräiset, Tutkimustulosten kuuleminen","General and Unspecified, Result test/procedure",ICPC2,NA,45561722
A61,"Yleiset ja epämääräiset, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","General and Unspecified, Result examination/test/record/letter from other provider",ICPC2,NA,NA
A62,"Yleiset ja epämääräiset, Hallinnollinen toimenpide","General and Unspecified, Administrative procedure",ICPC2,NA,NA
A63,"Yleiset ja epämääräiset, Muu seurantakäynti","General and Unspecified, Follow-up encounter unspecified",ICPC2,NA,45755305
A64,"Yleiset ja epämääräiset, Hoidonantajan käynnistämä tapahtuma","General and Unspecified, Encounter/prob initiated by provider",ICPC2,NA,45532848
A65,"Yleiset ja epämääräiset, Muun henkilön käynnistämä tapahtuma","General and Unspecified, Enc/prob init by other than pt/prov",ICPC2,NA,45600432
A66,"Yleiset ja epämääräiset, Lähete muulle perusterveydenhuollon ammattihenkilölle","General and Unspecified, Referral to non-MD provider",ICPC2,NA,45556913
A67,"Yleiset ja epämääräiset, Lähete erikoislääkärille/sairaalaan","General and Unspecified, Referral to physician/hospital",ICPC2,NA,45595592
A68,"Yleiset ja epämääräiset, Muu lähete","General and Unspecified, Other referral NEC",ICPC2,NA,45556915
A69,"Yleiset ja epämääräiset, Muu käynnin syy","General and Unspecified, Other reason for encounter NEC",ICPC2,NA,45542534
A70,Tuberkuloosi,Tuberculosis,ICPC2,A15.8,45595595
A71,Tuhkarokko,Measles,ICPC2,B05.9,45552195
A72,Vesirokko,Chickenpox,ICPC2,B01.9,NA
A73,Malaria,Malaria,ICPC2,B54,NA
A74,Vihurirokko,Rubella,ICPC2,B06.9,45542537
A75,Mononukleoosi,Infectious mononucleosis,ICPC2,B27.9,45571442
A76,"Virusperäinen ihottuma, muu",Viral exanthem other,ICPC2,B09,NA
A77,"Virustauti, muu",Viral disease other/NOS,ICPC2,B34.9,45537744
A78,"Tartuntatauti, muu",Infectious disease other/NOS,ICPC2,B99,45542540
A79,"Syöpä, määrittämätön",Malignancy NOS,ICPC2,C80.90&,45585933
A80,"Vamma, määrittämätön",Trauma/injury NOS,ICPC2,T14.9,45532851
A81,Monivamma,Multiple trauma/injuries,ICPC2,T07,45532852
A82,Vamman myöhäisseuraus,Secondary effect of trauma,ICPC2,T94.1,45576247
A84,Lääkemyrkytys,Poisoning by medical agent,ICPC2,T50.9,45571446
A85,Lääkkeen haittavaikutus,Adverse effect medical agent,ICPC2,T88.7#,45755299
A86,Muiden aineiden myrkkyvaikutus,Toxic effect non-medicinal substance,ICPC2,T65.9,45542542
A87,Kirurgisen tai muun hoidon komplikaatio,Complication of medical treatment,ICPC2,T88.9,45585935
A88,Fysikaalisen tekijän haittavaikutus,Adverse effect physical factor,ICPC2,T78.9,45755300
A89,Proteesin haittavaikutus,Effect prosthetic device,ICPC2,T85.9,45561731
A90,"Synnynnäinen epämuodostuma, määrittämätön/useita",Congenital anomaly NOS/multiple,ICPC2,Q89.7,45581135
A91,"Poikkeava tutkimustulos, muu",Abnormal result investigation NOS,ICPC2,R89.9,45566527
A92,"Allergia / allerginen reaktio, määrittämätön",Allergy/allergic reaction NOS,ICPC2,T78.4,45576251
A93,Ennenaikaisesti syntynyt lapsi,Premature newborn,ICPC2,P07.3,45755301
A94,"Vastasyntyneen sairastavuus, muu",Perinatal morbidity other,ICPC2,P96.9,45576252
A95,Perinataalikuolema,Perinatal mortality,ICPC2,R95,45571449
A96,Kuolema,Death,ICPC2,R99,45566529
A97,Ei sairautta,No disease,ICPC2,Z00.0,42616294
A98,Terveyden ylläpito / Sairauden ennaltaehkäisy,Health maint/preventive medicine,ICPC2,Z29.9,45755322
A99,"Sairaus/tila, luonne tai sijainti määrittämätön",Disease/condition unspecnature/site,ICPC2,R69,45561734
B,"Veri, vertamuodostavat elimet ja immuunijärjestelmä",Blood and Immunity,ICPC2,NA,NA
B02,"Imusolmuke, suurentunut/kivulias",Lymph gland(s) enlarged/painful,ICPC2,R59.0,45552205
B04,Vereen / lymfaattiseen kudokseen liittyvä oire/vaiva,Blood symptom/complaint,ICPC2,R68.88,45556928
B25,Huoli/Pelko AIDSista/HIV:stä,Fear of AIDS/HIV,ICPC2,Z71.1,45552214
B26,Huoli/pelko veren tai verta muodostavien elinten syövästä,Fear cancer blood/lymph,ICPC2,Z71.1,45556934
B27,Huoli/pelko veren tai verta muodostavien elinten muusta taudista,Fear blood/lymph disease other,ICPC2,Z71.1,45547444
B28,"Toiminnanvajaus, veren / vertamuodostavien kudosten",Limited function/disability (B),ICPC2,Z73.6,NA
B29,Muu imusuoni-/immuunijärjestelmän oire/vaiva,Lymph/immune mech sympt/complt other,ICPC2,R68.88,NA
B30,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Laaja terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval complete",ICPC2,NA,45561751
B31,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Suppea terveydentilan arviointi/tarkastus","Blood and Immunity, Medical examin/health eval partial",ICPC2,NA,NA
B32,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Allergiatutkimus","Blood and Immunity, Sensitivity test",ICPC2,NA,NA
B33,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Mikrobiologinen/immunologinen koe","Blood and Immunity, Microbiological/immunological test",ICPC2,NA,45755327
B34,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Veritutkimus","Blood and Immunity, Blood test",ICPC2,NA,45547449
B35,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Virtsatutkimus","Blood and Immunity, Urine test",ICPC2,NA,45537760
B36,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ulostetutkimus","Blood and Immunity, Faeces test",ICPC2,NA,45532874
B37,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Histologinen/sytologinen tutkimus","Blood and Immunity, Histological/exfoliative cytology",ICPC2,NA,45595615
B38,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu laboratoriotutkimus","Blood and Immunity, Other laboratory test NEC",ICPC2,NA,45542560
B39,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kliininen toimintakoe","Blood and Immunity, Physical function test",ICPC2,NA,45561755
B40,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen endoskopia","Blood and Immunity, Diagnostic endoscopy",ICPC2,NA,45542562
B41,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Diagnostinen kuvantaminen","Blood and Immunity, Diagnostic radiology/imaging",ICPC2,NA,45600457
B42,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Elektrofysiologinen tutkimus","Blood and Immunity, Electrical tracing",ICPC2,NA,45561756
B43,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu tutkimustoimenpide","Blood and Immunity, Other diagnostic procedure",ICPC2,NA,45605236
B44,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Rokotus / ennaltaehkäisevä lääkitys","Blood and Immunity, Preventive immunization/medic",ICPC2,NA,45595619
B45,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Seuranta/terveysneuvonta/ruokavalioneuvonta","Blood and Immunity, Observ/health educat/advice/diet",ICPC2,NA,45537765
B46,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Perusterveydenhuollon asiantuntijan konsultaatio","Blood and Immunity, Consultation primary care provider",ICPC2,NA,45547457
B47,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Erikoislääkärin konsultaatio","Blood and Immunity, Consultation with specialist",ICPC2,NA,45542566
B48,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Potilaan tarpeiden/tulosyyn selvittäminen","Blood and Immunity, Clarification/discussion RFE/demand",ICPC2,NA,45755328
B49,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu ennaltaehkäisevä toimenpide","Blood and Immunity, Other preventive procedure",ICPC2,NA,45600461
B50,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lääkitys/lääkemääräys/uusinta/injektio","Blood and Immunity, Medication/prescr/renewal",ICPC2,NA,45556942
B51,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto","Blood and Immunity, I&d/flush/aspiration",ICPC2,NA,45600462
B52,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto","Blood and Immunity, Exc/remov/biopsy/destruc/debrid/caut",ICPC2,NA,45590857
B53,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Katetrointi/intubointi/laajentaminen","Blood and Immunity, Instrument/catheter/intubate/dilate",ICPC2,NA,45755306
B54,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)","Blood and Immunity, Repair/fix-suture/cast/prosth device",ICPC2,NA,45552228
B55,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Paikallinen lääkeaineinjektio","Blood and Immunity, Local injection/infiltration",ICPC2,NA,45576275
B56,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Sidos/kompressi/tamponointi","Blood and Immunity, Dressing/pressure/compress/tamponade",ICPC2,NA,45571472
B57,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Fysikaalinen hoito / kuntoutus","Blood and Immunity, Physical medicine/rehabilitation",ICPC2,NA,45585964
B58,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Terapeuttinen neuvonta / kuuntelu","Blood and Immunity, Therapeutic counselling/listening",ICPC2,NA,45605242
B59,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia","Blood and Immunity, Other therap proced/minor surg NEC",ICPC2,NA,45566559
B60,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulosten kuuleminen","Blood and Immunity, Result test/procedure",ICPC2,NA,45755307
B61,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta","Blood and Immunity, Result examination/test/record/letter from other provider",ICPC2,NA,NA
B62,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hallinnollinen toimenpide","Blood and Immunity, Administrative procedure",ICPC2,NA,NA
B63,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu seurantakäynti","Blood and Immunity, Follow-up encounter unspecified",ICPC2,NA,NA
B64,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Hoidonantajan käynnistämä tapahtuma","Blood and Immunity, Encounter/prob initiated by provider",ICPC2,NA,45576277
B65,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muun henkilön käynnistämä tapahtuma","Blood and Immunity, Enc/prob init by other than pt/prov",ICPC2,NA,45595622
B66,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete muulle perusterveydenhuollon ammattihenkilölle","Blood and Immunity, Referral to non-MD provider",ICPC2,NA,45547463
B67,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Lähete erikoislääkärille/sairaalaan","Blood and Immunity, Referral to physician/hospital",ICPC2,NA,45581181
B68,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu lähete","Blood and Immunity, Other referral NEC",ICPC2,NA,45547467
B69,"Veri, vertamuodostavat elimet ja immuunijärjestelmä, Muu käynnin syy","Blood and Immunity, Other reason for encounter NEC",ICPC2,NA,45566562
B70,"Imusolmuketulehdus, akuutti",Lymphadenitis acute,ICPC2,L04.9,45755308
B71,"Imusolmuketulehdus, krooninen/määrittämätön",Lymphadenitis chronic/non-specific,ICPC2,I88.9,45576282
B72,Hodgkinin tauti / lymfooma,Hodgkin Lymphoma,ICPC2,C81.9,45556951
B73,Leukemia,Leukaemia,ICPC2,C95.9,45585970
B74,"Pahanlaatuinen veritauti, muu",Malignant neoplasm blood other,ICPC2,C96.9,45532885
B75,"Hyvänlaatuinen/muu kasvain, vertamuodostavien elinten",Neoplasm blood benign/unspecified,ICPC2,D47.9,45556953
B76,"Pernarepeämä, vamman aiheuttama",Ruptured spleen traumatic,ICPC2,S36.0,45605247
B77,"Vamma vertamuodostavassa elimessä / imukudoksessa / pernassa, muu",Injury blood/lymph/spleen other,ICPC2,T14.9,45600467
B78,"Anemia, perinnöllinen hemolyyttinen",Hereditary haemolytic anaemia,ICPC2,D58.9,45581185
B79,"Synnynnäinen epämuodostuma, verta muodostavien elinten ja imusuoniston, muu",Congen anomaly blood/lymph other,ICPC2,Q89.88,45532887
B80,Raudanpuuteanemia,Iron deficiency anaemia,ICPC2,D50.9,45571479
B81,"Anemia, B12-vitamiinin/folaatin puute",Anaemia vit B12/folate deficiency,ICPC2,D51.9,45755309
B82,"Anemia, muu/määrittämätön",Anaemia other/unspecified,ICPC2,D64.9,45581187
B83,Punatäplätauti/hyytymishäiriö,Purpura/coagulation defect,ICPC2,D69.9,45576287
B84,"Valkosolujen poikkeama, selittämätön",Unexplained abnormal white cells,ICPC2,R72,NA
B87,Pernan suurentuma,Splenomegaly,ICPC2,R16.1,45595626
B90,HIV/AIDS,HIV-infection/AIDS,ICPC2,B24,45552240
B99,Muu veren / verta muodostavan elimen / imukudoksen / pernan sairaus,Blood/lymph/spleen disease other,ICPC2,D75.8,45590874
D,Ruoansulatuselimet,Digestive,ICPC2,NA,NA
D01,"Vatsakipu, yleinen",Abdominal pain/cramps general,ICPC2,R10.4,45581271
D02,Ylävatsakipu,Abdominal pain epigastric,ICPC2,R10.1,45755332
D03,Närästys,Heartburn,ICPC2,R12,45561883
D04,Peräsuolen/peräaukon kipu,Rectal/anal pain,ICPC2,R10.2,45590971
D05,Peräaukon kutina,Perianal itching,ICPC2,L29.0,45532967
D06,"Vatsan alueen kipu, paikallinen, muu",Abdominal pain localized other,ICPC2,R10.3,45581278
D07,Happovaiva/ruoansulatushäiriö,Dyspepsia/indigestion,ICPC2,K30,45755333
D08,Ilmavaivat/röyhtäily,Flatulence/gas/belching,ICPC2,R14,NA
D09,Pahoinvointi,Nausea,ICPC2,R11,45755334
D10,Oksentelu,Vomiting,ICPC2,R11,45586083
D11,Ripuli,Diarrhoea,ICPC2,K59.1,45590978
D12,Ummetus,Constipation,ICPC2,K59.0,45537891
D13,Keltaisuus,Jaundice,ICPC2,R17,45547576
D14,Verioksennus/hematemeesi,Haematemesis/vomiting blood,ICPC2,K92.0,45755335
D15,Meleena,Melaena,ICPC2,K92.1,45566664
D16,Verenvuoto peräsuolesta,Rectal bleeding,ICPC2,K62.5,45581285
D17,Ulosteen pidätyskyvyttömyys,Incontinence of bowel,ICPC2,R15,45537894
D18,Muutos ulosteessa / suolen toiminnassa,Change in faeces/bowel movements,ICPC2,R19.4,45755336
D19,Hampaiden/ikenien oire/vaiva,Teeth/gum symptom/complaint,ICPC2,K03.88,45561901
D20,Suun/kielen/huulen oire/vaiva,Mouth/tongue/lip symptom/complaint,ICPC2,K13.7,45755337
D21,Nielemisongelma,Swallowing problem,ICPC2,R13,45590985
D23,Maksan suurentuma,Hepatomegaly,ICPC2,R16.0,45590988
D24,"Kyhmy/patti/muhkura mahassa, määrittämätön",Abdominal mass NOS,ICPC2,R19.0,45532979
D25,Vatsan turvotus,Abdominal distension,ICPC2,R19.0,45571605
D26,Huoli/pelko ruuansulatuselimen syövästä,Fear of cancer of digestive system,ICPC2,Z71.1,45600586
D27,Huoli/pelko ruuansulatuselimen muusta sairaudesta,Fear of digestive disease other,ICPC2,Z71.1,45571606
D28,"Toiminnanvajaus, ruuansulatuselimen",Limited function/disability (D),ICPC2,Z73.6,45581296
D29,Muu ruuansulatuselimen oire/vaiva,Digestive symptom/complaint other,ICPC2,R19.8,45557068
D30,"Ruoansulatuselimet, Laaja terveydentilan arviointi/tarkastus","Digestive, Medical examin/health eval complete",ICPC2,NA,45547589
D31,"Ruoansulatuselimet, Suppea terveydentilan arviointi/tarkastus","Digestive, Medical examin/health eval partial",ICPC2,NA,45755338
D32,"Ruoansulatuselimet, Allergiatutkimus","Digestive, Sensitivity test",ICPC2,NA,45595751
D33,"Ruoansulatuselimet, Mikrobiologinen/immunologinen koe","Digestive, Microbiological/immunological test",ICPC2,NA,45566683
D34,"Ruoansulatuselimet, Veritutkimus","Digestive, Blood test",ICPC2,NA,45542696
D35,"Ruoansulatuselimet, Virtsatutkimus","Digestive, Urine test",ICPC2,NA,45576390
D36,"Ruoansulatuselimet, Ulostetutkimus","Digestive, Faeces test",ICPC2,NA,45755363
D37,"Ruoansulatuselimet, Histologinen/sytologinen tutkimus","Digestive, Histological/exfoliative cytology",ICPC2,NA,45571611
D38,"Ruoansulatuselimet, Muu laboratoriotutkimus","Digestive, Other laboratory test NEC",ICPC2,NA,45755364
D39,"Ruoansulatuselimet, Kliininen toimintakoe","Digestive, Physical function test",ICPC2,NA,45552350
D40,"Ruoansulatuselimet, Diagnostinen endoskopia","Digestive, Diagnostic endoscopy",ICPC2,NA,45586104
D41,"Ruoansulatuselimet, Diagnostinen kuvantaminen","Digestive, Diagnostic radiology/imaging",ICPC2,NA,45576398
D42,"Ruoansulatuselimet, Elektrofysiologinen tutkimus","Digestive, Electrical tracing",ICPC2,NA,45542702
D43,"Ruoansulatuselimet, Muu tutkimustoimenpide","Digestive, Other diagnostic procedure",ICPC2,NA,45591006
D44,"Ruoansulatuselimet, Rokotus / ennaltaehkäisevä lääkitys","Digestive, Preventive immunization/medic",ICPC2,NA,45595759
D45,"Ruoansulatuselimet, Seuranta/terveysneuvonta/ruokavalioneuvonta","Digestive, Observ/health educat/advice/diet",ICPC2,NA,45595761
