CodeId,English_name,ICD10who_name
B05.2+J17.1,Pneumonia in measles,Measles complicated by pneumonia
B05.3+,Otitis media in measles,Measles complicated by otitis media
B05.3+H67.1,Otitis media in measles,Measles complicated by otitis media
B19.0,Unspecified viral hepatitis hepatic with coma,Unspecified viral hepatitis with hepatic coma
B20.6,HIV disease resulting in Pneumocystis carinii pneumonia,HIV disease resulting in Pneumocystis jirovecii pneumonia
B21.0,HIV disease resulting in Kaposi's sarcoma,HIV disease resulting in Kaposi sarcoma
B21.1,HIV disease resulting in Burkitt's lymphoma,HIV disease resulting in Burkitt lymphoma
B21.2,HIV disease resulting in other types of non-Hodgkin's lymphoma,HIV disease resulting in other types of non-Hodgkin lymphoma
B33.4+,Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS],Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B34.0,"Adenovirus infection, unspecified","Adenovirus infection, unspecified site"
B34.1,"Enterovirus infection, unspecified","Enterovirus infection, unspecified site"
B34.2,"Coronavirus infection, unspecified","Coronavirus infection, unspecified site"
B34.3,"Parvovirus infection, unspecified","Parvovirus infection, unspecified site"
B34.4,"Papovavirus infection, unspecified","Papovavirus infection, unspecified site"
B35.6,Tinea cruris,Tinea inguinalis [Tinea cruris]
B37.7,Candidal septicaemia,Candidal sepsis
B57,Chagas' disease,Chagas disease
B57.1,Acute Chagas' disease without heart involvement,Acute Chagas disease without heart involvement
B57.2,Chagas' disease (chronic) (with) NOS,Chagas disease (chronic) with heart involvement
B57.3,Chagas' disease (chronic) with digestive system involvement,Chagas disease (chronic) with digestive system involvement
B57.3+K23.1,Megaoesophagus in Chagas' disease,Megaoesophagus in Chagas disease
B57.3+K93.1,Megacolon in Chagas' disease,Megacolon in Chagas disease
B57.4,Chagas' disease (chronic) with nervous system involvement,Chagas disease (chronic) with nervous system involvement
B57.5,Chagas' disease (chronic) with other organ involvement,Chagas disease (chronic) with other organ involvement
B58.1,Hepatitis toxoplasma,Toxoplasma hepatitis
B95.2,"Streptococcus, group D, as the cause of diseases classified to other chapters",Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B96,Other bacterial agents as the cause of diseases classified to other chapters,Other specified bacterial agents as the cause of diseases classified to other chapters
B96.5,Pseudomonas (aeruginosa)(mallei)(pseudomallei) as the cause of diseases classified to other chapters,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
C00.0&,Malignant neoplasm of external upper lip,Malignant neoplasm: External upper lip
C00.1&,Malignant neoplasm of external lower lip,Malignant neoplasm: External lower lip
C00.2&,"Malignant neoplasm of external lip, unspecified","Malignant neoplasm: External lip, unspecified"
C00.3&,"Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm: Upper lip, inner aspect"
C00.4&,"Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm: Lower lip, inner aspect"
C00.5&,"Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm: Lip, unspecified, inner aspect"
C00.6&,Malignant neoplasm of commissure of lip,Malignant neoplasm: Commissure of lip
C00.8&,Malignant overlapping lesion of lip,Malignant neoplasm: Overlapping lesion of lip
C00.9&,"Malignant neoplasm of lip, unspecified","Malignant neoplasm: Lip, unspecified"
C02.0&,Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm: Dorsal surface of tongue
C02.2&,Malignant neoplasm of ventral surface of tongue,Malignant neoplasm: Ventral surface of tongue
C02.3&,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified","Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
C02.4&,Malignant neoplasm of lingual tonsil,Malignant neoplasm: Lingual tonsil
C02.8&,Malignant neoplasm of overlapping lesion of tongue,Malignant neoplasm: Overlapping lesion of tongue
C02.9&,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm: Tongue, unspecified"
C03.0&,Malignant neoplasm of upper gum,Malignant neoplasm: Upper gum
C03.1&,Malignant neoplasm of lower gum,Malignant neoplasm: Lower gum
C03.9&,"Malignant neoplasm of gum, unspecified","Malignant neoplasm: Gum, unspecified"
C04.0&,Malignant neoplasm of anterior floor of mouth,Malignant neoplasm: Anterior floor of mouth
C04.1&,Malignant neoplasm of lateral floor of mouth,Malignant neoplasm: Lateral floor of mouth
C04.8&,Malignant overlapping lesion of floor of mouth,Malignant neoplasm: Overlapping lesion of floor of mouth
C04.9&,"Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm: Floor of mouth, unspecified"
C05.0&,Malignant neoplasm of hard palate,Malignant neoplasm: Hard palate
C05.1&,Malignant neoplasm of soft palate,Malignant neoplasm: Soft palate
C05.2&,Malignant neoplasm of uvula,Malignant neoplasm: Uvula
C05.8&,Malignant overlapping lesion of palate,Malignant neoplasm: Overlapping lesion of palate
C05.9&,"Malignant neoplasm of palate, unspecified","Malignant neoplasm: Palate, unspecified"
C06.0&,Malignant neoplasm of cheek mucosa,Malignant neoplasm: Cheek mucosa
C06.1,Malignant neoplasm of vestibule of mouth,Malignant neoplasm: Vestibule of mouth
C06.2,Malignant neoplasm of retromolar area,Malignant neoplasm: Retromolar area
C06.8&,Malignant overlapping lesion of other and unspecified parts of mouth,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth
C06.9&,"Malignant neoplasm of mouth, unspecified","Malignant neoplasm: Mouth, unspecified"
C08.0,Malignant neoplasm of submandibular gland,Malignant neoplasm: Submandibular gland
C08.1,Malignant neoplasm of sublingual gland,Malignant neoplasm: Sublingual gland
C08.8,Malignant overlapping lesion of major salivary glands,Malignant neoplasm: Overlapping lesion of major salivary glands
C08.9,"Malignant neoplasm of major salivary gland, unspecified","Malignant neoplasm: Major salivary gland, unspecified"
C09.0&,Malignant neoplasm of tonsillar fossa,Malignant neoplasm: Tonsillar fossa
C09.1&,Malignant neoplasm of tonsillar pillar (anterior)(posterior),Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
C09.8&,Malignant overlapping lesion of tonsil,Malignant neoplasm: Overlapping lesion of tonsil
C09.9&,"Malignant neoplasm of tonsil, unspecified","Malignant neoplasm: Tonsil, unspecified"
C10.0&,Malignant neoplasm of vallecula,Malignant neoplasm: Vallecula
C10.1&,Malignant neoplasm of anterior surface of epiglottis,Malignant neoplasm: Anterior surface of epiglottis
C10.2&,Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm: Lateral wall of oropharynx
C10.3&,Malignant neoplasm of posterior wall of oropharynx,Malignant neoplasm: Posterior wall of oropharynx
C10.4&,Branchial cleft,Malignant neoplasm: Branchial cleft
C10.8&,Overlapping lesion of oropharynx,Malignant neoplasm: Overlapping lesion of oropharynx
C10.9&,"Oropharynx, unspecified","Malignant neoplasm: Oropharynx, unspecified"
C11.0&,Superior wall of nasopharynx,Malignant neoplasm: Superior wall of nasopharynx
C11.1&,Posterior wall of nasopharynx,Malignant neoplasm: Posterior wall of nasopharynx
C11.2&,Lateral wall of nasopharynx,Malignant neoplasm: Lateral wall of nasopharynx
C11.3&,Anterior wall of nasopharynx,Malignant neoplasm: Anterior wall of nasopharynx
C11.8&,Overlapping lesion of nasopharynx,Malignant neoplasm: Overlapping lesion of nasopharynx
C11.9&,"Nasopharynx, unspecified","Malignant neoplasm: Nasopharynx, unspecified"
C12&,Malignant neoplasm of pyriform sinus,Malignant neoplasm of piriform sinus
C13.0&,Postcricoid region,Malignant neoplasm: Postcricoid region
C13.1&,"Aryepiglottic fold, hypopharyngeal aspect","Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect"
C13.2&,Posterior wall of hypopharynx,Malignant neoplasm: Posterior wall of hypopharynx
C13.8&,Overlapping lesion of hypopharynx,Malignant neoplasm: Overlapping lesion of hypopharynx
C13.9&,"Hypopharynx, unspecified","Malignant neoplasm: Hypopharynx, unspecified"
C14.0&,"Pharynx, unspecified","Malignant neoplasm: Pharynx, unspecified"
C14.1&,Laryngopharynx,Malignant neoplasm of laryngopharynx unspecified
C14.2&,Waldeyer's ring,Malignant neoplasm: Waldeyer ring
C14.8&,"Overlapping lesion of lip, oral cavity and pharynx","Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
C15.0&,Cervical part of oesophagus,Malignant neoplasm: Cervical part of oesophagus
C15.1&,Thoracic part of oesophagus,Malignant neoplasm: Thoracic part of oesophagus
C15.2&,Abdominal part of oesophagus,Malignant neoplasm: Abdominal part of oesophagus
C15.3&,Upper third of oesophagus,Malignant neoplasm: Upper third of oesophagus
C15.4&,Middle third of oesophagus,Malignant neoplasm: Middle third of oesophagus
C15.5&,Lower third of oesophagus,Malignant neoplasm: Lower third of oesophagus
C15.8&,Overlapping lesion of oesophagus,Malignant neoplasm: Overlapping lesion of oesophagus
C15.9&,"Oesophagus, unspecified","Malignant neoplasm: Oesophagus, unspecified"
C16.0,Cardia,Malignant neoplasm: Cardia
C16.1,Fundus of stomach,Malignant neoplasm: Fundus of stomach
C16.2,Body of stomach,Malignant neoplasm: Body of stomach
C16.3&,Pyloric antrum,Malignant neoplasm: Pyloric antrum
C16.4&,Pylorus,Malignant neoplasm: Pylorus
C16.5&,"Lesser curvature of stomach, unspecified","Malignant neoplasm: Lesser curvature of stomach, unspecified"
C16.6&,"Greater curvature of stomach, unspecified","Malignant neoplasm: Greater curvature of stomach, unspecified"
C16.8&,Overlapping lesion of stomach,Malignant neoplasm: Overlapping lesion of stomach
C16.9&,"Stomach, unspecified","Malignant neoplasm: Stomach, unspecified"
C17.0&,Duodenum,Malignant neoplasm: Duodenum
C17.1&,Jejunum,Malignant neoplasm: Jejunum
C17.2&,Ileum,Malignant neoplasm: Ileum
C17.3&,Meckel's diverticulum,Malignant neoplasm: Meckel diverticulum
C17.8&,Overlapping lesion of small intestine,Malignant neoplasm: Overlapping lesion of small intestine
C17.9&,"Small intestine, unspecified","Malignant neoplasm: Small intestine, unspecified"
C18.0,Caecum,Malignant neoplasm: Caecum
C18.1,Appendix,Malignant neoplasm: Appendix
C18.2,Ascending colon,Malignant neoplasm: Ascending colon
C18.3,Hepatic flexure,Malignant neoplasm: Hepatic flexure
C18.4,Transverse colon,Malignant neoplasm: Transverse colon
C18.5,Splenic flexure,Malignant neoplasm: Splenic flexure
C18.6,Descending colon,Malignant neoplasm: Descending colon
C18.7,Sigmoid colon,Malignant neoplasm: Sigmoid colon
C18.8,Overlapping lesion of colon,Malignant neoplasm: Overlapping lesion of colon
C18.9,"Colon, unspecified","Malignant neoplasm: Colon, unspecified"
C21.0&,"Anus, unspecified","Malignant neoplasm: Anus, unspecified"
C21.1&,Anal canal,Malignant neoplasm: Anal canal
C21.2&,Cloacogenic zone,Malignant neoplasm: Cloacogenic zone
C21.8&,"Overlapping lesion of rectum, anus and anal canal","Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal"
C22.0&,Liver cell carcinoma,Malignant neoplasm: Liver cell carcinoma
C22.1&,Intrahepatic bile duct carcinoma,Malignant neoplasm: Intrahepatic bile duct carcinoma
C22.2&,Hepatoblastoma,Malignant neoplasm: Hepatoblastoma
C22.3&,Angiosarcoma of liver,Malignant neoplasm: Angiosarcoma of liver
C22.4&,Other sarcomas of liver,Malignant neoplasm: Other sarcomas of liver
C22.7&,Other specified carcinomas of liver,Malignant neoplasm: Other specified carcinomas of liver
C22.9&,"Liver, unspecified","Malignant neoplasm: Liver, unspecified"
C24.0,Extrahepatic bile duct,Malignant neoplasm: Extrahepatic bile duct
C24.1&,Ampulla of Vater,Malignant neoplasm: Ampulla of Vater
C24.8&,Overlapping lesion of biliary tract,Malignant neoplasm: Overlapping lesion of biliary tract
C24.9&,"Biliary tract, unspecified","Malignant neoplasm: Biliary tract, unspecified"
C25.0&,Head of pancreas,Malignant neoplasm: Head of pancreas
C25.1&,Body of pancreas,Malignant neoplasm: Body of pancreas
C25.2&,Tail of pancreas,Malignant neoplasm: Tail of pancreas
C25.3&,Pancreatic duct,Malignant neoplasm: Pancreatic duct
C25.4&,Endocrine pancreas,Malignant neoplasm: Endocrine pancreas
C25.7&,Other parts of pancreas,Malignant neoplasm: Other parts of pancreas
C25.8&,Overlapping lesion of pancreas,Malignant neoplasm: Overlapping lesion of pancreas
C25.9&,"Pancreas, unspecified","Malignant neoplasm: Pancreas, unspecified"
C26.0&,"Intestinal tract, part unspecified","Malignant neoplasm: Intestinal tract, part unspecified"
C26.1&,Spleen,Malignant neoplasm: Spleen
C26.8&,Overlapping lesion of digestive system,Malignant neoplasm: Overlapping lesion of digestive system
C26.9&,Ill-defined sites within the digestive system,Malignant neoplasm: Ill-defined sites within the digestive system
C30.0&,Malignant neoplasm of nasal cavity and middle ear,Malignant neoplasm: Nasal cavity
C30.1&,Middle ear,Malignant neoplasm: Middle ear
C31.0&,Maxillary sinus,Malignant neoplasm: Maxillary sinus
C31.1&,Ethmoidal sinus,Malignant neoplasm: Ethmoidal sinus
C31.2&,Frontal sinus,Malignant neoplasm: Frontal sinus
C31.3&,Sphenoidal sinus,Malignant neoplasm: Sphenoidal sinus
C31.8&,Overlapping lesion of accessory sinuses,Malignant neoplasm: Overlapping lesion of accessory sinuses
C31.9&,"Accessory sinus, unspecified","Malignant neoplasm: Accessory sinus, unspecified"
C32.0&,Glottis,Malignant neoplasm: Glottis
C32.1&,Supraglottis,Malignant neoplasm: Supraglottis
C32.2&,Subglottis,Malignant neoplasm: Subglottis
C32.3&,Laryngeal cartilage,Malignant neoplasm: Laryngeal cartilage
C32.8&,Overlapping lesion of larynx,Malignant neoplasm: Overlapping lesion of larynx
C32.9&,"Larynx, unspecified","Malignant neoplasm: Larynx, unspecified"
C34.0,Main bronchus,Malignant neoplasm: Main bronchus
C34.1,"Upper lobe, bronchus or lung","Malignant neoplasm: Upper lobe, bronchus or lung"
C34.2,"Middle lobe, bronchus or lung","Malignant neoplasm: Middle lobe, bronchus or lung"
C34.3,"Lower lobe, bronchus or lung","Malignant neoplasm: Lower lobe, bronchus or lung"
C34.8,Overlapping lesion of bronchus and lung,Malignant neoplasm: Overlapping lesion of bronchus and lung
C34.9,"Bronchus or lung, unspecified","Malignant neoplasm: Bronchus or lung, unspecified"
C38.0&,Heart,Malignant neoplasm: Heart
C38.1&,Anterior mediastinum,Malignant neoplasm: Anterior mediastinum
C38.2&,Posterior mediastinum,Malignant neoplasm: Posterior mediastinum
C38.3&,"Mediastinum, part unspecified","Malignant neoplasm: Mediastinum, part unspecified"
C38.4&,Pleura,Malignant neoplasm: Pleura
C38.8&,"Overlapping lesion of heart, mediastinum and pleura","Malignant neoplasm: Overlapping lesion of heart, mediastinum and pleura"
C39.0&,"Upper respiratory tract, part unspecified","Malignant neoplasm: Upper respiratory tract, part unspecified"
C39.8&,Overlapping lesion of respiratory and intrathoracic organs,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
C39.9&,Ill-defined sites within the respiratory system,Malignant neoplasm: Ill-defined sites within the respiratory system
C40.0,Scapula and long bones of upper limb,Malignant neoplasm: Scapula and long bones of upper limb
C40.1,Short bones of upper limb,Malignant neoplasm: Short bones of upper limb
C40.2,Long bones of lower limb,Malignant neoplasm: Long bones of lower limb
C40.3,Short bones of lower limb,Malignant neoplasm: Short bones of lower limb
C40.8,Overlapping lesion of bone and articular cartilage of limbs,Malignant neoplasm: Overlapping lesion of bone and articular cartilage of limbs
C40.9,"Bone and articular cartilage of limb, unspecified","Malignant neoplasm: Bone and articular cartilage of limb, unspecified"
C41.0,Bones of skull and face,Malignant neoplasm: Bones of skull and face
C41.1,Mandible,Malignant neoplasm: Mandible
C41.2,Vertebral column,Malignant neoplasm: Vertebral column
C41.3,"Ribs, sternum and clavicle","Malignant neoplasm: Ribs, sternum and clavicle"
C41.4,"Pelvic bones, sacrum and coccyx","Malignant neoplasm: Pelvic bones, sacrum and coccyx"
C41.8,Overlapping lesion of bone and articular cartilage,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
C41.9,"Bone and articular cartilage, unspecified","Malignant neoplasm: Bone and articular cartilage, unspecified"
C43.0,Malignant melanoma of lip,Malignant neoplasm: Malignant melanoma of lip
C43.1,"Malignant melanoma of eyelid, including canthus","Malignant neoplasm: Malignant melanoma of eyelid, including canthus"
C43.2,Malignant melanoma of ear and external auricular canal,Malignant neoplasm: Malignant melanoma of ear and external auricular canal
C43.3,Malignant melanoma of other and unspecified parts of face,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face
C43.4,Malignant melanoma of scalp and neck,Malignant neoplasm: Malignant melanoma of scalp and neck
C43.5,Malignant melanoma of trunk,Malignant neoplasm: Malignant melanoma of trunk
C43.6,"Malignant melanoma of upper limb, including shoulder","Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
C43.7,"Malignant melanoma of lower limb, including hip","Malignant neoplasm: Malignant melanoma of lower limb, including hip"
C43.8,Overlapping malignant melanoma of skin,Malignant neoplasm: Overlapping malignant melanoma of skin
C43.9,"Malignant melanoma of skin, unspecified","Malignant neoplasm: Malignant melanoma of skin, unspecified"
C44.0,Skin of lip,Malignant neoplasm: Skin of lip
C44.1,"Skin of eyelid, including canthus","Malignant neoplasm: Skin of eyelid, including canthus"
C44.2,Skin of ear and external auricular canal,Malignant neoplasm: Skin of ear and external auricular canal
C44.3,Skin of other and unspecified parts of face,Malignant neoplasm: Skin of other and unspecified parts of face
C44.4,Skin of scalp and neck,Malignant neoplasm: Skin of scalp and neck
C44.5,Skin of trunk,Malignant neoplasm: Skin of trunk
C44.59,NA,Malignant neoplasm: Skin of trunk
C44.6,"Skin of upper limb, including shoulder","Malignant neoplasm: Skin of upper limb, including shoulder"
C44.7,"Skin of lower limb, including hip","Malignant neoplasm: Skin of lower limb, including hip"
C44.8,Overlapping lesion of skin,Malignant neoplasm: Overlapping lesion of skin
C44.9,"Malignant neoplasm of skin, unspecified","Malignant neoplasm: Malignant neoplasm of skin, unspecified"
C46,Kaposi's sarcoma,Kaposi sarcoma
C46.0&,Kaposi's sarcoma of skin,Kaposi sarcoma of skin
C46.1&,Kaposi's sarcoma of soft tissue,Kaposi sarcoma of soft tissue
C46.2&,Kaposi's sarcoma of palate,Kaposi sarcoma of palate
C46.3&,Kaposi's sarcoma of lymph nodes,Kaposi sarcoma of lymph nodes
C46.7&,Kaposi's sarcoma of other sites,Kaposi sarcoma of other sites
C46.8&,Kaposi's sarcoma of multiple organs,Kaposi sarcoma of multiple organs
C46.9&,"Kaposi's sarcoma, unspecified","Kaposi sarcoma, unspecified"
C47.0,"Peripheral nerves of head, face and neck","Malignant neoplasm: Peripheral nerves of head, face and neck"
C47.1,"Peripheral nerves of upper limb, including shoulder","Malignant neoplasm: Peripheral nerves of upper limb, including shoulder"
C47.2,"Peripheral nerves of lower limb, including hip","Malignant neoplasm: Peripheral nerves of lower limb, including hip"
C47.3,Peripheral nerves of thorax,Malignant neoplasm: Peripheral nerves of thorax
C47.4,Peripheral nerves of abdomen,Malignant neoplasm: Peripheral nerves of abdomen
C47.5,Peripheral nerves of pelvis,Malignant neoplasm: Peripheral nerves of pelvis
C47.6,"Peripheral nerves of trunk, unspecified","Malignant neoplasm: Peripheral nerves of trunk, unspecified"
C47.8,Overlapping lesion of peripheral nerves and autonomic nervous system,Malignant neoplasm: Overlapping lesion of peripheral nerves and autonomic nervous system
C47.9,"Peripheral nerves and autonomic nervous system, unspecified","Malignant neoplasm: Peripheral nerves and autonomic nervous system, unspecified"
C48.0,Retroperitoneum,Malignant neoplasm: Retroperitoneum
C48.1,Specified parts of peritoneum,Malignant neoplasm: Specified parts of peritoneum
C48.2,"Peritoneum, unspecified","Malignant neoplasm: Peritoneum, unspecified"
C48.8,Overlapping lesion of retroperitoneum and peritoneum,Malignant neoplasm: Overlapping lesion of retroperitoneum and peritoneum
C49.0,"Connective and soft tissue of head, face and neck","Malignant neoplasm: Connective and soft tissue of head, face and neck"
C49.1,"Connective and soft tissue of upper limb, including shoulder","Malignant neoplasm: Connective and soft tissue of upper limb, including shoulder"
C49.2,"Connective and soft tissue of lower limb, including hip","Malignant neoplasm: Connective and soft tissue of lower limb, including hip"
C49.3,Connective and soft tissue of thorax,Malignant neoplasm: Connective and soft tissue of thorax
C49.4,Connective and soft tissue of abdomen,Malignant neoplasm: Connective and soft tissue of abdomen
C49.5,Connective and soft tissue of pelvis,Malignant neoplasm: Connective and soft tissue of pelvis
C49.6,"Connective and soft tissue of trunk, unspecified","Malignant neoplasm: Connective and soft tissue of trunk, unspecified"
C49.8,Overlapping lesion of connective and soft tissue,Malignant neoplasm: Overlapping lesion of connective and soft tissue
C49.9,"Connective and soft tissue, unspecified","Malignant neoplasm: Connective and soft tissue, unspecified"
C50.0,Nipple and areola,Malignant neoplasm: Nipple and areola
C50.1,Central portion of breast,Malignant neoplasm: Central portion of breast
C50.2,Upper-inner quadrant of breast,Malignant neoplasm: Upper-inner quadrant of breast
C50.3,Lower-inner quadrant of breast,Malignant neoplasm: Lower-inner quadrant of breast
C50.4,Upper-outer quadrant of breast,Malignant neoplasm: Upper-outer quadrant of breast
C50.5,Lower-outer quadrant of breast,Malignant neoplasm: Lower-outer quadrant of breast
C50.6,Axillary tail of breast,Malignant neoplasm: Axillary tail of breast
C50.8,Overlapping lesion of breast,Malignant neoplasm: Overlapping lesion of breast
C51.0,Labium majus,Malignant neoplasm: Labium majus
C51.1&,Labium minoris,Malignant neoplasm: Labium minus
C51.2&,Clitoris,Malignant neoplasm: Clitoris
C51.8&,Overlapping lesion of vulva,Malignant neoplasm: Overlapping lesion of vulva
C51.9&,"Vulva, unspecified","Malignant neoplasm: Vulva, unspecified"
C53.0,Endocervix,Malignant neoplasm: Endocervix
C53.1,Exocervix,Malignant neoplasm: Exocervix
C53.8,Overlapping lesion of cervix uteri,Malignant neoplasm: Overlapping lesion of cervix uteri
C53.9,"Cervix uteri, unspecified","Malignant neoplasm: Cervix uteri, unspecified"
C54.0&,Isthmus uteri,Malignant neoplasm: Isthmus uteri
C54.1,Endometrium,Malignant neoplasm: Endometrium
C54.2,Myometrium,Malignant neoplasm: Myometrium
C54.3&,Fundus uteri,Malignant neoplasm: Fundus uteri
C54.8&,Overlapping lesion of corpus uteri,Malignant neoplasm: Overlapping lesion of corpus uteri
C54.9&,"Corpus uteri, unspecified","Malignant neoplasm: Corpus uteri, unspecified"
C57.0&,Fallopian tube,Malignant neoplasm: Fallopian tube
C57.1&,Broad ligament,Malignant neoplasm: Broad ligament
C57.2&,Round ligament,Malignant neoplasm: Round ligament
C57.3&,Parametrium,Malignant neoplasm: Parametrium
C57.4&,"Uterine adnexa, unspecified","Malignant neoplasm: Uterine adnexa, unspecified"
C57.7&,Other specified female genital organs,Malignant neoplasm: Other specified female genital organs
C57.8&,Overlapping lesion of female genital organs,Malignant neoplasm: Overlapping lesion of female genital organs
C57.9&,"Female genital organ, unspecified","Malignant neoplasm: Female genital organ, unspecified"
C60.0&,Prepuce,Malignant neoplasm: Prepuce
C60.1&,Glans penis,Malignant neoplasm: Glans penis
C60.2&,Body of penis,Malignant neoplasm: Body of penis
C60.8&,Overlapping lesion of penis,Malignant neoplasm: Overlapping lesion of penis
C60.9&,"Penis, unspecified","Malignant neoplasm: Penis, unspecified"
C62.0,Undescended testis,Malignant neoplasm: Undescended testis
C62.1,Descended testis,Malignant neoplasm: Descended testis
C62.9,"Testis, unspecified","Malignant neoplasm: Testis, unspecified"
C63.0&,Epididymis,Malignant neoplasm: Epididymis
C63.1&,Spermatic cord,Malignant neoplasm: Spermatic cord
C63.2&,Scrotum,Malignant neoplasm: Scrotum
C63.7&,Other specified male genital organs,Malignant neoplasm: Other specified male genital organs
C63.8&,Overlapping lesion of male genital organs,Malignant neoplasm: Overlapping lesion of male genital organs
C63.9&,"Male genital organ, unspecified","Malignant neoplasm: Male genital organ, unspecified"
C67.0&,Trigone of bladder,Malignant neoplasm: Trigone of bladder
C67.1&,Dome of bladder,Malignant neoplasm: Dome of bladder
C67.2&,Lateral wall of bladder,Malignant neoplasm: Lateral wall of bladder
C67.3&,Anterior wall of bladder,Malignant neoplasm: Anterior wall of bladder
C67.4&,Posterior wall of bladder,Malignant neoplasm: Posterior wall of bladder
C67.5&,Bladder neck,Malignant neoplasm: Bladder neck
C67.6&,Ureteric orifice,Malignant neoplasm: Ureteric orifice
C67.7&,Urachus,Malignant neoplasm: Urachus
C67.8&,Overlapping lesion of bladder,Malignant neoplasm: Overlapping lesion of bladder
C67.9&,"Bladder, unspecified","Malignant neoplasm: Bladder, unspecified"
C68.0&,Urethra,Malignant neoplasm: Urethra
C68.1&,Paraurethral gland,Malignant neoplasm: Paraurethral gland
C68.8&,Overlapping lesion of urinary organs,Malignant neoplasm: Overlapping lesion of urinary organs
