CodeId,LongName,English_name,freq_finngen,freq_tays,freq_total,ICD10who_match_level
A18.0+M90.0,Luutuberkuloosi,NA,0,0,0,match_first_code
A18.1+N29.1,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,NA,0,0,0,match_first_code
A18.1+N33.0,Virtsarakon tuberkuloosi,Tuberculous cystitis,0,0,0,match_first_code
A18.1+N51.0,Tuberkuloottinen eturauhastulehdus,Prostatitis tuberculous,0,0,0,match_first_code
A18.1+N51.1,Kiveksen tuberkuloosi,Tuberculosis of epididymis,0,0,0,match_first_code
A18.1+N51.8,Miehen sukupuolielinten tuberkuloosi,NA,0,0,0,match_first_code
A18.1+N77.0,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,Ulceration of vulva in tuberculosis,0,0,0,match_first_code
A18.4+H03.1,Silmäluomen lupus vulgaris,Lupus vulgaris: of eyelid+,0,0,0,match_first_code
A18.5+H19.0,Tuberkuloottinen episkleriitti,Lupus episcleritis,0,0,0,match_first_code
A18.5+H19.2,Tuberkuloosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,Keratitis and keratoconjunctivitis (interstitial) in tuberculosis,0,0,0,match_first_code
A18.5+H22.0,Tuberkuloottinen värikalvon ja sädekehän tulehdus,Lupus iridocyclitis,0,0,0,match_first_code
A18.5+H32.0,Tuberkuloottinen suoni- ja verkkokalvon tulehdus,Lupus chorioretinitis,0,0,0,match_first_code
A18.6+H67.0,Tuberkuloottinen välikorvan tulehdus,Tuberculous otitis media,0,0,0,match_first_code
A18.8+D77,Pernan tuberkuloosi,Tuberculosis of spleen,0,0,0,match_first_code
A18.8+E35.0,Kilpirauhasen tuberkuloosi,Tuberculosis of thyroid gland,0,0,0,match_first_code
A18.8+I32.0,Sydänpussin tuberkuloosi,Tuberculosis of pericardium,0,0,0,match_first_code
A18.8+I39.8,Sydämen sisäkalvon tuberkuloosi,Tuberculosis of endocardium,0,0,0,match_first_code
A18.8+I41.0,Sydänlihaksen tuberkuloosi,Tuberculosis of myocardium,0,0,0,match_first_code
A18.8+I68.1,Tuberkuloottinen aivovaltimotulehdus,Tuberculous cerebral arteritis,0,0,0,match_first_code
A18.8+K77.0,Maksan tuberkuloosi,Liver tuberculosis,0,0,0,match_first_code
A18.8+K87.1,Haiman tuberkuloosi,Tuberculosis of pancreas,0,0,0,match_first_code
A21.2+J17.0,Tularemiaan liittyvä keuhkokuume,Pneumonia (due to)(in) tularaemia,0,0,0,match_first_code
A22.1+J17.0,Pernaruttoon liittyvä keuhkokuume,Pneumonia (due to)(in) anthrax,0,0,0,match_first_code
A22.8+G01,Pernaruton aiheuttama aivokalvotulehdus,Anthrax meningitis+,0,0,0,match_first_code
A23.9+M49.1,Määrittämättömän bruselloosin aiheuttama nikamatulehdus,Brucella spondylitis,0,0,0,match_first_code
A23.9+N16.0,Bruselloosiin liittyvä tubulointerstitiaalinen munuaissairaus,Renal tubulo-interstitial disorders (due to)(in) brucellosis,0,0,0,match_first_code
A27.9+G01,Leptospiroosiin liittyvä aivokalvotulehdus,Meningitis (in) leptospirosis,0,0,0,match_first_code
A28.10,Kissanraapaisutaudin suun alueen ilmentymät,NA,0,0,0,match_first_code_parent
A28.11,Kaulan imusolmukkeiden tulehdus kissanraapaisutaudissa,NA,0,0,0,match_first_code_parent
A28.19,Muu tai määrittämätön kissanraapaisutauti,NA,0,1,0,match_first_code_parent
A30.9+G63.0,Lepraan liittyvä monihermosairaus,Polyneuropathy (in) leprosy,0,0,0,match_first_code
A30.9+M01.3,Lepraan liittyvä nivelinfektio,Arthritis in leprosy [Hansen's disease],0,0,0,match_first_code
A31.80,Mycobacterium intracellulare-bakteerin aiheuttamat tulehdusmuutokset suussa,NA,20,31,51,match_first_code_parent
A31.81,Mycobacterium chelonei-bakteerin aiheuttamat tulehdusmuutokset suussa,NA,0,0,0,match_first_code_parent
A31.84,Muun tai määrittämättömän mykobakteerin aiheuttama suun alueen infektio,NA,0,3,0,match_first_code_parent
A31.89,Muu mykobakteriaalinen infektio,Other mycobacterial infections,94,663,757,match_first_code_parent
A32.1+G01,Listerian aiheuttama aivokalvotulehdus,Listerial meningitis,0,0,0,match_first_code
A32.1+G05.0,Listerioosiin liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) listerial",0,0,0,match_first_code
A32.8+I39.8,Listerian aiheuttama sydämen sisäkalvon tulehdus,Listerial endocarditis+,0,0,0,match_first_code
A32.8+I68.1,Listerian aiheuttama aivovaltimotulehdus,Listerial cerebral arteritis,0,0,0,match_first_code
A36.8+G63.0,Kurkkumädän aiheuttama monihermotulehdus,Diphtheritic polyneuritis+,0,0,0,match_first_code
A36.8+H13.1,Kurkkumädän aiheuttama sidekalvotulehdus,Diphtheritic conjunctivitis+,0,0,0,match_first_code
A36.8+I41.0,Kurkkumädän aiheuttama sydänlihastulehdus,Diphtheritic myocarditis+,0,0,0,match_first_code
A36.8+I43.0,Kurkkumädän sydänlihassairaus,Cardiomyopathy in diphtheria,0,0,0,match_first_code
A36.8+N16.0,Kurkkumätään liittyvä tubulointerstitiaalinen munuaissairaus,Renal tubulo-interstitial disorders (due to)(in) diphtheria,0,0,0,match_first_code
A37.9+J17.0,Hinkuyskään liittyvä keuhkokuume,Pneumonia (due to)(in) whooping cough,0,0,0,match_first_code
A38+H67.0,Tulirokko ja välikorvan tulehdus,Otitis media in scarlet fever,0,0,0,match_first_code
A39.0+G01,Meningokokin aiheuttama aivokalvotulehdus,Meningococcal meningitis,0,0,0,match_first_code
A39.1+E35.1,Waterhouse-Friderichsenin oireyhtymä,Waterhouse-Friderichsen syndrome (meningococcal),0,0,0,match_first_code
A39.5+I32.0,Meningokokin aiheuttama sydänpussin tulehdus,Meningococcal pericarditis,0,0,0,match_first_code
A39.5+I39.8,Meningokokin aiheuttama sydämen sisäkalvon tulehdus,Meningococcal endocarditis,0,0,0,match_first_code
A39.5+I41.0,Meningokokin aiheuttama sydänlihaksen tulehdus,Meningococcal myocarditis,0,0,0,match_first_code
A39.5+I52.0,Tarkemmin määrittämätön meningokokin aiheuttama sydäntulehdus,Meningococcal carditis NOS,0,0,0,match_first_code
A39.8+G05.0,Meningokokkisairauteen liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) meningococcal",0,0,0,match_first_code
A39.8+H13.1,Meningokokin aiheuttama sidekalvotulehdus,Meningococcal conjunctivitis+,0,0,0,match_first_code
A39.8+H48.1,Meningokokin aiheuttama silmämunantakainen näköhermotulehdus,Meningococcal retrobulbar neuritis+,0,0,0,match_first_code
A39.8+M01.0,Meningokokin aiheuttama niveltulehdus,Meningococcal arthritis,0,0,0,match_first_code
A39.8+M03.0,Meningokokkitulehduksen jälkeinen niveltulehdus,Postmeningococcal arthritis,0,0,0,match_first_code
A40.9+N08.0,Streptokokkiseptikemia ja munuaiskerässairaus,NA,0,0,0,match_first_code
A41.9+N08.0,Määrittämättömän bakteerin septikemia ja munuaiskerässairaus,NA,0,0,0,match_first_code
A42.0+J17.0,Aktinomykoosiin liittyvä keuhkokuume,Pneumonia (due to)(in) actinomycosis,0,0,0,match_first_code
A43.0+J17.0,Nokardioosiin liittyvä keuhkokuume,Pneumonia (due to)(in) nocardiosis,0,0,0,match_first_code
A46+H62.0,Ulkokorvan ruusu (erysipelas),Otitis externa in erysipelas,0,0,0,match_first_code
A50.0+H58.8,Muualla luokittamaton synnynnäisen kupan varhaisvaiheen silmäsairaus,Syphilitic oculopathy NEC congenital: early,0,0,0,match_first_code
A50.0+J99.8,Varhaisen synnynnäisen kupan aiheuttama hengitysteiden sairaus,Early congenital syphilitic respiratory disease,0,0,0,match_first_code
A50.0+K67.2,Varhainen synnynnäinen sisäelinkuppa,Early congenital syphilis visceral,0,0,0,match_first_code
A50.0+L99.8,Varhainen synnynnäinen ihokuppa,Early congenital syphilis cutaneous,0,0,0,match_first_code
A50.0+M90.2,Varhaisen synnynnäisen kupan aiheuttama luu-rustosairaus,Early congenital syphilitic pharyngitis,0,0,0,match_first_code
A50.3+H19.2,Kupan aiheuttama sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,Keratitis and keratoconjunctivitis (interstitial) in syphilis,0,0,0,match_first_code
A50.3+H58.8,Muualla luokittamaton myöhäisen synnynnäisen kupan aiheuttama silmäsairaus,Late congenital syphilitic oculopathy NEC+,0,0,0,match_first_code
A50.4+G01,Myöhäinen synnynnäisen kupan aiheuttama aivokalvotulehdus,Late congenital syphilitic meningitis+,0,0,0,match_first_code
A50.4+G05.0,Synnynnäiseen kuppaan liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) syphilis: congenital",0,0,0,match_first_code
A50.4+G63.0,Myöhäisen synnynnäisen kupan aiheuttama monihermosairaus,Late congenital syphilitic polyneuropathy+,0,0,0,match_first_code
A50.50,Kupan aiheuttamat suuta ympäröivät uurteet (Parrotin uurteet),NA,0,0,0,match_first_code_parent
A50.51,Hutchinsonin etuhampaat,NA,0,0,0,match_first_code_parent
A50.52,Nuppuhammas (Mulberryn molaari),NA,0,0,0,match_first_code_parent
A50.54,Muu kupan suun alueen ilmentymä,NA,0,0,0,match_first_code_parent
A50.55,Tarkemmin määrittämätön kupan suun alueen ilmentymä,NA,0,0,0,match_first_code_parent
A50.59,Muu oireinen synnynnäinen myöhäiskuppa,"Other late congenital syphilis, symptomatic",0,0,0,match_first_code_parent
A50.59+I98.0,Myöhäisen synnynnäisen kupan sydän-verisuonisairaus,Late congenital cardiovascular syphilis+,0,0,0,match_first_code_parent
A50.59+M03.1,Myöhäisen synnynnäisen kupan nivelsairaus,Clutton's joints+,0,0,0,match_first_code_parent
A50.59+M90.2,Myöhäisen synnynnäisen kupan aiheuttama luu-rustosairaus,Late congenital syphilitic: osteochondropathy+,0,0,0,match_first_code_parent
A51.3+L99.8,Varhaisen kupan aiheuttama leukoderma tai kaljuus,Late congenital leukoderma or alopecia,0,0,0,match_first_code
A51.4+G01,Sekundaarisen kupan aiheuttama aivokalvotulehdus,Secondary syphilitic meningitis+,0,0,0,match_first_code
A51.4+H22.0,Sekundaarisen kupan aiheuttama värikalvon ja sädekehän tulehdus,Secondary syphilitic iridocyclitis+,0,0,0,match_first_code
A51.4+H58.8,Muualla luokittamaton sekundaarisen kupan aiheuttama silmäsairaus,Secondary syphilitic oculopathy NEC+,0,0,0,match_first_code
A51.4+M63.0,Sekundaarisen kupan aiheuttama lihastulehdus,Secondary syphilitic myositis+,0,0,0,match_first_code
A51.4+M90.1,Sekundaarisen kupan aiheuttama luukalvotulehdus,Secondary syphilitic periostitis+,0,0,0,match_first_code
A51.4+N74.2,Sekundaarisen kupan aiheuttama sisäsynnyttimien tulehdus,Secondary syphilitic female pelvic inflammatory disease+,0,0,0,match_first_code
A52.0+I32.0,Kupan aiheuttama sydänpussitulehdus,Syphilitic pericarditis,0,0,0,match_first_code
A52.0+I39.1,Kupan aiheuttama aorttaläpän vuoto,Syphilitic aortic incompetence,0,0,0,match_first_code
A52.0+I39.3,Kupan aiheuttama keuhkovaltimoläpän vuoto,Syphilitic pulmonary regurgitation,0,0,0,match_first_code
A52.0+I39.8,Tarkemmin määrittämätön kupan aiheuttama sydämen sisäkalvon tulehdus,Syphilitic endocarditis NOS,0,0,0,match_first_code
A52.0+I41.0,Kupan aiheuttama sydänlihastulehdus,Syphilitic myocarditis,0,0,0,match_first_code
A52.0+I68.1,Kupan aiheuttama aivovaltimotulehdus,"Syphilitic arteritis, cerebral",0,0,0,match_first_code
A52.0+I79.0,Kupan aiheuttama aortta-aneurysma,Syphilitic aneurysm of aorta,0,0,0,match_first_code
A52.0+I79.1,Kupan aiheuttama aorttatulehdus,Syphilitic aortitis,0,0,0,match_first_code
A52.0+I98.0,Tarkemmin määrittämätön sydän-verisuonikuppa,Cardiovascular syphilis NOS,0,0,0,match_first_code
A52.1+F02.89,Hermostokuppaan liittyvä dementia,NA,0,0,0,match_first_code
A52.1+G01,Myöhäiskupan aiheuttama aivokalvotulehdus,Late syphilitic meningitis+,0,0,0,match_first_code
A52.1+G05.0,Myöhäiskupan aiheuttama aivotulehdus,Late syphilitic encephalitis+,0,0,0,match_first_code
A52.1+G22,Kupan aiheuttama parkinsonismi,Syphilitic parkinsonism+,0,0,0,match_first_code
A52.1+G63.0,Myöhäiskuppaan liittyvä monihermosairaus,Late syphilitic polyneuropathy,0,0,0,match_first_code
A52.1+H48.0,Myöhäiskuppaan liittyvä näköhermon surkastuminen,Late syphilitic optic atrophy+,0,0,0,match_first_code
A52.1+H48.1,Myöhäiskuppaan liittyvä näköhermon tulehdus,Late syphilitic retrobulbar neuritis+,0,0,0,match_first_code
A52.1+H58.0,Kuppaan liittyvä Argyll Robertsonin mustuainen,"Argyll Robertson phenomenon or pupil, syphilitic",0,0,0,match_first_code
A52.1+H94.0,Myöhäiskuppaan liittyvä kuulohermotulehdus,Late syphilitic acoustic neuritis+,0,0,0,match_first_code
A52.1+M14.6,Tabeettinen nivelsairaus (Charcot),Charcot's or tabetic arthropathy,0,0,0,match_first_code
A52.1+M49.4,Tabes dorsaliksesta johtuva nikamasairaus,Neuropathic spondylopathy in tabes dorsalis,0,0,0,match_first_code
A52.70,Kupan aiheuttama gumma suun kudoksissa,NA,0,0,0,match_first_code_parent
A52.71,Kupan aiheuttama suulaen aukko,NA,0,0,0,match_first_code_parent
A52.72,Kupan aiheuttama kielitulehdus,NA,0,0,0,match_first_code_parent
A52.73,Kupan aiheuttama leukojen osteomyeliitti,NA,0,0,0,match_first_code_parent
A52.74,Muu kupan aiheuttama suun alueen ilmentymä,NA,0,0,0,match_first_code_parent
A52.75,Määrittämätön suun alueen ilmentymä,NA,28,1,29,match_first_code_parent
A52.79,Muu oireinen myöhäiskuppa,Other symptomatic late syphilis,0,0,0,match_first_code_parent
A52.79+H19.0,Myöhäiskupan aiheuttama episkleriitti,Late syphilitic episcleritis+,0,0,0,match_first_code_parent
A52.79+H32.0,Myöhäiskupan aiheuttama suoni- ja verkkokalvon tulehdus,Late syphilitic chorioretinitis+,0,0,0,match_first_code_parent
A52.79+H58.8,Muualla luokittamaton myöhäiskupan aiheuttama silmäsairaus,Late syphilitic oculopathy NEC+,0,0,0,match_first_code_parent
A52.79+J99.8,Kuppaan liittyvä hengityselinsairaus,Syphilis [stage unspecified] of lung+,0,0,0,match_first_code_parent
A52.79+K77.0,Kupan aiheuttama maksasairaus,Syphilitic liver disease,0,0,0,match_first_code_parent
A52.79+L99.8,Myöhäisen kupan aiheuttama leukoderma,Late syphilitic leukoderma+,0,0,0,match_first_code_parent
A52.79+M63.0,Myöhäiskupan aiheuttama lihassairaus,Syphilis [stage unspecified] of muscle+,0,0,0,match_first_code_parent
A52.79+M68.0,Kuppaan liittyvä nivelkalvotulehdus/jännetuppitulehdus,Synovitis or tenosynovitis in syphilis,0,0,0,match_first_code_parent
A52.79+M73.1,Myöhäiskupan aiheuttama limapussitulehdus,Syphilitic bursitis,0,0,0,match_first_code_parent
A52.79+M90.2,Luukuppa,Syphilis [stage unspecified] of bone+,0,0,0,match_first_code_parent
A52.79+N08.0,Kuppaan liittyvä munuaiskerässairaus,Glomerular disease in syphilis+,0,0,0,match_first_code_parent
A52.79+N29.0,Munuaisen myöhäiskuppa,Late syphilis of kidney,0,0,0,match_first_code_parent
A52.79+N74.2,Myöhäiskupan aiheuttama sisäsynnyttimien tulehdus,Late syphilitic female pelvic inflammatory disease+,0,0,0,match_first_code_parent
A54.2+N51.0,Gonokokin aiheuttama eturauhastulehdus,Gonococcal prostatitis,0,0,0,match_first_code
A54.2+N51.1,Gonokokin aiheuttama lisäkivestulehdus,Gonococcal epididymitis,0,0,0,match_first_code
A54.2+N74.3,Gonokokin aiheuttama sisäsynnyttimien tulehdussairaus,Female gonococcal pelvic inflammatory disease,0,0,0,match_first_code
A54.3+H13.1,Gonokokin aiheuttama sidekalvotulehdus,Gonococcal conjunctivitis+,0,0,0,match_first_code
A54.3+H22.0,Gonokokin aiheuttama värikalvon ja sädekehän tulehdus,Gonococcal iridocyclitis+,0,0,0,match_first_code
A54.4+M01.3,Gonokokin aiheuttama niveltulehdus,Gonococcal arthritis,0,0,0,match_first_code
A54.4+M68.0,Tippuriin liittyvä nivelkalvotulehdus/jännetuppitulehdus,Synovitis or tenosynovitis in gonorrhoea,0,0,0,match_first_code
A54.4+M73.0,Gonokokin aiheuttama limapussitulehdus,Gonococcal bursitis,0,0,0,match_first_code
A54.4+M90.2,Gonokokin aiheuttama luuydintulehdus,Gonococcal osteomyelitis,0,0,0,match_first_code
A54.8+G01,Gonokokin aiheuttama aivokalvotulehdus,Gonococcal meningitis+,0,0,0,match_first_code
A54.8+G07,Gonokokin aiheuttama aivopaise,Gonococcal brain abscess+,0,0,0,match_first_code
A54.8+I32.0,Gonokokin aiheuttama sydänpussitulehdus,Gonococcal pericarditis+,0,0,0,match_first_code
A54.8+I39.8,Gonokokin aiheuttama sydämen sisäkalvon tulehdus,Gonococcal endocarditis+,0,0,0,match_first_code
A54.8+I41.0,Gonokokin aiheuttama sydänlihastulehdus,Gonococcal myocarditis+,0,0,0,match_first_code
A54.8+J17.0,Gonokokin aiheuttama keuhkokuume,Gonococcal pneumonia+,0,0,0,match_first_code
A56.1+N51.0,Klamydian aiheuttama eturauhastulehdus,NA,0,0,0,match_first_code
A56.1+N51.1,Klamydian aiheuttama lisäkivestulehdus,Chlamydial epididymitis,0,0,0,match_first_code
A56.1+N74.4,Klamydian aiheuttama sisäsynnyttimien tulehdus,Female chlamydial pelvic inflammatory disease,0,0,0,match_first_code
A59.0+N51.0,Trichomonas vaginalis -alkueläimen aiheuttama eturauhastulehdus,Prostatitis trichomonal,0,0,0,match_first_code
A60.0+N51.8,Miehen sukupuolielinten herpesvirusinfektio,NA,0,0,0,match_first_code
A60.0+N77.0,Herpesvirusinfektioon (herpes simplex) liittyvä ulkosynnyttimien haavauma,Ulceration of vulva in herpesviral [herpes simplex] infection,0,0,0,match_first_code
A60.0+N77.1,Herpesvirusinfektioon (herpes simplex) liittyvä emättimen ja/tai ulkosynnyttimien tulehdus,"Vaginitis, vulvitis and vulvovaginitis in herpesviral [herpes simplex] infection",0,0,0,match_first_code
A66.9+H03.1,Silmäluomen vaapukkasyylätauti,Involvement of eyelid in yaws,0,0,0,match_first_code
A67.2+I98.1,Pintan [karaten] sydän-verisuonivauriot,Cardiovascular lesions of pinta [carate]+,0,0,0,match_first_code
A69.10,Akuutti kuolioituva haavainen ientulehdus (ANUG),NA,10,0,0,match_first_code_parent
A69.11,Vincentin angiina,Fusospirochaetal pharyngitis,0,0,0,match_first_code_parent
A69.2+F02.89,Lymen tautiin (borrelioosiin) liittyvä dementia,NA,0,0,0,match_first_code
A69.2+G01,Lymen borrelioosiin liittyvä aivokalvotulehdus,Meningitis (in) Lyme disease,0,0,0,match_first_code
A69.2+G63.0,Lymen borrelioosiin liittyvä monihermosairaus,Polyneuropathy (in) Lyme disease,0,0,0,match_first_code
A69.2+H13.1,Lymen borrelioosiin liittyvä sidekalvotulehdus,NA,0,0,0,match_first_code
A69.2+H19.0,Lymen borrelioosiin liittyvä kovakalvon pintakudostulehdus,NA,0,0,0,match_first_code
A69.2+H19.2,Lymen borrelioosiin liittyvä sarveiskalvotulehdus tai sarveis- ja sidekalvotulehdus,NA,0,0,0,match_first_code
A69.2+H22.0,Borrelian (Lymen borrelioosin) aiheuttama värikalvon ja sädekehän tulehdus,NA,0,0,0,match_first_code
A69.2+H32.0,Lymen borrelioosiin liittyvä suoni- ja verkkokalvotulehdus,NA,0,0,0,match_first_code
A69.2+H48.1,Lymen borrelioosiin liittyvä näköhermon silmäntakaisen osan tulehdus,NA,0,0,0,match_first_code
A69.2+H58.8,Lymen borrelioosiin liittyvä silmäsairaus,NA,0,0,0,match_first_code
A69.8+J17.8,Muualla luokittamattomaan spirokeettainfektioon liittyvä keuhkokuume,"Pneumonia (in) spirochaetal, not elsewhere classified",0,0,0,match_first_code
A70+J17.8,Papukaijatautiin liittyvä keuhkokuume,Pneumonia (in) ornithosis,0,0,0,match_first_code
A74.0+H13.1,Klamydian aiheuttama sidekalvotulehdus,Chlamydial conjunctivitis,0,0,0,match_first_code
A74.8+H22.0,Klamydian aiheuttama värikalvon ja sädekehän tulehdus,NA,0,0,0,match_first_code
A78+J17.8,Q-kuumeeseen liittyvä keuhkokuume,Pneumonia (in) Q fever,0,0,0,match_first_code
A81.0+F02.19,Creutzfeldt-Jakobin tautiin liittyvä dementia ei tietoa liitännäisoireista,NA,0,0,0,match_first_code
A85.0+G05.1,Enterovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) enteroviral",0,0,0,match_first_code
A85.1+G05.1,Adenovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,"Encephalitis, myelitis or encephalomyelitis (in) adenoviral",0,0,0,match_first_code
A87.0+G02.0,Enteroviruksen aiheuttama aivokalvotulehdus,Enteroviral meningitis,0,0,0,match_first_code
A87.1+G02.0,Adenoviruksen aiheuttama aivokalvotulehdus,Adenoviral meningitis,0,0,0,match_first_code
A92.1+M01.5,O'nyong-nyong-kuumeeseen liittyvä nivelinfektio,Arthritis in O'nyong-nyong fever,0,0,0,match_first_code
B00.10,Kasvoherpes,Herpes simplex facialis,521,116,637,match_first_code_parent
B00.11,Huuliherpes,Herpes simplex labialis,605,164,769,match_first_code_parent
B00.19,Muu herpeettinen rakkulaihottuma,NA,331,228,559,match_first_code_parent
B00.19+H62.1,Herpesvirusinfektioon (herpes simplex) liittyvä ulkokorvatulehdus,Otitis externa in herpesviral [herpes simplex] infection,0,0,0,match_first_code_parent
B00.3+G02.0,Herpesviruksen aiheuttama aivokalvotulehdus,Herpesviral meningitis,0,0,0,match_first_code
B00.4+G05.1,Herpesviruksen aiheuttama aivokalvojen ja aivojen tulehdus,Herpesviral meningoencephalitis,0,0,0,match_first_code
B00.5+H03.1,Herpesviruksen aiheuttama silmäluomi-ihottuma,Herpesviral dermatitis of eyelid,0,0,0,match_first_code
B00.5+H13.1,Herpesviruksen aiheuttama sidekalvotulehdus,Herpesviral conjunctivitis,0,0,0,match_first_code
B00.5+H22.0,Herpesviruksen aiheuttama värikalvon ja sädekehän tulehdus,Herpesviral iridocyclitis,0,0,0,match_first_code
B00.8+K77.0,Herpesviruksen aiheuttama maksatulehdus,Herpesviral hepatitis+,0,0,0,match_first_code
B02.0+G05.1,Vyöruusuun liittyvä aivotulehdus,Zoster encephalitis,0,0,0,match_first_code
B02.1+G02.0,Vyöruusuun liittyvä aivokalvotulehdus,Zoster meningitis,0,0,0,match_first_code
B02.20+,Herpes zoster trigeminusneuralgia,NA,474,2,476,match_first_code_parent
B02.20+G53.0,Vyöruusun jälkeinen kolmoishermosärky,NA,0,0,0,match_first_code_parent
B02.21+,Herpes zoster neuralgia muussa aivohermossa,NA,47,3,50,match_first_code_parent
B02.21+G53.0,Vyöruusun jälkeinen muun aivohermon neuralgia,Postherpetic geniculate ganglionitis,0,0,0,match_first_code_parent
B02.29+,Herpes zoster polyneuropatia,NA,44,1,45,match_first_code_parent
B02.29+G63.0,Vyöruusun jälkeinen monihermotulehdus,Postherpetic polyneuropathy,0,0,0,match_first_code_parent
B02.3+H03.1,Vesirokkoviruksen aiheuttama silmäluomitulehdus,Zoster blepharitis,0,0,0,match_first_code
B02.3+H13.1,Vesirokkoviruksen aiheuttama sidekalvotulehdus,Zoster conjunctivitis,0,0,0,match_first_code
B02.3+H19.0,Vesirokkoviruksen aiheuttama kovakalvotulehdus,Zoster scleritis,0,0,0,match_first_code
B02.3+H19.2,Vesirokkoviruksen aiheuttama sarveiskalvon ja sidekalvon tulehdus,Zoster keratitis,0,0,0,match_first_code
B02.3+H22.0,Vesirokkoviruksen aiheuttama värikalvon ja sädekehän tulehdus,Zoster iridocyclitis,0,0,0,match_first_code
B02.8+H62.1,Vyöruusu ja ulkokorvan tulehdus,Otitis externa in zoster,0,0,0,match_first_code
B02.8+I68.1,Vyöruusu ja aivovaltimotulehdus,NA,0,0,0,match_first_code
B05.8+H19.2,Tuhkarokko ja sarveiskalvon tai sarveis- ja sidekalvon tulehdus,NA,0,0,0,match_first_code
B06.0+G02.0,Vihurirokkoviruksen aiheuttama aivokalvotulehdus,Rubella meningitis,0,0,0,match_first_code
B06.0+G05.1,Vihurirokkoviruksen aiheuttama aivotulehdus,Rubella encephalitis,0,0,0,match_first_code
B06.8+J17.1,Vihurirokkoviruksen aiheuttama keuhkokuume,Rubella pneumonia+,0,0,0,match_first_code
B07.80,Suun tavallinen syylä,NA,89,7,96,match_first_code_grandparent
B07.81,Suun alueen kondylooma akuminatum,NA,17,0,0,match_first_code_grandparent
B07.82,Suun alueen pesäkkeinen epiteelin liikakasvu,NA,8,3,11,match_first_code_grandparent
B07.84,Muu suun alueen virussyylän ilmentymä,NA,24,2,26,match_first_code_grandparent
B07.85,Määrittämätön suun alueen virussyylän ilmentymä,NA,22,4,26,match_first_code_grandparent
