sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:Pitkä.nimi,matchScore,mappingStatus,conceptId,comment
Ts-PAD-ISH,"Ts-Tissue Sample, In Situ Hybridization Study Tissue",2062,,"Ts-Kudosnäyte, in situ-hybridisaatiotutkimus",0.5629257559776306,APPROVED,4297703,
S -AspFumG,,15,,NA Serum,0.0,UNCHECKED,0,
T -MemGp,T-membrane glycoproteins Thrombocyte,5,,T -Membraaniglykoproteiinit,0.5464443564414978,UNCHECKED,4039428,
S -All-F41,,10,,NA Serum,0.0,UNCHECKED,0,
P -MB/CK,,2058,,NA Plasma,0.0,APPROVED,4354262,
Li-HSVAb,"Li-Herpes simplex virus, antibodies to Liquor cerebrospinalis",318,,"Li-Herpes simplex -virus, vasta-aineet",0.5745580196380615,UNCHECKED,46272140,
S -AurPulG,,15,,NA Serum,0.0,UNCHECKED,0,
S -RicoAb,"S -Rickettsia conorii, antibodies Serum",35,,"S -Rickettsia conorii, vasta-aineet",0.6664310097694397,UNCHECKED,4025998,
TRFVSS4,,5,,NA NA,0.0,UNCHECKED,0,
S -All-F85,,10,,NA Serum,0.0,UNCHECKED,0,
Ts-DNA-Vs,,5,,NA Tissue,0.0,UNCHECKED,0,
P -T3-V,"P -Triiodothyronine, Plasma Free",12073,,"P -Trijodityroniini, vapaa",0.7272484302520752,APPROVED,4195337,
Ts-HNPCCre,,5,,NA Tissue,0.0,UNCHECKED,0,
S -RabiAb,"S -Rabies virus, antibodies Serum",2,,"S -Rabiesvirus, vasta-aineet",0.6326200366020203,UNCHECKED,4044437,
Ts-KITsekv,,5,,NA Tissue,0.0,UNCHECKED,0,
U -SUPAR,,5,,NA Urine,0.0,UNCHECKED,0,
Pf-Eryt,Pf Erythrocytes Pleural fluid,318,,Pf-Erytrosyytit,0.5957522392272949,UNCHECKED,3028308,
-ChtrNhO,"-Chlamydia trachomatis, nucleic acid (qual) NA",2028,,"-Chlamydia trachomatis, nukleiinihappo (kval)",0.7056037783622742,APPROVED,4162818,
S -EchiAb,"S -Echinococcus, antibodies Serum",15,,"S -Echinococcus, vasta-aineet",0.5904477834701538,UNCHECKED,4044430,
S -IgG-sum,,2008,,NA Serum,0.0,APPROVED,4163378,
S -HopoIgG,,15,,NA Serum,0.0,UNCHECKED,0,
S -RityAb,"S -Rickettsia typhi, antibodies Serum",35,,"S -Rickettsia typhi, vasta-aineet",0.617351233959198,UNCHECKED,4193933,
S -Prot-Fr,"S-Protein, fractions Serum",12002,,"S -Proteiini, fraktiot",0.45967188477516174,APPROVED,4136596,
Ly-CD4-8-,,1978,,NA Lymphocyte,0.0,APPROVED,3029895,
S -Vedol,,35,,NA Serum,0.0,UNCHECKED,0,
Ly-CD4+8+,,1978,,NA Lymphocyte,0.0,APPROVED,4211633,
-AdenNhO,"-Adenovirus, nucleic acid (quat) NA",317,,"-Adenovirus, nukleiinihappo (kval)",0.562869131565094,UNCHECKED,4189940,
S -AnplAbG,"S -Anaplasma, IgG antibodies Serum",10,,"S -Anaplasma, IgG-vasta-aineet",0.46902725100517273,UNCHECKED,4162255,
S -VedolAb,,35,,NA Serum,0.0,UNCHECKED,0,
vB-VKA-O2S,,1978,,NA venous Blood,0.0,APPROVED,4081838,
vB-VKA-O2S,,1978,,NA venous Blood,0.0,APPROVED,4203287,
vB-VKA-O2S,,1978,,NA venous Blood,0.0,APPROVED,40758360,
Li-AdenAb,,317,,NA Liquor cerebrospinalis,0.0,UNCHECKED,0,
S -VedolPa,,35,,NA Serum,0.0,UNCHECKED,0,
S -rJugr3E,"S -Walnut, recombinant (rJug r 3, f442), IgE antibodies Serum",2,,"S -Saksanpähkinä, rekombinantti (rJug r 3, f442), IgE vasta-aineet",0.4400023818016052,UNCHECKED,42528724,
uS-T4-V,"uS-Thyroxine, Free Umbilical Blood Serum",5,,"uS-Tyroksiini, vapaa",0.4861921966075897,UNCHECKED,4198884,
Li-EVirAb,,317,,NA Liquor cerebrospinalis,0.0,UNCHECKED,0,
-HemErik,,34,,NA NA,0.0,UNCHECKED,0,
S -SpjoAbE,,2,,NA Serum,0.0,UNCHECKED,0,
VALKLS4,,5,,NA NA,0.0,UNCHECKED,0,
S -InfAAbG,"S-Influenza A virus, IgG antibodies Serum",15,,"S -Influenssa A -virus, IgG-vasta-aineet",0.6713094115257263,UNCHECKED,4025283,
S -E1,S-Estroni Serum,10,,S -Estroni,0.4870468080043793,UNCHECKED,41955158,
Bm-FLT3-QD,,34,,NA Bone marrow,0.0,UNCHECKED,0,
S -SpjoAbG,,2,,NA Serum,0.0,UNCHECKED,0,
-TbEVi,"-Mycobacterium, special culture NA",11923,,"-Mycobacterium, erikoisviljely",0.6061302423477173,APPROVED,37399310,
S -LDpit,,15,,NA Serum,0.0,UNCHECKED,0,
S -IA2Ab,,10,,NA Serum,0.0,UNCHECKED,0,
FENO TAYS,,34,,NA NA,0.0,UNCHECKED,0,
B-tHb,,11563,,NA NA,0.0,APPROVED,40480067,
S -MicFaeG,,15,,NA Serum,0.0,UNCHECKED,0,
Pt-TulehLG,,34,,NA Patient,0.0,UNCHECKED,0,
S- Varasto,,34,,NA NA,0.0,UNCHECKED,0,
S -MitoAb,"S -Mitochondria, antibodies Serum",1956,,"S -Mitokondria, vasta-aineet",0.603262722492218,APPROVED,4015457,
U -Alb,U -Albumin Urine,11361,,U -Albumiini,0.6154532432556152,APPROVED,4152996,
B -Lymf1,,1947,,NA Blood,0.0,APPROVED,37208689,
dU-Tilav,,11341,,NA diurnal Urine,0.0,APPROVED,4150339,
B -Lymf2,,1947,,NA Blood,0.0,APPROVED,37208689,
-BopeVi,"-Bordetella pertussis, cultivation NA",4,,"-Bordetella pertussis, viljely",0.672378420829773,UNCHECKED,45881241,
Lymf1/Lym2,,1947,,NA NA,0.0,APPROVED,36309122,
S -TBEAb,"S - Tick-borne encephalitis virus, antibodies Serum",2,,"S -Puutiaisaivokuumevirus, vasta-aineet",0.7808898687362671,UNCHECKED,4138406,
S -PenSppG,"S -Penicillium spp. (Gm27), IgG antibodies Serum",15,,"S -Penicillium spp. (Gm27), IgG-vasta-aineet",0.39071589708328247,UNCHECKED,4025479,
S -IFBl-Ab,"S -Intrinsic factor, blocking antibodies Serum",10,,"S -Intrinsic factor, salpaavat vasta-aineet",0.6806408762931824,UNCHECKED,4011800,
Li-MypnAb,"Li-Mycoplasma pneumoniae, antibodies to Liquor cerebrospinalis",317,,"Li-Mycoplasma pneumoniae, vasta-aineet",0.5867606997489929,UNCHECKED,46270790,
S -ChtrAbG,"S -Chlamydia trachomatis, IgG antibodies Serum",34,,"S -Chlamydia trachomatis, IgG-vasta-aineet",0.6782258749008179,UNCHECKED,4026119,
-SienLm,"-Mushroom, species identification NA",4,,"-Sieni, lajimääritys",0.595318615436554,UNCHECKED,4005694,
S -Topira,S-Topiramate Serum,2,,S -Topiramaatti,0.5786851048469543,UNCHECKED,37393684,
Bm-HemaFc,"Bm-Immunophenotyping, blood disease Bone marrow",1943,,"Bm-Immunofenotyypitys, veritauti",0.5233198404312134,APPROVED,4214425,
Bm-HemaFc,"Bm-Immunophenotyping, blood disease Bone marrow",1943,,"Bm-Immunofenotyypitys, veritauti",0.5233198404312134,APPROVED,36309185,
P -CMVNh,"P -Cytomegalovirus, nucleic acid (quantum) Plasma",11217,,"P -Cytomegalovirus, nukleiinihappo (kvant)",0.6001632213592529,APPROVED,4162529,
S -Tosilit,,2,,NA Serum,0.0,UNCHECKED,0,
"S -D-24,25","Vitamin S-24,25-OH Serum",34,,"S -D-vitamiini-24,25-OH",0.3098524212837219,UNCHECKED,3009479,
S -HepVaVa,,34,,NA Serum,0.0,UNCHECKED,0,
U -Osmol,U -Osmolality Urine,1922,,U -Osmolaliteetti,0.6672931909561157,APPROVED,3026782,
S -SCC-Ag,"S -Squamous cell carcinoma, antigen Serum",15,,"S -Squamous cell carsinoma, antigeeni",0.7070624232292175,UNCHECKED,4123826,
S -SindHI,,15,,NA Serum,0.0,UNCHECKED,0,
S -TheVulG,,15,,NA Serum,0.0,UNCHECKED,0,
P -FiDD,D-dimers of P-fibrin Plasma,11047,,P -Fibriinin D-dimeerit,0.4630880057811737,APPROVED,3015823,
S -MuSKAb,"S -Muscle-specific tyrosine kinase, antibodies Serum",10,,"S -Lihasspesifinen tyrosiinikinaasi, vasta-aineet",0.7117464542388916,UNCHECKED,4189508,
Af-ADA,Af-Adenosine deaminase Aspiration fluid,4,,Af-Adenosiinideaminaasi,0.5872336030006409,UNCHECKED,4146610,
S -Norklot,,10,,NA Serum,0.0,UNCHECKED,0,
Am-FISHDel,,4,,NA Amniotic fluid,0.0,UNCHECKED,0,
S -oAldos,,10,,NA Serum,0.0,UNCHECKED,0,
Li-VZVAb,"Li-chickenpox virus, antibodies to Liquor cerebrospinalis",317,,"Li-Vesirokkovirus, vasta-aineet",0.33593592047691345,UNCHECKED,3014150,
fS-Kol,fS-Cholesterol Serum from fasting patient,33,,fS-Kolesteroli,0.5433226823806763,UNCHECKED,44791053,
S -Tr2Seul,"S -Fetal Developmental Screening, Second Trimester Serum",2,,"S -Sikiön kehityshäiriöiden seulonta, toinen trimesteri",0.5276185870170593,UNCHECKED,36717069,
Sk-PADnerv,Sk-Skin Nervous System Examination Skin,15,,Sk-Ihohermotutkimus,0.7104009985923767,UNCHECKED,4039098,
U -AlbKre,U -Albumin to Creatinine Ratio Urine,11042,,U -Albumiinin ja kreatiniinin suhde,0.6047758460044861,APPROVED,4154347,
Pf-C3,Pf-Complement C3 Pleural fluid,317,,Pf-Komplementti C3,0.5699681043624878,UNCHECKED,3043323,
Am-L/S-Suh,Am-Lecithin / sphingomyelin ratio Amniotic fluid,4,,Am-Lesitiini/sfingomyeliini -suhde,0.6478192210197449,UNCHECKED,4286483,
Ts-PADCNS,"Ts-Central nervous system histological examination, surgical specimen Tissue",1913,,"Ts-Keskushermoston histologinen tutkimus, kirurginen näyte",0.6021414995193481,APPROVED,43531154,
S -TonnikE,"S -Tuna (f40), IgE antibodies Serum",10,,"S -Tonnikala (f40), IgE-vasta-aineet",0.3181571364402771,UNCHECKED,4190040,
S -TrbrAb,"S -Trypanosoma brucei, antibodies Serum",2,,"S -Trypanosoma brucei, vasta-aineet",0.640087366104126,UNCHECKED,4085768,
Pf-LZM,Pf-Lysozyme Pleural fluid,317,,Pf-Lysotsyymi,0.6197792887687683,UNCHECKED,40758047,
U -AlbKre,U -Albumin to Creatinine Ratio Urine,11005,,U -Albumiinin ja kreatiniinin suhde,0.6047758460044861,APPROVED,4154347,
S -VaraPIT,,2,,NA Serum,0.0,UNCHECKED,0,
T -GPAbG,"T-Glycoproteins, IgG antibodies Thrombocyte",15,,"T -Glykoproteiinit, IgG-vasta-aineet",0.44952309131622314,UNCHECKED,4260625,
Bm-CD138+,,314,,NA Bone marrow,0.0,UNCHECKED,0,
U -IgG,U-Immunoglobulin G Urine,10,,U -Immunoglobuliini G,0.6641703248023987,UNCHECKED,4104804,
S -RuisE,"S-Rye flour (f5), IgE antibodies Serum",33,,"S -Ruisjauho (f5), IgE-vasta-aineet",0.4211217164993286,UNCHECKED,4175326,
Sy-Kide-O,Sy-Crystals (quin) Synovial fluid,1910,,Sy-Kiteet (kval),0.5255841612815857,APPROVED,4326400,
U -KKre,,15,,NA Urine,0.0,UNCHECKED,0,
Bm-FISH3,,313,,NA Bone marrow,0.0,UNCHECKED,0,
P -VRAbTu1,,1908,,NA Plasma,0.0,APPROVED,4198824,
U -KKre,,15,,NA Urine,0.0,UNCHECKED,0,
-CtNgNhO,,1905,,NA NA,0.0,APPROVED,43055688,
S -MTX,S-Methotrexate Serum,10920,,S -Metotreksaatti,0.7662709355354309,APPROVED,4210709,
S -Venlaf,S-Venlafaxine Serum,2,,S -Venlafaksiini,0.7215617895126343,UNCHECKED,4166654,
Am-L/S-Suh,Am-Lecithin / sphingomyelin ratio Amniotic fluid,4,,Am-Lesitiini/sfingomyeliini -suhde,0.6478192210197449,UNCHECKED,4286483,
U -Orotaat,U -Orotate Urine,10,,U -Orotaatti,0.41562405228614807,UNCHECKED,3033824,
U -Uraat,U -Urate Urine,10,,U -Uraatti,0.4173317849636078,UNCHECKED,37392371,
U -Prot,U-Protein in Urine,10907,,U -Proteiini,0.7407404184341431,APPROVED,3037121,
S -SalmAbA,"S-Salmonella, IgA antibodies Serum",33,,"S -Salmonella, IgA-vasta-aineet",0.5309799313545227,UNCHECKED,4025135,
S -Venlaf,S-Venlafaxine Serum,2,,S -Venlafaksiini,0.7215617895126343,UNCHECKED,4166654,
U -Vara,,10,,NA Urine,0.0,UNCHECKED,0,
U -MuuLier,,10613,,NA Urine,0.0,APPROVED,4245382,
U -MuuLier,,10613,,NA Urine,0.0,APPROVED,37019466,
U -MuuLier,,10613,,NA Urine,0.0,APPROVED,36303790,
-ListVi,"-Listeria, cultivation NA",14,,"-Listeria, viljely",0.34953993558883667,UNCHECKED,37020877,
S -HAVAbG,"S-Hepatitis A virus, IgG antibodies Serum",312,,"S -Hepatiitti A -virus, IgG-vasta-aineet",0.6070339679718018,UNCHECKED,4139121,
-Delhyb,,32,,NA NA,0.0,UNCHECKED,0,
S -ViinryE,,2,,NA Serum,0.0,UNCHECKED,0,
U -PienEp,,10613,,NA Urine,0.0,APPROVED,36303790,
Am-PGly,Am-Phosphatidylglycerol Amniotic fluid,4,,Am-Fosfatidyyliglyseroli,0.7841718196868896,UNCHECKED,3013297,
-Tunnist,,32,,NA NA,0.0,UNCHECKED,0,
Sp-Vase,,2,,"NA Sperm, semen",0.0,UNCHECKED,0,
Am-SUPAR,,4,,NA Amniotic fluid,0.0,UNCHECKED,0,
S -B2GPAbM,"S -Beta-2-glycoprotein, IgM antibodies Serum",1897,,"S -Beeta-2-glykoproteiini, IgM-vasta-aineet",0.5822449326515198,APPROVED,3043181,
B-HIVKanta,,4,,NA NA,0.0,UNCHECKED,0,
-RNAex,"-RNA, isolation NA",14,,"-RNA, eristys",0.34950605034828186,UNCHECKED,4299102,
B -HLATrb,,14,,NA Blood,0.0,UNCHECKED,0,
S -EtOH,S-Ethanol Serum,1897,,S -Etanoli,0.5691066384315491,APPROVED,4197836,
cU-Kesto-L,,14,,NA collected Urine,0.0,UNCHECKED,0,
uS-TSH,uS-Thyrotropin umbilical blood Serum,10,,uS-Tyreotropiini,0.4641466736793518,UNCHECKED,37119318,
cU-Tilav-L,,14,,NA collected Urine,0.0,UNCHECKED,0,
S -ANA,"S-Nucleus, Antibodies Serum",10298,,"S -Tuma, vasta-aineet",0.4560833275318146,APPROVED,4234268,
Sy-AST,Sy-Antistreptolysin Synovial fluid,2,,Sy-Antistreptolysiini,0.6097797155380249,UNCHECKED,45877984,
Ts-HER2ISH,"Ts-HER-2, oncogene, ISH study Tissue",312,,"Ts-HER-2, onkogeeni, ISH-tutkimus",0.2874307930469513,UNCHECKED,4196245,
vB-VeIoni9,,9964,,NA venous Blood,0.0,APPROVED,4081838,
vB-VeIoni9,,9964,,NA venous Blood,0.0,APPROVED,4203287,
vB-VeIoni9,,9964,,NA venous Blood,0.0,APPROVED,40758360,
Titteri,,2,,NA NA,0.0,UNCHECKED,0,
Ne-PAD,Ne-Hermon histological examination Nerve,32,,Ne-Hermon histologinen tutkimus,0.5258330702781677,UNCHECKED,4225119,
-CA15-3,-CA 15-3 antigen NA,9,,-CA 15-3 antigeeni,0.6466035842895508,UNCHECKED,37394128,
Titteri,,2,,NA NA,0.0,UNCHECKED,0,
B -C4-D,"B -Complement C4 typing, DNA study Blood",4,,"B -Komplementti C4-tyypitys, DNA-tutkimus",0.44036945700645447,UNCHECKED,4135587,
S -Adalimu,,32,,NA Serum,0.0,UNCHECKED,0,
TRFVS4,,2,,NA NA,0.0,UNCHECKED,0,
-CHtrNhO,,9,,NA NA,0.0,UNCHECKED,0,
S -All-F7,,32,,NA Serum,0.0,UNCHECKED,0,
TRFVSHPS4,,2,,NA NA,0.0,UNCHECKED,0,
S -KardAbM,"S-Cardiolipin, IgM antibodies Serum",1897,,"S -Kardiolipiini, IgM-vasta-aineet",0.6122511625289917,APPROVED,44806071,
B -Hg,B -Mercury Blood,4,,B -Elohopea,0.5481570363044739,UNCHECKED,41950714,
Ts-HPVNhTy,,2,,NA Tissue,0.0,UNCHECKED,0,
Cv-TriNhO,"Cv-Trisomia, nucleic acid (quino) Chorion villus",14,,"Cv-Trisomia, nukleiinihappo (kval)",0.3244623839855194,UNCHECKED,4135002,
S -Myogl,S-Myoglobin Serum,32,,S -Myoglobiini,0.7073261737823486,UNCHECKED,4221398,
P -FXI,P -Coagulation factor XI Plasma,310,,P -Hyytymistekijä XI,0.6514552235603333,UNCHECKED,44807776,
Li-Solut,Li-Solut Liquor cerebrospinalis,9850,,Li-Solut,0.4124108552932739,APPROVED,4014487,
