concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,mappingStatus
21603311,Selective beta-2-adrenoreceptor agonists,Drug,ATC,ATC 4th,C,R03CC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603274,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics",Drug,ATC,ATC 4th,C,R03AK,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603252,Non-selective beta-adrenoreceptor agonists,Drug,ATC,ATC 4th,C,R03AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603145,Phosphonic acid derivatives,Drug,ATC,ATC 4th,C,J05AD,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603091,Aminosalicylic acid and derivatives,Drug,ATC,ATC 4th,C,J04AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604036,"Antiinflammatory preparations, non-steroids for topical use",Drug,ATC,ATC 4th,C,M02AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604030,Penicillamine and similar agents,Drug,ATC,ATC 4th,C,M01CC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604020,Other antiinflammatory/antirheumatic agents in combination with other drugs,Drug,ATC,ATC 4th,C,M01BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603934,Butylpyrazolidines,Drug,ATC,ATC 4th,C,M01AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603834,Anti-androgens,Drug,ATC,ATC 4th,C,L02BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603828,Other hormones,Drug,ATC,ATC 4th,C,L02AX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603814,Estrogens,Drug,ATC,ATC 4th,C,L02AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603747,Platinum compounds,Drug,ATC,ATC 4th,C,L01XA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603741,Other cytotoxic antibiotics,Drug,ATC,ATC 4th,C,L01DC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603679,Parasympathomimetics,Drug,ATC,ATC 4th,C,S01EB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603638,"Antiinflammatory agents, non-steroids",Drug,ATC,ATC 4th,C,S01BC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603579,Sulfonamides,Drug,ATC,ATC 4th,C,S01AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604499,Phenothiazines with piperazine structure,Drug,ATC,ATC 4th,C,N05AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604456,Ethers chemically close to antihistamines,Drug,ATC,ATC 4th,C,N04AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604291,Opioids in combination with antispasmodics,Drug,ATC,ATC 4th,C,N02AG,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604286,Oripavine derivatives,Drug,ATC,ATC 4th,C,N02AE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604140,Preparations with no effect on uric acid metabolism,Drug,ATC,ATC 4th,C,M04AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604077,Other quaternary ammonium compounds,Drug,ATC,ATC 4th,C,M03AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604917,Nitrofuran derivatives,Drug,ATC,ATC 4th,C,P01CC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604892,Biguanides,Drug,ATC,ATC 4th,C,P01BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604840,Other nervous system drugs,Drug,ATC,ATC 4th,C,N07XX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604839,Gangliosides and ganglioside derivatives,Drug,ATC,ATC 4th,C,N07XA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604817,Drugs used in nicotine dependence,Drug,ATC,ATC 4th,C,N07BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603440,Other cough suppressants and expectorants,Drug,ATC,ATC 4th,C,R05FB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603379,Mucolytics,Drug,ATC,ATC 4th,C,R05CB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603358,Other systemic drugs for obstructive airway diseases,Drug,ATC,ATC 4th,C,R03DX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603328,Xanthines,Drug,ATC,ATC 4th,C,R03DA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603305,Non-selective beta-adrenoreceptor agonists,Drug,ATC,ATC 4th,C,R03CB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603250,Alpha- and beta-adrenoreceptor agonists,Drug,ATC,ATC 4th,C,R03AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603217,Antiseptics,Drug,ATC,ATC 4th,C,R02AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603196,Other nasal preparations,Drug,ATC,ATC 4th,C,R01AX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603172,Non-nucleoside reverse transcriptase inhibitors,Drug,ATC,ATC 4th,C,J05AG,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603159,Nucleoside and nucleotide reverse transcriptase inhibitors,Drug,ATC,ATC 4th,C,J05AF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603148,Protease inhibitors,Drug,ATC,ATC 4th,C,J05AE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603122,Drugs for treatment of lepra,Drug,ATC,ATC 4th,C,J04BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603114,Combinations of drugs for treatment of tuberculosis,Drug,ATC,ATC 4th,C,J04AM,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603084,Other antimycotics for systemic use,Drug,ATC,ATC 4th,C,J02AX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603060,Other antibacterials,Drug,ATC,ATC 4th,C,J01XX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603057,Nitrofuran derivatives,Drug,ATC,ATC 4th,C,J01XE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603830,Anti-estrogens,Drug,ATC,ATC 4th,C,L02BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603715,Other antiglaucoma preparations,Drug,ATC,ATC 4th,C,S01EX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21603617,"Corticosteroids, plain",Drug,ATC,ATC 4th,C,S01BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604491,Phenothiazines with aliphatic side-chain,Drug,ATC,ATC 4th,C,N05AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604485,Other dopaminergic agents,Drug,ATC,ATC 4th,C,N04BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604472,Dopamine agonists,Drug,ATC,ATC 4th,C,N04BC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604463,Dopa and dopa derivatives,Drug,ATC,ATC 4th,C,N04BA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604414,Benzodiazepine derivatives,Drug,ATC,ATC 4th,C,N03AE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604405,Oxazolidine derivatives,Drug,ATC,ATC 4th,C,N03AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604288,Morphinan derivatives,Drug,ATC,ATC 4th,C,N02AF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604248,Other local anesthetics,Drug,ATC,ATC 4th,C,N01BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604172,Quinine and derivatives,Drug,ATC,ATC 4th,C,M09AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604135,Preparations increasing uric acid excretion,Drug,ATC,ATC 4th,C,M04AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604075,Choline derivatives,Drug,ATC,ATC 4th,C,M03AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604923,Other agents against leishmaniasis and trypanosomiasis,Drug,ATC,ATC 4th,C,P01CX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604856,Nitroimidazole derivatives,Drug,ATC,ATC 4th,C,P01AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604850,Hydroxyquinoline derivatives,Drug,ATC,ATC 4th,C,P01AA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604809,Choline esters,Drug,ATC,ATC 4th,C,N07AB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604658,Melatonin receptor agonists,Drug,ATC,ATC 4th,C,N05CH,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604629,Aldehydes and derivatives,Drug,ATC,ATC 4th,C,N05CC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604607,"Barbiturates, plain",Drug,ATC,ATC 4th,C,N05CA,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604589,Diphenylmethane derivatives,Drug,ATC,ATC 4th,C,N05BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604540,"Diazepines, oxazepines, thiazepines and oxepines",Drug,ATC,ATC 4th,C,N05AH,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604515,Butyrophenone derivatives,Drug,ATC,ATC 4th,C,N05AD,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605341,Other diagnostic agents,Drug,ATC,ATC 4th,C,V04CX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605316,Tuberculosis diagnostics,Drug,ATC,ATC 4th,C,V04CF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605313,Tests for liver functional capacity,Drug,ATC,ATC 4th,C,V04CE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605281,Drugs for treatment of hypoglycemia,Drug,ATC,ATC 4th,C,V03AH,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605263,Drugs for treatment of hyperkalemia and hyperphosphatemia,Drug,ATC,ATC 4th,C,V03AE,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605259,Iron chelating agents,Drug,ATC,ATC 4th,C,V03AC,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605117,Other surgical aids,Drug,ATC,ATC 4th,C,S01KX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605067,Sympathomimetics excl. antiglaucoma preparations,Drug,ATC,ATC 4th,C,S01FB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605042,Corticosteroids,Drug,ATC,ATC 4th,C,R01AD,1970-01-01,2099-12-31,NA,NOT_MAPPED
43534760,Direct factor Xa inhibitors,Drug,ATC,ATC 4th,C,B01AF,2013-08-05,2099-12-31,NA,NOT_MAPPED
40252852,"Artemisinin and derivatives, combinations",Drug,ATC,ATC 4th,C,P01BF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21605481,"Technetium (99mTc), particles and colloids",Drug,ATC,ATC 4th,C,V09DB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604416,Carboxamide derivatives,Drug,ATC,ATC 4th,C,N03AF,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604354,Other analgesics and antipyretics,Drug,ATC,ATC 4th,C,N02BG,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604932,Organophosphorous compounds,Drug,ATC,ATC 4th,C,P02BB,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604920,Arsenic compounds,Drug,ATC,ATC 4th,C,P01CD,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604909,Other antimalarials,Drug,ATC,ATC 4th,C,P01BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
21604768,Other psychostimulants and nootropics,Drug,ATC,ATC 4th,C,N06BX,1970-01-01,2099-12-31,NA,NOT_MAPPED
