code,name_fi,name_en,name_en_source,valid_start_date,units,abbreviation
1016,"Adrenaliini, vuorokausivirtsa",NA,Google,2017-04-19,umol,dU-Adr
1017,Adrenaliini,NA,Google,1986-05-22,nmol/l,P -ADR
1017,Adrenaliini,NA,Google,1994-06-02,nmol/l,P -ADR
1017,Adrenaliini,NA,Google,2000-01-01,nmol/l,P -Adr
1017,Adrenaliini,NA,Google,2010-12-31,nmol/l,P -Adr
1017,Adrenaliini,NA,Google,2015-07-13,nmol/l,P -Adr
1018,F -Enterohemorrhaginen E.coli,NA,Google,1990-05-15,NULL,F -EHEC
102,Dekstropropoksifeeni (kval),NA,Google,1982-04-01,Lausunto,U -Propx-O
1020,Adrenokortikotropiini,NA,Google,1981-08-01,ng/l,P -ACTH
1020,Adrenokortikotropiini,NA,Google,1994-06-01,pmol/l,P -ACTH
1020,Adrenokortikotropiini,NA,Google,2005-08-22,ng/l,P -ACTH
1020,Adrenokortikotropiini,NA,Google,2009-12-10,ng/l,P -ACTH
1020,Adrenokortikotropiini,NA,Google,2016-05-31,ng/l,P -ACTH
1020,Adrenokortikotropiini,NA,Google,2019-06-06,ng/l,P -ACTH
10200,"Vedolitsumabi, pitoisuus",NA,Google,2017-07-04,mg/l,S -Vedol
10206,"Vedolitsumabi, vasta-aineet",NA,Google,2017-07-04,AU/ml,S -VedolAb
10209,"Vedolitsumabi, pitoisuus ja va",NA,Google,2017-07-04,NULL,S -VedolPa
1021,S -Adrenokortikotropiini,NA,Google,1987-03-18,titteri,S -ACTH-Ab
10223,Fluoksetiinin ja norfluoksetii,NA,Google,2017-06-19,nmol/l,S -FluNorS
10230,Diatsepaamin ja nordiatsepaami,NA,Google,2017-07-13,umol/l,S -DiaNorS
1024,Alaniiniaminotransferaasi,NA,Google,1997-12-18,U/l,P -ALAT
1024,Alaniiniaminotransferaasi,NA,Google,2000-03-15,U/l,P -ALAT
1024,Alaniiniaminotransferaasi,NA,Google,2001-10-24,U/l,P -ALAT
1024,Alaniiniaminotransferaasi,NA,Google,2004-12-31,U/l,P -ALAT
1024,Alaniiniaminotransferaasi,NA,Google,2018-03-28,U/l,P -ALAT
10254,"Trombiiniaika, hepariinin neut",NA,Google,2009-06-16,s,P -HepNeu
10254,"Trombiiniaika, hepariinin neut",NA,Google,2019-10-01,s,P -HepNeu
1026,Alaniiniaminotransferaasi,NA,Google,1981-08-01,U/l,S -ALAT
1026,Alaniiniaminotransferaasi,NA,Google,2000-03-15,U/l,S -ALAT
1026,Alaniiniaminotransferaasi,NA,Google,2001-10-24,U/l,S -ALAT
1026,Alaniiniaminotransferaasi,NA,Google,2004-12-31,U/l,S -ALAT
1027,"Albumiini, selkÃ¤ydinneste",NA,Google,1988-01-21,g/l,Li-Alb
1027,"Albumiini, selkÃ¤ydinneste",NA,Google,2009-11-19,g/l,Li-Alb
1028,Albumiini,NA,Google,1981-08-01,g/l,S -Alb
1028,Albumiini,NA,Google,2004-12-31,g/l,S -Alb
1029,Albumiini,NA,Google,1985-11-26,mg/l,U -Alb
1029,Albumiini,NA,Google,2009-11-19,mg/l,U -Alb
1029,Albumiini,NA,Google,2017-11-01,mg/l,U -Alb
103,Veren pH,NA,Google,1981-08-01,pH,B -pH
1030,Albumiini (kval),NA,Google,2000-05-16,Arvio,U -Alb-O
1032,Aldolaasi,NA,Google,1981-08-01,U/l 37',S -Aldol
1032,Aldolaasi,NA,Google,1994-06-10,U/l,S -Aldol
1032,Aldolaasi,NA,Google,1997-01-01,U/l,S -Aldol
1032,Aldolaasi,NA,Google,1999-05-26,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2006-06-15,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2006-12-13,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2008-05-19,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2008-06-10,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2009-09-15,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2010-05-05,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2015-10-07,U/l,S -Aldol
1032,Aldolaasi,NA,Google,2018-05-22,U/l,S -Aldol
1033,"Aldosteroni, virtsa",NA,Google,1981-08-01,nmol,dU-Aldos
1033,"Aldosteroni, vuorokausivirtsa",NA,Google,1995-01-01,nmol,dU-Aldos
1033,"Aldosteroni, vuorokausivirtsa",NA,Google,2009-07-23,nmol,dU-Aldos
1033,"Aldosteroni, vuorokausivirtsa",NA,Google,2013-04-25,nmol,dU-Aldos
1034,Aldosteroni,NA,Google,1981-08-01,pmol/l,P -Aldos
1034,Aldosteroni,NA,Google,2006-03-29,pmol/l,P -Aldos
1034,Aldosteroni,NA,Google,2009-07-23,pmol/l,P -Aldos
1034,Aldosteroni,NA,Google,2013-01-01,pmol/l,S -Aldos
1036,"Aldosteroni, makuu",NA,Google,1999-05-31,pmol/l,P -Aldos-M
1036,"Aldosteroni, makuu",NA,Google,2002-01-02,pmol/l,P -Aldos-M
1036,"Aldosteroni, makuu",NA,Google,2006-03-29,pmol/l,P -Aldos-M
1036,"Aldosteroni, makuu",NA,Google,2009-07-23,pmol/l,P -Aldos-M
1037,"Aldosteroni, pysty",NA,Google,1999-05-31,pmol/l,P -Aldos-P
1037,"Aldosteroni, pysty",NA,Google,2002-01-02,pmol/l,P -Aldos-P
1037,"Aldosteroni, pysty",NA,Google,2006-03-29,pmol/l,P -Aldos-P
1037,"Aldosteroni, pysty",NA,Google,2009-07-23,pmol/l,P -Aldos-P
1038,Alfa-1-antitrypsiini,NA,Google,1988-01-21,g/l,S -Antitry
1038,Alfa-1-antitrypsiini,NA,Google,2006-03-29,g/l,S -Antitry
1038,Alfa-1-antitrypsiini,NA,Google,2009-12-10,g/l,S -Antitry
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,1983-09-06,kU/l,Am-AFP
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,2007-02-06,kU/l,Am-AFP
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,2007-02-13,kU/l,Am-AFP
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,2007-03-06,kU/l,Am-AFP
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,2012-04-12,NULL,Am-AFP
1039,Alfa-1-fetoproteiini. lapsives,NA,Google,2015-07-13,kU/l,Am-AFP
10391,"Alfa-1-fetoproteiini, lapsives",NA,Google,2012-04-11,kU/l,Am-AFP
104,Hiilidioksidiosapaine,NA,Google,1988-12-01,kPa,B -pCO2
1040,Alfa-1-fetoproteiini,NA,Google,1981-08-01,kU/l,S -AFP
1040,Alfa-1-fetoproteiini,NA,Google,2009-11-19,kU/l,S -AFP
10401,"Alfa-1-fetoproteiini, raskaus",NA,Google,1995-08-16,kU/l,S -AFP
10402,"Alfa-1-fetoproteiini, raskaus",NA,Google,1996-03-02,kU/l,S -AFP
1041,"Alfa-1-glykoproteiini, hapan",NA,Google,1988-01-21,mg/l,S -A1Glypr
1041,"Alfa-1-glykoproteiini, hapan",NA,Google,2010-11-10,mg/l,S -A1Glypr
1046,Alkalinen fosfataasi,NA,Google,1981-08-01,U/l 37',S -AFOS
1046,Alkalinen fosfataasi,NA,Google,1993-10-01,U/l,S -AFOS
1046,Alkalinen fosfataasi,NA,Google,2002-05-21,U/l,S -AFOS
1046,Alkalinen fosfataasi,NA,Google,2004-12-31,U/l,S -AFOS
10464,Klomipramiinin ja norklomipram,NA,Google,2019-11-26,nmol/l,S -KloNorS
10465,Doksepiinin ja nordoksepiinin,NA,Google,2019-11-26,nmol/l,S -DokNorS
1048,"Alkalinen fosfataasi, isoentsy",NA,Google,1981-08-01,Lausunto,S -AFOS-Is
1048,"Alkalinen fosfataasi, isoentsy",NA,Google,2007-02-06,Lausunto,S -AFOS-Is
1048,"Alkalinen fosfataasi, isoentsy",NA,Google,2007-02-13,Lausunto,S -AFOS-Is
1048,"Alkalinen fosfataasi, isoentsy",NA,Google,2009-09-24,Lausunto,S -AFOS-Is
1048,"Alkalinen fosfataasi, isoentsy",NA,Google,2010-05-20,NULL,S -AFOS-Is
10481,Suolistoisoentsyymi,NA,Google,2010-05-19,U/l,AFOSSuoli
10482,Maksa-1-isoentsyymi,NA,Google,2010-05-19,U/l,AFOSMaksa1
10483,Luustoisoentsyymi,NA,Google,2010-05-19,U/l,AFOSLuusto
10484,Maksa-2-isoentsyymi,NA,Google,2010-05-19,U/l,AFOSMaksa2
105,EmÃ¤stase,NA,Google,1982-08-01,mmol/l,B -BE
1051,"Alkalinen fosfataasi,vÃ¤rjÃ¤ys",NA,Google,1981-08-01,Score,L -AFOS-Vr
1052,Allergeeni-IgE-vasta-aineet,NA,Google,1981-08-01,NULL,S -All-AbE
1053,"Ameeba, vasta-aineet",NA,Google,1981-08-01,titteri,S -AmebAb
1055,Amfetamiini (kval),NA,Google,1982-04-01,Lausunto,U -Amfet-O
1055,Amfetamiini (kval),NA,Google,1994-04-19,Lausunto,U -Amfet-O
1055,Amfetamiini (kval),NA,Google,1995-01-01,Arvio,U -Amfet-O
1055,Amfetamiini (kval),NA,Google,2001-02-12,NULL,U -Amfet-O
1055,Amfetamiini (kval),NA,Google,2009-05-26,Arvio,U -Amfet-O
10550,Amfetamiini (kval),NA,Google,2001-02-08,Arvio,U -Amfet-O
10551,Amfetamiini,NA,Google,2001-02-08,NULL,U -Amfet
10552,Amfetamiini (kval),NA,Google,2001-02-08,Arvio,U -Amfet-O
1058,Aminohapot,NA,Google,1981-08-01,Lausunto,dU-Aminoh
1058,"Aminohapot, vuorokausivirtsa",NA,Google,2004-01-01,Lausunto,dU-Aminoh
1058,"Aminohapot, vuorokausivirtsa",NA,Google,2006-01-01,Lausunto,dU-Aminoh
1059,Aminohapot,NA,Google,1986-05-22,Lausunto,Li-Aminoh
1059,"Aminohapot, selkÃ¤ydinneste",NA,Google,2004-01-01,Lausunto,Li-Aminoh
1059,"Aminohapot, selkÃ¤ydinneste",NA,Google,2006-01-01,Lausunto,Li-Aminoh
1059,"Aminohapot, selkÃ¤ydinneste",NA,Google,2018-09-04,Lausunto,Li-Aminoh
106,Aktuaali-bikarbonaatti,NA,Google,1981-08-01,mmol/l,P -HCO3
1061,Aminohapot,NA,Google,1981-08-01,Lausunto,fP-Aminoh
1061,Aminohapot,NA,Google,2004-01-01,Lausunto,fP-Aminoh
1061,Aminohapot,NA,Google,2006-01-01,Lausunto,fP-Aminoh
1061,Aminohapot,NA,Google,2018-09-04,Lausunto,P -Aminoh
1062,Aminohapot,NA,Google,1994-01-12,Lausunto,U -Aminoh
1062,Aminohapot,NA,Google,2004-01-01,Lausunto,U -Aminoh
1062,Aminohapot,NA,Google,2018-09-04,Lausunto,U -Aminoh
1068,Amitriptyliini,NA,Google,1993-07-02,nmol/l,S -Amitrip
1068,Amitriptyliini,NA,Google,1994-04-06,NULL,S -Amitrip
1068,Amitriptyliini,NA,Google,1994-06-02,NULL,S -Amitrip
1068,Amitriptyliini,NA,Google,1995-01-01,NULL,S -Amitrip
1068,Amitriptyliini,NA,Google,1995-01-10,nmol/l,S -Amitrip
1068,Amitriptyliini,NA,Google,2004-01-01,nmol/l,S -Amitrip
1068,Amitriptyliini,NA,Google,2004-01-27,nmol/l,S -Amitrip
1068,Amitriptyliini,NA,Google,2006-12-04,NULL,S -Amitrip
1068,Amitriptyliini,NA,Google,2014-12-19,nmol/,S -Amitrip
1068,Amitriptyliini,NA,Google,2015-07-13,NULL,S -Amitrip
10680,Amitriptyliini,NA,Google,1994-04-05,nmol/l,S -Amitrip
10680,Amitriptyliini,NA,Google,1994-06-02,nmol/l,S -Amitrip
107,Happiosapaine,NA,Google,1988-12-01,kPa,B -pO2
1071,Ammonium-ioni,NA,Google,1991-09-30,umol/l,fP-NH4-ion
1074,"Amylaasi, askitesneste",NA,Google,1994-01-12,U/l,As-Amyl
1078,Amylaasi,NA,Google,1981-08-01,U/l,S -Amyl
1078,Amylaasi,NA,Google,2004-12-31,U/l,S -Amyl
10787,"Influenssa A virus, variantti,",NA,Google,2009-07-15,NULL,-InfvNhO
1079,"Amylaasi, erite",NA,Google,1992-05-06,U/l,Se-Amyl
108,Oksihemoglobiini arteriaveri,NA,Google,1993-07-05,%,aB-O2Hb
1080,Amylaasi,NA,Google,1981-08-01,U/l,U -Amyl
1080,Amylaasi,NA,Google,2004-12-31,U/l,U -Amyl
1083,"Amylaasi, isoentsyymit",NA,Google,2000-12-29,Lausunto,S -Amyl-Is
1083,"Amylaasi, isoentsyymit",NA,Google,2004-01-01,Lausunto,S -Amyl-Is
1083,"Amylaasi, isoentsyymit",NA,Google,2009-09-24,Lausunto,S -Amyl-Is
1083,"Amylaasi, isoentsyymit",NA,Google,2010-05-20,NULL,S -Amyl-Is
1083,"Amylaasi, isoentsyymit",NA,Google,2016-04-26,Lausunto,S -Amyl-Is
1085,Androstendioni,NA,Google,1981-08-01,nmol/l,S -ADIONI
1085,Androstendioni,NA,Google,2006-06-06,nmol/l,S -ADIONI
1085,Androstendioni,NA,Google,2009-07-17,nmol/l,S -ADIONI
1085,Androstendioni,NA,Google,2009-12-10,nmol/l,S -ADIONI
109,HappikyllÃ¤steisyys venaveri,NA,Google,1993-07-05,%,vB-O2Hb
1092,Angiotensiini-1-konvertaasi,NA,Google,1983-08-05,U/l,fS-ACE
1092,Angiotensiini-1-konvertaasi,NA,Google,1995-01-01,U/l,fS-ACE
1092,Angiotensiini-1-konvertaasi,NA,Google,2009-12-10,U/l,S -ACE
1092,Angiotensiini-1-konvertaasi,NA,Google,2012-05-15,U/l,S -ACE
1092,Angiotensiini-1-konvertaasi,NA,Google,2018-04-04,U/l,fS-ACE
1094,Antidiureettinen hormoni,NA,Google,1986-08-07,ng/l,P -ADH
1094,Antidiureettinen hormoni,NA,Google,1999-01-01,ng/l,P -ADH
1094,Antidiureettinen hormoni,NA,Google,2004-01-01,ng/l,P -ADH
1095,S -Antidiur.horm.vasta-aineet,NA,Google,1987-03-18,titteri,S -ADHAb
1097,HyytymistekijÃ¤ VIII,NA,Google,2002-07-24,%,P -FVIII
1097,HyytymistekijÃ¤ VIII,NA,Google,2010-01-01,%,P -FVIII
1097,HyytymistekijÃ¤ VIII,NA,Google,2012-01-11,%,P -FVIII
1097,HyytymistekijÃ¤ VIII,NA,Google,2015-06-02,%,P -FVIII
1097,HyytymistekijÃ¤ VIII,NA,Google,2019-10-01,%,P -FVIII
1098,"HyytymistekijÃ¤ VIII, vasta-ain",NA,Google,2002-07-24,BU/ml,P -F8-Ab
1098,"HyytymistekijÃ¤ VIII, vasta-ain",NA,Google,2019-10-01,BU/ml,P -F8-Ab
11,Pikonlinna  EFOX -paketti,NA,Google,1992-11-03,NULL,-PEFOX
110,Totaalihemoglobiini veri,NA,Google,1993-07-05,g/l,B-tHb
1100,S -Antistafylolysiini,NA,Google,1988-03-01,yks/ml,S -ASTA
1100,Antistafylolysiini,NA,Google,1991-11-27,yks/ml,S -ASTA
1100,Antistafylolysiini,NA,Google,2009-06-01,U/ml,S -ASTA
1100,Antistafylolysiini,NA,Google,2014-05-12,IU/ml,S -ASTA
11001,S-Bty-FF,NA,Google,1990-12-10,NULL,FF
11002,HLA-A,NA,Google,1990-12-10,NULL,HLA-A
11003,HLA-AA,NA,Google,1990-12-10,NULL,HLA-A
11004,HLA-B,NA,Google,1990-12-10,NULL,HLA-B
11005,HLA-BB,NA,Google,1990-12-10,NULL,HLA-B
11006,Bw4,NA,Google,1990-12-10,NULL,Bw4
11007,Bw6,NA,Google,1990-12-10,NULL,Bw6
11008,HLA-Cw1,NA,Google,1990-12-10,NULL,HLA-Cw
11009,HLA-C2,NA,Google,1990-12-10,NULL,HLA-Cw
1101,Antistreptolysiini,NA,Google,1988-03-01,yks/ml,S -AST
11010,HLA-DR1,NA,Google,1990-12-10,NULL,HLA-Dr
11011,HLA-DR2,NA,Google,1990-12-10,NULL,HLA-Dr
11012,Ly-HLAB27,NA,Google,1990-12-10,NULL,Ly-HLAB27
11013,Control,NA,Google,1991-01-17,NULL,Control
11014,PHA025,NA,Google,1991-01-17,NULL,PHA025
11015,PHA125,NA,Google,1991-01-17,NULL,PHA125
11016,PHA625,NA,Google,1991-01-17,NULL,PHA625
11017,PHA1250,NA,Google,1991-01-17,NULL,PHA1250
11018,PHA005,NA,Google,1991-01-17,NULL,PHA005
11019,ConA001,NA,Google,1991-01-17,NULL,ConA001
11020,ConA005,NA,Google,1991-01-17,NULL,ConA005
11021,ConA025,NA,Google,1991-01-17,NULL,ConA025
11022,ConA125,NA,Google,1991-01-17,NULL,ConA125
11023,ConA625,NA,Google,1991-01-17,NULL,ConA625
11024,PPD001,NA,Google,1991-01-17,NULL,PPD001
11025,PPD010,NA,Google,1991-01-17,NULL,PPD010
11026,PPD100,NA,Google,1991-01-17,NULL,PPD100
11027,ContPPD,NA,Google,1991-01-17,NULL,ContPPD
11028,-KPeak,NA,Google,1990-07-13,mV,KPeak
11029,KInteg,NA,Google,1990-07-13,mVmin,KInteg
11029,"Albumiini, laskennallinen",NA,Google,1996-11-01,mg/l,U -Alb
11029,"Albumiini, laskennallinen",NA,Google,2009-11-19,mg/l,U -Alb
1103,Antitrombiini III,NA,Google,1986-05-22,%,P -AT3
11030,FLMP,NA,Google,1991-01-17,NULL,FLMP
11031,Zymosan,NA,Google,1991-01-17,NULL,Zymosan
11032,Immunoglobuliini A1,NA,Google,1991-02-07,NULL,S -IgA1
11033,Immunoglobuliini A2,NA,Google,1991-02-07,NULL,S -IgA2
11033,"Aldosteroni, HUS, projektikÃ¤yt",NA,Google,2012-01-10,nmol,dU-AldoHUS
11034,S -Polymyosiitti-1-vasta-,NA,Google,1990-08-09,titteri,S -Jo1-Ab
11034,S -Polymyosiitti-1-vasta-,NA,Google,1993-09-15,U,S -Jo1-Ab
11035,1:5,NA,Google,1990-12-10,NULL,-1:5
11036,1:10,NA,Google,1990-12-10,NULL,-1:10
11037,"S -Kaseiini, vasta-aineet",NA,Google,1991-06-27,SDU,S -Cas-Ab
11038,"S -Laktoglobuliini A, vasta-",NA,Google,1991-06-27,SDU,S -LGA-Ab
11039,"S -Laktoglobuliini B, vasta-",NA,Google,1991-06-27,SDU,S -LGB-Ab
11040,"S -Laktalbumiini, vasta-",NA,Google,1991-06-27,SDU,S -LA-Ab
11041,"S -LehmÃ¤nmaidon albumiini,",NA,Google,1991-06-27,SDU,S -BSA-Ab
11042,"S -Kokomaito, vasta-aineet",NA,Google,1991-06-27,SDU,S -TM-ab
11043,B-leukosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1991-07-01,NULL,fB-LeukI
11044,B-lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1991-07-01,NULL,B-LymfI
11045,B-KemigI,NA,Google,1990-07-13,mVmin/E9,B -KemigI
11046,Natiivi DNA-vasta-aineen,NA,Google,1991-10-14,NULL,DNA-EHAA
11046,Alkalinen fosfataasi,NA,Google,2010-05-19,U/l,S -AFOS
11047,Natiivi DNA-vasta-aineen,NA,Google,1991-10-14,NULL,DNA-ETSA
11048,B-lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1992-01-24,10E9/l,B -lymfos
11050,S-ANCA VASTA-AINEPAKETTI,NA,Google,1991-11-29,TITTERI,S -GS-ANCA
11051,B -Lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1991-11-28,10E9/l,B -Lymfot
11051,B -Lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1997-05-01,10E9/l,B -Lymfot
11052,Ly-CD19 lymfosyytit,NA,Google,1992-01-22,%,Ly-CD19a
11052,Ly-CD19 lymfosyytit,NA,Google,1997-05-01,%,Ly-CD19
11052,Ly-CD19 lymfosyytit,NA,Google,2006-12-01,%,Ly-CD19
11052,Ly-CD19 lymfosyytit,NA,Google,2015-08-15,%,Ly-CD19
11053,Ly-CD19 lymfosyytit lukumÃ¤Ã¤rÃ¤,NA,Google,1992-01-22,10E9/l,Ly-CD19aK
11053,Ly-CD19 lymfosyytit lukumÃ¤Ã¤rÃ¤,NA,Google,1997-05-01,10E9/l,Ly-CD19K
11053,Ly-CD19 lymfosyytit lukumÃ¤Ã¤rÃ¤,NA,Google,2004-01-06,10E9/l,Ly-CD19K
11053,B -CD19,NA,Google,2006-12-01,10E9/l,B -CD19
11053,B -CD19,NA,Google,2015-08-15,10E9/l,B -CD19
11054,s- DNAn vasta-aineiden,NA,Google,1992-04-01,NULL,S -DNAnOm
11055,"LehmÃ¤nmaito, IgG vasta-aineet",NA,Google,1994-12-21,%,S -MaitAbG
11056,"LehmÃ¤nmaito, IgA vasta-aineet",NA,Google,1994-12-21,%,S -MaitAbA
11057,B -Lymf1,NA,Google,2015-02-24,10E9/l,B -Lymf1
11058,B -Lymf2,NA,Google,2015-02-24,10E9/l,B -Lymf2
11059,Lymf1/Lymf2 suhde,NA,Google,2015-02-24,NULL,Lymf1/Lym2
11061,S-ANCA-EIA paketti (ANCA/MPO),NA,Google,1992-02-03,IU,S-ANC-Pak
11061,S -ANCA-EIA paketti(ANCA/MPO),NA,Google,1993-09-23,IU,S -ANC-Ab
11061,ANCA-EIA paketti (ANCA/MPO),NA,Google,2001-10-06,U,S -ANCA.
11062,B -Lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1992-03-25,10E9/l,B -Lymf
11062,B -Lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1997-05-01,10E9/l,B -Lymf
11063,Ly-CD4 pos lymfosyytit,NA,Google,1992-03-25,%,Ly-CD4
11063,Ly-CD4 pos lymfosyytit,NA,Google,1997-05-01,%,Ly-CD4
11064,Ly-CD8 pos lymfosyytit,NA,Google,1992-03-25,%,Ly-CD8
11064,Ly-CD8 pos lymfosyytit,NA,Google,1997-05-01,%,Ly-CD8
11065,"Ly-CD4 lymfosyytit, lukumÃ¤Ã¤rÃ¤",NA,Google,1992-03-25,10E9/l,Ly-CD4k
11065,"Ly-CD4 lymfosyytit, lukumÃ¤Ã¤rÃ¤",NA,Google,1997-05-01,10E9/l,Ly-CD4k
11066,Ly-CD8 lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1992-03-25,10E9/l,Ly-CD8k
11066,Ly-CD8 lymfosyyttien lukumÃ¤Ã¤rÃ¤,NA,Google,1997-05-01,10E9/l,Ly-CD8k
11067,-CD4/CD8-suhde,NA,Google,1992-03-25,suhde,CD4/CD8
11067,-CD4/CD8-suhde,NA,Google,1997-05-01,suhde,CD4/CD8
11068,HLA-B27 tutkimus,NA,Google,1992-03-25,NULL,HLA-B27
11069,Immunoglobuliini G 129,NA,Google,1992-04-15,g/l,S -IgGn
1107,Aromaattiset hiilivedyt,NA,Google,1981-08-01,Lausunto,U -AromHi
11070,GMB vasta-aine (IF),NA,Google,1992-06-05,titteri,S-GBM-Abif
11071,GBM vasta-aineet (EIA),NA,Google,1992-06-05,U,S-GBM-Abei
11072,S -Langerhansin saareke,NA,Google,1992-11-25,JDF-U,S -ICA-IF
11073,S -Langerhansin saareke,NA,Google,1992-11-25,JDF-U,S -ICA-CF
11074,HLA-DQ a,NA,Google,1993-03-30,NULL,HLA-DQ
11075,HLA-DQ b,NA,Google,1993-03-30,NULL,HLA-DQ
11077,S -Neopteriini,NA,Google,1993-03-31,nmol/l,S -Neopter
11078,Amylaasi,NA,Google,2010-05-19,U/l,S -Amyl
1109,Arseeni,NA,Google,2009-01-29,nmol/l,U -As-i
11092,Angiotensiini-1-konvertaasi,NA,Google,2018-03-29,U/l,S -ACE
111,TotaalihappisisÃ¤ltÃ¶ arteria,NA,Google,1993-07-05,ml/dl,aB-tO2c
111,TotaalihappisisÃ¤ltÃ¶ arteria,NA,Google,2015-11-18,ml/dl,aB-tO2c
11100,S -Hepatiittitutk. paketti,NA,Google,1991-08-22,NULL,S -Hepatpa
11103,"Antitrombiini III, SPR",NA,Google,2002-07-24,%,P -AT3-SPR
11103,"Antitrombiini III, SPR",NA,Google,2019-10-01,%,P -AT3-SPR
11108,Oksihemoglobiini kapillaariver,NA,Google,2015-10-16,%,cB-O2Hb
1111,Aryylisulfataasi A,NA,Google,2009-01-29,Lausunto,L -ARYLS-A
11111,TotaalihappisisÃ¤ltÃ¶ kapillaari,NA,Google,2015-10-16,ml/dl,cB-tO2c
1113,A-vitamiini,NA,Google,1981-08-01,umol/l,fS-A-Vit
1113,A-vitamiini,NA,Google,1992-01-04,umol/l,S -A-Vit
1113,A-vitamiini,NA,Google,2009-07-17,umol/l,fS-A-Vit
1114,A-vitamiini,NA,Google,2003-12-31,umol/l,fP-A-Vit
11159,"Bakteeri, vÃ¤rjÃ¤ys, pÃ¤ivystys",NA,Google,2012-11-02,NULL,-BaktVrP
112,TotaalihappisisÃ¤ltÃ¶ laskimo,NA,Google,1993-07-05,ml/dl,vB-tO2c
112,TotaalihappisisÃ¤ltÃ¶ laskimo,NA,Google,2015-11-18,ml/dl,vB-tO2c
1121,Asetoniaineet (kval),NA,Google,1981-08-01,Arvio,S -Keto-O
1121,Asetoniaineet (kval),NA,Google,2013-12-01,Arvio,S -Keto-O
1122,Asetoniaineet (kval),NA,Google,1981-08-01,Arvio,U -Keto-O
1123,Asetyylikoliiniesteraasi,NA,Google,2009-01-29,Lausunto,B -AChEs
11270,"EKG, 12 kytkentÃ¤Ã¤ levossa, tie",NA,Google,2012-02-13,NULL,Pt-EKGTIED
1128,Aspartaattiaminotransferaasi,NA,Google,1981-08-01,U/l,S -ASAT
1128,Aspartaattiaminotransferaasi,NA,Google,2000-03-15,U/l,S -ASAT
