CodeId;Abbreviation;ShortName;LongName;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;A:Erikoisala;A:Korvaava koodi;A:Långt_namn;A:Yksikkö
1021;S -ACTH-Ab;S -Adrenokortikotropiini, vasta-aineet;S -Adrenokortikotropiini, vasta-aineet;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Adrenokortikotropin, antikroppar;Lomake
1022;Af-ALAT;Af-Alaniiniaminotransferaasi;Af-Alaniiniaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Af-Alaninaminotransferas;U/l
1023;Li-ALAT;Li-Alaniiniaminotransferaasi;Li-Alaniiniaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Alaninaminotransferas;U/l
1024;P -ALAT;P -Alaniiniaminotransferaasi;P -Alaniiniaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Alaninaminotransferas;U/l
1025;Pf-ALAT;Pf-Alaniiniaminotransferaasi;Pf-Alaniiniaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pf-Alaninaminotransferas;U/l
1026;S -ALAT;S -Alaniiniaminotransferaasi;S -Alaniiniaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alaninaminotransferas;U/l
1027;Li-Alb;Li-Albumiini;Li-Albumiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Albumin;mg/l
1028;S -Alb;S -Albumiini;S -Albumiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Albumin;g/l
1029;U -Alb;U -Albumiini;U -Albumiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Albumin;mg/l
1030;U -Alb-O;U -Albumiini (kval);U -Albumiini (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Albumin (kval);Lomake
1031;E -Aldol;E -Aldolaasi;E -Aldolaasi;01.01.2004;31.12.2030;26.03.2015;Lehtonen, Santeri;1;;;K;;E -Aldolas;U/g_Hb
1032;S -Aldol;S -Aldolaasi;S -Aldolaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aldolas;U/l
1033;dU-Aldos;dU-Aldosteroni;dU-Aldosteroni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Aldosteron;nmol
1034;S -Aldos;S -Aldosteroni;S -Aldosteroni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aldosteron;pmol/l
1035;Pt-Aldos-R;Pt-Aldosteronismin tutkiminen, perustutkimus;Pt-Aldosteronismin tutkiminen, perustutkimus;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Undersökning av aldosteronism, grundundersökning;Lomake
1036;S -Aldos-M;S -Aldosteroni, makuu;S -Aldosteroni, makuu;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aldosteron, liggande ställning;pmol/l
1037;S -Aldos-P;S -Aldosteroni, pysty;S -Aldosteroni, pysty;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aldosteron, stående ställning;pmol/l
1038;S -Antitry;S -Alfa-1-antitrypsiini;S -Alfa-1-antitrypsiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alfa-1-antitrypsin;g/l
1039;Am-AFP;Am-Alfa-1-fetoproteiini;Am-Alfa-1-fetoproteiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;KM;;Am-Alfa-1-fetoprotein;mg/l
1040;S -AFP;S -Alfa-1-fetoproteiini;S -Alfa-1-fetoproteiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;KM;;S -Alfa-1-fetoprotein;ug/l
1041;S -A1Glypr;S -Alfa-1-glykoproteiini, hapan;S -Alfa-1-glykoproteiini, hapan;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alfa-1-glykoprotein, surt;mg/l
1042;S -A2Makro;S -Alfa-2-makroglobuliini;S -Alfa-2-makroglobuliini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alfa-2-makroglobulin;g/l
1043;S -AEndorf;S -Alfa-endorfiini;S -Alfa-endorfiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alfa-endorfin;pmol/l
1044;fS-ALipopr;fS-Alfa-lipoproteiini;fS-Alfa-lipoproteiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fS-Alfa-lipoprotein;mg/l
1045;Li-AFOS;Li-Alkalinen fosfataasi;Li-Alkalinen fosfataasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Alkaliskt fosfatas;U/l
1046;S -AFOS;S -Alkalinen fosfataasi;S -Alkalinen fosfataasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alkaliskt fosfatas;U/l
1047;S -AFOSinh;S -Alkalinen fosfataasi, inhiboitu;S -Alkalinen fosfataasi, inhiboitu;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alkaliskt fosfatas, inhiberad;Lomake
1048;S -AFOS-Is;S -Alkalinen fosfataasi, isoentsyymit;S -Alkalinen fosfataasi, isoentsyymit;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alkaliskt fosfatas, isoenzymer;Lomake
1049;S -AFOS-Hs;S -Alkalinen fosfataasi, lämpöstabiili;S -Alkalinen fosfataasi, lämpöstabiili;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Alkaliskt fosfatas, värmestabilt;U/l
1050;Bm-AFOS-Vr;Bm-Alkalinen fosfataasi, värjäys;Bm-Alkalinen fosfataasi, värjäys;01.01.2004;31.12.2011;27.12.2011;Lehtonen, Jari;1;;;K;;Bm-Alkaliskt fosfatas, färgning;Lomake
1051;L -AFOS-Vr;L -Alkalinen fosfataasi, värjäys;L -Alkalinen fosfataasi, värjäys;01.01.2004;31.12.2011;27.12.2011;Lehtonen, Jari;1;;;K;;L -Alkaliskt fosfatas, färgning;Lomake
1053;S -AmebAb;S -Ameeba, vasta-aineet;S -Ameeba, vasta-aineet;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Amöba, antikroppar;Titteri
1054;F -AmebNa;F -Ameeba, natiivivalmiste;F -Ameeba, natiivivalmiste;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;F -Amöba, nativpreparat;Lomake
1055;U -Amfet-O;U -Amfetamiini (kval);U -Amfetamiini (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Amfetamin (kval);Lomake
1056;Af-Aminoh;Af-Aminohapot;Af-Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Af-Aminosyror;Lomake
1057;Am-Aminoh;Am-Aminohapot;Am-Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Am-Aminosyror;Lomake
1058;dU-Aminoh;dU-Aminohapot;dU-Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Aminosyror;Lomake
1059;Li-Aminoh;Li-Aminohapot;Li-Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Aminosyror;Lomake
1060;F -Aminoh;F -Aminohapot;F -Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;F -Aminosyror;Lomake
1061;P -Aminoh;P -Aminohapot;P -Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Aminosyror;Lomake
1062;U -Aminoh;U -Aminohapot;U -Aminohapot;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Aminosyror;Lomake
1063;U -Aminh-O;U -Aminohapot (kval);U -Aminohapot (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Aminosyror (kval);Lomake
1068;S -Amitrip;S -Amitriptyliini;S -Amitriptyliini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Amitriptylin;nmol/l
1069;Pt-NH4Cl-R;Pt-Ammoniumkloridi-koe;Pt-Ammoniumkloridi-koe;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Ammoniumklorid-test;Lomake
1070;fB-NH4-ion;fB-Ammonium-ioni;fB-Ammonium-ioni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fB-Ammoniumjon;umol/l
1071;fP-NH4-ion;fP-Ammonium-ioni;fP-Ammonium-ioni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fP-Ammoniumjon;umol/l
1072;U -NH4-ion;U -Ammonium-ioni;U -Ammonium-ioni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Ammoniumjon;umol/l
1073;Af-Amyl;Af-Amylaasi;Af-Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Af-Amylas;U/l
1074;As-Amyl;As-Amylaasi;As-Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;As-Amylas;U/l
1075;dU-Amyl;dU-Amylaasi;dU-Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Amylas;U
1076;F -Amyl;F -Amylaasi;F -Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;F -Amylas;U/kg
1077;Pa-Amyl;Pa-Amylaasi;Pa-Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pa-Amylas;U/l
1078;S -Amyl;S -Amylaasi;S -Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Amylas;U/l
1079;Se-Amyl;Se-Amylaasi;Se-Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Se-Amylas;U/l
1080;U -Amyl;U -Amylaasi;U -Amylaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Amylas;U/l
1081;Pt-Amyl-Cl;Pt-Amylaasin poistuma;Pt-Amylaasin poistuma;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Amylasclearance;ml/s
1082;Pt-Amyl-2h;Pt-Amylaasi-koe,2 h;Pt-Amylaasi-koe,2 h;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Amylastest,2 h;U/2h
1083;S -Amyl-Is;S -Amylaasi, isoentsyymit;S -Amylaasi, isoentsyymit;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Amylas, isoenzymer;Lomake
1084;U -Amyl-Is;U -Amylaasi, isoentsyymit;U -Amylaasi, isoentsyymit;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Amylas, isoenzymer;Lomake
1085;S -ADIONI;S -Androstendioni;S -Androstendioni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Androstendion;nmol/l
1086;dU-Andro;dU-Androsteroni;dU-Androsteroni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU -Androsteron;umol
1087;S -Andro;S -Androsteroni;S -Androsteroni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Androsteron;nmol/l
1088;S -Angio1M;S -Angiotensiini I, makuu;S -Angiotensiini I, makuu;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Angiotensin I, liggande ställning;pmol/l
1089;S -Angio1P;S -Angiotensiini I, pysty;S -Angiotensiini I, pysty;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Angiotensin I, stående ställning;pmol/l
1090;S -Angio2M;S -Angiotensiini II, makuu;S -Angiotensiini II, makuu;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Angiotensin II, liggande ställning;pmol/l
1091;S -Angio2P;S -Angiotensiini II, pysty;S -Angiotensiini II, pysty;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Angiotensin II, stående ställning;pmol/l
1092;fS-ACE;fS-Angiotensiini-1-konvertaasi;fS-Angiotensiini-1-konvertaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fS-Angiotensin-1-konvertas;U/l
1093;-MICAe;-Bakteeri, aerobinen MIC-määritys;-Bakteeri, aerobinen MIC-määritys;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;-Bakterie, aerob MIC-bestämning;Lomake
1094;P -ADH;P -Antidiureettinen hormoni;P -Antidiureettinen hormoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Antidiuretiskt hormon;ng/l
1095;S -ADHAb;S -Antidiureettinen hormoni, vasta-aineet;S -Antidiureettinen hormoni, vasta-aineet;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;KM;;S -Antidiuretiskt hormon, antikroppar;Titteri
1097;P -FVIII;P -Hyytymistekijä VIII;P -Hyytymistekijä VIII;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Koagulationsfaktor VIII;Lomake
1098;P -FVIIIAb;P -Hyytymistekijä VIII, vasta-aineet;P -Hyytymistekijä VIII, vasta-aineet;01.01.2004;31.12.2030;27.12.2011;Lehtonen, Jari;1;;;K;;P -Koagulationsfaktor VIII, antikroppar;Lomake
1100;S -ASTA;S -Antistafylolysiini;S -Antistafylolysiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Antistafylolysin;Titteri
1101;S -AST;S -Antistreptolysiini;S -Antistreptolysiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Antistreptolysin;Titteri
1102;S -ASTabs;S -Antistreptolysiini, absorboitu;S -Antistreptolysiini, absorboitu;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Antistreptolysin, absorberat;Titteri
1103;P -AT3;P -Antitrombiini III;P -Antitrombiini III;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Antitrombin III;Lomake
1104;U -Antran;U -Antranilaatti;U -Antranilaatti;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Antranilat;Lomake
1105;P -ArgVaso;P -Arginiini vasopressiini;P -Arginiini vasopressiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;P -Arginin vasopressin;pmol/l
1106;Pt-Arg-R;Pt-Arginiini-koe;Pt-Arginiini-koe;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-Arginintest;pmol/l
1107;U -AromHi;U -Aromaattiset hiilivedyt;U -Aromaattiset hiilivedyt;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Aromatiska kolväten;Lomake
1108;Ha-As;Ha-Arseeni;Ha-Arseeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Ha-Arsen;Lomake
1109;U -As;U -Arseeni;U -Arseeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Arsen;Lomake
1110;dU-ARYLS-A;dU-Aryylisulfataasi A;dU-Aryylisulfataasi A;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Arylsulfatas A;U
1111;L -ARYLS-A;L -Aryylisulfataasi A;L -Aryylisulfataasi A;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;L -Arylsulfatas A;Lomake
1112;dU-ARYLS-B;dU-Aryylisulfataasi B;dU-Aryylisulfataasi B;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;dU-Arylsulfatas B;U
1113;fS-A-Vit;fS-A-vitamiini;fS-A-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fS-A-vitamin;umol/l
1114;fP-A-Vit;fP-A-vitamiini;fP-A-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;fP-A-vitamin;umol/l
1115;Pt-A-Vit-R;Pt-A-vitamiini-koe;Pt-A-vitamiini-koe;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pt-A-vitamintest;umol/l
1116;S -Aset;S -Asetoasetaatti;S -Asetoasetaatti;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Acetoacetat;mmol/l
1117;S -Aset-O;S -Asetoasetaatti (kval);S -Asetoasetaatti (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Acetoacetat (kval);Lomake
1118;U -Aset-O;U -Asetoasetaatti (kval);U -Asetoasetaatti (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Acetoacetat (kval);Lomake
1119;S -Asetoni;S -Asetoni;S -Asetoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aceton;umol/l
1120;U -Asetoni;U -Asetoni;U -Asetoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Aceton;mmol/l
1121;S -Keto-O;S -Asetoniaineet (kval);S -Asetoniaineet (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Ketoner (kval);Lomake
1122;U -Keto-O;U -Asetoniaineet (kval);U -Asetoniaineet (kval);01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -Ketoner (kval);Lomake
1123;E -AChEs;E -Asetyylikoliiniesteraasi;E -Asetyylikoliiniesteraasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;E -Acetylkolinesteras;kU/l
1124;Af-ASAT;Af-Aspartaattiaminotransferaasi;Af-Aspartaattiaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Af-Aspartataminotransferas;U/l
1125;E -ASAT;E -Aspartaattiaminotransferaasi;E -Aspartaattiaminotransferaasi;01.01.2004;31.12.2030;26.03.2015;Lehtonen, Santeri;1;;;K;;E -Aspartataminotransferas;U/g_Hb
1126;Li-ASAT;Li-Aspartaattiaminotransferaasi;Li-Aspartaattiaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-Aspartataminotransferas;U/l
1127;Pf-ASAT;Pf-Aspartaattiaminotransferaasi;Pf-Aspartaattiaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Pf-Aspartataminotransferas;U/l
1128;S -ASAT;S -Aspartaattiaminotransferaasi;S -Aspartaattiaminotransferaasi;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aspartataminotransferas;U/l
1129;S -ASAT-Is;S -Aspartaattiaminotransferaasi,isoentsyymit;S -Aspartaattiaminotransferaasi,isoentsyymit;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Aspartataminotransferas, isoenzymer;Lomake
1130;S -AspeAb;S -Aspergillus, vasta-aineet;S -Aspergillus, vasta-aineet;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Aspergillus, antikroppar;Titteri
1131;Ex-Astmak;Ex-Astmakiteet;Ex-Astmakiteet;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Ex-Charcot-Leyden kristaller;Lomake
1133;S -Avlos;S -Avlosulfoni;S -Avlosulfoni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -Avlosulfon;umol/l
1134;B -B12-Vit;B -B12-vitamiini;B -B12-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;B -B12-vitamin;pmol/l
1135;E -B12-Vit;E -B12-vitamiini;E -B12-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;E -B12-vitamin;pmol/l
1136;Li-B12-Vit;Li-B12-vitamiini;Li-B12-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;Li-B12-vitamin;pmol/l
1137;S -B12-Vit;S -B12-vitamiini;S -B12-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -B12-vitamin;pmol/l
1138;U -B12-Vit;U -B12-vitamiini;U -B12-vitamiini;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;U -B12-vitamin;pmol/l
1142;S -B12-TC2;S -B12-vitamiini, transkobalamiini II:een sitoutun;S -B12-vitamiini, transkobalamiini II:een sitoutunut;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;K;;S -B12-vitamin, bundet till transkobalamin II;pmol/l
1143;Li-BaktAg;Li-Bakteeri, antigeeni;Li-Bakteeri, antigeeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;Li-Bakterie, antigen;Lomake
1144;S -BaktAg;S -Bakteeri, antigeeni;S -Bakteeri, antigeeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;S -Bakterie, antigen;Lomake
1145;U -BaktAg;U -Bakteeri, antigeeni;U -Bakteeri, antigeeni;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;U -Bakterie, antigen;Lomake
1146;-BaktFt;-Bakteeri, faagityypitys;-Bakteeri, faagityypitys;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;-Bakterie, fagtypning;Lomake
1147;-BaktHe;-Bakteeri, antibioottiherkkyysmääritys;-Bakteeri, antibioottiherkkyysmääritys;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;-Bakterie, antibiotikakänslighetsbestämning;Lomake
1149;-BaktLm;-Bakteeri, aerobinen lajimääritys;-Bakteeri, aerobinen lajimääritys;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;-Bakterie, aerob artbestämning;Lomake
1150;Li-BaktNa;Li-Bakteeri, natiivivalmiste;Li-Bakteeri, natiivivalmiste;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;Li-Bakterie, nativpreparat;Lomake
1151;U -BaktNa;U -Bakteeri, natiivivalmiste;U -Bakteeri, natiivivalmiste;01.01.2004;31.12.2009;15.07.2010;Lehtonen, Jari;1;;;M;;U -Bakterie, nativpreparat;Lomake
1152;-BaktTy;-Bakteeri, tyypitys;-Bakteeri, tyypitys;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;-Bakterietypning;Lomake
1153;B -BaktVi;B -Bakteeri, viljely;B -Bakteeri, viljely;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;B -Bakterieodling;Lomake
1154;Li-BaktVi;Li-Bakteeri, viljely;Li-Bakteeri, viljely;01.01.2004;31.12.2030;15.07.2010;Lehtonen, Jari;1;;;M;;Li -Bakterieodling;Lomake
