TUTKIMUS,ALKU_PVM,LOPPU_PVM,TUTKIMUS_LYHENNE,TUTKIMUS_EALA,TUTKIMUS_NIMI,TUTKIMUS_TARKENNE,TUTKIMUS_TYYPPI,VASTAUSYKSIKKO,HUOMAUTUSKOODISTO,TUTKIMUS_LYHENNE_I
10200,04.07.2017,31.12.2300,S -Vedol,MIK,"Vedolitsumabi, pitoisuus",NULL,Y,mg/l,MIKVAS,S-VEDOL
10206,04.07.2017,31.12.2300,S -VedolAb,MIK,"Vedolitsumabi, vasta-aineet",NULL,Y,AU/ml,MIKVAS,S-VEDOLAB
10209,04.07.2017,31.12.2300,S -VedolPa,MIK,"Vedolitsumabi, pitoisuus ja va",sta-aine-paketti,S,NULL,MIKVAS,S-VEDOLPA
1021,18.03.1987,31.12.1998,S -ACTH-Ab,MIK,S -Adrenokortikotropiini,vasta-aineet,Y,titteri,MIKVAS,S-ACTH-AB
10223,19.06.2017,31.12.2300,S -FluNorS,KEM,Fluoksetiinin ja norfluoksetii,nin yht.laskettu pitoisuus,Y,nmol/l,KEMIA,S-FLUNORS
10230,13.07.2017,31.12.2300,S -DiaNorS,KEM,Diatsepaamin ja nordiatsepaami,n yht.laskettu pitoisuus,Y,umol/l,KEMIA,S-DIANORS
1024,18.12.1997,14.03.2000,P -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,P-ALAT
1024,15.03.2000,23.10.2001,P -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,P-ALAT
1024,24.10.2001,30.12.2004,P -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,P-ALAT
1024,31.12.2004,27.03.2018,P -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,P-ALAT
1024,28.03.2018,31.12.2300,P -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,P-ALAT
10254,16.06.2009,30.09.2019,P -HepNeu,KEM,"Trombiiniaika, hepariinin neut",raloima,Y,s,KEMIA,P-HEPNEU
10254,01.10.2019,31.12.2300,P -HepNeu,KEM,"Trombiiniaika, hepariinin neut",raloima,Y,s,KEMIA,P-HEPNEU
1026,01.08.1981,14.03.2000,S -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,S-ALAT
1026,15.03.2000,23.10.2001,S -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,S-ALAT
1026,24.10.2001,30.12.2004,S -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,S-ALAT
1026,31.12.2004,31.12.2300,S -ALAT,KEM,Alaniiniaminotransferaasi,NULL,Y,U/l,KEMIA,S-ALAT
1027,21.01.1988,18.11.2009,Li-Alb,KEM,"Albumiini, selkäydinneste",NULL,Y,g/l,MIKVAS,LI-ALB
1027,19.11.2009,31.12.2300,Li-Alb,MIK,"Albumiini, selkäydinneste",NULL,Y,g/l,MIKVAS,LI-ALB
1028,01.08.1981,30.12.2004,S -Alb,KEM,Albumiini,NULL,Y,g/l,KEMIA,S-ALB
1028,31.12.2004,31.12.2300,S -Alb,KEM,Albumiini,NULL,Y,g/l,KEMIA,S-ALB
1029,26.11.1985,18.11.2009,U -Alb,KEM,Albumiini,NULL,Y,mg/l,MIKVAS,U-ALB
1029,19.11.2009,31.10.2017,U -Alb,MIK,Albumiini,NULL,Y,mg/l,MIKVAS,U-ALB
1029,01.11.2017,31.12.2300,U -Alb,KEM,Albumiini,NULL,Y,mg/l,MIKVAS,U-ALB
103,01.08.1981,31.12.2300,B -pH,KEM,Veren pH,NULL,Y,pH,NULL,B-PH
1030,16.05.2000,31.12.2300,U -Alb-O,KEM,Albumiini (kval),NULL,Y,Arvio,VIRTSA,U-ALB-O
1032,01.08.1981,31.05.1992,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l 37',KEMIA,S-ALDOL
1032,10.06.1994,31.12.1996,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,01.01.1997,25.05.1999,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,26.05.1999,14.06.2006,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,15.06.2006,12.12.2006,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,13.12.2006,18.05.2008,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,19.05.2008,09.06.2008,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,10.06.2008,14.09.2009,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,15.09.2009,04.05.2010,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,05.05.2010,06.10.2015,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,07.10.2015,21.05.2018,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1032,22.05.2018,31.12.2300,S -Aldol,KEM,Aldolaasi,NULL,Y,U/l,KEMIA,S-ALDOL
1033,01.08.1981,31.12.1994,dU-Aldos,KEM,"Aldosteroni, virtsa",NULL,Y,nmol,KEMIA,DU-ALDOS
1033,01.01.1995,22.07.2009,dU-Aldos,KEM,"Aldosteroni, vuorokausivirtsa",NULL,Y,nmol,KEMIA,DU-ALDOS
1033,23.07.2009,24.04.2013,dU-Aldos,KEM,"Aldosteroni, vuorokausivirtsa",NULL,Y,nmol,KEMIA,DU-ALDOS
1033,25.04.2013,31.12.2300,dU-Aldos,KEM,"Aldosteroni, vuorokausivirtsa",NULL,Y,nmol,KEMIA,DU-ALDOS
1034,01.08.1981,28.03.2006,P -Aldos,KEM,Aldosteroni,NULL,Y,pmol/l,KEMIA,P-ALDOS
1034,29.03.2006,22.07.2009,P -Aldos,KEM,Aldosteroni,NULL,Y,pmol/l,KEMIA,P-ALDOS
1034,23.07.2009,17.01.2012,P -Aldos,KEM,Aldosteroni,NULL,Y,pmol/l,KEMIA,P-ALDOS
1034,01.01.2013,31.12.2300,S -Aldos,KEM,Aldosteroni,NULL,Y,pmol/l,KEMIA,S-ALDOS
1036,31.05.1999,01.01.2002,P -Aldos-M,KEM,"Aldosteroni, makuu",NULL,Y,pmol/l,KEMIA,P-ALDOS-M
1036,02.01.2002,28.03.2006,P -Aldos-M,KEM,"Aldosteroni, makuu",NULL,Y,pmol/l,KEMIA,P-ALDOS-M
1036,29.03.2006,22.07.2009,P -Aldos-M,KEM,"Aldosteroni, makuu",NULL,Y,pmol/l,KEMIA,P-ALDOS-M
1036,23.07.2009,17.01.2012,P -Aldos-M,KEM,"Aldosteroni, makuu",NULL,Y,pmol/l,KEMIA,P-ALDOS-M
1037,31.05.1999,01.01.2002,P -Aldos-P,KEM,"Aldosteroni, pysty",NULL,Y,pmol/l,KEMIA,P-ALDOS-P
1037,02.01.2002,28.03.2006,P -Aldos-P,KEM,"Aldosteroni, pysty",NULL,Y,pmol/l,KEMIA,P-ALDOS-P
1037,29.03.2006,22.07.2009,P -Aldos-P,KEM,"Aldosteroni, pysty",NULL,Y,pmol/l,KEMIA,P-ALDOS-P
1037,23.07.2009,17.01.2012,P -Aldos-P,KEM,"Aldosteroni, pysty",NULL,Y,pmol/l,KEMIA,P-ALDOS-P
1038,21.01.1988,28.03.2006,S -Antitry,MIK,Alfa-1-antitrypsiini,NULL,Y,g/l,MIKVAS,S-ANTITRY
1038,29.03.2006,09.12.2009,S -Antitry,KEM,Alfa-1-antitrypsiini,NULL,Y,g/l,KEMIA,S-ANTITRY
1038,10.12.2009,31.12.2300,S -Antitry,KEM,Alfa-1-antitrypsiini,NULL,Y,g/l,KEMIA,S-ANTITRY
1039,06.09.1983,05.02.2007,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,Y,kU/l,KEMIA,AM-AFP
1039,06.02.2007,12.02.2007,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,Y,kU/l,KEMIA,AM-AFP
1039,13.02.2007,05.03.2007,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,Y,kU/l,KEMIA,AM-AFP
1039,06.03.2007,11.04.2012,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,Y,kU/l,KEMIA,AM-AFP
1039,12.04.2012,12.07.2015,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,S,NULL,KEMIA,AM-AFP
1039,13.07.2015,31.12.2300,Am-AFP,KEM,Alfa-1-fetoproteiini. lapsives,i,Y,kU/l,KEMIA,AM-AFP
10391,11.04.2012,31.12.2300,Am-AFP,KEM,"Alfa-1-fetoproteiini, lapsives",i,Y,kU/l,KEMIA,AM-AFP
104,01.12.1988,31.12.2300,B -pCO2,KEM,Hiilidioksidiosapaine,NULL,Y,kPa,NULL,B-PCO2
1040,01.08.1981,18.11.2009,S -AFP,KEM,Alfa-1-fetoproteiini,NULL,Y,kU/l,KEMIA,S-AFP
1040,19.11.2009,31.12.2300,S -AFP,KEM,Alfa-1-fetoproteiini,NULL,Y,kU/l,KEMIA,S-AFP
10401,16.08.1995,31.12.2300,S -AFP,KEM,"Alfa-1-fetoproteiini, raskaus",NULL,Y,kU/l,KEMIA,S-AFP
10402,02.03.1996,31.12.2300,S -AFP,KEM,"Alfa-1-fetoproteiini, raskaus",NULL,Y,kU/l,KEMIA,S-AFP
1041,21.01.1988,09.11.2010,S -A1Glypr,MIK,"Alfa-1-glykoproteiini, hapan",NULL,Y,mg/l,MIKVAS,S-A1GLYPR
1041,10.11.2010,22.04.2014,S -A1Glypr,KEM,"Alfa-1-glykoproteiini, hapan",NULL,Y,mg/l,KEMIA,S-A1GLYPR
1046,01.08.1981,30.09.1993,S -AFOS,KEM,Alkalinen fosfataasi,NULL,Y,U/l 37',KEMIA,S-AFOS
1046,01.10.1993,20.05.2002,S -AFOS,KEM,Alkalinen fosfataasi,NULL,Y,U/l,KEMIA,S-AFOS
1046,21.05.2002,30.12.2004,S -AFOS,KEM,Alkalinen fosfataasi,NULL,Y,U/l,KEMIA,S-AFOS
1046,31.12.2004,31.12.2300,S -AFOS,KEM,Alkalinen fosfataasi,NULL,Y,U/l,KEMIA,S-AFOS
10464,26.11.2019,31.12.2300,S -KloNorS,KEM,Klomipramiinin ja norklomipram,iinin yhteenlaskettu pitoisuus,Y,nmol/l,KEMIA,S-KLONORS
10465,26.11.2019,31.12.2300,S -DokNorS,KEM,Doksepiinin ja nordoksepiinin,yhteenlaskettu pitoisuus,Y,nmol/l,KEMIA,S-DOKNORS
1048,01.08.1981,05.02.2007,S -AFOS-Is,KEM,"Alkalinen fosfataasi, isoentsy",ymit,Y,Lausunto,KEMIA,S-AFOS-IS
1048,06.02.2007,12.02.2007,S -AFOS-Is,KEM,"Alkalinen fosfataasi, isoentsy",ymit,Y,Lausunto,KEMIA,S-AFOS-IS
1048,13.02.2007,23.09.2009,S -AFOS-Is,KEM,"Alkalinen fosfataasi, isoentsy",ymit,Y,Lausunto,KEMIA,S-AFOS-IS
1048,24.09.2009,19.05.2010,S -AFOS-Is,KEM,"Alkalinen fosfataasi, isoentsy",ymit,Y,Lausunto,KEMIA,S-AFOS-IS
1048,20.05.2010,31.12.2300,S -AFOS-Is,KEM,"Alkalinen fosfataasi, isoentsy",ymit,S,NULL,KEMIA,S-AFOS-IS
10481,19.05.2010,31.12.2300,AFOSSuoli,KEM,Suolistoisoentsyymi,NULL,Y,U/l,KEMIA,AFOSSUOLI
10482,19.05.2010,31.12.2300,AFOSMaksa1,KEM,Maksa-1-isoentsyymi,NULL,Y,U/l,KEMIA,AFOSMAKSA1
10483,19.05.2010,31.12.2300,AFOSLuusto,KEM,Luustoisoentsyymi,NULL,Y,U/l,KEMIA,AFOSLUUSTO
10484,19.05.2010,31.12.2300,AFOSMaksa2,KEM,Maksa-2-isoentsyymi,NULL,Y,U/l,KEMIA,AFOSMAKSA2
105,01.08.1982,31.12.2300,B -BE,KEM,Emästase,NULL,Y,mmol/l,NULL,B-BE
1051,01.08.1981,14.06.2004,L -AFOS-Vr,KEM,"Alkalinen fosfataasi,värjäys",NULL,Y,Score,KEMIA,L-AFOS-VR
1052,01.08.1981,10.05.1995,S -All-AbE,KEM,Allergeeni-IgE-vasta-aineet,NULL,Y,NULL,KEMIA,S-ALL-ABE
1053,01.08.1981,31.12.2300,S -AmebAb,MIK,"Ameeba, vasta-aineet",NULL,Y,titteri,MIKVAS,S-AMEBAB
1055,01.04.1982,13.08.1993,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Lausunto,KEMIA,U-AMFET-O
1055,19.04.1994,31.12.1994,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Lausunto,KEMIA,U-AMFET-O
1055,01.01.1995,11.02.2001,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Arvio,KEMIA,U-AMFET-O
1055,12.02.2001,25.05.2009,U -Amfet-O,KEM,Amfetamiini (kval),NULL,S,NULL,KEMIA,U-AMFET-O
1055,26.05.2009,31.12.2300,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Arvio,KEMIA,U-AMFET-O
10550,08.02.2001,31.12.2300,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Arvio,KEMIA,U-AMFET-O
10551,08.02.2001,31.12.2300,U -Amfet,KEM,Amfetamiini,NULL,Y,NULL,KEMIA,U-AMFET
10552,08.02.2001,09.06.2005,U -Amfet-O,KEM,Amfetamiini (kval),NULL,Y,Arvio,KEMIA,U-AMFET-O
1058,01.08.1981,31.12.2003,dU-Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,DU-AMINOH
1058,01.01.2004,31.12.2005,dU-Aminoh,KEM,"Aminohapot, vuorokausivirtsa",NULL,Y,Lausunto,KEMIA,DU-AMINOH
1058,01.01.2006,31.12.2300,dU-Aminoh,KEM,"Aminohapot, vuorokausivirtsa",NULL,Y,Lausunto,KEMIA,DU-AMINOH
1059,22.05.1986,31.12.2003,Li-Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,LI-AMINOH
1059,01.01.2004,31.12.2005,Li-Aminoh,KEM,"Aminohapot, selkäydinneste",NULL,Y,Lausunto,KEMIA,LI-AMINOH
1059,01.01.2006,03.09.2018,Li-Aminoh,KEM,"Aminohapot, selkäydinneste",NULL,Y,Lausunto,KEMIA,LI-AMINOH
1059,04.09.2018,31.12.2300,Li-Aminoh,KEM,"Aminohapot, selkäydinneste",NULL,Y,Lausunto,KEMIA,LI-AMINOH
106,01.08.1981,31.12.2300,P -HCO3,KEM,Aktuaali-bikarbonaatti,NULL,Y,mmol/l,NULL,P-HCO3
1061,01.08.1981,31.12.2003,fP-Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,FP-AMINOH
1061,01.01.2004,31.12.2005,fP-Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,FP-AMINOH
1061,01.01.2006,03.09.2018,fP-Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,FP-AMINOH
1061,04.09.2018,31.12.2300,P -Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,P-AMINOH
1062,12.01.1994,31.12.2003,U -Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,U-AMINOH
1062,01.01.2004,03.09.2018,U -Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,U-AMINOH
1062,04.09.2018,31.12.2300,U -Aminoh,KEM,Aminohapot,NULL,Y,Lausunto,KEMIA,U-AMINOH
1068,02.07.1993,05.04.1994,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
1068,06.04.1994,01.06.1994,S -Amitrip,KEM,Amitriptyliini,NULL,S,NULL,KEMIA,S-AMITRIP
1068,02.06.1994,31.12.1994,S -Amitrip,KEM,Amitriptyliini,NULL,S,NULL,KEMIA,S-AMITRIP
1068,01.01.1995,09.01.1995,S -Amitrip,KEM,Amitriptyliini,NULL,S,NULL,KEMIA,S-AMITRIP
1068,10.01.1995,31.12.2003,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
1068,01.01.2004,26.01.2004,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
1068,27.01.2004,03.12.2006,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
1068,04.12.2006,18.12.2014,S -Amitrip,KEM,Amitriptyliini,NULL,S,NULL,KEMIA,S-AMITRIP
1068,19.12.2014,12.07.2015,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/,KEMIA,S-AMITRIP
1068,13.07.2015,31.12.2300,S -Amitrip,KEM,Amitriptyliini,NULL,S,NULL,KEMIA,S-AMITRIP
10680,05.04.1994,01.06.1994,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
10680,02.06.1994,18.10.2004,S -Amitrip,KEM,Amitriptyliini,NULL,Y,nmol/l,KEMIA,S-AMITRIP
107,01.12.1988,31.12.2300,B -pO2,KEM,Happiosapaine,NULL,Y,kPa,NULL,B-PO2
1071,30.09.1991,31.12.2300,fP-NH4-ion,KEM,Ammonium-ioni,NULL,Y,umol/l,KEMIA,FP-NH4-ION
1074,12.01.1994,31.12.2300,As-Amyl,KEM,"Amylaasi, askitesneste",NULL,Y,U/l,KEMIA,AS-AMYL
1078,01.08.1981,30.12.2004,S -Amyl,KEM,Amylaasi,NULL,Y,U/l,KEMIA,S-AMYL
1078,31.12.2004,31.12.2300,S -Amyl,KEM,Amylaasi,NULL,Y,U/l,KEMIA,S-AMYL
10787,15.07.2009,31.12.2300,-InfvNhO,MIK,"Influenssa A virus, variantti,",nukleiinihappo (kval) osatutk.,Y,NULL,MIKVAS,-INFVNHO
1079,06.05.1992,31.12.2300,Se-Amyl,KEM,"Amylaasi, erite",NULL,Y,U/l,KEMIA,SE-AMYL
108,05.07.1993,31.12.2300,aB-O2Hb,KEM,Oksihemoglobiini arteriaveri,Happisaturaatio,Y,%,NULL,AB-O2HB
1080,01.08.1981,30.12.2004,U -Amyl,KEM,Amylaasi,NULL,Y,U/l,KEMIA,U-AMYL
1080,31.12.2004,31.12.2300,U -Amyl,KEM,Amylaasi,NULL,Y,U/l,KEMIA,U-AMYL
1083,29.12.2000,31.12.2003,S -Amyl-Is,KEM,"Amylaasi, isoentsyymit",NULL,Y,Lausunto,KEMIA,S-AMYL-IS
1083,01.01.2004,23.09.2009,S -Amyl-Is,KEM,"Amylaasi, isoentsyymit",NULL,Y,Lausunto,KEMIA,S-AMYL-IS
1083,24.09.2009,19.05.2010,S -Amyl-Is,KEM,"Amylaasi, isoentsyymit",NULL,Y,Lausunto,KEMIA,S-AMYL-IS
1083,20.05.2010,25.04.2016,S -Amyl-Is,KEM,"Amylaasi, isoentsyymit",NULL,S,NULL,KEMIA,S-AMYL-IS
1083,26.04.2016,31.12.2300,S -Amyl-Is,KEM,"Amylaasi, isoentsyymit",NULL,Y,Lausunto,KEMIA,S-AMYL-IS
1085,01.08.1981,05.06.2006,S -ADIONI,KEM,Androstendioni,NULL,Y,nmol/l,KEMIA,S-ADIONI
1085,06.06.2006,16.07.2009,S -ADIONI,KEM,Androstendioni,NULL,Y,nmol/l,KEMIA,S-ADIONI
1085,17.07.2009,09.12.2009,S -ADIONI,KEM,Androstendioni,NULL,Y,nmol/l,KEMIA,S-ADIONI
1085,10.12.2009,31.12.2300,S -ADIONI,KEM,Androstendioni,NULL,Y,nmol/l,KEMIA,S-ADIONI
109,05.07.1993,31.12.2300,vB-O2Hb,KEM,Happikyllästeisyys venaveri,Happisaturaatio,Y,%,NULL,VB-O2HB
1092,05.08.1983,31.12.1994,fS-ACE,KEM,Angiotensiini-1-konvertaasi,NULL,Y,U/l,KEMIA,FS-ACE
1092,01.01.1995,09.12.2009,fS-ACE,KEM,Angiotensiini-1-konvertaasi,NULL,Y,U/l,KEMIA,FS-ACE
1092,10.12.2009,14.05.2012,S -ACE,KEM,Angiotensiini-1-konvertaasi,NULL,Y,U/l,KEMIA,S-ACE
1092,15.05.2012,03.04.2018,S -ACE,KEM,Angiotensiini-1-konvertaasi,NULL,Y,U/l,KEMIA,S-ACE
1092,04.04.2018,31.12.2300,fS-ACE,KEM,Angiotensiini-1-konvertaasi,NULL,Y,U/l,KEMIA,FS-ACE
1094,07.08.1986,31.12.1998,P -ADH,KEM,Antidiureettinen hormoni,NULL,Y,ng/l,KEMIA,P-ADH
1094,01.01.1999,31.12.2003,P -ADH,KEM,Antidiureettinen hormoni,NULL,Y,ng/l,KEMIA,P-ADH
1094,01.01.2004,21.10.2013,P -ADH,KEM,Antidiureettinen hormoni,NULL,Y,ng/l,KEMIA,P-ADH
1095,18.03.1987,31.12.1998,S -ADHAb,MIK,S -Antidiur.horm.vasta-aineet,NULL,Y,titteri,MIKVAS,S-ADHAB
1097,24.07.2002,31.12.2009,P -FVIII,KEM,Hyytymistekijä VIII,NULL,Y,%,KEMIA,P-FVIII
1097,01.01.2010,10.01.2012,P -FVIII,KEM,Hyytymistekijä VIII,NULL,Y,%,KEMIA,P-FVIII
1097,11.01.2012,01.06.2015,P -FVIII,KEM,Hyytymistekijä VIII,NULL,Y,%,KEMIA,P-FVIII
1097,02.06.2015,30.09.2019,P -FVIII,KEM,Hyytymistekijä VIII,NULL,Y,%,KEMIA,P-FVIII
1097,01.10.2019,31.12.2300,P -FVIII,KEM,Hyytymistekijä VIII,NULL,Y,%,KEMIA,P-FVIII
1098,24.07.2002,30.09.2019,P -F8-Ab,KEM,"Hyytymistekijä VIII, vasta-ain",eet,Y,BU/ml,KEMIA,P-F8-AB
1098,01.10.2019,31.12.2300,P -F8-Ab,KEM,"Hyytymistekijä VIII, vasta-ain",eet,Y,BU/ml,KEMIA,P-F8-AB
11,03.11.1992,12.01.1998,-PEFOX,KEM,Pikonlinna  EFOX -paketti,NULL,P,NULL,KEMIA,-PEFOX
