CodeId,LongName,ParentId,HierarchyLevel,BeginningDate,ExpiringDate,LastModifiedDate,A:Long_name,freq_finngen,freq_tays,freq_total
AA1DD,Pään ja kaularangan tietokonetomografiatutkimus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Head and neck CT,82,13,95
AA1DF,Pään erittäin laaja magneettitutkimus keskikenttälaitteella,AA_,3,01.01.1999,31.12.2016,08.02.2017,Very extensive MRI examination of brain with median intensity magnet,6,14,20
AA1DG,Pään erittäin laaja magneettitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Very extensive MRI examination of brain with high intensity magnet,2211,4864,7075
AA1DM,Pään erittäin laaja 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,Very extensive MRI examination of brain with 3 Tesla magnet,654,828,1482
AA1ED,Pään ja kaulan trauma-tietokonetomografiatutkimus,AA_,3,01.01.2010,31.12.2030,08.02.2017,NA,157,2,159
AA1FD,Pään ja kasvojen trauma-tietokonetomografiatutkimus,AA_,3,01.12.2018,31.12.2030,08.11.2018,NA,0,3,0
AA1LA,Pään alueen läpivalaisututkimus,AA_,3,01.01.2006,31.12.2010,08.02.2017,NA,0,0,0
AA1XD,Pään muu TT,AA_,3,01.01.1999,04.11.2003,12.01.2005,Other special CT of head and brain,265,0,0
AA2AA,Kallonpohjan natiiviröntgen *,AA_,3,01.01.1999,31.12.2010,08.02.2017,Cranial basis X-ray examination,0,0,0
AA3AA,Kasvonluiden röntgen,AA_,3,01.01.1999,31.12.2030,08.02.2017,Facial bones X-ray examination,182,242,424
AA3AD,Kasvojen tietokonetomografiatutkimus,AA_,3,01.01.2011,31.12.2030,08.02.2017,NA,136,527,663
AA3AI,Kasvon luiden kartiokeilatutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,178,1390,1568
AA3BD,Kasvojen laaja tietokonetomografiatutkimus,AA_,3,01.01.2011,31.12.2030,08.02.2017,NA,0,17,0
AA3CD,Kasvojen erittäin laaja tietokonetomografiatutkimus,AA_,3,01.01.2011,31.12.2030,08.02.2017,NA,0,4,0
AA4AA,Sellan natiiviröntgen *,AA_,3,01.01.1999,31.12.2013,08.02.2017,Sella turcica X-ray examination,0,1,0
AA4AD,Sellan tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,CT of sella turcica,0,3,0
AA4AI,Sellan kartiokeilatutkimus,AA_,3,01.01.2017,31.12.2030,05.02.2017,NA,0,0,0
AA4BD,Sellan laaja tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Extensive CT of sella turcica,0,2,0
AA4BF,Sellan magneettitutkimus keskikenttälaitteella,AA_,3,01.01.1999,31.12.2016,08.02.2017,MRI examination of sella turcica with median intensity magnet,0,0,0
AA4BG,Sellan magneettitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,MRI examination of sella turcica with high intensity magnet,95,104,199
AA4BM,Sellan 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,MRI examination of sella turcica with 3 Tesla magnet,11,26,37
AA4CD,Sellan erittäin laaja tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Very extensive CT of sella turcica,0,18,0
AA4CF,Sellan laaja magneettitutkimus keskikenttälaitteella,AA_,3,01.01.2003,31.12.2016,08.02.2017,Extensive MRI examination of sella turcica with median intensity magnet,0,0,0
AA4CG,Sellan laaja magneettitutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Extensive MRI examination of sella turcica with high intensity magnet,976,1169,2145
AA4CM,Sellan laaja 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,Extensive MRI examination of sella turcica with 3 Tesla magnet,175,426,601
AA4DF,Sellan erittäin laaja magneettitutkimus keskikenttälaitteella,AA_,3,01.01.2003,31.12.2016,08.02.2017,Very extensive MRI examination of sella turcica with median intensity magnet,0,0,0
AA4DG,Sellan erittäin laaja magneettitutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Very extensive MRI examination of sella turcica with high intensity magnet,60,77,137
AA4DM,Sellan erittäin laaja 3 Teslan MT,AA_,3,01.01.2009,31.12.2016,08.02.2017,Very extensive MRI examination of sella turcica with 3 Tesla magnet,8,14,22
AA4XD,Sellan muu TT,AA_,3,01.01.1999,10.11.2002,12.01.2005,Other special CT of sella turcica,0,0,0
AA5AE,Intrakraniaalitilan ultraäänitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Brain ultrasound examination,0,0,0
AA5AK,Aivojen spektroskopia,AA_,3,01.01.1999,31.12.2030,08.02.2017,Brain spectroscopy,0,8,0
AA5AL,"Aivojen magneettikenttämittaus (magnetoenkefalografia, MEG)",AA_,3,01.01.1999,31.12.2016,08.02.2017,Magnetoencephalography (MEG),0,0,0
AA5AN,Aivojen gammakuvaus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain isotope imaging,0,0,0
AA5AP,Aivojen PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain PET,0,0,0
AA5AR,Aivojen PET-tietokonetomografiatutkimus,AA_,3,01.01.2016,31.12.2030,08.02.2017,NA,0,0,0
AA5AS,Aivojen hapenkulutuksen suppea PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5BD,Aivoiskemian tietokonetomografiatutkimus,AA_,3,01.01.2016,31.12.2030,08.02.2017,NA,709,687,1396
AA5BK,Aivojen laaja spektroskopia,AA_,3,01.01.2003,31.12.2030,08.02.2017,Extensive brain spectroscopy,0,0,0
AA5CN,Aivoperfuusion gammakuvaus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain blood flow isotope examination,0,1,0
AA5CP,Aivojen perfuusion PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain perfusion PET,0,0,0
AA5CQ,Aivoperfuusion SPET ja matala-annos-TT,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain perfusion SPECT with low dose CT,0,0,0
AA5CR,Aivojen perfuusion PET-tietokonetomografiatutkimus,AA_,3,01.04.2020,31.12.2030,20.03.2020,NA,0,0,0
AA5CS,Aivojen perfuusion PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5DP,Aivojen hapenkulutuksen/aineenvaihdunnan PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain metabolism PET,10,0,0
AA5DR,Aivojen hapenkulutuksen tai aineenvaihdunnan PET-tietokonetomografiatutkimus,AA_,3,01.01.2009,31.12.2030,02.03.2020,Brain metabolism PET with CT,68,40,108
AA5DS,Aivojen aineenvaihdunnan PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,1,0
AA5EN,Aivoreseptoreiden tai kuljettajaproteiinien gammakuvaus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain reseptor or transprot protein distribution isotope imaging,102,254,356
AA5EP,Aivojen reseptoreiden/transportterien PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain reseptor or transportprotein PET,0,0,0
AA5EQ,Aivojen reseptoreiden tai kuljettajaproteiinien SPET ja matala-annos-TT,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain receptor and transport protein SPECT with low dose CT,0,0,0
AA5ER,Aivojen reseptoreiden/transportterien PET-tietokonetomografiatutkimus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain receptor or transportprotein PET with TT,0,2,0
AA5FF,Aivojen toiminnallinen magneettitutkimus keskikenttälaitteella,AA_,3,01.01.2003,31.12.2010,08.02.2017,Functional MRI examination of brain with median intensity magnet,0,0,0
AA5FG,Aivojen toiminnallinen magneettitutkimus,AA_,3,01.01.2000,31.12.2030,08.02.2017,Functional MRI examination of brain with high intensity magnet,16,1,17
AA5FK,Aivojen toiminnallinen tutkimus (fMRI),AA_,3,01.01.2011,31.12.2030,08.02.2017,NA,0,25,0
AA5FM,Aivojen toiminnallinen 3 Teslan MT,AA_,3,01.01.2009,31.12.2010,08.02.2017,Functional MRI examination of brain with 3 Tesla magnet,0,0,0
AA5FP,Aivojen veritilavuuden PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain blood volume PET,0,0,0
AA5GF,Aivojen laaja toiminnallinen keskikenttä-MT,AA_,3,01.01.2003,31.12.2010,08.02.2017,Extensive functional MRI examination of brain with median intensity magnet,0,0,0
AA5GG,Aivojen laaja toiminnallinen vahvakenttä-MT,AA_,3,01.01.2003,31.12.2010,08.02.2017,Extensive functional MRI examination of brain withhigh intensity magnet,0,2,0
AA5GM,Aivojen laaja toiminnallinen 3 Teslan MT,AA_,3,01.01.2009,31.12.2010,08.02.2017,Extensive functional MRI examination of brain with 3 Tesla magnet,0,12,0
AA5GP,Aivojen gamma-PET-tutkimus,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain gamma PET,0,0,0
AA5GS,Aivojen toiminnan PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5HE,Lapsen aivojen ultraäänitutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Brain ultrasound examination in a child,135,607,742
AA5HF,Aivojen erittäin laaja toiminnallinen magneettitutkimus keskikenttälaitteella,AA_,3,01.01.2003,31.12.2010,08.02.2017,Very extensive functional MRI examination of brain with median intensity magnet,0,0,0
AA5HG,Aivojen erittäin laaja toiminnallinen magneettitutkimus vahvakenttälaitteella,AA_,3,01.01.2000,31.12.2010,08.02.2017,Very extensive functional MRI examination of brain with high intensity magnet,0,2,0
AA5HM,Aivojen erittäin laaja toiminnallinen 3 Teslan MT,AA_,3,01.01.2009,31.12.2010,08.02.2017,Very extensive functional MRI examination of brain with 3 Tesla magnet,0,3,0
AA5JP,Aivojen aineenvaihdunnan laaja PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain metabolism extensive PET,0,0,0
AA5JS,Aivojen aineenvaihdunnan laaja PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5KP,Aivojen aineenvaihdunnan erittäin laaja PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain metabolism very extensive PET,0,0,0
AA5KS,Aivojen aineenvaihdunnan erittäin laaja PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5LP,Aivojen reseptoreiden/transportterien laaja PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain reseptor or transportprotein extensive PET,0,0,0
AA5LQ,Aivojen reseptoreiden tai kuljettajaproteiinien monivaiheinen SPET ja matala-annos-TT,AA_,3,01.01.2009,31.12.2030,08.02.2017,Brain receptor and transport protein SPECT with low dose CT,0,0,0
AA5NK,Keskushermoston valkoisen aineen traktrografia,AA_,3,01.01.2009,31.12.2030,08.02.2017,Tractography within white matter of central nervous system,47,0,0
AA5NS,Aivojen hapenkulutuksen PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,NA,0,0,0
AA5PD,Aivojen perfuusio-TT,AA_,3,01.01.2003,31.12.2030,08.02.2017,CT examination of brain pefusion,262,644,906
AA5PS,Aivojen veritilavuuden PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,08.02.2017,Brain SPECT,0,0,0
AA5SN,Aivojen SPET,AA_,3,01.01.2009,31.12.2030,08.02.2017,NA,0,0,0
AA5SP,Aivojen reseptoreiden/transportterien erittäin laaja PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain reseptor or transport protein very extensive PET,0,0,0
AA5TR,Aivotuumoreiden PET-tietokonetomografiatutkimus,AA_,3,01.04.2020,31.12.2030,20.03.2020,NA,0,0,0
AA5XP,Aivojen muu PET,AA_,3,01.01.2009,30.11.2018,08.11.2018,Brain other PET,0,0,0
AA6AA,Kallon saumojen röntgen,AA_,3,01.01.1999,31.12.2030,08.02.2017,Cranial sutures X-ray examination,0,1,0
AA6AD,Kallon luiden tietokonetomografiatutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Cranial bones CT examination,44,10,54
AA6BD,Kallon luiden laaja tietokonetomografiatutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Cranial bones extensive CT examination,0,16,0
AA6CD,Kallon luiden erittäin laaja tietokonetomografiatutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Cranial bones very extensive CT examination,0,1,0
AA6JD,Kallon pyyhkäisykuvaus-TT,AA_,3,01.01.2009,31.12.2030,08.02.2017,Cranial bones CT scout view,0,0,0
AA7AA,Aivonesteyhdystien ja laitteiston röntgen (sunttiröntgen),AA_,3,01.01.1999,31.12.2030,08.02.2017,Liquor cerebri shunt X-ray examinatin without contrast,65,519,584
AA7AN,Aivo-selkäydinnesteen kierron gammakuvaus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Cerebrospinal fluid flow isotope examination,0,0,0
AA7EB,Aivokammiosuntin varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Valvulography or liquor cerebri shunt with contrast,0,0,0
AA8DD,Aivosisternojen TT röntgenpositiivisella varjoaineella,AA_,3,01.01.1999,10.11.2002,12.01.2005,CT of brain cisternas with X-ray positive contrast,0,0,0
AA8ED,Aivosisternojen TT röntgennegatiivisella varjoaineella,AA_,3,01.01.1999,10.11.2002,12.01.2005,CT of brain cisternas with X-ray negative contrast,0,0,0
AA9GE,Keskushermoston leikkauksenaikainen ultraäänitutkimus,AA_,3,01.01.2011,31.12.2030,08.02.2017,NA,0,0,0
AA9XE,Keskushermoston muu UÄ,AA_,3,01.01.1999,31.12.2010,08.02.2017,Other ultrasound examination of central nervous system,0,0,0
AE3CP,Aivojen aktivaation PET,AA_,3,01.01.2009,30.11.2018,11.03.2019,Brain activity PET examination,0,0,0
AE3CR,Aivojen aktivaation PET-tietokonetomografiatutkimus,AA_,3,01.01.2015,31.12.2030,11.03.2019,NA,0,0,0
AR1BS,Aivojen reseptoreiden/transporttereiden laaja PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,11.03.2019,NA,0,0,0
AR1FS,Aivojen reseptoreiden ja transporttereiden PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,11.03.2019,NA,0,0,0
AR1QS,Aivojen reseptoreiden/transporttereiden erittäin laaja PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,11.03.2019,NA,0,0,0
AR1XS,Aivojen reseptoreiden/transporttereiden muu PET-magneettitutkimus,AA_,3,01.01.2014,31.12.2030,11.03.2019,NA,0,0,0
PA2AC,Aivovaltimoiden varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Cerebral angiography with X-ray,175,134,309
PA2AD,Aivovaltimoiden TT-angiografia,AA_,3,01.01.2003,31.12.2030,08.02.2017,CT angiography of brain,163,773,936
PA2AE,Aivojen valtimon ultraäänitutkimus,AA_,3,01.01.2006,31.12.2030,08.02.2017,NA,0,0,0
PA2BC,Aivovaltimoiden laaja varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Cerebral extensive angiography with X-ray,581,6,587
PA2BD,Aivovaltimoiden laaja TT-angiografia,AA_,3,01.01.2003,31.12.2030,08.02.2017,Extensive CT angiography of brain,1201,792,1993
PA2CC,Aivovaltimoiden erittäin laaja varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Cerebral very extensive angiography with X-ray,354,16,370
PA3AC,Karotisvaltimoiden selektiivinen varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Carotis angiography with X-ray,220,1671,1891
PA3DC,Kaulan ja pään valtimon suora pisto ja varjoainetutkimus,AA_,3,01.01.2003,31.12.2010,08.02.2017,Direct puncture and X-ray angiongraphy of artery of head and neck,0,13,0
PA4AC,Nikamavaltimoiden varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Vertebralis angiography with X-ray,79,923,1002
PA5AC,Kasvojen valtimoiden varjoainetutkimus,AA_,3,01.01.1999,31.12.2030,08.02.2017,Angiography of arteries to the face with X-ray,10,446,456
PA7AC,Kaula- ja aivovaltimoiden varjoainetutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Angiography of arteries of neck and brain,0,37,0
PA7AD,Pään ja kaulan verisuonten TT-angiografia,AA_,3,01.01.2017,31.12.2030,05.02.2017,NA,185,246,431
PA7BC,Kaula- ja aivovaltimoiden laaja varjoainetutkimus,AA_,3,01.01.2003,31.12.2030,08.02.2017,Extensive angiography of arteries of neck and brain,0,0,0
PA7BD,Pään ja kaulan verisuonten laaja TT-angiografia,AA_,3,01.01.2009,31.12.2030,08.02.2017,CT angiography of neck and brain,1099,118,1217
PA7BG,Pään ja kaulan verisuonten magneettitutkimus,AA_,3,01.01.2017,31.12.2030,05.02.2017,NA,0,1,0
PA7CC,Kaula- ja aivovaltimoiden erittäin laaja varjoainetutkimus,AA_,3,01.10.2003,31.12.2030,08.02.2017,Very extensive angiography of arteries of neck and brain,126,2,128
PA7CD,Pään ja kaulan verisuonten erittäin laaja TT-angiografia,AA_,3,01.01.2009,31.12.2030,08.02.2017,"CT angiography of neck and brain, extensive",525,1321,1846
PA7CG,Pään ja kaulan verisuonten laaja magneettitutkimus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Extended MRI examination of vessesl in brain and neck with high intensity magnet,69,3,72
PA7CM,"Pään ja kaulan verisuonten laaja magneettitutkimus (yli 1,5T)",AA_,3,01.01.2011,31.12.2016,08.02.2017,NA,0,4,0
PA7DG,Pään ja kaulan verisuonten erittäin laaja magneettitutkimus,AA_,3,01.01.2009,31.12.2030,08.02.2017,Very extended MRI examination of vessesl in brain and neck with high intensity magnet,45,1,46
PA7DM,"Pään ja kaulan verisuonten erittäin laaja magneettitutkimus (yli 1,5T)",AA_,3,01.01.2011,31.12.2016,08.02.2017,NA,0,0,0
AAA,Aivojen tutkimusleikkaukset,AA,2,01.01.1900,31.12.2030,19.10.2012,Diagnostic intracranial procedures,0,0,0
AAA00,Kallon aukaisu tutkimustarkoituksessa,AAA,3,01.01.1900,31.12.2030,05.02.2016,Exploratory craniotomy,13,15,28
AAA10,Koepalan otto poranreiän kautta aivoista,AAA,3,01.01.1900,31.12.2030,05.02.2016,Biopsy through craniotomy,42,103,145
AAA20,Aivokammion paineanturin asettaminen,AAA,3,01.01.1900,31.12.2030,05.02.2016,Insertion of intraventricular pressure monitoring device,25,8,33
AAA25,Epiduraalitilan paineanturin asettaminen,AAA,3,01.01.1900,31.12.2030,05.02.2016,Insertion of epidural pressure monitoring device,0,0,0
AAA27,Aivokudoksen paineanturin asettaminen,AAA,3,01.01.2000,31.12.2030,05.02.2016,Insertion of intracerebral pressure monitoring device,39,65,104
AAA30,Elektrodien asettaminen epiduraalisesti,AAA,3,01.01.1900,31.12.2030,05.02.2016,Insertion of epidural electrodes,0,0,0
AAA35,Elektrodien asettaminen subduraalisesti,AAA,3,01.01.1900,31.12.2030,05.02.2016,Insertion of subdural electrodes,23,0,0
AAA40,Elektrodien asettaminen aivojen sisälle,AAA,3,01.01.1900,31.12.2030,05.02.2016,Insertion of intracerebral electrodes,10,0,0
AAA42,Kallonsisäisten tutkimuselektrodien poisto,AAA,3,01.01.2016,31.12.2030,23.07.2017,NA,0,0,0
AAA50,Aivojen tähystys,AAA,3,01.01.2007,31.12.2030,05.02.2016,Intracranial endoscopy,0,0,0
AAA99,Muu aivojen tutkimusleikkaus,AAA,3,01.01.1900,31.12.2030,05.02.2016,Other diagnostic intracranial procedures,10,3,13
AAB,Aivokasvaimien ja aivomuutosten poistot,AA,2,01.01.1900,31.12.2030,19.10.2012,Excision and destruction of intracranial lesion,0,0,0
AAB00,Aivokasvaimen tai aivomuutoksen poisto,AAB,3,01.01.1900,31.12.2030,05.02.2016,Extirpation of intracranial lesion,864,1281,2145
AAB10,Aivokasvaimen tai aivomuutoksen poisto osittain,AAB,3,01.01.1900,31.12.2030,05.02.2016,Partial excision of intracranial lesion,606,2115,2721
AAB20,Aivokasvaimen tai aivomuutoksen tuhoaminen,AAB,3,01.01.1900,31.12.2030,05.02.2016,Destruction of intracranial lesion,0,0,0
AAB30,Aivotilan spontaanin verihyytymän poisto,AAB,3,01.01.1900,31.12.2030,05.02.2016,Evacuation of spontaneous intracranial haematoma,69,61,130
AAB99,Muu aivokasvaimen tai aivomuutoksen poisto,AAB,3,01.01.1900,31.12.2030,05.02.2016,Other excision or destruction of intracranial lesion,7,2,9
AAC,Aivoverisuonien toimenpiteet,AA,2,01.01.1900,31.12.2030,19.10.2012,Operations for intracranial aneurysm and other vascular lesions,0,0,0
AAC00,Aivovaltimopullistuman kaulan sulkeminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Ligature of intracranial aneurysm,573,76,649
AAC05,Aivovaltimopullistuman syöttävän valtimon sulkeminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Ligature of feeding artery of intracranial aneurysm,0,0,0
AAC10,Aivovaltimopullistuman seinämän vahvistaminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Reinforcement of intracranial aneurysm wall,0,0,0
AAC15,Aivovaltimopullistuman menevän ja tulevan valtimon sulkeminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Trapping of intracranial aneurysm,0,1,0
AAC20,Aivoverisuonen liittäminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Anastomosis to intracranial vessel,0,0,0
AAC30,Aivoverisuonien välisen avanteen tukkiminen,AAC,3,01.01.1900,31.12.2030,05.02.2016,Intracranial occlusion of vascular fistula,6,3,9
AAC40,Aivoverisuoniepämuodostuman poisto,AAC,3,01.01.1900,31.12.2030,05.02.2016,Extirpation of intracranial arterio-venous malformation,36,10,46
AAC99,Muu aivoverisuonileikkaus,AAC,3,01.01.1900,31.12.2030,05.02.2016,Other operation for aneurysm or other intracranial vascular lesion,0,3,0
AAD,Aivo- ja kallovammojen leikkaukset,AA,2,01.01.1900,31.12.2030,19.10.2012,Operations for head injuries,0,0,0
AAD00,"Verihyytymän poisto kovan aivokalvon päältä, epiduraalitilasta",AAD,3,01.01.1900,31.12.2030,05.02.2016,Evacuation of epidural haematoma,45,16,61
AAD05,"Verihyytymän poisto kovan aivokalvon alta, akuutti subduraali",AAD,3,01.01.1900,31.12.2030,05.02.2016,Evacuation of acute subdural haematoma,225,70,295
AAD10,"Verihyytymän poisto kovan aivokalvon alta, krooninen subduraali",AAD,3,01.01.1900,31.12.2030,05.02.2016,Evacuation of chronic subdural haematoma,692,410,1102
AAD12,Kovan aivokalvon alaisen nesteen kanavointi keuhkopussiin tai vatsaonteloon,AAD,3,01.01.1997,31.12.2030,05.02.2016,Drainage of subdural fluid,32,125,157
AAD15,Aivokudoksen verihyytymän tai ruhjeen poisto,AAD,3,01.01.1900,31.12.2030,05.02.2016,Evacuation of traumatic intracerebral haematoma,68,54,122
AAD16,Kovan aivokalvon alaisen laskuputken poisto,AAD,3,01.01.1997,31.12.2030,05.02.2016,Removal of subdural drainage,0,0,0
AAD30,Kallon lävistävän vamman tarkistamisleikkaus,AAD,3,01.01.1900,31.12.2030,05.02.2016,Revision of penetrating or perforating injury of skull,12,0,0
AAD40,Kallon painumismurtuman nosto,AAD,3,01.01.1900,31.12.2030,05.02.2016,Revision of fracture of skull,11,1,12
AAD42,Frontobasaalisen murtuman hoito,AAD,3,01.01.1900,31.12.2030,05.02.2016,Treatment of frontobasal fracture of skull,0,1,0
AAD99,Muu aivo- tai kallovamman leikkaus,AAD,3,01.01.1900,31.12.2030,05.02.2016,Other operation for head injury,0,2,0
AAE,Kallonpohjan kautta tehtävät leikkaukset,AA,2,01.01.1900,31.12.2030,19.10.2012,Operations by cranial base approach,0,0,0
AAE00,Tutkimusleikkaus transsphenoidaalisesti,AAE,3,01.01.1900,31.12.2030,05.02.2016,Transsphenoidal exploration,0,5,0
AAE05,Aivonesteavanteen tukkiminen endoskooppisesti nenän kautta,AAE,3,01.01.2012,31.12.2030,19.02.2018,Nasoendoscopic closure of cerebrospinal fluid fistula,0,7,0
AAE10,Kudoksen poistaminen transsfenoidaalisesti,AAE,3,01.01.1900,31.12.2030,05.02.2016,Transsphenoidal total or partial excision of intracranial lesion,291,288,579
AAE20,"Kudoksen poistaminen transklivaalisesti, suun kautta",AAE,3,01.01.1900,31.12.2030,05.02.2016,Transoral total or partial excision of intracranial lesion,0,2,0
AAE25,"Kudoksen poistaminen kallon sisältä transkervikaalisesti, kaulan kautta",AAE,3,01.01.2000,31.12.2030,05.02.2016,Transcervical total or partial excision of intracranial lesion,0,0,0
AAE30,Kudoksen poistaminen translabyrintaarisesti,AAE,3,01.01.1900,31.12.2030,05.02.2016,Translabyrinthine total or partial excision of intracranial lesion,0,0,0
AAE32,Akustikusneurinooman poisto translabyrintaarisesti,AAE,3,01.01.1900,31.12.2030,05.02.2016,Translabyrinthine excision acoustic neurinome,22,0,0
AAE34,Kuulo- tai tasapainohermoon kohdistuva muu leikkaus,AAE,3,01.01.1900,31.12.2030,05.02.2016,Other operations on acoustical nerv,13,484,497
AAE40,Kudoksen poistaminen transtemporaalisesti,AAE,3,01.01.1997,31.12.2030,05.02.2016,Transtemporal total or partial excision of intracranial lesion,0,3,0
