concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
45538350,Polyp of middle ear,Condition,ICD10,ICD10 code,NA,H74.4,1990-05-01,2099-12-31,NA
45538354,Vertigo of central origin,Condition,ICD10,ICD10 code,NA,H81.4,1990-05-01,2099-12-31,NA
45538357,Labyrinthine dysfunction,Condition,ICD10,ICD10 code,NA,H83.2,1990-05-01,2099-12-31,NA
45538366,Rheumatic chorea with heart involvement,Condition,ICD10,ICD10 code,NA,I02.0,1990-05-01,2099-12-31,NA
45538367,Other specified rheumatic heart diseases,Condition,ICD10,ICD10 code,NA,I09.8,1990-05-01,2099-12-31,NA
45538369,Hypertensive heart disease with (congestive) heart failure,Condition,ICD10,ICD10 code,NA,I11.0,1990-05-01,2099-12-31,NA
45538370,Acute myocardial infarction,Condition,ICD10,ICD10 Hierarchy,NA,I21,1990-05-01,2099-12-31,NA
45538371,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,Condition,ICD10,ICD10 code,NA,I23.3,1990-05-01,2099-12-31,NA
45538372,"Acute ischaemic heart disease, unspecified",Condition,ICD10,ICD10 code,NA,I24.9,1990-05-01,2099-12-31,NA
45538378,"Acute endocarditis, unspecified",Condition,ICD10,ICD10 code,NA,I33.9,1990-05-01,2099-12-31,NA
45538379,Pulmonary valve stenosis with insufficiency,Condition,ICD10,ICD10 code,NA,I37.2,1990-05-01,2099-12-31,NA
45538380,Isolated myocarditis,Condition,ICD10,ICD10 code,NA,I40.1,1990-05-01,2099-12-31,NA
45538381,Myocarditis in viral diseases classified elsewhere,Condition,ICD10,ICD10 code,NA,I41.1,1990-05-01,2099-12-31,NA
45538382,Obstructive hypertrophic cardiomyopathy,Condition,ICD10,ICD10 code,NA,I42.1,1990-05-01,2099-12-31,NA
45538384,Paroxysmal tachycardia,Condition,ICD10,ICD10 Hierarchy,NA,I47,1990-05-01,2099-12-31,NA
45538385,Typical atrial flutter,Condition,ICD10,ICD10 code,NA,I48.3,2013-01-01,2099-12-31,NA
45538386,Ventricular premature depolarization,Condition,ICD10,ICD10 code,NA,I49.3,1990-05-01,2099-12-31,NA
45538391,Other subarachnoid haemorrhage,Condition,ICD10,ICD10 code,NA,I60.8,1990-05-01,2099-12-31,NA
45538393,Cerebral infarction due to thrombosis of precerebral arteries,Condition,ICD10,ICD10 code,NA,I63.0,1990-05-01,2099-12-31,NA
45538398,"Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction",Condition,ICD10,ICD10 Hierarchy,NA,I66,1990-05-01,2099-12-31,NA
45533792,Loose body in joint,Condition,ICD10,ICD10 code,NA,M24.0,1990-05-01,2099-12-31,NA
45533800,Contracture of joint,Condition,ICD10,ICD10 code,NA,M24.5,1990-05-01,2099-12-31,NA
45533803,Ankylosis of joint,Condition,ICD10,ICD10 code,NA,M24.6,1990-05-01,2099-12-31,NA
45533823,Polyarteritis nodosa,Condition,ICD10,ICD10 code,NA,M30.0,1990-05-01,2099-12-31,NA
45533824,Thrombotic microangiopathy,Condition,ICD10,ICD10 code,NA,M31.1,1990-05-01,2099-12-31,NA
45533825,Systemic lupus erythematosus,Condition,ICD10,ICD10 Hierarchy,NA,M32,1990-05-01,2099-12-31,NA
45533826,Drug-induced systemic lupus erythematosus,Condition,ICD10,ICD10 code,NA,M32.0,1990-05-01,2099-12-31,NA
45533828,"Systemic sclerosis, unspecified",Condition,ICD10,ICD10 code,NA,M34.9,1990-05-01,2099-12-31,NA
45533830,Polymyalgia rheumatica,Condition,ICD10,ICD10 code,NA,M35.3,1990-05-01,2099-12-31,NA
45533831,Arthropathy in hypersensitivity reactions classified elsewhere,Condition,ICD10,ICD10 code,NA,M36.4,1990-05-01,2099-12-31,NA
45532807,Other salmonella infections,Condition,ICD10,ICD10 Hierarchy,NA,A02,1990-05-01,2099-12-31,NA
45532809,Other bacterial intestinal infections,Condition,ICD10,ICD10 Hierarchy,NA,A04,1990-05-01,2099-12-31,NA
45532810,Enteropathogenic Escherichia coli infection,Condition,ICD10,ICD10 code,NA,A04.0,1990-05-01,2099-12-31,NA
45532811,Enteroinvasive Escherichia coli infection,Condition,ICD10,ICD10 code,NA,A04.2,1990-05-01,2099-12-31,NA
45532812,Amoebiasis,Condition,ICD10,ICD10 Hierarchy,NA,A06,1990-05-01,2099-12-31,NA
45532813,Amoebic nondysenteric colitis,Condition,ICD10,ICD10 code,NA,A06.2,1990-05-01,2099-12-31,NA
45532814,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Condition,ICD10,ICD10 code,NA,A15.0,1990-05-01,2099-12-31,NA
45532816,Other tuberculosis of nervous system,Condition,ICD10,ICD10 code,NA,A17.8,1990-05-01,2099-12-31,NA
45532817,Tuberculosis of genitourinary system,Condition,ICD10,ICD10 code,NA,A18.1,1990-05-01,2099-12-31,NA
45532818,"Tuberculosis of intestines, peritoneum and mesenteric glands",Condition,ICD10,ICD10 code,NA,A18.3,1990-05-01,2099-12-31,NA
45532820,Other forms of anthrax,Condition,ICD10,ICD10 code,NA,A22.8,1990-05-01,2099-12-31,NA
45532821,Brucellosis,Condition,ICD10,ICD10 Hierarchy,NA,A23,1990-05-01,2099-12-31,NA
45532822,Spirillosis,Condition,ICD10,ICD10 code,NA,A25.0,1990-05-01,2099-12-31,NA
45532823,"Rat-bite fever, unspecified",Condition,ICD10,ICD10 code,NA,A25.9,1990-05-01,2099-12-31,NA
45532824,Erysipelothrix sepsis,Condition,ICD10,ICD10 code,NA,A26.7,1990-05-01,2099-12-31,NA
45532825,Other forms of leptospirosis,Condition,ICD10,ICD10 code,NA,A27.8,1990-05-01,2099-12-31,NA
45532829,Pharyngeal diphtheria,Condition,ICD10,ICD10 code,NA,A36.0,1990-05-01,2099-12-31,NA
45540741,Injury of sciatic nerve at hip and thigh level,Condition,ICD10,ICD10 code,NA,S74.0,1990-05-01,2099-12-31,NA
45539269,Congenital malformations of great veins,Condition,ICD10,ICD10 Hierarchy,NA,Q26,1990-05-01,2099-12-31,NA
45539270,Peripheral arteriovenous malformation,Condition,ICD10,ICD10 code,NA,Q27.3,1990-05-01,2099-12-31,NA
45539271,Congenital bronchomalacia,Condition,ICD10,ICD10 code,NA,Q32.2,1990-05-01,2099-12-31,NA
45539272,Congenital stenosis of bronchus,Condition,ICD10,ICD10 code,NA,Q32.3,1990-05-01,2099-12-31,NA
45539273,Cleft palate,Condition,ICD10,ICD10 Hierarchy,NA,Q35,1990-05-01,2099-12-31,NA
45539274,Cleft hard palate,Condition,ICD10,ICD10 code,NA,Q35.1,1990-05-01,2099-12-31,NA
45539275,Congenital malformations of salivary glands and ducts,Condition,ICD10,ICD10 code,NA,Q38.4,1990-05-01,2099-12-31,NA
45539276,"Congenital absence, atresia and stenosis of ileum",Condition,ICD10,ICD10 code,NA,Q41.2,1990-05-01,2099-12-31,NA
45539277,"Congenital absence, atresia and stenosis of large intestine, part unspecified",Condition,ICD10,ICD10 code,NA,Q42.9,1990-05-01,2099-12-31,NA
45539278,Other congenital malformations of pancreas and pancreatic duct,Condition,ICD10,ICD10 code,NA,Q45.3,1990-05-01,2099-12-31,NA
45539279,Congenital absence of ovary,Condition,ICD10,ICD10 code,NA,Q50.0,1990-05-01,2099-12-31,NA
45539281,Congenital fistulae between uterus and digestive and urinary tracts,Condition,ICD10,ICD10 code,NA,Q51.7,1990-05-01,2099-12-31,NA
45539283,Other hypospadias,Condition,ICD10,ICD10 code,NA,Q54.8,1990-05-01,2099-12-31,NA
45539284,"Indeterminate sex, unspecified",Condition,ICD10,ICD10 code,NA,Q56.4,1990-05-01,2099-12-31,NA
45539285,"Renal agenesis, bilateral",Condition,ICD10,ICD10 code,NA,Q60.1,1990-05-01,2099-12-31,NA
45539286,"Renal hypoplasia, bilateral",Condition,ICD10,ICD10 code,NA,Q60.4,1990-05-01,2099-12-31,NA
45539287,"Renal hypoplasia, unspecified",Condition,ICD10,ICD10 code,NA,Q60.5,1990-05-01,2099-12-31,NA
45539288,Ectopic kidney,Condition,ICD10,ICD10 code,NA,Q63.2,1990-05-01,2099-12-31,NA
45539290,Talipes equinovarus,Condition,ICD10,ICD10 code,NA,Q66.0,1990-05-01,2099-12-31,NA
45539291,Other congenital varus deformities of feet,Condition,ICD10,ICD10 code,NA,Q66.3,1990-05-01,2099-12-31,NA
45539292,"Congenital deformity of feet, unspecified",Condition,ICD10,ICD10 code,NA,Q66.9,1990-05-01,2099-12-31,NA
45539297,"Reduction defect of upper limb, unspecified",Condition,ICD10,ICD10 code,NA,Q71.9,1990-05-01,2099-12-31,NA
45539300,Longitudinal reduction defect of tibia,Condition,ICD10,ICD10 code,NA,Q72.5,1990-05-01,2099-12-31,NA
45539303,Oculomandibular dysostosis,Condition,ICD10,ICD10 code,NA,Q75.5,1990-05-01,2099-12-31,NA
45539304,Congenital malformations of spine and bony thorax,Condition,ICD10,ICD10 Hierarchy,NA,Q76,1990-05-01,2099-12-31,NA
45539306,Achondrogenesis,Condition,ICD10,ICD10 code,NA,Q77.0,1990-05-01,2099-12-31,NA
45539307,Thanatophoric short stature,Condition,ICD10,ICD10 code,NA,Q77.1,1990-05-01,2099-12-31,NA
45539308,"Epidermolysis bullosa, unspecified",Condition,ICD10,ICD10 code,NA,Q81.9,1990-05-01,2099-12-31,NA
45539309,Accessory breast,Condition,ICD10,ICD10 code,NA,Q83.1,1990-05-01,2099-12-31,NA
45539310,Marfan syndrome,Condition,ICD10,ICD10 code,NA,Q87.4,1990-05-01,2099-12-31,NA
45539311,"Edwards syndrome, unspecified",Condition,ICD10,ICD10 code,NA,Q91.3,1990-05-01,2099-12-31,NA
45539312,Balanced autosomal rearrangement in abnormal individual,Condition,ICD10,ICD10 code,NA,Q95.2,1990-05-01,2099-12-31,NA
45539313,"Bradycardia, unspecified",Condition,ICD10,ICD10 code,NA,R00.1,1990-05-01,2099-12-31,NA
45539316,Pleurisy,Condition,ICD10,ICD10 code,NA,R09.1,1990-05-01,2099-12-31,NA
45539317,Nausea and vomiting,Condition,ICD10,ICD10 Hierarchy,NA,R11,1990-05-01,2099-12-31,NA
45539318,Heartburn,Condition,ICD10,ICD10 Hierarchy,NA,R12,1990-05-01,2099-12-31,NA
45539322,"Splenomegaly, not elsewhere classified",Condition,ICD10,ICD10 code,NA,R16.1,1990-05-01,2099-12-31,NA
45539325,"Localized swelling, mass and lump, multiple sites",Condition,ICD10,ICD10 code,NA,R22.7,1990-05-01,2099-12-31,NA
45539326,Spontaneous ecchymoses,Condition,ICD10,ICD10 code,NA,R23.3,1990-05-01,2099-12-31,NA
45539327,"Tremor, unspecified",Condition,ICD10,ICD10 code,NA,R25.1,1990-05-01,2099-12-31,NA
45539329,"Ataxia, unspecified",Condition,ICD10,ICD10 code,NA,R27.0,1990-05-01,2099-12-31,NA
45539331,Polyuria,Condition,ICD10,ICD10 Hierarchy,NA,R35,1990-05-01,2099-12-31,NA
45534723,Sprain and strain of ribs and sternum,Condition,ICD10,ICD10 code,NA,S23.4,1990-05-01,2099-12-31,NA
45535417,Contusion of finger(s) without damage to nail,Condition,ICD10,ICD10 code,NA,S60.0,1990-05-01,2099-12-31,NA
45533846,"Inflammatory spondylopathy, unspecified",Condition,ICD10,ICD10 code,NA,M46.9,1990-05-01,2099-12-31,NA
45533847,Anterior spinal and vertebral artery compression syndromes,Condition,ICD10,ICD10 code,NA,M47.0,1990-05-01,2099-12-31,NA
45534740,Traumatic haemothorax,Condition,ICD10,ICD10 code,NA,S27.1,1990-05-01,2099-12-31,NA
45532830,Laryngeal diphtheria,Condition,ICD10,ICD10 code,NA,A36.2,1990-05-01,2099-12-31,NA
45532831,Other sepsis,Condition,ICD10,ICD10 Hierarchy,NA,A41,1990-05-01,2099-12-31,NA
45532832,Sepsis due to Staphylococcus aureus,Condition,ICD10,ICD10 code,NA,A41.0,1990-05-01,2099-12-31,NA
45532834,Actinomycosis,Condition,ICD10,ICD10 Hierarchy,NA,A42,1990-05-01,2099-12-31,NA
45532835,Pulmonary actinomycosis,Condition,ICD10,ICD10 code,NA,A42.0,1990-05-01,2099-12-31,NA
45532836,Pulmonary nocardiosis,Condition,ICD10,ICD10 code,NA,A43.0,1990-05-01,2099-12-31,NA
45532837,Cutaneous and mucocutaneous bartonellosis,Condition,ICD10,ICD10 code,NA,A44.1,1990-05-01,2099-12-31,NA
45532838,Nonpneumonic Legionnaires disease [Pontiac fever],Condition,ICD10,ICD10 code,NA,A48.2,1990-05-01,2099-12-31,NA
45532840,"Late congenital syphilis, unspecified",Condition,ICD10,ICD10 code,NA,A50.7,1990-05-01,2099-12-31,NA
45532841,Early syphilis,Condition,ICD10,ICD10 Hierarchy,NA,A51,1990-05-01,2099-12-31,NA
45532843,Other symptomatic late syphilis,Condition,ICD10,ICD10 code,NA,A52.7,1990-05-01,2099-12-31,NA
45532844,"Latent syphilis, unspecified as early or late",Condition,ICD10,ICD10 code,NA,A53.0,1990-05-01,2099-12-31,NA
45532847,Granuloma inguinale,Condition,ICD10,ICD10 Hierarchy,NA,A58,1990-05-01,2099-12-31,NA
45532848,Unspecified sexually transmitted disease,Condition,ICD10,ICD10 Hierarchy,NA,A64,1990-05-01,2099-12-31,NA
45532849,Gummata and ulcers of yaws,Condition,ICD10,ICD10 code,NA,A66.4,1990-05-01,2099-12-31,NA
45532851,Acute poliomyelitis,Condition,ICD10,ICD10 Hierarchy,NA,A80,1990-05-01,2099-12-31,NA
45532852,Atypical virus infections of central nervous system,Condition,ICD10,ICD10 Hierarchy,NA,A81,1990-05-01,2099-12-31,NA
45532853,Creutzfeldt-Jakob disease,Condition,ICD10,ICD10 code,NA,A81.0,1990-05-01,2099-12-31,NA
45532854,"Rabies, unspecified",Condition,ICD10,ICD10 code,NA,A82.9,1990-05-01,2099-12-31,NA
45532855,Central European tick-borne encephalitis,Condition,ICD10,ICD10 code,NA,A84.1,1990-05-01,2099-12-31,NA
45532856,Other tick-borne viral encephalitis,Condition,ICD10,ICD10 code,NA,A84.8,1990-05-01,2099-12-31,NA
45532857,Chikungunya virus disease,Condition,ICD10,ICD10 code,NA,A92.0,1990-05-01,2099-12-31,NA
45532858,Rift Valley fever,Condition,ICD10,ICD10 code,NA,A92.4,1990-05-01,2099-12-31,NA
45532859,"Yellow fever, unspecified",Condition,ICD10,ICD10 code,NA,A95.9,1990-05-01,2099-12-31,NA
45532860,Ebola virus disease,Condition,ICD10,ICD10 code,NA,A98.4,1990-05-01,2099-12-31,NA
45532861,Haemorrhagic fever with renal syndrome,Condition,ICD10,ICD10 code,NA,A98.5,1990-05-01,2099-12-31,NA
45532862,Measles with intestinal complications,Condition,ICD10,ICD10 code,NA,B05.4,1990-05-01,2099-12-31,NA
45532863,Viral warts,Condition,ICD10,ICD10 Hierarchy,NA,B07,1990-05-01,2099-12-31,NA
45532866,Unspecified viral infection characterized by skin and mucous membrane lesions,Condition,ICD10,ICD10 Hierarchy,NA,B09,1990-05-01,2099-12-31,NA
45533869,Myositis,Condition,ICD10,ICD10 Hierarchy,NA,M60,1990-05-01,2099-12-31,NA
45533888,Other specified disorders of muscle,Condition,ICD10,ICD10 code,NA,M62.8,1990-05-01,2099-12-31,NA
45532867,HIV disease resulting in unspecified malignant neoplasm,Condition,ICD10,ICD10 code,NA,B21.9,1990-05-01,2099-12-31,NA
45532868,HIV disease resulting in (persistent) generalized lymphadenopathy,Condition,ICD10,ICD10 code,NA,B23.1,1990-05-01,2099-12-31,NA
45532869,Gammaherpesviral mononucleosis,Condition,ICD10,ICD10 code,NA,B27.0,1990-05-01,2099-12-31,NA
45532872,"Viral conjunctivitis, unspecified",Condition,ICD10,ICD10 code,NA,B30.9,1990-05-01,2099-12-31,NA
45532873,"Papovavirus infection, unspecified site",Condition,ICD10,ICD10 code,NA,B34.4,1990-05-01,2099-12-31,NA
45532874,Other superficial mycoses,Condition,ICD10,ICD10 Hierarchy,NA,B36,1990-05-01,2099-12-31,NA
45532875,Acute pulmonary coccidioidomycosis,Condition,ICD10,ICD10 code,NA,B38.0,1990-05-01,2099-12-31,NA
45532876,Chronic pulmonary coccidioidomycosis,Condition,ICD10,ICD10 code,NA,B38.1,1990-05-01,2099-12-31,NA
45532877,Cutaneous blastomycosis,Condition,ICD10,ICD10 code,NA,B40.3,1990-05-01,2099-12-31,NA
45532878,Disseminated paracoccidioidomycosis,Condition,ICD10,ICD10 code,NA,B41.7,1990-05-01,2099-12-31,NA
45532879,"Mycetoma, unspecified",Condition,ICD10,ICD10 code,NA,B47.9,1990-05-01,2099-12-31,NA
45532880,Plasmodium malariae malaria with other complications,Condition,ICD10,ICD10 code,NA,B52.8,1990-05-01,2099-12-31,NA
45532882,Toxoplasmosis with other organ involvement,Condition,ICD10,ICD10 code,NA,B58.8,1990-05-01,2099-12-31,NA
45532885,Filariasis,Condition,ICD10,ICD10 Hierarchy,NA,B74,1990-05-01,2099-12-31,NA
45532886,Other filariases,Condition,ICD10,ICD10 code,NA,B74.8,1990-05-01,2099-12-31,NA
45540776,Traumatic amputation at hip joint,Condition,ICD10,ICD10 code,NA,S78.0,1990-05-01,2099-12-31,NA
45536135,Fractures of other parts of lower leg,Condition,ICD10,ICD10 code,NA,S82.8,1990-05-01,2099-12-31,NA
45533890,Synovitis and tenosynovitis,Condition,ICD10,ICD10 Hierarchy,NA,M65,1990-05-01,2099-12-31,NA
45533902,Spontaneous rupture of other tendons,Condition,ICD10,ICD10 code,NA,M66.4,1990-05-01,2099-12-31,NA
45533918,Bursitis of hand,Condition,ICD10,ICD10 code,NA,M70.1,1990-05-01,2099-12-31,NA
45532887,Trichuriasis,Condition,ICD10,ICD10 Hierarchy,NA,B79,1990-05-01,2099-12-31,NA
45532888,Trichostrongyliasis,Condition,ICD10,ICD10 code,NA,B81.2,1990-05-01,2099-12-31,NA
45532889,Cutaneous myiasis,Condition,ICD10,ICD10 code,NA,B87.0,1990-05-01,2099-12-31,NA
45532891,Malignant neoplasm: Anterior floor of mouth,Condition,ICD10,ICD10 code,NA,C04.0,1990-05-01,2099-12-31,NA
45532892,Malignant neoplasm: Vallecula,Condition,ICD10,ICD10 code,NA,C10.0,1990-05-01,2099-12-31,NA
45532893,Malignant neoplasm of stomach,Condition,ICD10,ICD10 Hierarchy,NA,C16,1990-05-01,2099-12-31,NA
45532894,Malignant neoplasm: Pylorus,Condition,ICD10,ICD10 code,NA,C16.4,1990-05-01,2099-12-31,NA
45532895,Malignant neoplasm: Overlapping lesion of small intestine,Condition,ICD10,ICD10 code,NA,C17.8,1990-05-01,2099-12-31,NA
45532896,Malignant neoplasm: Cloacogenic zone,Condition,ICD10,ICD10 code,NA,C21.2,1990-05-01,2099-12-31,NA
45532897,Malignant neoplasm of liver and intrahepatic bile ducts,Condition,ICD10,ICD10 Hierarchy,NA,C22,1990-05-01,2099-12-31,NA
45532898,"Malignant neoplasm: Intestinal tract, part unspecified",Condition,ICD10,ICD10 code,NA,C26.0,1990-05-01,2099-12-31,NA
45532900,Malignant neoplasm: Scapula and long bones of upper limb,Condition,ICD10,ICD10 code,NA,C40.0,1990-05-01,2099-12-31,NA
45532901,Malignant neoplasm: Short bones of upper limb,Condition,ICD10,ICD10 code,NA,C40.1,1990-05-01,2099-12-31,NA
45532902,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder",Condition,ICD10,ICD10 code,NA,C43.6,1990-05-01,2099-12-31,NA
45532903,"Malignant neoplasm: Skin of eyelid, including canthus",Condition,ICD10,ICD10 code,NA,C44.1,1990-05-01,2099-12-31,NA
45532906,Malignant neoplasm: Skin of scalp and neck,Condition,ICD10,ICD10 code,NA,C44.4,1990-05-01,2099-12-31,NA
45532913,Malignant neoplasm: Overlapping lesion of breast,Condition,ICD10,ICD10 code,NA,C50.8,1990-05-01,2099-12-31,NA
45532914,Malignant neoplasm: Isthmus uteri,Condition,ICD10,ICD10 code,NA,C54.0,1990-05-01,2099-12-31,NA
45532917,Malignant neoplasm: Undescended testis,Condition,ICD10,ICD10 code,NA,C62.0,1990-05-01,2099-12-31,NA
45532918,"Malignant neoplasm: Testis, unspecified",Condition,ICD10,ICD10 code,NA,C62.9,1990-05-01,2099-12-31,NA
45532922,Malignant neoplasm: Other specified male genital organs,Condition,ICD10,ICD10 code,NA,C63.7,1990-05-01,2099-12-31,NA
45532924,Malignant neoplasm: Overlapping lesion of bladder,Condition,ICD10,ICD10 code,NA,C67.8,1990-05-01,2099-12-31,NA
45532925,Malignant neoplasm: Urethra,Condition,ICD10,ICD10 code,NA,C68.0,1990-05-01,2099-12-31,NA
45532929,"Malignant neoplasm: Meninges, unspecified",Condition,ICD10,ICD10 code,NA,C70.9,1990-05-01,2099-12-31,NA
45532930,Malignant neoplasm of brain,Condition,ICD10,ICD10 Hierarchy,NA,C71,1990-05-01,2099-12-31,NA
45532931,Malignant neoplasm: Overlapping lesion of brain,Condition,ICD10,ICD10 code,NA,C71.8,1990-05-01,2099-12-31,NA
45532933,Malignant neoplasm: Pituitary gland,Condition,ICD10,ICD10 code,NA,C75.1,1990-05-01,2099-12-31,NA
45532934,Malignant neoplasm: Aortic body and other paraganglia,Condition,ICD10,ICD10 code,NA,C75.5,1990-05-01,2099-12-31,NA
45533931,Adhesive capsulitis of shoulder,Condition,ICD10,ICD10 code,NA,M75.0,1990-05-01,2099-12-31,NA
45533938,Residual foreign body in soft tissue,Condition,ICD10,ICD10 code,NA,M79.5,1990-05-01,2099-12-31,NA
45532935,"Malignant neoplasm of other and ill-defined sites: Head, face and neck",Condition,ICD10,ICD10 code,NA,C76.0,1990-05-01,2099-12-31,NA
45532936,Secondary malignant neoplasm of mediastinum,Condition,ICD10,ICD10 code,NA,C78.1,1990-05-01,2099-12-31,NA
