CodeId,ShortName,LongName,ParentId,HierarchyLevel,BeginningDate,ExpiringDate,Code1,Code2,English_name,ICD10who_code,exists_in_ICD10who,ICD10who_name,English_name_match_level,ICD10who_match_level
A04.5,Kampylobakt. suolitulehdus,Kampylobakteerin aiheuttama suolitulehdus,A04,3,1900-01-01,2020-12-31,A04.5,NA,Campylobacter enteritis,A04.5,TRUE,Campylobacter enteritis,0,match_exactly
A04.6,Yersinia enteroc. suolitul.,Yersinia enterocolitican aiheuttama suolitulehdus,A04,3,1900-01-01,2020-12-31,A04.6,NA,Enteritis due to Yersinia enterocolitica,A04.6,TRUE,Enteritis due to Yersinia enterocolitica,0,match_exactly
A04.6+M03.2,Yersinia enterok.reakt.artriit,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,A04,3,1900-01-01,2020-12-31,A04.6,M03.2,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,A04.6,FALSE,Enteritis due to Yersinia enterocolitica,NA,match_first_code
A04.7,Clost. diff. suolitulehdus,Clostridium difficilen aiheuttama ohut- ja paksusuolen tulehdus,A04,3,1900-01-01,2020-12-31,A04.7,NA,Enterocolitis due to Clostridium difficile,A04.7,TRUE,Enterocolitis due to Clostridium difficile,0,match_exactly
A04.8,Muut määr. bakt. suolistoinf.,Muu bakteeriperäinen suolistoinfektio,A04,3,1900-01-01,2020-12-31,A04.8,NA,Other specified bacterial intestinal infections,A04.8,TRUE,Other specified bacterial intestinal infections,0,match_exactly
A04.9,Bakt. suolistoinf. NAS,Määrittämätön bakteeriperäinen suolistoinfektio,A04,3,1900-01-01,2020-12-31,A04.9,NA,"Bacterial intestinal infection, unspecified",A04.9,TRUE,"Bacterial intestinal infection, unspecified",0,match_exactly
A05,Muut bakt.ruokamyrkytykset,"Muut, muualla luokittelemattomat bakteerien aiheuttamat ruokamyrkytykset",A00-A09,2,1900-01-01,2020-12-31,A05,NA,"Other bacterial foodborn intoxications, not elsewhere classified",A05,TRUE,"Other bacterial foodborne intoxications, not elsewhere classified",1,match_exactly
A05.0,Stafylokokin ruokamyrkytys,Stafylokokin aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.0,NA,Foodborne staphylococcal intoxication,A05.0,TRUE,Foodborne staphylococcal intoxication,0,match_exactly
A05.1,Botulismi,Botulismi,A05,3,1900-01-01,2020-12-31,A05.1,NA,Botulism,A05.1,TRUE,Botulism,0,match_exactly
A05.2,Clostr. perf. ruokamyrkytys,Clostridium perfringens (Clostridium welchii) -bakteerin aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.2,NA,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,A05.2,TRUE,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0,match_exactly
A05.3,Vibrio parahaemol. ruokamyrk.,Vibrio parahaemolyticus -bakteerin aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.3,NA,Foodborne Vibrio parahaemolyticus intoxication,A05.3,TRUE,Foodborne Vibrio parahaemolyticus intoxication,0,match_exactly
A05.4,Bacillus cereus ruokamyrkytys,Bacillus cereus -bakteerin aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.4,NA,Foodborne Bacillus cereus intoxication,A05.4,TRUE,Foodborne Bacillus cereus intoxication,0,match_exactly
A05.8,Muu määr. bakt. ruokamyrk.,Muu bakteerien aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.8,NA,Other specified bacterial foodborne intoxications,A05.8,TRUE,Other specified bacterial foodborne intoxications,0,match_exactly
A05.9,Bakt. ruokamyrkytys NAS,Määrittämätön bakteerin aiheuttama ruokamyrkytys,A05,3,1900-01-01,2020-12-31,A05.9,NA,"Bacterial foodborne intoxication, unspecified",A05.9,TRUE,"Bacterial foodborne intoxication, unspecified",0,match_exactly
A06,Amebiaasi,Amebiaasi,A00-A09,2,1900-01-01,2020-12-31,A06,NA,Amoebiasis,A06,TRUE,Amoebiasis,0,match_exactly
A06.0,Akuutti amebiaasi,Akuutti amebiaasi,A06,3,1900-01-01,2020-12-31,A06.0,NA,Acute amoebic dysentery,A06.0,TRUE,Acute amoebic dysentery,0,match_exactly
A06.1,Pitkäaik. suolistoamebiaasi,Pitkäaikainen suolistoamebiaasi,A06,3,1900-01-01,2020-12-31,A06.1,NA,Chronic intestinal amoebiasis,A06.1,TRUE,Chronic intestinal amoebiasis,0,match_exactly
A06.2,"Amebakoliitti, ei dysenteriaa",Ameban aiheuttama koliitti ilman dysenteriaa,A06,3,1900-01-01,2020-12-31,A06.2,NA,Amoebic nondysenteric colitis,A06.2,TRUE,Amoebic nondysenteric colitis,0,match_exactly
A06.3,Suolen amebooma,Suolen amebooma,A06,3,1900-01-01,2020-12-31,A06.3,NA,Amoeboma of intestine,A06.3,TRUE,Amoeboma of intestine,0,match_exactly
A06.4,Ameban aiheuttama maksapaise,Ameban aiheuttama maksapaise,A06,3,1900-01-01,2020-12-31,A06.4,NA,Amoebic liver abscess,A06.4,TRUE,Amoebic liver abscess,0,match_exactly
A06.5,"Ameba, keuhko- ja maksapaise",Ameba keuhkopaiseen syynä,A06,3,1900-01-01,2020-12-31,A06.5,NA,NA,A06.5,TRUE,Amoebic lung abscess,NA,match_exactly
A06.5+J99.8,Ameban aiheuttama keuhkopaise,Ameban aiheuttama keuhkopaise,A06,3,1900-01-01,2020-12-31,A06.5,J99.8,Amoebic lung abscess,A06.5,FALSE,Amoebic lung abscess,NA,match_first_code
A06.6,"Ameba, aivopaise",Ameba aivopaiseen syynä,A06,3,1900-01-01,2020-12-31,A06.6,NA,NA,A06.6,TRUE,Amoebic brain abscess,NA,match_exactly
A06.6+G07,Ameban aiheuttama aivopaise,Ameban aiheuttama aivopaise,A06,3,1900-01-01,2020-12-31,A06.6,G07,Amoebic brain abscess,A06.6,FALSE,Amoebic brain abscess,NA,match_first_code
A06.7,Ihoamebiaasi,Ihoamebiaasi,A06,3,1900-01-01,2020-12-31,A06.7,NA,Cutaneous amoebiasis,A06.7,TRUE,Cutaneous amoebiasis,0,match_exactly
A06.8,Muu määritetty amebiaasi,Muu amebiaasi,A06,3,1900-01-01,2020-12-31,A06.8,NA,Amoebic infection of other sites,A06.8,TRUE,Amoebic infection of other sites,0,match_exactly
A06.8+N51.2,Ameban aih. terskatulehd,Ameban aiheuttama terskatulehdus,A06,3,1900-01-01,2020-12-31,A06.8,N51.2,Amoebic balanitis+,A06.8,FALSE,Amoebic infection of other sites,NA,match_first_code
A06.9,Määrittämätön amebiaasi,Määrittämätön amebiaasi,A06,3,1900-01-01,2020-12-31,A06.9,NA,"Amoebiasis, unspecified",A06.9,TRUE,"Amoebiasis, unspecified",0,match_exactly
A07,Muut suoliston alkueläintaudit,Muut suoliston alkueläintaudit,A00-A09,2,1900-01-01,2020-12-31,A07,NA,Other protozoal intestinal diseases,A07,TRUE,Other protozoal intestinal diseases,0,match_exactly
A07.0,Balantidiaasi,Balantidiaasi,A07,3,1900-01-01,2020-12-31,A07.0,NA,Balantidiasis,A07.0,TRUE,Balantidiasis,0,match_exactly
A07.1,Giardiaasi,Giardiaasi,A07,3,1900-01-01,2020-12-31,A07.1,NA,Giardiasis [lambliasis],A07.1,TRUE,Giardiasis [lambliasis],0,match_exactly
A07.2,Kryptosporidioosi,Kryptosporidioosi,A07,3,1900-01-01,2020-12-31,A07.2,NA,Cryptosporidiosis,A07.2,TRUE,Cryptosporidiosis,0,match_exactly
A07.3,Isosporiaasi,Isosporiaasi,A07,3,1900-01-01,2020-12-31,A07.3,NA,Isosporiasis,A07.3,TRUE,Isosporiasis,0,match_exactly
A07.8,Muut määr. suol. alkueläint.,Muu suoliston alkueläintauti,A07,3,1900-01-01,2020-12-31,A07.8,NA,Other specified protozoal intestinal diseases,A07.8,TRUE,Other specified protozoal intestinal diseases,0,match_exactly
A07.9,Suoliston alkueläintauti NAS,Määrittämätön suoliston alkueläintauti,A07,3,1900-01-01,2020-12-31,A07.9,NA,"Protozoal intestinal disease, unspecified",A07.9,TRUE,"Protozoal intestinal disease, unspecified",0,match_exactly
A08,Virus/muu määr. suol.inf.,Virusperäiset ja muut määritetyt suolistoinfektiot,A00-A09,2,1900-01-01,2020-12-31,A08,NA,Viral and other specified intestinal infections,A08,TRUE,Viral and other specified intestinal infections,0,match_exactly
A08.0,Rotavir. suolitulehdus,Rotaviruksen aiheuttama suolitulehdus,A08,3,1900-01-01,2020-12-31,A08.0,NA,Rotaviral enteritis,A08.0,TRUE,Rotaviral enteritis,0,match_exactly
A08.1,Norwalk-enteriitti,Norwalk-tekijän aiheuttama akuuttimaha-suolistosairaus,A08,3,1900-01-01,2020-12-31,A08.1,NA,Acute gastroenteropathy due to Norwalk agent,A08.1,TRUE,Acute gastroenteropathy due to Norwalk agent,0,match_exactly
A08.2,Adenovir. enteriitti,Adenoviruksen aiheuttama suolitulehdus,A08,3,1900-01-01,2020-12-31,A08.2,NA,Adenoviral enteritis,A08.2,TRUE,Adenoviral enteritis,0,match_exactly
A08.3,Muu virussuolitulehdus,Muu virussuolitulehdus,A08,3,1900-01-01,2020-12-31,A08.3,NA,Other viral enteritis,A08.3,TRUE,Other viral enteritis,0,match_exactly
A08.4,Virussuolitulehdus NAS,Määrittämätön virussuolitulehdus,A08,3,1900-01-01,2020-12-31,A08.4,NA,"Viral intestinal infection, unspecified",A08.4,TRUE,"Viral intestinal infection, unspecified",0,match_exactly
A08.5,Muu määr. suolistoinfektio,Muu suolistoinfektio,A08,3,1900-01-01,2020-12-31,A08.5,NA,Other specified intestinal infections,A08.5,TRUE,Other specified intestinal infections,0,match_exactly
A09,Tartt. olet. ripuli/g-e-iitti,Tarttuvaksi oletettu ripuli ja maha-suolitulehdus,A00-A09,2,1900-01-01,2020-12-31,A09,NA,Diarrhoea and gastroenteritis of presumed infectious origin,A09,TRUE,Other gastroenteritis and colitis of infectious and unspecified origin,40,match_exactly
A15,"Resp. tb, bakt&hist varm.",Bakteriologisesti tai histologisesti varmennettu hengityselinten tuberkuloosi,A15-A19,2,1900-01-01,2020-12-31,A15,NA,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15,TRUE,"Respiratory tuberculosis, bacteriologically and histologically confirmed",0,match_exactly
A15-A19,Tuberkuloosi,Tuberkuloosi,A00-B99,1,1900-01-01,2020-12-31,A15,A19,Tuberculosis,NA,FALSE,NA,NA,classification_code
A15.0,"Keuhkotb, yskösmikr/-vilj pos",Mikroskooppisella ysköstutkimuksella varmennettu keuhkotuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.0,NA,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15.0,TRUE,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",0,match_exactly
A15.1,"Keuhkotb, viljely pos",Ainoastaan viljelyllä varmennettu keuhkotuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.1,NA,"Tuberculosis of lung, confirmed by culture only",A15.1,TRUE,"Tuberculosis of lung, confirmed by culture only",0,match_exactly
A15.2,"Keuhkotb, hist. varm.",Histologisesti varmennettu keuhkotuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.2,NA,"Tuberculosis of lung, confirmed histologically",A15.2,TRUE,"Tuberculosis of lung, confirmed histologically",0,match_exactly
A15.3,"Keuhkotb, muu varm.",Mainitsemattomalla menetelmällä varmennettu keuhkotuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.3,NA,"Tuberculosis of lung, confirmed by unspecified means",A15.3,TRUE,"Tuberculosis of lung, confirmed by unspecified means",0,match_exactly
A15.4,"Thor. imus. tb, bakt&hist varm",Varmennettu rintakehänsisäisten imusolmukkeiden tuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.4,NA,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",A15.4,TRUE,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",0,match_exactly
A15.5,"Lar/trach/br tb, bakt&hist","Varmennettu kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi",A15,3,1900-01-01,2020-12-31,A15.5,NA,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15.5,TRUE,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",0,match_exactly
A15.6,"Pleuriitti, bakt&hist varm.",Varmennettu tuberkuloottinen keuhkopussitulehdus,A15,3,1900-01-01,2020-12-31,A15.6,NA,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15.6,TRUE,"Tuberculous pleurisy, confirmed bacteriologically and histologically",0,match_exactly
A15.7,"Prim. resp.tb, bakt&hist varm.",Varmennettu hengityselinten primaarituberkuloosi,A15,3,1900-01-01,2020-12-31,A15.7,NA,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",A15.7,TRUE,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",0,match_exactly
A15.8,"Muu resp tb, bakt&hist varm.",Muu varmennettu hengityselinten tuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.8,NA,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",A15.8,TRUE,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",0,match_exactly
A15.9,"Resp. tb NAS, bakt&hist varm.",Määrittämättömien hengityselinten bakteriologisesti tai histologisesti varmennettu tuberkuloosi,A15,3,1900-01-01,2020-12-31,A15.9,NA,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15.9,TRUE,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",0,match_exactly
A16,"Resp. tb, ei bakt/hist varm.",Kliinisesti todettu hengityselinten tuberkuloosi,A15-A19,2,1900-01-01,2020-12-31,A16,NA,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16,TRUE,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",0,match_exactly
A16.0,"Keuhkotb, bakt. ja hist. neg.","Kliinisesti todettu keuhkotuberkuloosi, bakteriologinen ja histologinen tutkimus negatiivinen",A16,3,1900-01-01,2020-12-31,A16.0,NA,"Tuberculosis of lung, bacteriologically and histologically negative",A16.0,TRUE,"Tuberculosis of lung, bacteriologically and histologically negative",0,match_exactly
A16.1,"Keuhkotb, ei bakt/hist tutk.","Kliinisesti todettu keuhkotuberkuloosi, bakteriologisia tai histologisia tutkimuksia ei ole suoritettu",A16,3,1900-01-01,2020-12-31,A16.1,NA,"Tuberculosis of lung, bacteriological and histological examination not done",A16.1,TRUE,"Tuberculosis of lung, bacteriological and histological examination not done",0,match_exactly
A16.2,"Keuhkotb, bakt&hist?","Kliinisesti todettu keuhkotuberkuloosi, ei tietoa bakteriologisesta tai histologisesta tutkimuksesta",A16,3,1900-01-01,2020-12-31,A16.2,NA,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16.2,TRUE,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",0,match_exactly
A16.3,"Thor.imus.tb, bakt&hist?","Rintakehänsisäisten imusolmukkeiden tuberkuloosi, ei tietoa etiologian varmistamisesta",A16,3,1900-01-01,2020-12-31,A16.3,NA,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16.3,TRUE,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",0,match_exactly
A16.4,"Lar/trach/br tb, bakt&hist?","Kurkunpään, henkitorven tai keuhkoputkien tuberkuloosi, ei tietoa etiologian varmistuksesta",A16,3,1900-01-01,2020-12-31,A16.4,NA,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",A16.4,TRUE,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",0,match_exactly
A16.5,"Tb pleuriitti, bakt&hist?","Tuberkuloottinen keuhkopussin tulehdus, ei tietoa etiologian varmistuksesta",A16,3,1900-01-01,2020-12-31,A16.5,NA,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16.5,TRUE,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",0,match_exactly
A16.7,"Prim. resp. tb, bakt&hist?","Hengityselinten primaarituberkuloosi, ei tietoa etiologisesta varmistuksesta",A16,3,1900-01-01,2020-12-31,A16.7,NA,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16.7,TRUE,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,0,match_exactly
A16.8,"Muu määr. resp.tb, bakt&hist?","Muu hengityselinten tuberkuloosi, ei tietoa etiologian varmistuksesta",A16,3,1900-01-01,2020-12-31,A16.8,NA,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",A16.8,TRUE,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",0,match_exactly
A16.9,"Resp. tb NAS, bakt&hist?","Määrittämättömien hengityselinten tuberkuloosi, ei tietoa etiologisesta varmistuksesta",A16,3,1900-01-01,2020-12-31,A16.9,NA,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16.9,TRUE,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",0,match_exactly
A17,Hermoston tuberkuloosi,Hermoston tuberkuloosi,A15-A19,2,1900-01-01,2020-12-31,A17,NA,Tuberculosis of nervous system,A17,TRUE,Tuberculosis of nervous system,0,match_exactly
A17.0,Tub. meningiitti,Tuberkuloosi aivokalvojen tulehduksen syynä,A17,3,1998-08-21,2020-12-31,A17.0,NA,Tuberculous meningitis,A17.0,TRUE,Tuberculous meningitis,0,match_exactly
A17.0+G01,Tuberkuloottinen meningiitti,Tuberkuloottinen meningiitti,A17,3,1900-01-01,2020-12-31,A17.0,G01,Tuberculous meningitis,A17.0,FALSE,Tuberculous meningitis,NA,match_first_code
A17.1,Tuberkuloosipesäke aivoissa,Tuberkuloosipesäke aivokalvoilla,A17,3,1998-08-21,2020-12-31,A17.1,NA,Meningeal tuberculoma,A17.1,TRUE,Meningeal tuberculoma,0,match_exactly
A17.1+G07,Aivokalvojen tuberkulooma,Aivokalvojen tuberkulooma,A17,3,1900-01-01,2020-12-31,A17.1,G07,Meningeal tuberculoma,A17.1,FALSE,Meningeal tuberculoma,NA,match_first_code
A17.8,Muu määr. hermoston tb,Muu hermoston tuberkuloosi,A17,3,1900-01-01,2020-12-31,A17.8,NA,Other tuberculosis of nervous system,A17.8,TRUE,Other tuberculosis of nervous system,0,match_exactly
A17.8+G05.0,Tuberk.enkefal/myeliitt,Tuberkuloottinen aivokalvo-aivotulehdus,A17,3,1900-01-01,2020-12-31,A17.8,G05.0,Tuberculous meningoencephalitis,A17.8,FALSE,Other tuberculosis of nervous system,NA,match_first_code
