code,name_fi,name_en,name_en_source
0073A,TRICHOMONIASIS INTESTINALIS,"Other protozoal intestinal diseases, Intestinal trichomoniasis",ICD9_code_match(unique_parent_match)
0078A,CRYPTOSPORIDIOSIS,"Other protozoal intestinal diseases, Other specified protozoal intestinal diseases",ICD9_code_match(parent_match)
0078X,MORBUS PROTOZOICUS INTESTINALIS ALIA,"Other protozoal intestinal diseases, Other specified protozoal intestinal diseases",ICD9_code_match(parent_match)
0079X,MORBUS PROTOZOICUS INTESTINALIS NUD,"Other protozoal intestinal diseases, Unspecified protozoal intestinal disease",ICD9_code_match(unique_parent_match)
008,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,Intestinal infections due to other organisms,ICD9_code_match(full_match)
0080A,ENTERITIS E. COLI PATHOGENICA PER TOXINUM,"Intestinal infections due to other organisms, Escherichia coli [E. coli]",ICD9_code_match(parent_match)
0080B,ENTERITIS E. COLI PATHOGENICA INVASIVA,"Intestinal infections due to other organisms, Escherichia coli [E. coli]",ICD9_code_match(parent_match)
0081A,ENTERITIS ARIZONA,"Intestinal infections due to other organisms, Arizona group of paracolon bacilli",ICD9_code_match(unique_parent_match)
0082A,ENTERITIS AEROBACTER AEROGENES,"Intestinal infections due to other organisms, Aerobacter aerogenes",ICD9_code_match(unique_parent_match)
0083A,ENTERITIS PROTEUS MIRABILIS,"Intestinal infections due to other organisms, Proteus (mirabilis) (morganii)",ICD9_code_match(unique_parent_match)
0084A,ENTERITIS STAPHYLOCOCCICA,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0084B,ENTERITIS PSEUDOMONAS,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0084C,ENTERITIS YERSINIA ENTEROCOLITICA,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0084D,ENTERITIS YERSINIA PSEUDOTUBERCULOSA,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0084E,ENTERITIS CAMPYLOBACTER,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0084F,ENTERITIS CLOSTRIDIUM DIFFICILE,"Intestinal infections due to other organisms, Other specified bacteria",ICD9_code_match(parent_match)
0085X,ENTERITIS BACTERIA ALIA SEU NUD,"Intestinal infections due to other organisms, Bacterial enteritis, unspecified",ICD9_code_match(unique_parent_match)
0086A,ENTERITIS VIROSA ROTA,"Intestinal infections due to other organisms, Enteritis due to specified virus",ICD9_code_match(parent_match)
0086B,ENTERITIS VIROSA NORWALK,"Intestinal infections due to other organisms, Enteritis due to specified virus",ICD9_code_match(parent_match)
0086C,ENTERITIS VIROSA ALIA DEFINITA SEU NUD,"Intestinal infections due to other organisms, Enteritis due to specified virus",ICD9_code_match(parent_match)
0086X,ENTERITIS VIROSA NUD,"Intestinal infections due to other organisms, Enteritis due to specified virus",ICD9_code_match(parent_match)
0088X,ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR),"Intestinal infections due to other organisms, Other organism, not elsewhere classified",ICD9_code_match(unique_parent_match)
009,INFECTIO INTESTINALIS ALIA,Ill-defined intestinal infections,ICD9_code_match(full_match)
0092A,RIPULI TARTUNTATAUTIPERÄINEN,"Ill-defined intestinal infections, Infectious diarrhoea",ICD9_code_match(unique_parent_match)
0093A,RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI,"Ill-defined intestinal infections, Diarrhoea of presumed infectious origin",ICD9_code_match(unique_parent_match)
010,TUBERCULOSIS PRIMARIA,Primary tuberculous infection,ICD9_code_match(full_match)
0100A,"COMPLEXUS TUBERCULOSIS PRIMARIUS, BAKTER.VARMA",Primary tuberculous infection,ICD9_code_match(parent_match)
0100B,"COMPLEXUS TUBERCULOSIS PRIMARIUS, HISTOL.VARMA",Primary tuberculous infection,ICD9_code_match(parent_match)
0100X,"COMPLEXUS TUBERCULOSIS PRIMARIUS, EPÄILTY",Primary tuberculous infection,ICD9_code_match(parent_match)
0101A,"TUBERCULOSIS PRIM. CUM PLEURITIDE, BAKTER.VARMA","Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",ICD9_code_match(parent_match)
0101B,"TUBERCULOSIS PRIM. CUM PLEURITIDE, HISTOL.VARMA","Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",ICD9_code_match(parent_match)
0101X,"TUBERCULOSIS PRIMARIA CUM PLEURITIDE, EPÄILTY","Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",ICD9_code_match(parent_match)
0108A,"TUBERCULOSIS PRIMARIA ALIA, BAKTERIOLOG. VARMA","Primary tuberculous infection, Other primary progressive tuberculosis",ICD9_code_match(parent_match)
0108B,"TUBERCULOSIS PRIMARIA ALIA, HISTOLOGISESTI VARMA","Primary tuberculous infection, Other primary progressive tuberculosis",ICD9_code_match(parent_match)
0108X,"TUBERCULOSIS PRIMARIA ALIA, EPÄILTY","Primary tuberculous infection, Other primary progressive tuberculosis",ICD9_code_match(parent_match)
0109A,"TUBERCULOSIS PRIMARIA NUD, BAKTERIOLOG. VARMA","Primary tuberculous infection, unspecified",ICD9_code_match(parent_match)
0109B,"TUBERCULOSIS PRIMARIA NUD, HISTOLOGISESTI VARMA","Primary tuberculous infection, unspecified",ICD9_code_match(parent_match)
0109X,"TUBERCULOSIS PRIMARIA NUD, EPÄILTY","Primary tuberculous infection, unspecified",ICD9_code_match(parent_match)
011,TUBERCULOSIS PULMONUM,Pulmonary tuberculosis,ICD9_code_match(full_match)
0110A,"TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA","Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",ICD9_code_match(parent_match)
0110B,"TUBERCULOSIS PULMONUM INFILTRATIVA, HISTOL.VARMA","Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",ICD9_code_match(parent_match)
0110X,"TUBERCULOSIS PULMONUM INFILTRATIVA, EPÄILTY","Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",ICD9_code_match(parent_match)
0112A,"TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA","Pulmonary tuberculosis, Tuberculosis of lung with cavitation",ICD9_code_match(parent_match)
0112B,"TUBERCULOSIS PULMONUM CAVERNOSA, HISTOLOG. VARMA","Pulmonary tuberculosis, Tuberculosis of lung with cavitation",ICD9_code_match(parent_match)
0112X,"TUBERCULOSIS PULMONUM CAVERNOSA, EPÄILTY","Pulmonary tuberculosis, Tuberculosis of lung with cavitation",ICD9_code_match(parent_match)
0113A,"TUBERCULOSIS PULM. ET BRONCHIALIS, BAKTER.VARMA","Pulmonary tuberculosis, Tuberculosis of bronchus",ICD9_code_match(parent_match)
0113B,"TUBERCULOSIS PULM. ET BRONCHIALIS,HISTOLOG.VARMA","Pulmonary tuberculosis, Tuberculosis of bronchus",ICD9_code_match(parent_match)
0113X,"TUBERCULOSIS PULMONUM ET BRONCHIALIS, EPÄILTY","Pulmonary tuberculosis, Tuberculosis of bronchus",ICD9_code_match(parent_match)
0116A,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,BAKTER.VARMA","Pulmonary tuberculosis, Tuberculous pneumonia [any form]",ICD9_code_match(parent_match)
0116B,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,HISTOL.VARMA","Pulmonary tuberculosis, Tuberculous pneumonia [any form]",ICD9_code_match(parent_match)
0116X,"TUBERCULOSIS PULMONUM CUM PNEUMONIA, EPÄILTY","Pulmonary tuberculosis, Tuberculous pneumonia [any form]",ICD9_code_match(parent_match)
0118A,"TUBERCULOSIS PULMONUM ALIA, BAKTERIOLOG.VARMA","Pulmonary tuberculosis, Other specified pulmonary tuberculosis",ICD9_code_match(parent_match)
0118B,"TUBERCULOSIS PULMONUM ALIA,HISTOLOGISESTI VARMA","Pulmonary tuberculosis, Other specified pulmonary tuberculosis",ICD9_code_match(parent_match)
0118X,"TUBERCULOSIS PULMONUM ALIA, EPÄILTY","Pulmonary tuberculosis, Other specified pulmonary tuberculosis",ICD9_code_match(parent_match)
0119A,"TUBERCULOSIS PULMONUM NUD, BAKTERIOLOG. VARMA","Pulmonary tuberculosis, unspecified",ICD9_code_match(parent_match)
0119B,"TUBERCULOSIS PULMONUM NUD, HISTOLOGISESTI VARMA","Pulmonary tuberculosis, unspecified",ICD9_code_match(parent_match)
0119X,"TUBERCULOSIS PULMONUM NUD, EPÄILTY","Pulmonary tuberculosis, unspecified",ICD9_code_match(parent_match)
012,TUBERCULOSIS ALIA ORGANORUM RESPIRATIONIS,Other respiratory tuberculosis,ICD9_code_match(full_match)
0120A,"TUBERCULOSIS PLEURAE, BAKTERIOLOGISESTI VARMA","Other respiratory tuberculosis, Tuberculous pleurisy",ICD9_code_match(parent_match)
0120B,"TUBERCULOSIS PLEURAE, HISTOLOGISESTI VARMENNETTU","Other respiratory tuberculosis, Tuberculous pleurisy",ICD9_code_match(parent_match)
0120X,"TUBERCULOSIS PLEURAE, EPÄILTY","Other respiratory tuberculosis, Tuberculous pleurisy",ICD9_code_match(parent_match)
0121A,"TUB. LYMPHONODORUM INTRATHORACALES, BAKTER.VARMA","Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",ICD9_code_match(parent_match)
0121B,"TUB. LYMPHONODORUM INTRATHORACALES, HISTOL.VARMA","Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",ICD9_code_match(parent_match)
0121X,"TUB. LYMPHONODORUM INTRATHORACALES, EPÄILTY","Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",ICD9_code_match(parent_match)
0122A,"TUBERCULOSIS TRACHEAE ET BRONCHI,BAKTERIOL.VARMA","Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",ICD9_code_match(parent_match)
0122B,"TUBERCULOSIS TRACHEAE ET BRONCHI,HISTOLOG.VARMA","Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",ICD9_code_match(parent_match)
0122X,"TUBERCULOSIS TRACHEAE ET BRONCHI, EPÄILTY","Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",ICD9_code_match(parent_match)
0123A,"LARYNGITIS TUBERCULOSA,BAKTERIOLOGISETI VARMA","Other respiratory tuberculosis, Tuberculous laryngitis",ICD9_code_match(parent_match)
0123B,"LARYNGITIS TUBERCULOSA, HISTOLOGISESTI VARMA","Other respiratory tuberculosis, Tuberculous laryngitis",ICD9_code_match(parent_match)
0123X,"LARYNGITIS TUBERCULOSA,EPÄILTY","Other respiratory tuberculosis, Tuberculous laryngitis",ICD9_code_match(parent_match)
0128A,"TUB. ORGANORUM RESPIRATIONIS ALIA,BAKTERIOL.VARMA","Other respiratory tuberculosis, Other specified respiratory tuberculosis",ICD9_code_match(parent_match)
0128B,"TUB. ORGANORUM RESPIRATIONIS ALIA,HISTOLOG.VARMA","Other respiratory tuberculosis, Other specified respiratory tuberculosis",ICD9_code_match(parent_match)
0128X,"TUB. ORGANORUM RESPIRATIONIS ALIA, EPÄILTY","Other respiratory tuberculosis, Other specified respiratory tuberculosis",ICD9_code_match(parent_match)
013,TUB. MENINGUM ET SYSTEMATIS NERVORUM CENTRALIS,Tuberculosis of meninges and central nervous system,ICD9_code_match(full_match)
0130A,"MENINGITIS TUBERCULOSA, BAKTERIOLOGISESTI VARMA","Tuberculosis of meninges and central nervous system, Tuberculous meningitis",ICD9_code_match(parent_match)
0130B,"MENINGITIS TUBERCULOSA, HISTOLOGISESTI VARMA","Tuberculosis of meninges and central nervous system, Tuberculous meningitis",ICD9_code_match(parent_match)
0130X,"MENINGITIS TUBERCULOSA, EPÄILTY","Tuberculosis of meninges and central nervous system, Tuberculous meningitis",ICD9_code_match(parent_match)
0131A,"TUBERCULOMA MENINGUM,BAKTERIOLOGISESTI VARMENNETTU","Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",ICD9_code_match(parent_match)
0131B,"TUBERCULOMA MENINGUM,HISTOLOGISESTI VARMENNETTU","Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",ICD9_code_match(parent_match)
0131X,"TUBERCULOMA MENINGUM, EPÄILTY","Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",ICD9_code_match(parent_match)
0132A,"TUBERCULOMA CEREBRI,BAKTERIOLOGISESTI VARMENNETTU","Tuberculosis of meninges and central nervous system, Tuberculoma of brain",ICD9_code_match(parent_match)
0132B,"TUBERCULOMA CEREBRI, HISTOLOGISESTI VARMENNETTU","Tuberculosis of meninges and central nervous system, Tuberculoma of brain",ICD9_code_match(parent_match)
0132X,"TUBERCULOMA CEREBRI, EPÄILTY","Tuberculosis of meninges and central nervous system, Tuberculoma of brain",ICD9_code_match(parent_match)
0133A,"ABSCESSUS TUBERCULOSIS CEREBRI,BAKTERIOL.VARMA","Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",ICD9_code_match(parent_match)
0133B,"ABSCESSUS TUBERCULOSIS CEREBRI,HISTOLOG.VARMA","Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",ICD9_code_match(parent_match)
0133X,"ABSCESSUS TUBERCULOSIS CEREBRI,EPÄILTY","Tuberculosis of meninges and central nervous system, Tuberculous abscess of brain",ICD9_code_match(parent_match)
0138A,"MUU KESKUSHERMOSTOTUBERKULOOSI,BAKTERIOL.VARMA","Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",ICD9_code_match(parent_match)
0138B,"MUU KESKUSHERMOSTOTUBERKULOOSI,HISTOLOG.VARMA","Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",ICD9_code_match(parent_match)
0138X,"MUU KESKUSHERMOSTOTUBERKULOOSI, EPÄILTY","Tuberculosis of meninges and central nervous system, Other specified tuberculosis of central nervous system",ICD9_code_match(parent_match)
0139A,"KESKUSHERMOSTOTUBERKULOOSI NUD,BAKTER.VARMA","Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",ICD9_code_match(parent_match)
0139B,"KESKUSHERMOSTOTUBERKULOOSI NUD,HISTOL.VARMA","Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",ICD9_code_match(parent_match)
0139X,"KESKUSHERMOSTOTUBERKULOOSI NUD, EPÄILTY","Tuberculosis of meninges and central nervous system, Unspecified tuberculosis of central nervous system",ICD9_code_match(parent_match)
014,TUB GASTROINTESTINALIS/PERITONEI/GLAND. MESENTER,"Tuberculosis of intestines, peritoneum and mesenteric glands",ICD9_code_match(full_match)
0140A,"PERITONITIS TUBERCULOSA,BAKTERIOLOGISESTI VARMA","Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",ICD9_code_match(parent_match)
0140B,"PERITONITIS TUBERCULOSA,HISTOLOGISESTI VARMA","Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",ICD9_code_match(parent_match)
0140X,"PERITONITIS TUBERCULOSA,EPÄILTY","Tuberculosis of intestines, peritoneum and mesenteric glands, Tuberculous peritonitis",ICD9_code_match(parent_match)
0148A,"TUB GASTROINTESTI/GLAND.MESENTERIC,BAKTER.VARMA","Tuberculosis of intestines, peritoneum and mesenteric glands, Other",ICD9_code_match(parent_match)
0148B,"TUB GASTROINTESTI/GLAND.MESENTERIC,HISTOL.VARMA","Tuberculosis of intestines, peritoneum and mesenteric glands, Other",ICD9_code_match(parent_match)
0148X,"TUB GASTROINTESTI/GLAND.MESENTERIC,EPÄILTY","Tuberculosis of intestines, peritoneum and mesenteric glands, Other",ICD9_code_match(parent_match)
015,TUBERCULOSIS OSSIUM ET ARTICULORUM,Tuberculosis of bones and joints,ICD9_code_match(full_match)
0150A,"SELKÄRANKATUBERKULOOSI,BAKTERIOLOGISESTI VARMA","Tuberculosis of bones and joints, Vertebral column",ICD9_code_match(parent_match)
0150B,"SELKÄRANKATUBERKULOOSI,HISTOLOGISESTI VARMA","Tuberculosis of bones and joints, Vertebral column",ICD9_code_match(parent_match)
0150X,"SELKÄRANKATUBERKULOOSI,EPÄILTY","Tuberculosis of bones and joints, Vertebral column",ICD9_code_match(parent_match)
0151A,"TUBERCULOSIS COXAE,BAKTERIOLOGISESTI VARMA","Tuberculosis of bones and joints, Hip",ICD9_code_match(parent_match)
0151B,"TUBERCULOSIS COXAE,HISTOLOGISESTI VARMA","Tuberculosis of bones and joints, Hip",ICD9_code_match(parent_match)
0151X,"TUBERCULOSIS COXAE,EPÄILTY","Tuberculosis of bones and joints, Hip",ICD9_code_match(parent_match)
0152A,"TUBERCULOSIS GENUS,BAKTERIOLOGISESTI VARMA","Tuberculosis of bones and joints, Knee",ICD9_code_match(parent_match)
0152B,"TUBERCULOSIS GENUS,HISTOLOGISESTI VARMA","Tuberculosis of bones and joints, Knee",ICD9_code_match(parent_match)
0152X,"TUBERCULOSIS GENUS,EPÄILTY","Tuberculosis of bones and joints, Knee",ICD9_code_match(parent_match)
0155A,"TUBERCULOSIS OSSIS EXTREMITATUM,BAKTERIOL.VARMA","Tuberculosis of bones and joints, Limb bones",ICD9_code_match(parent_match)
0155B,"TUBERCULOSIS OSSIS EXTREMITATUM,HISTOLOG.VARMA","Tuberculosis of bones and joints, Limb bones",ICD9_code_match(parent_match)
0155X,"TUBERCULOSIS OSSIS EXTREMITATUM,EPÄILTY","Tuberculosis of bones and joints, Limb bones",ICD9_code_match(parent_match)
0157A,"TUBERCULOSIS OSSIS ALTERIUS,BAKTERIOLOG.VARMA","Tuberculosis of bones and joints, Other specified bone",ICD9_code_match(parent_match)
0157B,"TUBERCULOSIS OSSIS ALTERIUS,HISTOLOGIS. VARMA","Tuberculosis of bones and joints, Other specified bone",ICD9_code_match(parent_match)
0157X,"TUBERCULOSIS OSSIS ALTERIUS,EPÄILTY","Tuberculosis of bones and joints, Other specified bone",ICD9_code_match(parent_match)
0158A,"TUBERCULOSIS ARTICULI ALII,BAKTERIOLOG.VARMA","Tuberculosis of bones and joints, Other specified joint",ICD9_code_match(parent_match)
0158B,"TUBERCULOSIS ARTICULI ALII,HISTOLOG.VARMA","Tuberculosis of bones and joints, Other specified joint",ICD9_code_match(parent_match)
0158X,"TUBERCULOSIS ARTICULI ALII,EPÄILTY","Tuberculosis of bones and joints, Other specified joint",ICD9_code_match(parent_match)
0159A,"TUB OSSIUM ET ARTICULORUM NUD,BAKTERIOLOG.VARMA","Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",ICD9_code_match(parent_match)
0159B,"TUB OSSIUM ET ARTICULORUM NUD,HISTOLOG.VARMA","Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",ICD9_code_match(parent_match)
0159X,"TUB OSSIUM ET ARTICULORUM NUD,EPÄILTY","Tuberculosis of bones and joints, Tuberculosis of unspecified bones and joints",ICD9_code_match(parent_match)
016,TUBERCULOSIS SYSTEMATIS UROGENITALIS,Tuberculosis of genito-urinary system,ICD9_code_match(full_match)
0160A,"TUBERCULOSIS RENIS,BAKTERIOLOGISESTI VARMENNETTU","Tuberculosis of genito-urinary system, Kidney",ICD9_code_match(parent_match)
0160B,"TUBERCULOSIS RENIS,HISTOLOGISESTI VARMENNETTU","Tuberculosis of genito-urinary system, Kidney",ICD9_code_match(parent_match)
0160X,"TUBERCULOSIS RENIS,EPÄILTY","Tuberculosis of genito-urinary system, Kidney",ICD9_code_match(parent_match)
0161A,"TUBERCULOSIS VESICAE URINARIAE,BAKTERIOL.VARMA","Tuberculosis of genito-urinary system, Bladder",ICD9_code_match(parent_match)
0161B,"TUBERCULOSIS VESICAE URINARIAE,HISTOLOG.VARMA","Tuberculosis of genito-urinary system, Bladder",ICD9_code_match(parent_match)
0161X,"TUBERCULOSIS VESICAE URINARIAE,EPÄILTY","Tuberculosis of genito-urinary system, Bladder",ICD9_code_match(parent_match)
0162A,"TUBERCULOSIS URETERIS,BAKTERIOLOGISESTI VARMA","Tuberculosis of genito-urinary system, Ureter",ICD9_code_match(parent_match)
0162B,"TUBERCULOSIS URETERIS,HISTOLOGISESTI VARMA","Tuberculosis of genito-urinary system, Ureter",ICD9_code_match(parent_match)
0162X,"TUBERCULOSIS URETERIS,EPÄILTY","Tuberculosis of genito-urinary system, Ureter",ICD9_code_match(parent_match)
0163A,"TUB SYSTEMATIS URINARIAE ALIA,BAKTERIOLOG.VARMA","Tuberculosis of genito-urinary system, Other urinary organs",ICD9_code_match(parent_match)
0163B,"TUB SYSTEMATIS URINARIAE ALIA,HISTOLOG.VARMA","Tuberculosis of genito-urinary system, Other urinary organs",ICD9_code_match(parent_match)
0163X,"TUB SYSTEMATIS URINARIAE ALIA,EPÄILTY","Tuberculosis of genito-urinary system, Other urinary organs",ICD9_code_match(parent_match)
0164A,"TUBERCULOSIS EPIDIDYMIDIS,BAKTERIOLOG. VARMA","Tuberculosis of genito-urinary system, Epididymis",ICD9_code_match(parent_match)
0164B,"TUBERCULOSIS EPIDIDYMIDIS,HISTOLOGISETI VARMA","Tuberculosis of genito-urinary system, Epididymis",ICD9_code_match(parent_match)
0164X,"TUBERCULOSIS EPIDIDYMIDIS,EPÄILTY","Tuberculosis of genito-urinary system, Epididymis",ICD9_code_match(parent_match)
0165A,"TUB ORGANORUM GENITALIUM VIRILIUM,BAKTER.VARMA","Tuberculosis of genito-urinary system, Other male genital organs",ICD9_code_match(parent_match)
0165B,"TUB ORGANORUM GENITALIUM VIRILIUM,HISTOL.VARMA","Tuberculosis of genito-urinary system, Other male genital organs",ICD9_code_match(parent_match)
0165X,"TUB ORGANORUM GENITALIUM VIRILIUM,EPÄILTY","Tuberculosis of genito-urinary system, Other male genital organs",ICD9_code_match(parent_match)
0166A,"OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA","Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",ICD9_code_match(parent_match)
0166B,"OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA","Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",ICD9_code_match(parent_match)
0166X,"OOPHORITIS/SALPINGITIS TUBERCULOSA,EPÄILTY","Tuberculosis of genito-urinary system, Tuberculous oophoritis and salpingitis",ICD9_code_match(parent_match)
