ICD9	ICD9LYH	ICD9TXT
0053A	MUU CLOSTR RUOKAMYRK	INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM
0054A	VIBR PARAHEM RUOKAMY	VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS
0058X	INTOX ALIMENTAR ALIA	INTOXICATIO ALIMENTARIA ALIA DEFINITA
0059X	INTOX ALIMENTARI NUD	INTOXICATIO ALIMENTARIA NUD
006	AMEBATAUDIT	AMOEBIASIS
0060A	AMEBADYSENTERIA ACUT	AMOEBIASIS CUM DYSENTERIA ACUTA
0061A	AMEBADYSENTERIA CHRO	AMOEBIASIS CUM DYSENTERIA CHRONICA
0062A	AMEBACOLIT NONDYSENT	AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA
0063A	AMEBA MAKSA-ABSKESSI	AMOEBIASIS CUM ABSCESSU HEPATIS
0068X	AMEBATAUTI, MUU ELIN	AMOEBISAIS LOCO ALIO
0069X	AMEBATAUTI NUD	AMOEBIASIS NUD
007	MB PROTOZ INTEST ALI	MORBI PROTOZOICI INTESTINALES ALII
0070A	BALANTIDIASIS	BALANTIDIASIS
0071A	GIARDIASIS	GIARDIASIS
0072A	COCCIDIOSIS/ISOSPORI	COCCIDIOSIS ET ISOSPORIASIS
0073A	TRICHOMONIAS INTESTI	TRICHOMONIASIS INTESTINALIS
0078A	CRYPTOSPORIDIOSIS	CRYPTOSPORIDIOSIS
0078X	MB PROTOZ INTEST ALI	MORBUS PROTOZOICUS INTESTINALIS ALIA
0079X	MB PROTOZ INTEST NUD	MORBUS PROTOZOICUS INTESTINALIS NUD
008	ENTERIT P.ORGANIS AL	ENTERITIS PER ORGANISMATA ALIA SPECIFICATA
0080A	ENTER E.COLI TOXINUM	ENTERITIS E. COLI PATHOGENICA PER TOXINUM
0080B	ENTER E.COLI INVASIV	ENTERITIS E. COLI PATHOGENICA INVASIVA
0081A	ENTERITIS ARIZONA	ENTERITIS ARIZONA
0082A	ENTER AEROBAC AEROGE	ENTERITIS AEROBACTER AEROGENES
0083A	ENTERIT PROTEU MIRAB	ENTERITIS PROTEUS MIRABILIS
0084A	ENTERITIS STAPHYLOCC	ENTERITIS STAPHYLOCOCCICA
0084B	ENTERITIS PSEUDOMON	ENTERITIS PSEUDOMONAS
0084C	ENTER YERS ENTEROCOL	ENTERITIS YERSINIA ENTEROCOLITICA
0084D	ENTER YERS PSEUDOTUB	ENTERITIS YERSINIA PSEUDOTUBERCULOSA
0084E	ENTERIT CAMPYLOBACT	ENTERITIS CAMPYLOBACTER
0084F	ENTER CLOSTR DIFFICI	ENTERITIS CLOSTRIDIUM DIFFICILE
0085X	ENTER BACT ALIA/NUD	ENTERITIS BACTERIA ALIA SEU NUD
0086A	ENTERIT VIROSA ROTA	ENTERITIS VIROSA ROTA
0086B	ENTER VIROSA NORWALK	ENTERITIS VIROSA NORWALK
0086C	ENTER VIROSA AL DEFI	ENTERITIS VIROSA ALIA DEFINITA SEU NUD
0086X	ENTERITIS VIROSA NUD	ENTERITIS VIROSA NUD
0088X	ENTERIT P.ORGANIS AL	ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR)
009	INFECT INTESTIN ALIA	INFECTIO INTESTINALIS ALIA
0092A	DIARRHOEA INFECTIOSA	RIPULI TARTUNTATAUTIPERÄINEN
0093A	DIARRH INFECT SUSPEC	RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI
010	PRIMÄÄRITUBERKULOOSI	TUBERCULOSIS PRIMARIA
0100A	PRIM TUB COMPLEX-A	COMPLEXUS TUBERCULOSIS PRIMARIUS, BAKTER.VARMA
0100B	PRIM TUB COMPLEX-B	COMPLEXUS TUBERCULOSIS PRIMARIUS, HISTOL.VARMA
0100X	PRIM TUB COMPLEX-X	COMPLEXUS TUBERCULOSIS PRIMARIUS, EPÄILTY
0101A	PRIM TUB PLEURIT-A	TUBERCULOSIS PRIM. CUM PLEURITIDE, BAKTER.VARMA
0101B	PRIM TUB PLEURIT-B	TUBERCULOSIS PRIM. CUM PLEURITIDE, HISTOL.VARMA
0101X	PRIM TUB PLEURIT-X	TUBERCULOSIS PRIMARIA CUM PLEURITIDE, EPÄILTY
0108A	PRIM TUB ALIA-A	TUBERCULOSIS PRIMARIA ALIA, BAKTERIOLOG. VARMA
0108B	PRIM TUB ALIA-B	TUBERCULOSIS PRIMARIA ALIA, HISTOLOGISESTI VARMA
0108X	PRIM TUB ALIA-X	TUBERCULOSIS PRIMARIA ALIA, EPÄILTY
0109A	PRIM TUB NUD-A	TUBERCULOSIS PRIMARIA NUD, BAKTERIOLOG. VARMA
0109B	PRIM TUB NUD-B	TUBERCULOSIS PRIMARIA NUD, HISTOLOGISESTI VARMA
0109X	PRIM TUB NUD-X	TUBERCULOSIS PRIMARIA NUD, EPÄILTY
011	KEUHKOTUBERKULOOSI	TUBERCULOSIS PULMONUM
0110A	TUB PULM INFILTRAT-A	TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA
0110B	TUB PULM INFILTRAT-B	TUBERCULOSIS PULMONUM INFILTRATIVA, HISTOL.VARMA
0110X	TUB PULM INFILTRAT-X	TUBERCULOSIS PULMONUM INFILTRATIVA, EPÄILTY
0112A	TUB PULM CAVERNOSA-A	TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA
0112B	TUB PULM CAVERNOSA-B	TUBERCULOSIS PULMONUM CAVERNOSA, HISTOLOG. VARMA
0112X	TUB PULM CAVERNOSA-X	TUBERCULOSIS PULMONUM CAVERNOSA, EPÄILTY
0113A	TUB PULM ET BRONCH-A	TUBERCULOSIS PULM. ET BRONCHIALIS, BAKTER.VARMA
0113B	TUB PULM ET BRONCH-B	TUBERCULOSIS PULM. ET BRONCHIALIS,HISTOLOG.VARMA
0113X	TUB PULM ET BRONCH-X	TUBERCULOSIS PULMONUM ET BRONCHIALIS, EPÄILTY
0116A	TUB PULM + PNEUMON-A	TUBERCULOSIS PULMONUM CUM PNEUMONIA,BAKTER.VARMA
0116B	TUB PULM + PNEUMON-B	TUBERCULOSIS PULMONUM CUM PNEUMONIA,HISTOL.VARMA
0116X	TUB PULM + PNEUMON-X	TUBERCULOSIS PULMONUM CUM PNEUMONIA, EPÄILTY
0118A	TUB PULM ALIA DEF-A	TUBERCULOSIS PULMONUM ALIA, BAKTERIOLOG.VARMA
0118B	TUB PULM ALIA DEF-B	TUBERCULOSIS PULMONUM ALIA,HISTOLOGISESTI VARMA
0118X	TUB PULM ALIA DEF-X	TUBERCULOSIS PULMONUM ALIA, EPÄILTY
0119A	TUB PULM NUD-A	TUBERCULOSIS PULMONUM NUD, BAKTERIOLOG. VARMA
0119B	TUB PULM NUD-B	TUBERCULOSIS PULMONUM NUD, HISTOLOGISESTI VARMA
0119X	TUB PULM NUD-X	TUBERCULOSIS PULMONUM NUD, EPÄILTY
012	TUB MUU HENGITYSELIN	TUBERCULOSIS ALIA ORGANORUM RESPIRATIONIS
0120A	TUBERC PLEURAE-A	TUBERCULOSIS PLEURAE, BAKTERIOLOGISESTI VARMA
0120B	TUBERC PLEURAE-B	TUBERCULOSIS PLEURAE, HISTOLOGISESTI VARMENNETTU
0120X	TUBERC PLEURAE-X	TUBERCULOSIS PLEURAE, EPÄILTY
0121A	VÄLIKARS RAUHASTUB-A	TUB. LYMPHONODORUM INTRATHORACALES, BAKTER.VARMA
0121B	VÄLIKARS RAUHASTUB-B	TUB. LYMPHONODORUM INTRATHORACALES, HISTOL.VARMA
0121X	VÄLIKARS RAUHASTUB-X	TUB. LYMPHONODORUM INTRATHORACALES, EPÄILTY
0122A	TUB TRAC ET BRONCH-A	TUBERCULOSIS TRACHEAE ET BRONCHI,BAKTERIOL.VARMA
0122B	TUB TRAC ET BRONCH-B	TUBERCULOSIS TRACHEAE ET BRONCHI,HISTOLOG.VARMA
0122X	TUB TRAC ET BRONCH-X	TUBERCULOSIS TRACHEAE ET BRONCHI, EPÄILTY
0123A	LARYNGITIS TUBERCU-A	LARYNGITIS TUBERCULOSA,BAKTERIOLOGISETI VARMA
0123B	LARYNGITIS TUBERCU-B	LARYNGITIS TUBERCULOSA, HISTOLOGISESTI VARMA
0123X	LARYNGITIS TUBERCU-X	LARYNGITIS TUBERCULOSA,EPÄILTY
0128A	TUB ORGAN RESP ALI-A	TUB. ORGANORUM RESPIRATIONIS ALIA,BAKTERIOL.VARMA
0128B	TUB ORGAN RESP ALI-B	TUB. ORGANORUM RESPIRATIONIS ALIA,HISTOLOG.VARMA
0128X	TUB ORGAN RESP ALI-X	TUB. ORGANORUM RESPIRATIONIS ALIA, EPÄILTY
013	TUB MENING/KESKUSHER	TUB. MENINGUM ET SYSTEMATIS NERVORUM CENTRALIS
0130A	MENINGITIS TUBERC-A	MENINGITIS TUBERCULOSA, BAKTERIOLOGISESTI VARMA
0130B	MENINGITIS TUBERC-B	MENINGITIS TUBERCULOSA, HISTOLOGISESTI VARMA
0130X	MENINGITIS TUBERC-X	MENINGITIS TUBERCULOSA, EPÄILTY
0131A	TUBERCULOM MENING-A	TUBERCULOMA MENINGUM,BAKTERIOLOGISESTI VARMENNETTU
0131B	TUBERCULOM MENING-B	TUBERCULOMA MENINGUM,HISTOLOGISESTI VARMENNETTU
0131X	TUBERCULOM MENING-X	TUBERCULOMA MENINGUM, EPÄILTY
0132A	AIVOTUBERKULOOMA-A	TUBERCULOMA CEREBRI,BAKTERIOLOGISESTI VARMENNETTU
0132B	AIVOTUBERKULOOMA-B	TUBERCULOMA CEREBRI, HISTOLOGISESTI VARMENNETTU
0132X	AIVOTUBERKULOOMA-X	TUBERCULOMA CEREBRI, EPÄILTY
0133A	TUB AIVOABSESSI-A	ABSCESSUS TUBERCULOSIS CEREBRI,BAKTERIOL.VARMA
0133B	TUB AIVOABSESSI-B	ABSCESSUS TUBERCULOSIS CEREBRI,HISTOLOG.VARMA
0133X	TUB AIVOABSESSI-X	ABSCESSUS TUBERCULOSIS CEREBRI,EPÄILTY
0138A	TUB NERV CENTR ALI-A	MUU KESKUSHERMOSTOTUBERKULOOSI,BAKTERIOL.VARMA
0138B	TUB NERV CENTR ALI-B	MUU KESKUSHERMOSTOTUBERKULOOSI,HISTOLOG.VARMA
0138X	TUB NERV CENTR ALI-X	MUU KESKUSHERMOSTOTUBERKULOOSI, EPÄILTY
0139A	TUB NERV CENTR NUD-A	KESKUSHERMOSTOTUBERKULOOSI NUD,BAKTER.VARMA
0139B	TUB NERV CENTR NUD-B	KESKUSHERMOSTOTUBERKULOOSI NUD,HISTOL.VARMA
0139X	TUB NERV CENTR NUD-X	KESKUSHERMOSTOTUBERKULOOSI NUD, EPÄILTY
014	TUB GASTROINT/PERITO	TUB GASTROINTESTINALIS/PERITONEI/GLAND. MESENTER
0140A	PERITONITIS TUBERC-A	PERITONITIS TUBERCULOSA,BAKTERIOLOGISESTI VARMA
0140B	PERITONITIS TUBERC-B	PERITONITIS TUBERCULOSA,HISTOLOGISESTI VARMA
0140X	PERITONITIS TUBERC-X	PERITONITIS TUBERCULOSA,EPÄILTY
0148A	TUB GASTROINTESTIN-A	TUB GASTROINTESTI/GLAND.MESENTERIC,BAKTER.VARMA
0148B	TUB GASTROINTESTIN-B	TUB GASTROINTESTI/GLAND.MESENTERIC,HISTOL.VARMA
0148X	TUB GASTROINTESTIN-X	TUB GASTROINTESTI/GLAND.MESENTERIC,EPÄILTY
015	TUB OSSIUM/ARTICULOR	TUBERCULOSIS OSSIUM ET ARTICULORUM
0150A	SELKÄRANKATUBERKUL-A	SELKÄRANKATUBERKULOOSI,BAKTERIOLOGISESTI VARMA
0150B	SELKÄRANKATUBERKUL-B	SELKÄRANKATUBERKULOOSI,HISTOLOGISESTI VARMA
0150X	SELKÄRANKATUBERKUL-X	SELKÄRANKATUBERKULOOSI,EPÄILTY
0151A	TUBERCULOSIS COXAE-A	TUBERCULOSIS COXAE,BAKTERIOLOGISESTI VARMA
0151B	TUBERCULOSIS COXAE-B	TUBERCULOSIS COXAE,HISTOLOGISESTI VARMA
0151X	TUBERCULOSIS COXAE-X	TUBERCULOSIS COXAE,EPÄILTY
0152A	TUBECULOSIS GENUS-A	TUBERCULOSIS GENUS,BAKTERIOLOGISESTI VARMA
0152B	TUBECULOSIS GENUS-B	TUBERCULOSIS GENUS,HISTOLOGISESTI VARMA
0152X	TUBECULOSIS GENUS-X	TUBERCULOSIS GENUS,EPÄILTY
0155A	TUB OSSIS EXTREMI-A	TUBERCULOSIS OSSIS EXTREMITATUM,BAKTERIOL.VARMA
0155B	TUB OSSIS EXTREMI-B	TUBERCULOSIS OSSIS EXTREMITATUM,HISTOLOG.VARMA
0155X	TUB OSSIS EXTREMI-X	TUBERCULOSIS OSSIS EXTREMITATUM,EPÄILTY
0157A	TUB OSSIS ALTERIU-A	TUBERCULOSIS OSSIS ALTERIUS,BAKTERIOLOG.VARMA
0157B	TUB OSSIS ALTERIU-B	TUBERCULOSIS OSSIS ALTERIUS,HISTOLOGIS. VARMA
0157X	TUB OSSIS ALTERIU-X	TUBERCULOSIS OSSIS ALTERIUS,EPÄILTY
0158A	TUB ARTICULI ALII-A	TUBERCULOSIS ARTICULI ALII,BAKTERIOLOG.VARMA
0158B	TUB ARTICULI ALII-B	TUBERCULOSIS ARTICULI ALII,HISTOLOG.VARMA
0158X	TUB ARTICULI ALII-X	TUBERCULOSIS ARTICULI ALII,EPÄILTY
0159A	LUU/NIVEL TUB NUD-A	TUB OSSIUM ET ARTICULORUM NUD,BAKTERIOLOG.VARMA
0159B	LUU/NIVEL TUB NUD-B	TUB OSSIUM ET ARTICULORUM NUD,HISTOLOG.VARMA
0159X	LUU/NIVEL TUB NUD-X	TUB OSSIUM ET ARTICULORUM NUD,EPÄILTY
016	TUB UROGENITALIS	TUBERCULOSIS SYSTEMATIS UROGENITALIS
0160A	TUBERCULOSIS RENIS-A	TUBERCULOSIS RENIS,BAKTERIOLOGISESTI VARMENNETTU
0160B	TUBERCULOSIS RENIS-B	TUBERCULOSIS RENIS,HISTOLOGISESTI VARMENNETTU
0160X	TUBERCULOSIS RENIS-X	TUBERCULOSIS RENIS,EPÄILTY
0161A	TUB VESICAE URINAR-A	TUBERCULOSIS VESICAE URINARIAE,BAKTERIOL.VARMA
0161B	TUB VESICAE URINAR-B	TUBERCULOSIS VESICAE URINARIAE,HISTOLOG.VARMA
0161X	TUB VESICAE URINAR-X	TUBERCULOSIS VESICAE URINARIAE,EPÄILTY
0162A	TUBERCUL URETERIS-A	TUBERCULOSIS URETERIS,BAKTERIOLOGISESTI VARMA
0162B	TUBERCUL URETERIS-B	TUBERCULOSIS URETERIS,HISTOLOGISESTI VARMA
0162X	TUBERCUL URETERIS-X	TUBERCULOSIS URETERIS,EPÄILTY
0163A	TUB SYST URINAR AL-A	TUB SYSTEMATIS URINARIAE ALIA,BAKTERIOLOG.VARMA
0163B	TUB SYST URINAR AL-B	TUB SYSTEMATIS URINARIAE ALIA,HISTOLOG.VARMA
0163X	TUB SYST URINAR AL-X	TUB SYSTEMATIS URINARIAE ALIA,EPÄILTY
0164A	TUB EPIDIDYMIDIS-A	TUBERCULOSIS EPIDIDYMIDIS,BAKTERIOLOG. VARMA
0164B	TUB EPIDIDYMIDIS-B	TUBERCULOSIS EPIDIDYMIDIS,HISTOLOGISETI VARMA
0164X	TUB EPIDIDYMIDIS-X	TUBERCULOSIS EPIDIDYMIDIS,EPÄILTY
0165A	TUB ORG GEN VIRIL-A	TUB ORGANORUM GENITALIUM VIRILIUM,BAKTER.VARMA
0165B	TUB ORG GEN VIRIL-B	TUB ORGANORUM GENITALIUM VIRILIUM,HISTOL.VARMA
0165X	TUB ORG GEN VIRIL-X	TUB ORGANORUM GENITALIUM VIRILIUM,EPÄILTY
0166A	OOPHOR/SALPING TUB-A	OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA
0166B	OOPHOR/SALPING TUB-B	OOPHORITIS/SALPINGITIS TUBERCULOSA,BAKTER.VARMA
0166X	OOPHOR/SALPING TUB-X	OOPHORITIS/SALPINGITIS TUBERCULOSA,EPÄILTY
0167A	TUB ORG GEN MULIER-A	TUB ORGANORUM GENITALIUM MULIERIS,BAKTER.VARMA
0167B	TUB ORG GEN MULIER-B	TUB ORGANORUM GENITALIUM MULIERIS,HISTOL.VARMA
0167X	TUB ORG GEN MULIER-X	TUB ORGANORUM GENITALIUM MULIERIS,EPÄILTY
0169A	TUB UROGENITAL NUD-A	TUBERCULOSIS UROGENITALIS NUD,BAKTERIOL.VARMA
0169B	TUB UROGENITAL NUD-B	TUBERCULOSIS UROGENITALIS NUD,HISTOLOG.VARMA
0169X	TUB UROGENITAL NUD-X	TUBERCULOSIS UROGENITALIS NUD,EPÄILTY
017	TUB ALIORUM ORGANORU	TUBERCULOSIS ALIORUM ORGANORUM
0170A	TUB VERRUCOSA CUTIS	TUBERCULOSIS VERRUCOSA CUTIS
0170B	LUPUS VULGARIS	LUPUS VULGARIS
0170C	SCROPHULODERMA	SCROPHULODERMA
0170X	TUB CUTIS/SUBCUT ALI	TUBERCULOSIS CUTIS ET SUBCUTIS ALTERIUS GENERIS
0171A	ERYTHEMA NOD TUBERCU	ERYTHEMA NODOSUM TUBERCULOSUM
0171B	ERYTHEMA INDURAT TUB	ERYTHEMA INDURATUM TUBERCULOSUM (BAZIN)
0171C	TUBERCULID PAPULONEC	TUBERCULIDES PAPULONECROTICA
0171D	LICHEN SCROFULOSORUM	LICHEN SCROFULOSORUM
0172A	RAUHASTUBERKULOOSI	TUBERCULOSIS LYMPHONODORUM PERIPHERICORUM
0173A	TUBERCULOSIS OCULI	TUBERCULOSIS OCULI
0174A	TUBERCULOSIS AURIS	TUBERCULOSIS AURIS
0175A	TUB GLAND THYREOIDEA	TUBERCULOSIS GLANDULAE THYREOIDEAE
0176A	TUB GLAND SUPRARENAL	TUBERCULOSIS GLANDULAE SUPRARENALIS
0177A	TUBERCULOSIS LIENIS	TUBERCULOSIS LIENIS
0178A	TUBERCULOSIS ESOFAGI	TUBERCULOSIS OESOPHAGI
0178X	TUB ALIORUM ORGANORU	TUBERCULOSIS ALIORUM ORGANORUM
018	TUB DISSEMIN,MILIARI	TUBERCULOSIS DISSEMINATA
0180A	TUB DISSEMIN ACUTA-A	TUBERCULOSIS DISSEMINATA ACUTA,BAKTERIOL.VARMA
0180B	TUB DISSEMIN ACUTA-B	TUBERCULOSIS DISSEMINATA ACUTA,HISTOLOG.VARMA
0180X	TUB DISSEMIN ACUTA-X	TUBERCULOSIS DISSEMINATA ACUTA,EPÄILTY
0189A	TUB DISSEMINAT NUD-A	TUBERCULOSIS DISSEMINATA NUD,BAKTERIOLOG.VARMA
0189B	TUB DISSEMINAT NUD-B	TUBERCULOSIS DISSEMINATA NUD,HISTOLOGIS. VARMA
0189X	TUB DISSEMINAT NUD-X	TUBERCULOSIS DISSEMINATA NUD,EPÄILTY
020	PESTIS	PESTIS
0200A	PESTIS BUBONICA	PESTIS BUBONICA
0201A	PESTIS CELLULOCUTANE	PESTIS CELLULOCUTANEA
0202A	PESTIS SEPTICHAEMICA	PESTIS SEPTICHAEMICA
0203A	PESTIS PULM PRIMARIA	PESTIS PULMONIS PRIMARIA
0204A	PESTIS PULM SECUNDAR	PESTIS PULMONIS SECUNDARIA
0205A	PESTIS PULM NON DEFI	PESTIS PULMONIS NON DEFINITA
0208X	PESTIS ALIA DEFINITA	PESTIS ALIA DEFINITA
0209X	PESTIS NUD	PESTIS NUD
021	TULAREMIA	TULAREMIA
0210A	TULAREMI ULCEROGLAND	TULAREMIA ULCEROGLANDULARIS
0211A	TULAREMIA INTESTINAL	TULAREMIA INTESTINALIS
0212A	TULAREMIA PULMONUM	TULAREMIA PULMONUM
0213A	TULAREMIA OCULOGLAND	TULAREMIA OCULOGLANDULARIS
0218X	TULAREMIA ALIA DEFIN	TULAREMIA ALIA DEFINITA
0219X	TULAREMIA NUD	TULAREMIA NUD
022	ANTHRAX	ANTHRAX
0220A	ANTHRAX CUTANEA	ANTHRAX CUTANEA
0221A	ANTHRAX PULMONUM	ANTHRAX PULMONUM
0222A	ANTHRAX GASTROINTEST	ANTHRAX GASTROINTESTINALIS
0223A	ANTHRAX SEPTICHAEMIA	ANTHRAX SEPTICHAEMIA
0228X	ANTHRAX ALIA DEFINIT	ANTHRAX ALIA DEFINITA
0229X	ANTHRAX NUD	ANTHRAX NUD
023	BRUCELLOSIS	BRUCELLOSIS
0230A	BRUCELLOS MELITENSIS	BRUCELLOSIS MELITENSIS
0231A	BRUCELLOSIS ABORTUS	BRUCELLOSIS ABORTUS
0232A	BRUCELLOSIS SUIS	BRUCELLOSIS SUIS
0233A	BRUCELLOSIS CANIS	BRUCELLOSIS CANIS
0238X	BRUCELLOSIS ALIA DEF	BRUCELLOSIS ALIA
0239X	BRUCELLOSIS NUD	BRUCELLOSIS NUD
024	MALLEUS	MALLEUS
0240A	MALLEUS	MALLEUS
025	MELIOIDOSIS	MELIOIDOSIS
0250A	MELIDIOOSI	MELIDIOOSI
026	FEBRIS MORSUS MURI	FEBRIS MORSUS MURI
0260A	ROTANPUREMAKUUME	ROTANPUREMAKUUME
027	ZOONOSES ALIAE	ZOONOSES ALIAE
0270A	MENINGITIS LISTERIA	MENINGITIS LISTERIA
0270X	LISTERIOSIS ALIA	LISTERIOSIS ALIA (EI SYNNYNNÄINEN)
0271A	ERYSIPELOIDES	ERYSIPELOTHRIX INSIDIOSA (ERYSIPELOIDES)
0272A	PASTEURELLOSIS ALIA	PASTEURELLOSIS ALIA
0278X	ZOONOSIS ALIA DEFIN	ZOONOSIS ALIA DEFINITA
0279X	ZOONOSIS NUD	ZONOOSIS NUD
030	LEPRA	LEPRA
0300A	LEPRA LEPROMATOSA	LEPRA LEPROMATOSA
0301A	LEPRA TUBERCULOIDES	LEPRA TUBERCULOIDES
0302A	LEPRA INDETERMINATA	LEPRA INDETERMINATA
0303A	LEPRA DIMORPHICA	LEPRA DIMORPHICA
0308X	LEPRA ALIA DEFINITA	LEPRA ALIA DEFINITA
0309X	LEPRA NUD	LEPRA NUD
031	MB MYCOBACTERICI ALI	MORBI MYCOBACTERICI ALII
0310A	MB MYCOBACT AL PULMO	MORBI MYCOBACTERICI ALII PULMONUM
0311A	MB MYCOBACT AL CUTAN	MORBI MYCOBACTERICI ALII CUTANE
0318X	MB MYCOBACTERICA ALI	MORBI MYCOBACTERICI ALII
0319X	MB MYCOBACTERICI NUD	MORBI MYCOBACTERICI NUD
032	DIPHTERIA	DIPHTERIA
0320A	DIPHTERIA DEFINITA	DIPHTERIA DEFINITA
0329X	DIPHTERIA SUSPECTA	DIPHTERIA SUSPECTA
033	PERTUSSIS	PERTUSSIS
0330A	BORDETELLA PERTUSS-A	PERTUSSIS CAUSA BORDETELLA PERTUSSIS,EI ROKOTETULLA
0330B	BORDETELLA PERTUSS-B	PERTUSSIS CAUSA BORDETELLA PERTUSSIS,ROKOTETULLA
0331A	BORDETEL PARAPERTU-A	PERTUS CAUSA BORDETELLAE PARAPERTUSSIS,EI ROKOTETTU
0331B	BORDETEL PARAPERTU-B	PERTUSSIS CAUSA BORDETELLAE PARAPERTUSSIS,ROKOTETTU
0338A	PERTUS AL,EI ROKOTET	PERTUSSIS ALIA, EI ROKOTETULLA
0338B	PERTUS AL,ROKOTE ON	PERTUSSIS ALIA, ROKOTETULLA
0339A	PERTUS NUD,EI ROKOTE	PERTUSSIS NUD, EI ROKOTETULLA
0339B	PERTUS NUD,ROKOTE ON	PERTUSSIS NUD, ROKOTETULLA
034	STREPTOC TONS/SCARLA	TONSILLITIS STREPTOCOCCICA ET SCARLATINA
0340A	TONS STREPTO B-HEM-A	TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-A
0340B	TONS STREPTO B-HEM-B	TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-B
0340C	TONS STREPTO B-HEM-C	TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-C
0340G	TONS STREPTO B-HEM-G	TONSILLITIS STREPTOCOCCICA,STREPTOC BETAHAEMOLYT-G
0340X	TONS STREPTO B-HEM-X	TONSILLITIS STREPTOCOCCICA,MUU STREPTOC BETAHAEMOL
0341A	SCAR STREPTO B-HEM-A	SCARLATINA STREPTOCOCCUS BETAHAEMOLYTICUS,RYHMÄ-A
0341B	SCAR STREPTO B-HEM-B	SCARLATINA STREPTOCOCCUS BETAHAEMOLYTICUS,RYHMÄ-B
0341C	SCAR STREPTO B-HEM-C	SCARLATINA STREPTOCOCCUS BETAHAEMOLYTICUS,RYHMÄ-C
0341G	SCAR STREPTO B-HEM-G	SCARLATINA STREPTOCOCCUS BETAHAEMOLYTICUS,RYHMÄ-G
0341X	SCAR STREPTO B-HEM-X	SCARLATINA STREPTOCOCCUS BETAHAEMOLYTICUS,MUU
035	ERYSIPELAS	ERYSIPELAS
0350A	ERYSIPELAS STREPTOCO	ERYSIPELAS STREPTOCOCCICA
0350B	ERYSIPELAS STAPHYLOC	ERYSIPELAS STAPHYLOCOCCICA
0350X	ERYSIPELAS ALIA/NUD	ERYSIPELAS ALIA DEFINITA SEU NUD
036	INFECTIO MENINGOCOCC	INFECTIO MENINGOCOCCICA
0360A	MENINGITIS MENINGOCO	MENINGITIS MENINGOCOCCICA
0361A	ENKEFAL MENINGOCOCCI	ENCEPHALITIS MENINGOCOCCICA SINE ABSCESSU
