code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date
AA5BD,Aivoiskemian tietokonetomografiatutkimus,CT of cerebral ischaemia,"Hjärnischemi, DT (med diagnostisk avbildning och perfusionsundersökning av blodkärl i huvud och hals)",Translator,2016-01-01,2030-12-31
AA5BK,Aivojen laaja spektroskopia,Extensive brain spectroscopy,"Spektroskopi av hjärnan, omfattande",THL,2003-01-01,2030-12-31
AA5CN,Aivoperfuusion gammakuvaus,Brain blood flow isotope examination,Hjärncirkulation isotopundersökning,THL,2009-01-01,2030-12-31
AA5CP,Aivojen perfuusion PET,Brain perfusion PET,Hjärnperfusion PET,THL,2009-01-01,2018-11-30
AA5CQ,Aivoperfuusion SPET ja matala-annos-TT,Brain perfusion SPECT with low dose CT,Hjärnperfusion SPET med lågdos DT,THL,2009-01-01,2030-12-31
AA5CR,Aivojen perfuusion PET-tietokonetomografiatutkimus,PET-CT of brain perfusion,NA,Translator,2020-04-01,2030-12-31
AA5CS,Aivojen perfuusion PET-magneettitutkimus,PET-MRI of brain perfusion,"Hjärnperfusion, PET-MRI",Translator,2014-01-01,2030-12-31
AA5DP,Aivojen hapenkulutuksen/aineenvaihdunnan PET,Brain metabolism PET,Hjärnmetabolism PET,THL,2009-01-01,2018-11-30
AA5DR,Aivojen hapenkulutuksen tai aineenvaihdunnan PET-tietokonetomografiatutkimus,Brain metabolism PET with CT,Hjärnmetabolism PET med DT,THL,2009-01-01,2030-12-31
AA5DS,Aivojen aineenvaihdunnan PET-magneettitutkimus,PET-MRI of brain metabolism,"Hjärnmetabolism, PET-MRI",Translator,2014-01-01,2030-12-31
AA5EN,Aivoreseptoreiden tai kuljettajaproteiinien gammakuvaus,Brain reseptor or transprot protein distribution isotope imaging,Hjärnreseptor eller transportprotein isotopundersökning,THL,2009-01-01,2030-12-31
AA5EP,Aivojen reseptoreiden/transportterien PET,Brain reseptor or transportprotein PET,Hjärnreseptor eller transportprotein PET,THL,2009-01-01,2018-11-30
AA5EQ,Aivojen reseptoreiden tai kuljettajaproteiinien SPET ja matala-annos-TT,Brain receptor and transport protein SPECT with low dose CT,"Hjärnans receptorer och transportproteiner, SPET med lågdos-DT",THL,2009-01-01,2030-12-31
AA5ER,Aivojen reseptoreiden/transportterien PET-tietokonetomografiatutkimus,Brain receptor or transportprotein PET with TT,Hjärnreceptor eller -transportprotein PET med TT,THL,2009-01-01,2030-12-31
AA5FF,Aivojen toiminnallinen magneettitutkimus keskikenttälaitteella,Functional MRI examination of brain with median intensity magnet,"Hjärna, funktionell MR med mellanfältsmagnet",THL,2003-01-01,2010-12-31
AA5FG,Aivojen toiminnallinen magneettitutkimus,Functional MRI examination of brain with high intensity magnet,"Hjärna, funktionell MR",THL,2000-01-01,2030-12-31
AA5FK,Aivojen toiminnallinen tutkimus (fMRI),Functional assessment (fMRI) of brain,"Hjärna, funktionel undersökning",Translator,2011-01-01,2030-12-31
AA5FM,Aivojen toiminnallinen 3 Teslan MT,Functional MRI examination of brain with 3 Tesla magnet,"Hjärna, funktionell MR med 3 Tesla magnet",THL,2009-01-01,2010-12-31
AA5FP,Aivojen veritilavuuden PET,Brain blood volume PET,Hjärnans blodvolym PET,THL,2009-01-01,2018-11-30
AA5GF,Aivojen laaja toiminnallinen keskikenttä-MT,Extensive functional MRI examination of brain with median intensity magnet,"Hjärna, omfattande funktionell MR med mellanfältsmagnet",THL,2003-01-01,2010-12-31
AA5GG,Aivojen laaja toiminnallinen vahvakenttä-MT,Extensive functional MRI examination of brain withhigh intensity magnet,"Hjärna, omfattande funktionell MR med högfältsmagnet",THL,2003-01-01,2010-12-31
AA5GM,Aivojen laaja toiminnallinen 3 Teslan MT,Extensive functional MRI examination of brain with 3 Tesla magnet,"Hjärna, omfattande funktionell MR med 3 Tesla magnet",THL,2009-01-01,2010-12-31
AA5GP,Aivojen gamma-PET-tutkimus,Brain gamma PET,"Hjärna, gamma-PET undersökning",THL,2009-01-01,2018-11-30
AA5GS,Aivojen toiminnan PET-magneettitutkimus,PET-MRI of brain function,"Hjärnans funktion, PET-MRI",Translator,2014-01-01,2030-12-31
AA5HE,Lapsen aivojen ultraäänitutkimus,Brain ultrasound examination in a child,Barnets hjärn-UL,THL,1999-01-01,2030-12-31
AA5HF,Aivojen erittäin laaja toiminnallinen magneettitutkimus keskikenttälaitteella,Very extensive functional MRI examination of brain with median intensity magnet,"Hjärna, mycket omfattande funktionell MR med mellanfältsmagnet",THL,2003-01-01,2010-12-31
AA5HG,Aivojen erittäin laaja toiminnallinen magneettitutkimus vahvakenttälaitteella,Very extensive functional MRI examination of brain with high intensity magnet,"Hjärna, mycket omfattande funktionell MR med högfältsmagnet",THL,2000-01-01,2010-12-31
AA5HM,Aivojen erittäin laaja toiminnallinen 3 Teslan MT,Very extensive functional MRI examination of brain with 3 Tesla magnet,"Hjärna, mycket omfattande funktionell MR med 3 Tesla magnet",THL,2009-01-01,2010-12-31
AA5JP,Aivojen aineenvaihdunnan laaja PET,Brain metabolism extensive PET,Hjärnmetabolism omfattande PET,THL,2009-01-01,2018-11-30
AA5JS,Aivojen aineenvaihdunnan laaja PET-magneettitutkimus,Extensive PET-MRI of brain metabolism,"Hjärnmetabolism, omfattande PET-MRI",Translator,2014-01-01,2030-12-31
AA5KP,Aivojen aineenvaihdunnan erittäin laaja PET,Brain metabolism very extensive PET,Hjärnmetabolism mycket omfattande PET,THL,2009-01-01,2018-11-30
AA5KS,Aivojen aineenvaihdunnan erittäin laaja PET-magneettitutkimus,Very extensive PET-MRI of brain metabolism,"Hjärnmetabolism, mycket omfattande PET-MRI",Translator,2014-01-01,2030-12-31
AA5LP,Aivojen reseptoreiden/transportterien laaja PET,Brain reseptor or transportprotein extensive PET,Hjärnreseptor eller transportprotein omfattande PET,THL,2009-01-01,2018-11-30
AA5LQ,Aivojen reseptoreiden tai kuljettajaproteiinien monivaiheinen SPET ja matala-annos-TT,Brain receptor and transport protein SPECT with low dose CT,"Hjärnans receptorer och transportproteiner, SPET med flera steg och lågdos-DT",THL,2009-01-01,2030-12-31
AA5NK,Keskushermoston valkoisen aineen traktrografia,Tractography within white matter of central nervous system,Traktrographi av centrala nervsystemets vita substans,THL,2009-01-01,2030-12-31
AA5NS,Aivojen hapenkulutuksen PET-magneettitutkimus,PET-MRI of brain oxygen consumption,"Hjärnans syreförbrukning, PET-MRI",Translator,2014-01-01,2030-12-31
AA5PD,Aivojen perfuusio-TT,CT examination of brain pefusion,Hjärnperfusionsundersökning med DT,THL,2003-01-01,2030-12-31
AA5PS,Aivojen veritilavuuden PET-magneettitutkimus,Brain SPECT,"Hjärnans blodvolym, PET-MRI",THL,2014-01-01,2030-12-31
AA5SN,Aivojen SPET,SPECT of brain,"Hjärna, SPET",Translator,2009-01-01,2030-12-31
AA5SP,Aivojen reseptoreiden/transportterien erittäin laaja PET,Brain reseptor or transport protein very extensive PET,Hjärnreseptor eller transportprotein mycket omfattande PET,THL,2009-01-01,2018-11-30
AA5TR,Aivotuumoreiden PET-tietokonetomografiatutkimus,PET-CT of brain tumours,NA,Translator,2020-04-01,2030-12-31
AA5XP,Aivojen muu PET,Brain other PET,"Hjärna, annan PET",THL,2009-01-01,2018-11-30
AA6AA,Kallon saumojen röntgen,Cranial sutures X-ray examination,"Skallens suturer, röntgen",THL,1999-01-01,2030-12-31
AA6AD,Kallon luiden tietokonetomografiatutkimus,Cranial bones CT examination,"Skallben, DT",THL,1999-01-01,2030-12-31
AA6BD,Kallon luiden laaja tietokonetomografiatutkimus,Cranial bones extensive CT examination,"Skallben, omfattande DT",THL,2003-01-01,2030-12-31
AA6CD,Kallon luiden erittäin laaja tietokonetomografiatutkimus,Cranial bones very extensive CT examination,"Skallben, mycket omfattande DT",THL,2003-01-01,2030-12-31
AA6JD,Kallon pyyhkäisykuvaus-TT,Cranial bones CT scout view,Skallben CT scout-scan,THL,2009-01-01,2030-12-31
AA7AA,Aivonesteyhdystien ja laitteiston röntgen (sunttiröntgen),Liquor cerebri shunt X-ray examinatin without contrast,"Likvorshunt, röntgen",THL,1999-01-01,2030-12-31
AA7AN,Aivo-selkäydinnesteen kierron gammakuvaus,Cerebrospinal fluid flow isotope examination,Cerebrospinalvätska flöde isotopundersökning,THL,2009-01-01,2030-12-31
AA7EB,Aivokammiosuntin varjoainetutkimus,Valvulography or liquor cerebri shunt with contrast,Valvulografi (shuntundersökning),THL,1999-01-01,2030-12-31
AA8DD,Aivosisternojen TT röntgenpositiivisella varjoaineella,CT of brain cisternas with X-ray positive contrast,DT-cisternografi med rtg-positiv kontrast,THL,1999-01-01,2002-11-10
AA8ED,Aivosisternojen TT röntgennegatiivisella varjoaineella,CT of brain cisternas with X-ray negative contrast,DT-cisternografi med rtg-negativ kontrast,THL,1999-01-01,2002-11-10
AA9GE,Keskushermoston leikkauksenaikainen ultraäänitutkimus,Intraoperative ultrasound examination of CNS,"Centrala nervsystemet, intraoperativt UL",Translator,2011-01-01,2030-12-31
AA9XE,Keskushermoston muu UÄ,Other ultrasound examination of central nervous system,"Centrala nervsystemet, annan UL",THL,1999-01-01,2010-12-31
AE3CP,Aivojen aktivaation PET,Brain activity PET examination,Hjärnaktivitet PET undersökning,THL,2009-01-01,2018-11-30
AE3CR,Aivojen aktivaation PET-tietokonetomografiatutkimus,PET-CT of brain activation,"Aktivering av hjärnan, PET-DT",Translator,2015-01-01,2030-12-31
AR1BS,Aivojen reseptoreiden/transporttereiden laaja PET-magneettitutkimus,Extensive PET-MRI of brain receptors/transporters,"Hjärnans receptorer eller transportproteiner, omfattande PET-MRI",Translator,2014-01-01,2030-12-31
AR1FS,Aivojen reseptoreiden ja transporttereiden PET-magneettitutkimus,PET-MRI of brain receptors/transporters,"Hjärnans receptorer och transportproteiner, PET-MRI",Translator,2014-01-01,2030-12-31
AR1QS,Aivojen reseptoreiden/transporttereiden erittäin laaja PET-magneettitutkimus,Very extensive PET-MRI of brain receptors/transporters,"Hjärnans receptorer eller transportproteiner, mycket omfattande PET-MRI",Translator,2014-01-01,2030-12-31
AR1XS,Aivojen reseptoreiden/transporttereiden muu PET-magneettitutkimus,Other PET-MRI of brain receptors/transporters,"Hjärnans receptorer eller transportproteiner, annan PET-MRI",Translator,2014-01-01,2030-12-31
PA2AC,Aivovaltimoiden varjoainetutkimus,Cerebral angiography with X-ray,Cerebral angiografi,THL,1999-01-01,2030-12-31
PA2AD,Aivovaltimoiden TT-angiografia,CT angiography of brain,Hjärnans DT-angiografi,THL,2003-01-01,2030-12-31
PA2AE,Aivojen valtimon ultraäänitutkimus,Ultrasound examination of brain artery,Hjärnartär UL,Translator,2006-01-01,2030-12-31
PA2BC,Aivovaltimoiden laaja varjoainetutkimus,Cerebral extensive angiography with X-ray,"Cerebral angiografi, omfattande",THL,1999-01-01,2030-12-31
PA2BD,Aivovaltimoiden laaja TT-angiografia,Extensive CT angiography of brain,Hjärnans omfattande DT-angiografi,THL,2003-01-01,2030-12-31
PA2CC,Aivovaltimoiden erittäin laaja varjoainetutkimus,Cerebral very extensive angiography with X-ray,"Cerebral angiografi, mycket omfattande",THL,1999-01-01,2030-12-31
PA3AC,Karotisvaltimoiden selektiivinen varjoainetutkimus,Carotis angiography with X-ray,Selektiv karotisangiografi,THL,1999-01-01,2030-12-31
PA3DC,Kaulan ja pään valtimon suora pisto ja varjoainetutkimus,Direct puncture and X-ray angiongraphy of artery of head and neck,Direkt punktion och angiographi av artär i huvud- och halsregionen,THL,2003-01-01,2010-12-31
PA4AC,Nikamavaltimoiden varjoainetutkimus,Vertebralis angiography with X-ray,Vertebralisangiografi,THL,1999-01-01,2030-12-31
PA5AC,Kasvojen valtimoiden varjoainetutkimus,Angiography of arteries to the face with X-ray,Angiografi av ansiktets artärer,THL,1999-01-01,2030-12-31
PA7AC,Kaula- ja aivovaltimoiden varjoainetutkimus,Angiography of arteries of neck and brain,Cervikalangiografi,THL,2003-01-01,2030-12-31
PA7AD,Pään ja kaulan verisuonten TT-angiografia,CT angiography of head and neck vasculature,Huvudets och halsens DT-angiografi,Translator,2017-01-01,2030-12-31
PA7BC,Kaula- ja aivovaltimoiden laaja varjoainetutkimus,Extensive angiography of arteries of neck and brain,"Cervikalangiografi, omfattande",THL,2003-01-01,2030-12-31
PA7BD,Pään ja kaulan verisuonten laaja TT-angiografia,CT angiography of neck and brain,Huvudets och halsens omfattande DT-angiografi,THL,2009-01-01,2030-12-31
PA7BG,Pään ja kaulan verisuonten magneettitutkimus,MRI of head and neck vasculature,"Huvud och hals blodkärl, MR",Translator,2017-01-01,2030-12-31
PA7CC,Kaula- ja aivovaltimoiden erittäin laaja varjoainetutkimus,Very extensive angiography of arteries of neck and brain,"Cervikalangiografi, mycket omfattande",THL,2003-10-01,2030-12-31
PA7CD,Pään ja kaulan verisuonten erittäin laaja TT-angiografia,"CT angiography of neck and brain, extensive",Huvudets och halsens mycket omfattande DT-angiografi,THL,2009-01-01,2030-12-31
PA7CG,Pään ja kaulan verisuonten laaja magneettitutkimus,Extended MRI examination of vessesl in brain and neck with high intensity magnet,"Huvud och hals blodkärl, omfattande MR",THL,2009-01-01,2030-12-31
PA7CM,"Pään ja kaulan verisuonten laaja magneettitutkimus (yli 1,5T)",Extensive MRI of head and neck vasculature (more than 1.5 T),"Huvud och hals blodkärl omfattande MR (över 1,5T)",Translator,2011-01-01,2016-12-31
PA7DG,Pään ja kaulan verisuonten erittäin laaja magneettitutkimus,Very extended MRI examination of vessesl in brain and neck with high intensity magnet,"Huvud och hals blodkärl, mycket omfattande MR",THL,2009-01-01,2030-12-31
PA7DM,"Pään ja kaulan verisuonten erittäin laaja magneettitutkimus (yli 1,5T)",Very extensive MRI of head and neck vasculature (more than 1.5 T),"Huvud och hals blodkärl mycket omfattande MR (över 1,5T)",Translator,2011-01-01,2016-12-31
AAA,Aivojen tutkimusleikkaukset,Diagnostic intracranial procedures,Diagnostiska intrakraniala ingrepp,THL,1900-01-01,2030-12-31
AAA00,Kallon aukaisu tutkimustarkoituksessa,Exploratory craniotomy,Explorativ kraniotomi,THL,1900-01-01,2030-12-31
AAA10,Koepalan otto poranreiän kautta aivoista,Biopsy through craniotomy,Biopsi via borrhål,THL,1900-01-01,2030-12-31
AAA20,Aivokammion paineanturin asettaminen,Insertion of intraventricular pressure monitoring device,Applikation av tryckgivare i ventrikel,THL,1900-01-01,2030-12-31
AAA25,Epiduraalitilan paineanturin asettaminen,Insertion of epidural pressure monitoring device,Applikation av epidural tryckgivare,THL,1900-01-01,2030-12-31
AAA27,Aivokudoksen paineanturin asettaminen,Insertion of intracerebral pressure monitoring device,Applikation av intracerebral tryckgivare,THL,2000-01-01,2030-12-31
AAA30,Elektrodien asettaminen epiduraalisesti,Insertion of epidural electrodes,Inläggande av epidurala elektroder,THL,1900-01-01,2030-12-31
AAA35,Elektrodien asettaminen subduraalisesti,Insertion of subdural electrodes,Inläggande av subdurala elektroder,THL,1900-01-01,2030-12-31
AAA40,Elektrodien asettaminen aivojen sisälle,Insertion of intracerebral electrodes,Inläggande av intracerebrala elektroder,THL,1900-01-01,2030-12-31
AAA42,Kallonsisäisten tutkimuselektrodien poisto,Removal of intracranial assessment electrodes,Avlägsnande av interkraniella elektroder,Translator,2016-01-01,2030-12-31
AAA50,Aivojen tähystys,Intracranial endoscopy,Intrakraniell endoskopi,THL,2007-01-01,2030-12-31
AAA99,Muu aivojen tutkimusleikkaus,Other diagnostic intracranial procedures,Annan diagnostisk intrakranial operation,THL,1900-01-01,2030-12-31
AAB,Aivokasvaimien ja aivomuutosten poistot,Excision and destruction of intracranial lesion,Exstirpation eller destruktion av intrakranial förändring,THL,1900-01-01,2030-12-31
AAB00,Aivokasvaimen tai aivomuutoksen poisto,Extirpation of intracranial lesion,Total exstirpation av intrakranial tumör eller lokal lesion,THL,1900-01-01,2030-12-31
AAB10,Aivokasvaimen tai aivomuutoksen poisto osittain,Partial excision of intracranial lesion,Delresektion av intrakranial tumör/förändring,THL,1900-01-01,2030-12-31
AAB20,Aivokasvaimen tai aivomuutoksen tuhoaminen,Destruction of intracranial lesion,Destruktion av intrakranial tumör/lesion,THL,1900-01-01,2030-12-31
AAB30,Aivotilan spontaanin verihyytymän poisto,Evacuation of spontaneous intracranial haematoma,Utrymning av icke-traumatiskt intrakranialt hematom,THL,1900-01-01,2030-12-31
AAB99,Muu aivokasvaimen tai aivomuutoksen poisto,Other excision or destruction of intracranial lesion,Annan exstirpation av intrakranial tumör/förändring,THL,1900-01-01,2030-12-31
AAC,Aivoverisuonien toimenpiteet,Operations for intracranial aneurysm and other vascular lesions,Intrakraniala kärlåtgärder,THL,1900-01-01,2030-12-31
AAC00,Aivovaltimopullistuman kaulan sulkeminen,Ligature of intracranial aneurysm,Stjälkligatur av intrakranialt aneurysm,THL,1900-01-01,2030-12-31
AAC05,Aivovaltimopullistuman syöttävän valtimon sulkeminen,Ligature of feeding artery of intracranial aneurysm,Kärlligatur proximalt om intrakranialt aneurysm,THL,1900-01-01,2030-12-31
AAC10,Aivovaltimopullistuman seinämän vahvistaminen,Reinforcement of intracranial aneurysm wall,Väggförstärkning av intrakranialt aneurysm,THL,1900-01-01,2030-12-31
AAC15,Aivovaltimopullistuman menevän ja tulevan valtimon sulkeminen,Trapping of intracranial aneurysm,"Ligatur proximalt och distalt om intrakranialt aneurysm, trapping",THL,1900-01-01,2030-12-31
AAC20,Aivoverisuonen liittäminen,Anastomosis to intracranial vessel,Intrakranial kärlanastomos,THL,1900-01-01,2030-12-31
AAC30,Aivoverisuonien välisen avanteen tukkiminen,Intracranial occlusion of vascular fistula,Ocklusion av intrakranial kärlfistel,THL,1900-01-01,2030-12-31
AAC40,Aivoverisuoniepämuodostuman poisto,Extirpation of intracranial arterio-venous malformation,Exstirpation av intrakranial arteriovenös missbildning,THL,1900-01-01,2030-12-31
AAC99,Muu aivoverisuonileikkaus,Other operation for aneurysm or other intracranial vascular lesion,Annan intrakranial kärloperation,THL,1900-01-01,2030-12-31
AAD,Aivo- ja kallovammojen leikkaukset,Operations for head injuries,Operationer p.g.a. skalltrauma,THL,1900-01-01,2030-12-31
AAD00,"Verihyytymän poisto kovan aivokalvon päältä, epiduraalitilasta",Evacuation of epidural haematoma,Utrymning av epiduralt hematom,THL,1900-01-01,2030-12-31
AAD05,"Verihyytymän poisto kovan aivokalvon alta, akuutti subduraali",Evacuation of acute subdural haematoma,Utrymning av akut subduralt hematom,THL,1900-01-01,2030-12-31
AAD10,"Verihyytymän poisto kovan aivokalvon alta, krooninen subduraali",Evacuation of chronic subdural haematoma,Utrymning av kroniskt subduralt hematom,THL,1900-01-01,2030-12-31
AAD12,Kovan aivokalvon alaisen nesteen kanavointi keuhkopussiin tai vatsaonteloon,Drainage of subdural fluid,Dränering av subdural vätska till pleura eller abdomen,THL,1997-01-01,2030-12-31
AAD15,Aivokudoksen verihyytymän tai ruhjeen poisto,Evacuation of traumatic intracerebral haematoma,Utrymning av hematom eller kontusionshärd i hjärnan,THL,1900-01-01,2030-12-31
AAD16,Kovan aivokalvon alaisen laskuputken poisto,Removal of subdural drainage,Avlägsnande av subdural drän,THL,1997-01-01,2030-12-31
AAD30,Kallon lävistävän vamman tarkistamisleikkaus,Revision of penetrating or perforating injury of skull,Revision av penetrerande/perforerande skallskada,THL,1900-01-01,2030-12-31
AAD40,Kallon painumismurtuman nosto,Revision of fracture of skull,Elevation av impressionsfraktur,THL,1900-01-01,2030-12-31
AAD42,Frontobasaalisen murtuman hoito,Treatment of frontobasal fracture of skull,Ingrepp för frontobasal fraktur,THL,1900-01-01,2030-12-31
AAD99,Muu aivo- tai kallovamman leikkaus,Other operation for head injury,Annat ingrepp för skallskada,THL,1900-01-01,2030-12-31
AAE,Kallonpohjan kautta tehtävät leikkaukset,Operations by cranial base approach,Ingrepp via skallbasen,THL,1900-01-01,2030-12-31
