code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date,freq_finngen,freq_tays,freq_total
JN3BD,Vatsan laaja tietokonetomografiatutkimus,Extensive abdominal CT,"Buk, omfattande DT",THL,1999-01-01,2030-12-31,14270,21348,35618
HA1AA,Rintarauhasten röntgen,X-ray mammography,Mammografi,THL,1999-01-01,2030-12-31,10730,24378,35108
WD105,Laajalle levinneen kasvaimen yksinkertainen tavanomainen solusalpaajahoito,Cystostatic therapy of methastized malignancy,Enkel behandling av vitt spridd tumör med cellhämmare,THL,1997-01-01,2030-12-31,13571,20567,34138
WF049,Etäpesäkkeen sädehoito,Radiotherapy of metastasis,Strålbehandling av metastas,THL,2011-01-01,2030-12-31,7023,26834,33857
FN1AC,Sepelvaltimoiden varjoainetutkimus,Angiography of heart and/or coronary arteries,Angiografi av koronarkärl,THL,1999-01-01,2030-12-31,29706,3807,33513
TPH04,Laskimon kanylointi,Cathetrisation of vein,Kanylering av ven,THL,1900-01-01,2030-12-31,26217,7201,33418
NG1AA,Polven röntgen,Knee X-ray examination without contrast,"Knä, röntgen",THL,1999-01-01,2030-12-31,17487,14725,32212
NF1AA,Lonkan röntgen,Hip X-ray examination,"Höftled, röntgen",THL,1999-01-01,2030-12-31,13397,18554,31951
ZXE11,Toimenpiteen kesto 60-89 minuuttia,Procedure duration 60 to 89 minutes,Vårdåtgärdens tidsåtgång 60-89 min,Translator,2018-01-01,2030-12-31,31399,11,31410
MA2AE,Raskaudentilan ultraäänitutkimus,Ultrasound examination of pregnancy (at 12. week of gestaion or later) including basic examination of fetus,"Graviditet, UL",THL,1999-01-01,2030-12-31,29507,1148,30655
HA003,Rintarauhasen osittaisen poiston jälkeinen sädehoito,Radiotherapy after partial ablation of mammary gland,Strålbehandling efter delresektion av bröstkörtel,THL,1997-01-01,2030-12-31,28136,1493,29629
XF400,12-kytkentäinen EKG,ECG with 12 standard connections,EKG med 12 led,THL,1997-01-01,2019-12-31,28107,1488,29595
XCW99,Muu silmän alueen tutkimus,Other investigative procedure of eye,Annan diagnostisk åtgärd i ögonregionen,THL,1900-01-01,2030-12-31,28388,668,29056
XCK10,Silmänpohjan valokuvaus,Photography of fundus of eye,Fotografering av ögonbotten,THL,1997-01-01,2016-12-31,28038,270,28308
WX400,Yleisanestesian ylläpito inhaloitavalla höyrystyvällä anesteetilla,Inhalation anesthesy,Generell anestesi baserad på inhalationsanestesi,THL,1997-01-01,2019-02-28,3009,24834,27843
WZC30,Hoidonohjaus,Teaching,Vårdhandledning,THL,2010-01-01,2030-12-31,10714,16937,27651
TQX10,Ihon ja ihonalaiskudoksen koepalan otto,Biopsy of skin and subcutaneous tissue,Biopsi av hud och subkutant vävnad,THL,1900-01-01,2030-12-31,11183,15596,26779
EP1AE,Kaulan ultraäänitutkimus,Neck ultrasound examination,"Hals, UL",THL,1999-01-01,2030-12-31,7048,19418,26466
JN1AE,Ylävatsan ultraäänitutkimus,Ultrasound examination of upper part of abdomen,"Övre del av buken, UL",THL,1999-01-01,2030-12-31,9551,16732,26283
Z2445,Psykologi,Psychologist,Psykolog,THL,2005-01-01,2030-12-31,26277,5,26282
ZXE20,Toimenpiteen kesto vähintään 3 mutta alle 5 tuntia,More than three and less than five hours,"Vårdkontakt minst 3 h, men under 5 h",THL,1900-01-01,2017-12-31,15122,10518,25640
NA3AA,Lannerangan röntgen,Lumbar spine X-ray examination without contrast,"Ländrygg, röntgen",THL,1999-01-01,2030-12-31,12202,13354,25556
MA2HE,Sikiön yksityiskohtainen morfologian ultraäänitutkimus,Detailed morfological ultrasound examination of fetus,"Fostermorfologi, detaljerad UL",THL,1999-01-01,2030-12-31,25164,387,25551
TPH07,Valtimon kanylointi,Cathetrisation of artery,Kanylering av arteria,THL,1998-01-01,2030-12-31,4399,21005,25404
TNX10,Nivelpisto,"Arthrocentesis, unspecified region, unspecified region",Ledpunktion,THL,1997-01-01,2030-12-31,17181,6752,23933
WX602,Toistuva tai jatkuva puudutus katetrilla,Repeated or continuing anesthesia shots throug a catheter,"Anestesi genom kateter, flera injektioner eller kontinuerlig infusion",THL,1997-01-01,2030-12-31,3340,20413,23753
PH2AE,Alaraajalaskimoiden ultraäänitutkimus,Ultrasound examination of lower leg veins,"Nedre extremitetens vener, UL",THL,1999-01-01,2030-12-31,11776,11694,23470
LC2AE,Kohdun ja sivuelinten ultraäänitutkimus,Ultrasound examination of uterus and parametria,"Livmoder och parametrier, UL",THL,1999-01-01,2030-12-31,18189,4464,22653
XPX99,Muu verisuonen tutkimustoimenpide,Other diagnostic examination of periferal vessel,Annan diagnostisk åtgärd på perifert kärl,THL,1997-01-01,2030-12-31,9776,12247,22023
WF004,Sädehoito primaarikasvaimen palliatiivisena hoitona,Palliative radiotherapy,Palliativ strålbehandling av primärtumör,THL,2011-01-01,2030-12-31,6949,14996,21945
NE1AA,Lantion röntgen,Pelvis X-ray examination,"Bäcken, röntgen",THL,1999-01-01,2030-12-31,7015,14439,21454
XLD00,Gynekologinen irtosolunäytteen otto,Sytologyspecimen from mouth of uterus,Gynekologisk cellprovtagning,THL,1997-01-01,2030-12-31,17501,3706,21207
SAA03,Suun erikoisalakohtainen tutkimus,Extended examination of mouth,Specialistundersökning av munnen,THL,2000-01-01,2030-12-31,10289,10724,21013
WX002,Sedaatio tai kivunlievitys ilman anestesiaa,Sedation and analgesia,Sedering eller smärtlindring utan anestesi,THL,1997-01-01,2030-12-31,9995,10443,20438
FM1DE,Sydämen doppler-UÄ,Doppler ultrasound examination of heart,"Hjärta, UL med dopplerteknik",THL,1999-01-01,2030-12-31,15729,4635,20364
ULA02,"Kohdunkaulan, emättimen ja ulkosynnyttimien tähystys mikroskoopilla (kolposkopia)",Kolposcopy,Kolposkopi,THL,1900-01-01,2030-12-31,16322,3237,19559
KC1EE,Jäännösvirtsan määritys ultraäänitutkimuksella,Ultrasound measurement of residual urine,Residualurinets mätning med UL,THL,1999-01-01,2030-12-31,16293,3215,19508
WD405,Laajalle levinneen kasvaimen yksinkertainen vasta-ainehoito,Simple antiboidy therapy of methastized malignancy,Enkel behandling av metastaserad tumör med antikroppar,THL,2009-01-01,2030-12-31,8316,10858,19174
NK4XE,Nivelen muu ultraäänitutkimus,Joint ultrasound examination not elsewhere classified,"Led, övrig UL",THL,1999-01-01,2030-12-31,12864,6102,18966
WZC20,Moniammatillinen hoitokokous,Multidisciplinary treatment meeting,Multiprofessionellt vårdmöte,Translator,2006-01-01,2030-12-31,2926,15915,18841
QAE10,Pään tai kaulan ihon tai ihonalaiskudoksen ihon paikallisen muutoksen poisto,Excision of other lesion extending through all layers of skin in head or neck,Excision av kutan eller subkutan förändring i huvud-halsregionen,THL,2005-01-01,2030-12-31,8429,10384,18813
GD1PA,"Thoraxin röntgen, yksi projektio",X-ray examination of the lungs in one projection,"Toraxröntgen, en projektion",THL,1999-01-01,2030-12-31,7477,11287,18764
AA1CG,Pään laaja magneettitutkimus,Extensive MRI examination of brain with high intensity magnet,"Skalle och hjärna, omfattande MR",THL,1999-01-01,2030-12-31,8621,9399,18020
ND2AA,Käden tai sormien röntgen,Hand and fingers X-ray examination,"Hand eller fingrar, röntgen",THL,1999-01-01,2030-12-31,10332,7615,17947
WX302,Epiduraalipuudutus rintarangan tasolla,Thoracal epidural anesthesy,Thorakal epiduralanestesi,THL,1997-01-01,2030-12-31,1609,15940,17549
WX700,Hengityksen ja verenkierron valvonta,Respiratory and circulatory monitoring,Uppvakning av respiration och cirkulation,THL,1998-01-01,2030-12-31,16953,440,17393
WD415,Laajalle levinneen kasvaimen vaativa vasta-ainehoito,Demanding antibody therapy of methastized malignancy,Krävande behandling av metastaserad tumör med antikroppar,THL,2009-01-01,2030-12-31,4476,12866,17342
ZXE06,Toimenpiteen kesto 50-59 minuuttia,Procedure duration 50 to 59 minutes,Vårdåtgärdens tidsåtgång 50-59 min,Translator,2018-01-01,2030-12-31,17036,1,17037
NH3AA,Jalkaterän tai varpaiden röntgen,Foot and toes X-ray examination,"Fot eller tår, röntgen",THL,1999-01-01,2030-12-31,10514,6516,17030
TFP20,Sydämen rytminsiirto,Cardiodefibrillation,Cardioversion av hjärtat,THL,1997-01-01,2030-12-31,12508,4309,16817
Z2446,Sosiaalityöntekijä,Social worker,Socialarbetre,THL,2005-01-01,2030-12-31,16642,1,16643
WXQ27,"UVB-valohoito, kapeakaistainen (311-313 nm)",UVB narrow spectrum light therapy,"Ljusbehandling, smal spektrum UVB",THL,2009-01-01,2030-12-31,11180,5420,16600
WB113,Primaarikasvaimen monisolusalpaajahoito liitännäishoitona,Multiple adjuvant cytostatic therapy,Multipel adjuvant behandling av primärtumör med cellhämmare,THL,1997-01-01,2030-12-31,11306,5252,16558
EB1HA,Hampaiston ja leuan panoraamatomografia tai muu yksinkertainen rakokuvaus,Panorama tomography of teeth and jaws or similar X-ray examination,Ortopantomo- eller annan enkel spaltröntgen av käkar och tänder,THL,1999-01-01,2030-12-31,7910,8457,16367
R2130,Itsenäistä selviytymistä edistävä neuvonta ja ohjaus,Counselling and guidance which enhance independent living,Rådgivning och handledning om självständig levande,THL,1997-01-01,2030-12-31,15606,704,16310
GD1BD,Thoraxin laaja tietokonetomografiatutkimus,Thorax extensive CT-examination,"Toraxregion, omfattande DT",THL,2003-01-01,2030-12-31,6315,9972,16287
NB1AA,Olkanivelen röntgen,Shoulder X-ray examination without contrast,"Axelled, röntgen",THL,1999-01-01,2030-12-31,7407,8861,16268
JN3AA,Vatsan röntgen,Abdominal X-ray examination without contrast,"Buköversikt, röntgen",THL,1999-01-01,2030-12-31,4572,11394,15966
NH1AA,Nilkan röntgen,Ankle X-ray examination without contrast,"Fotled, röntgen",THL,1999-01-01,2030-12-31,9739,6214,15953
UDC00,Korvan mikroskopia,Ear microscopy,Otomikroskopi,THL,1900-01-01,2030-12-31,9624,6320,15944
ND1AA,Ranteen röntgen,Wrist X-ray examination,"Handled, röntgen",THL,1999-01-01,2030-12-31,8755,7081,15836
NGD05,Polven nivelkierukan poisto tähystyksessä osittain,"Partial excision of meniscus of knee, arthroscopic",Artroskopisk delresektion av menisk,THL,1900-01-01,2030-12-31,15398,363,15761
XF404,EKG:n pitkäaikaisrekisteröinti,Ambulatory ECG,Ambulatorisk EKG,THL,1997-01-01,2019-12-31,11602,3995,15597
NK6AN,Luuston gammakuvaus,Total body bone isotope imaging,Isotopundersökning av hela kroppens ben,THL,2009-01-01,2030-12-31,2448,13139,15587
LCA06,Koepalan otto kohdun limakalvosta,Biopsy of endometrium,Biopsi av endometriet,THL,1900-01-01,2030-12-31,11016,4299,15315
R5110,"Apuvälinetarpeen arviointi, apuvälineen valinta, kokeilu ja sovitus sekä käytön opetus ja luovutus","Evaluation of the need for aids, the testing, fitting and choice of the aid, instruction in use and delivery of it","Bedömning av behov av hjälpmedel, utprovning, försök med och val av hjälpmedel samt skolning i användning av hjälpmedel och överlåtelse av detsamma",THL,1997-01-01,2030-12-31,14367,886,15253
UGC12,Keuhkoputkien tähystys taipuisalla tähystimellä,Flexible bronchoscopy,Bronkoskopi med flexibla instrument,THL,1900-01-01,2030-12-31,7216,7912,15128
XF402,Kuormituskoe,ECG with work load test,Belastnings test,THL,1997-01-01,2019-12-31,13042,1724,14766
MA2DE,Sikiön yksityiskohtainen vaativa ultraäänitutkimus erikoistekniikoin,Detailed ultrasound examination of fetus including color doppler method,"Foster, detaljerad grävande UL med specialtekniker",THL,1999-01-01,2030-12-31,10157,4499,14656
R4120,Toimintaterapia,Occupational therapy,Ergoterapi,THL,1997-01-01,2030-12-31,13387,1198,14585
JN4CD,Vartalon erittäin laaja tietokonetomografiatutkimus,Very extensive body CT,"Kropp, mycket omfattande DT",THL,1999-01-01,2030-12-31,4206,10271,14477
QXA25,"Ihomuutoksen paikallinen käsittely, paikkaa ei määritelty","Destruction of lesion of skin, site unspecified","Destruktion av hudförändring, ospecificerad region",THL,2011-01-01,2030-12-31,2332,12119,14451
WF001,Sädehoito primaarikasvaimen preoperatiivisena hoitona,Preoperative radiotherapy,Preoperativ strålbehandling av primärtumör,THL,2011-01-01,2030-12-31,5449,8725,14174
FB1BD,Keuhkojen laaja TT-angiografia,Extensive CT examination of arteria pulmonalis,"Lungkärl, omfattande DT",THL,1999-01-01,2030-12-31,5703,8324,14027
R5140,Apuvälineen käytön seuranta,Monitoring the use of the aid,Uppföljning av hjälpmedlets användning,THL,1997-01-01,2030-12-31,12485,1458,13943
UJF45,"Sigmasuolen tähystys, sigmoideoskopia",Flexible sigmoidoscopy with biopsy,Sigmoideoskopi med flexibla instrument,THL,1900-01-01,2030-12-31,11807,1800,13607
WW500,Verensiirto,Blood transfusion,Blodtransfusion,THL,1998-01-01,2030-12-31,5544,8052,13596
WB103,Primaarikasvaimen yksinkertainen solusalpaajahoito liitännäishoitona,Simple adjuvant cytostatic therapy,Enkel adjuvant behandling av primärtumör med cellhämmare,THL,1997-01-01,2030-12-31,6565,6936,13501
QDB10,Alaraajan ihohaavan tarkistus ja siteenvaihto,Major dressing of wound of skin of lower limb,Inspektion/förbandsbyte vid sår på nedre extremiteten,THL,1900-01-01,2030-12-31,11382,2047,13429
ZY020,"Puhelu, kirje tai konsultaatio","Telephone, letter or other consultation without direct patient contact","Telefonkontakt, brev eller konsultaion",THL,2005-01-01,2017-12-31,12348,1030,13378
NK6QA,"Luun laaja tiheysmittausröntgen, DXA (kaksi kohdetta)",Measurement of bone density from tow or more locations with X-ray,"Bentäthetsmätning med röntgen, omfattande (två mätpunkter)",THL,1999-01-01,2030-12-31,7319,5987,13306
WD325,Laajalle levinneen kasvaimen vaativa hoito biovasteenmuuntajilla,Demanding therapy of methastized malignancy with biomodifiers,Krävande behandling av vitt spridd tumör med biomodulatorer,THL,1997-01-01,2030-12-31,1876,11070,12946
ZXE02,Toimenpiteen kesto 10-19 minuuttia,Procedure duration 10 to 19 minutes,Vårdåtgärdens tidsåtgång 10-19 min,Translator,2018-01-01,2030-12-31,12805,18,12823
XF600,Verenpaineen mittaus,Bloodpressure measurement,Blodtrycksmätning,THL,1997-01-01,2030-12-31,5852,6823,12675
PJA12,Merkityn vartijasolmukkeen poisto,Sentinel node biopsy,Excision av märkt sentinel lymfkörtel,THL,2004-01-01,2030-12-31,4986,7546,12532
NA3BG,Lannerangan magneettitutkimus,Lumbar spine MRI examination with high intensity magnet,"Ländrygg, MR",THL,1999-01-01,2030-12-31,8906,3397,12303
HA013,Rintarauhasen täydellisen poiston jälkeinen sädehoito,Radiotherapy after total ablation of mammary gland,Strålbehandling efter total mastektomi,THL,1997-01-01,2030-12-31,11633,612,12245
WD135,Laajalle levinneen kasvaimen erittäin vaativa solusalpaajahoito,Demanding cystostatic therapy of methastized malignancy,Mycket krävande behandling av spridd tumör med cellhämmare,THL,1997-01-01,2030-12-31,3801,8376,12177
TK810,Hemofiltraatio,Hemofiltration,Hemofiltration,THL,1998-01-01,2030-12-31,12091,65,12156
ZXC50,"Jäädytys, kryokoagulaatio",Cryotherapy,Användande av kryoterapi,THL,1900-01-01,2030-12-31,2261,9584,11845
AA400,Sähköshokki psyykkisen sairauden hoitona,Electroconvulsive therapy,Elektrokonvulsiv terapi (ECT),THL,1997-01-01,2030-12-31,8749,3073,11822
WZB00,Puhelimitse annettu hoito-ohje ja mahdollinen resepti,Telephone receipt or other advice,Vårddirektiv och ev. recept givna per telefon,THL,2000-01-01,2030-12-31,10200,1578,11778
ZX112,Ihon alle,Subcutaneous,Subcutan,THL,1997-01-01,2030-12-31,10515,1235,11750
KH1AE,Virtsaelinten ultraäänitutkimus,Urinary tract ultrasound examination,"Njurar och urinvägar, UL",THL,1999-01-01,2030-12-31,5118,6573,11691
ZXE03,Toimenpiteen kesto 20-29 minuuttia,Procedure duration 20 to 29 minutes,Vårdåtgärdens tidsåtgång 20-29 min,Translator,2018-01-01,2030-12-31,11624,6,11630
ZXE04,Toimenpiteen kesto 30-39 minuuttia,Procedure duration 30 to 39 minutes,Vårdåtgärdens tidsåtgång 30-39 min,Translator,2018-01-01,2030-12-31,11345,3,11348
NJ2MA,Alaraajan mekaanisen akselin mittausröntgen,Measurement of mechanical axis of lower leg with X-ray,"Mätning av benens mekaniska axel, röntgen",THL,1999-01-01,2030-12-31,6522,4711,11233
WX306,Epiduraalipuudutus lannerangan tasolla,Lumbar epidural anesthesy,Lumbal epiduralanestesi,THL,1997-01-01,2030-12-31,4219,6911,11130
JKA21,Sappirakon poisto vatsaontelon tähystyksessä,Laparoscopic cholecystectomy,Laparoskopisk cholecystektomi,THL,1900-01-01,2030-12-31,9583,1300,10883
JAB30,Nivustyrän korjaus keinoaineella,Repair of inguinal hernia using prosthetic material,Radikaloperation av ljumskbråck med implantation av främmande material,THL,1900-01-01,2030-12-31,9782,1012,10794
MA1AE,Varhaisraskauden ultraäänitutkimus,Ultrasound examination of early pregnancy (before 12. postmenstrual week),"Tidig graviditet, UL",THL,1999-01-01,2030-12-31,9941,517,10458
UDH02,Nenän ja nenänielun tähystys,Rhinopharyngoscopy,Rinofaryngoskopi,THL,1900-01-01,2030-12-31,7300,3018,10318
UJF30,Ohutsuolen tähystys paksusuolen kautta,Ileoscopy through colon,Ileoskopi genom colon,THL,1999-01-01,2030-12-31,10003,301,10304
SAA02,Suun perustutkimus,Basic examination of mouth,Grundundersökning av munnen,THL,2000-01-01,2030-12-31,7127,3165,10292
QBE10,Vartalon ihon tai ihonalaiskudoksen paikallisen muutoksen poisto koko ihon paksuudelta,Excision of other lesion extending through all layers of skin of trunk,Excision av kutan/subkutan förändring från all skikter av hud på bålen,THL,2005-01-01,2030-12-31,6356,3884,10240
ZX090,Muu sädehoidon tekniikka,Other technic of radiotherapy,Annan strålbehandlings teknik,THL,1997-01-01,2030-12-31,10172,11,10183
GD1DD,Keuhkokudoksen HR-tietokonetomografiatutkimus,High resolution CT examination of lungs,"Lungor, högresolutions-DT",THL,2003-01-01,2030-12-31,4031,6021,10052
MCA10,Keisarileikkaus kohdunsolan eli istmuksen läpi,Lower uterine segment caesarean section,Abdominalt kejsarsnitt på istmus,THL,1900-01-01,2030-12-31,9412,544,9956
MA2JE,Sikiön niskapoimun mittaus ultraäänellä,Ultrasound screening of fetal nuchal translucency,Obstetrisk ultraljudsundersökning s.k. NUPP,THL,2009-01-01,2030-12-31,9797,77,9874
FN1BC,Sydämen ja/tai sepelvaltimoiden laaja varjoainetutkimus,Extensive angiography of hear and/or coronary arteries,"Angiografi av hjärta och/eller koronarkärl, omfattande",THL,1999-01-01,2015-12-31,4980,4866,9846
AA1BG,Pään magneettitutkimus,Standard MRI examination of brain with high intensity magnet,"Skalle och hjärna, MR",THL,1999-01-01,2030-12-31,6552,3233,9785
ZXE13,Toimenpiteen kesto 90-119 minuuttia,Procedure duration 90 to 119 minutes,Vårdåtgärdens tidsåtgång 90-119 min,Translator,2018-01-01,2030-12-31,9782,1,9783
MA2XE,Obstetrinen muu ultraäänitutkimus,Other obstetric ultrasound examination,Annan obstetrisk UL,THL,1999-01-01,2030-12-31,8846,892,9738
TKC20,Virtsarakkokatetrin asettaminen,Catheterisation of bladder,Katetrisering av urinblåsan,THL,1900-01-01,2030-12-31,7841,1800,9641
JEA00,Umpilisäkkeen poisto,Appendectomy,Öppen appendektomi,THL,1900-01-01,2030-12-31,6584,2918,9502
XMA22,Raskauden yleistutkimus,General examination of pregnant woman,Generell undersökning av graviditet,THL,1997-01-01,2030-12-31,9343,66,9409
ZXC96,Robotin käyttö leikkauksessa,Robot assisted procedure,Robotassisterad operation,THL,2005-01-01,2030-12-31,1424,7947,9371
XJH00,Ultraäänitutkimus peräaukon kautta,Transanal ultrasonography,Transanal ultraljudsundersökning,THL,1900-01-01,2030-12-31,5778,3562,9340
TAB00,Lannepisto (lumbaalipunktio),Lumbar puncture,Lumbalpunktion,THL,1900-01-01,2030-12-31,3963,5357,9320
XQ800,Prick-testi,Prick test,Prick-test,THL,1997-01-01,2030-12-31,8252,1031,9283
R2110,Ensitiedon antaminen,Giving the first information,Avgivande av första information,THL,1997-01-01,2030-12-31,8748,532,9280
ZXE05,Toimenpiteen kesto 40-49 minuuttia,Procedure duration 40 to 49 minutes,Vårdåtgärdens tidsåtgång 40-49 min,Translator,2018-01-01,2030-12-31,9250,2,9252
ZXM10,Läpivalaisun käyttö leikkauksen aikana,Intraoperative use of conventional X-ray imaging,Användande av konventionell röntgen under operation,THL,2008-01-01,2030-12-31,3288,5830,9118
CKC12,Verkkokalvon fotokoagulaatio,Photocoagulation of retina,Fotokoagulation av näthinna,THL,2008-01-01,2030-12-31,7733,1381,9114
NGB20,"Polven tekonivel ilman lumpio-osaa, liukuproteesi",Primary total prosthetic replacement of knee joint without patellar part,"Glidprotes för knä, utan patellakomponent",THL,1900-01-01,2030-12-31,9028,21,9049
