CodeId,English_name_ICD10fi,ICD10who_name,English_name_match_level,accept
V10.2,Pedal cyclist injured in collision with pedestrian or animal,"Pedal cyclist injured in collision with pedestrian or animal, Unspecified pedal cyclist injured in nontraffic accident",58,1
G40.3,"Generalized epileptic syndromes with atonic, clonic, myoclonic or tonic-clonic seizures",Generalized idiopathic epilepsy and epileptic syndromes,57,1
R84,Abnormal findings in bronchial washings nasal secretions pleural fluid sputum throat scrapings,Abnormal findings in specimens from respiratory organs and thorax,56,1
V10.9,Pedal cyclist injured in collision with pedestrian or animal,"Pedal cyclist injured in collision with pedestrian or animal, Unspecified pedal cyclist injured in traffic accident",55,1
V16.9,Pedal cyclist injured in collision with train or tram - Traffic accident,"Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in traffic accident",52,0
C76.0&,"Head, face and neck","Malignant neoplasm of other and ill-defined sites: Head, face and neck",51,1
C76.1&,Thorax,Malignant neoplasm of other and ill-defined sites: Thorax,51,1
C76.2&,Abdomen,Malignant neoplasm of other and ill-defined sites: Abdomen,51,1
C76.3&,Pelvis,Malignant neoplasm of other and ill-defined sites: Pelvis,51,1
C76.4&,Upper limb,Malignant neoplasm of other and ill-defined sites: Upper limb,51,1
C76.5&,Lower limb,Malignant neoplasm of other and ill-defined sites: Lower limb,51,1
C76.7&,Other ill-defined sites,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites,51,1
C76.8&,Overlapping lesion of other and ill-defined sites,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites,51,1
V11.2,Pedal cyclist injured in collision with other pedal cycle other nonmotor vehicle,"Pedal cyclist injured in collision with other pedal cycle, unspecified pedal cyclist injured in nontraffic accident",49,1
H54,Blindness and low vision,Visual impairment including blindness (binocular or monocular),48,1
Q87.3,Syndrome Weaver,Congenital malformation syndromes involving early overgrowth,47,1
T81.0,Haemorrhage at any site resulting from a procedure,"Haemorrhage and haematoma complicating a procedure, not elsewhere classified",47,1
C77.0&,"Lymph nodes of head, face and neck","Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck",46,1
C77.1&,Intrathoracic lymph nodes,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes,46,1
C77.2&,Intra-abdominal lymph nodes,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes,46,1
C77.3&,Axillary and upper limb lymph nodes,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes,46,1
C77.4&,Inguinal and lower limb lymph nodes,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes,46,1
C77.5&,Intrapelvic lymph nodes,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes,46,1
C77.8&,Lymph nodes of multiple regions,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions,46,1
C77.9&,"Lymph node, unspecified","Secondary and unspecified malignant neoplasm: Lymph node, unspecified",46,1
V11.9,Pedal cyclist injured in collision with other pedal cycle or other nonmotor vehicle,"Pedal cyclist injured in collision with other pedal cycle, unspecified pedal cyclist injured in traffic accident",46,1
O11,Pre-existing hypertensive disorder with superimposed proteinuria,Pre-eclampsia superimposed on chronic hypertension,45,1
R89.0,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal level of enzymes,"Abnormal findings in specimens from other organs, systems and tissues, abnormal level of enzymes",45,1
R89.1,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal level of hormones,"Abnormal findings in specimens from other organs, systems and tissues, abnormal level of hormones",45,1
R89.2,"Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal level of other drugs, medicaments and biological substances","Abnormal findings in specimens from other organs, systems and tissues, abnormal level of other drugs, medicaments and biological substances",45,1
R89.3,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal level of substances chiefly nonmedicinal as to source,"Abnormal findings in specimens from other organs, systems and tissues, abnormal level of substances chiefly nonmedicinal as to source",45,1
R89.4,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal immunological findings,"Abnormal findings in specimens from other organs, systems and tissues, abnormal immunological findings",45,1
R89.5,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal microbiological findings,"Abnormal findings in specimens from other organs, systems and tissues, abnormal microbiological findings",45,1
R89.6,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal cytological findings,"Abnormal findings in specimens from other organs, systems and tissues, abnormal cytological findings",45,1
R89.7,Abnormal findings in nipple discharge synovial fluid wound secretions - Abnormal histological findings,"Abnormal findings in specimens from other organs, systems and tissues, abnormal histological findings",45,1
R89.8,Abnormal findings in nipple discharge synovial fluid wound secretions - Other abnormal findings,"Abnormal findings in specimens from other organs, systems and tissues, other abnormal findings",45,1
R89.9,Abnormal findings in nipple discharge synovial fluid wound secretions - Unspecified abnormal finding,"Abnormal findings in specimens from other organs, systems and tissues, unspecified abnormal finding",45,1
D37.1&,Stomach,Neoplasm of uncertain or unknown behaviour: Stomach,44,1
D37.2&,Small intestine,Neoplasm of uncertain or unknown behaviour: Small intestine,44,1
D37.3&,Appendix,Neoplasm of uncertain or unknown behaviour: Appendix,44,1
D37.4&,Colon,Neoplasm of uncertain or unknown behaviour: Colon,44,1
D37.5&,Rectum,Neoplasm of uncertain or unknown behaviour: Rectum,44,1
D37.6&,"Liver, gallbladder and bile ducts","Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts",44,1
D37.7&,Other digestive organs,Neoplasm of uncertain or unknown behaviour: Other digestive organs,44,1
D37.9&,"Digestive organ, unspecified","Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified",44,1
D39.0&,Uterus,Neoplasm of uncertain or unknown behaviour: Uterus,44,1
D39.1,Ovary,Neoplasm of uncertain or unknown behaviour: Ovary,44,1
D39.2&,Placenta,Neoplasm of uncertain or unknown behaviour: Placenta,44,1
D39.7&,Other female genital organs,Neoplasm of uncertain or unknown behaviour: Other female genital organs,44,1
D39.9&,"Female genital organ, unspecified","Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified",44,1
D40.0&,Prostate,Neoplasm of uncertain or unknown behaviour: Prostate,44,1
D40.1&,Testis,Neoplasm of uncertain or unknown behaviour: Testis,44,1
D40.7&,Other male genital organs,Neoplasm of uncertain or unknown behaviour: Other male genital organs,44,1
D40.9&,"Male genital organ, unspecified","Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified",44,1
D41.0&,Kidney,Neoplasm of uncertain or unknown behaviour: Kidney,44,1
D41.1&,Renal pelvis,Neoplasm of uncertain or unknown behaviour: Renal pelvis,44,1
D41.2&,Ureter,Neoplasm of uncertain or unknown behaviour: Ureter,44,1
D41.3&,Urethra,Neoplasm of uncertain or unknown behaviour: Urethra,44,1
D41.4&,Bladder,Neoplasm of uncertain or unknown behaviour: Bladder,44,1
D41.7&,Other urinary organs,Neoplasm of uncertain or unknown behaviour: Other urinary organs,44,1
D41.9&,"Urinary organ, unspecified","Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified",44,1
D42.0&,Cerebral meninges,Neoplasm of uncertain or unknown behaviour: Cerebral meninges,44,1
D42.1&,Spinal meninges,Neoplasm of uncertain or unknown behaviour: Spinal meninges,44,1
D42.9&,"Meninges, unspecified","Neoplasm of uncertain or unknown behaviour: Meninges, unspecified",44,1
D43.0&,"Brain, supratentorial","Neoplasm of uncertain or unknown behaviour: Brain, supratentorial",44,1
D43.1&,"Brain, infratentorial","Neoplasm of uncertain or unknown behaviour: Brain, infratentorial",44,1
D43.2&,"Brain, unspecified","Neoplasm of uncertain or unknown behaviour: Brain, unspecified",44,1
D43.3&,Cranial nerves,Neoplasm of uncertain or unknown behaviour: Cranial nerves,44,1
D43.4&,Spinal cord,Neoplasm of uncertain or unknown behaviour: Spinal cord,44,1
D43.7&,Other parts of central nervous system,Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system,44,1
D43.9&,"Central nervous system, unspecified","Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified",44,1
D44.0&,Thyroid gland,Neoplasm of uncertain or unknown behaviour: Thyroid gland,44,1
D44.1&,Adrenal gland,Neoplasm of uncertain or unknown behaviour: Adrenal gland,44,1
D44.2&,Parathyroid gland,Neoplasm of uncertain or unknown behaviour: Parathyroid gland,44,1
D44.3&,Pituitary gland,Neoplasm of uncertain or unknown behaviour: Pituitary gland,44,1
D44.4&,Craniopharyngeal duct,Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct,44,1
D44.5&,Pineal gland,Neoplasm of uncertain or unknown behaviour: Pineal gland,44,1
D44.6&,Carotid body,Neoplasm of uncertain or unknown behaviour: Carotid body,44,1
D44.7&,Aortic body and other paraganglia,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia,44,1
D44.8&,Pluriglandular involvement,Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement,44,1
D44.9&,"Endocrine gland, unspecified","Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified",44,1
D48.0&,Bone and articular cartilage,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,44,1
D48.1&,Connective and other soft tissue,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue,44,1
D48.2&,Peripheral nerves and autonomic nervous system,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system,44,1
D48.3&,Retroperitoneum,Neoplasm of uncertain or unknown behaviour: Retroperitoneum,44,1
D48.4&,Peritoneum,Neoplasm of uncertain or unknown behaviour: Peritoneum,44,1
D48.5&,Skin,Neoplasm of uncertain or unknown behaviour: Skin,44,1
D48.6&,Breast,Neoplasm of uncertain or unknown behaviour: Breast,44,1
D48.7&,Other specified sites,Neoplasm of uncertain or unknown behaviour: Other specified sites,44,1
D48.9&,"Neoplasm of uncertain or unknown behaviour, unspecified","Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified",44,1
F79.9,Unspecified mental retardation,"Unspecified mental retardation, without mention of impairment of behaviour",44,1
G59.0*,Diabetic mononeuropathy (E10-E14+ with common fourth character .4),Diabetic mononeuropathy,43,1
G63.2*,Diabetic polyneuropathy (E10-E14+ with common fourth character .4),Diabetic polyneuropathy,43,1
H28.0*,Diabetic cataract (E10-E14+ with common fourth character .3),Diabetic cataract,43,1
M14.2*,Diabetic arthropathy (E10-E14+ with common fourth character .6),Diabetic arthropathy,43,1
Y57,Other and unspecified drugs and medicaments,Adverse effects in the therapeutic use of other and unspecified drugs and medicaments,43,1
Y58,Bacterial vaccines,Adverse effects in the therapeutic use of bacterial vaccines,43,1
Y59,Other and unspecified vaccines and biological substances,Adverse effects in the therapeutic use of other and unspecified vaccines and biological substances,43,1
D76,Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,42,1
G23.2,Striatonigral degeneration,"Multiple system atrophy, parkinsonian type [MSA-P]",42,0
R85.0,Abnormal findings in peritoneal fluid saliva - Abnormal level of enzymes,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal level of enzymes",42,1
R85.1,Abnormal findings in peritoneal fluid saliva - Abnormal level of hormones,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal level of hormones",42,1
R85.2,"Abnormal findings in peritoneal fluid saliva - Abnormal level of other drugs, medicaments and biological substances","Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal level of other drugs, medicaments and biological substances",42,1
R85.3,Abnormal findings in peritoneal fluid saliva - Abnormal level of substances chiefly nonmedicinal as to source,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal level of substances chiefly nonmedicinal as to source",42,1
R85.4,Abnormal findings in peritoneal fluid saliva - Abnormal immunological findings,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal immunological findings",42,1
R85.5,Abnormal findings in peritoneal fluid saliva - Abnormal microbiological findings,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal microbiological findings",42,1
R85.6,Abnormal findings in peritoneal fluid saliva - Abnormal cytological findings,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal cytological findings",42,1
R85.7,Abnormal findings in peritoneal fluid saliva - Abnormal histological findings,"Abnormal findings in specimens from digestive organs and abdominal cavity, abnormal histological findings",42,1
R85.8,Abnormal findings in peritoneal fluid saliva - Other abnormal findings,"Abnormal findings in specimens from digestive organs and abdominal cavity, other abnormal findings",42,1
R85.9,Abnormal findings in peritoneal fluid saliva - Unspecified abnormal finding,"Abnormal findings in specimens from digestive organs and abdominal cavity, unspecified abnormal finding",42,1
R89,Abnormal findings in nipple discharge synovial fluid wound secretions,"Abnormal findings in specimens from other organs, systems and tissues",42,1
G63.3*,"Polyneuropathy in other endocrine and metabolic diseases (E00-E07+, E15-E16+, E20-E34+, E70-E89+)",Polyneuropathy in other endocrine and metabolic diseases,41,1
V16.2,Pedal cyclist injured in collision with train or tram - Unspecified or nontraffic accident,"Pedal cyclist injured in collision with other nonmotor vehicle, unspecified pedal cyclist injured in nontraffic accident",41,0
A09,Diarrhoea and gastroenteritis of presumed infectious origin,Other gastroenteritis and colitis of infectious and unspecified origin,40,1
M47.81,Lumbosacral spondylosis without myelopathy or radiculopathy,"Other spondylosis, occipito-atlanto-axial region",40,0
V28.9,Motorcycle rider injured in noncollision transport accidents traffic accident,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in traffic accident",40,1
M89.81,Post-traumatic subperiosteal ossification,"Other specified disorders of bone, shoulder region",39,0
R85,Abnormal findings in peritoneal fluid saliva,Abnormal findings in specimens from digestive organs and abdominal cavity,39,1
R86.0,Abnormal spermatozoa - Abnormal level of enzymes,"Abnormal findings in specimens from male genital organs, abnormal level of enzymes",39,1
R86.1,Abnormal spermatozoa - Abnormal level of hormones,"Abnormal findings in specimens from male genital organs, abnormal level of hormones",39,1
R86.2,"Abnormal spermatozoa - Abnormal level of other drugs, medicaments and biological substances","Abnormal findings in specimens from male genital organs, abnormal level of other drugs, medicaments and biological substances",39,1
R86.3,Abnormal spermatozoa - Abnormal level of substances chiefly nonmedicinal as to source,"Abnormal findings in specimens from male genital organs, abnormal level of substances chiefly nonmedicinal as to source",39,1
R86.4,Abnormal spermatozoa - Abnormal immunological findings,"Abnormal findings in specimens from male genital organs, abnormal immunological findings",39,1
R86.5,Abnormal spermatozoa - Abnormal microbiological findings,"Abnormal findings in specimens from male genital organs, abnormal microbiological findings",39,1
R86.6,Abnormal spermatozoa - Abnormal cytological findings,"Abnormal findings in specimens from male genital organs, abnormal cytological findings",39,1
R86.7,Abnormal spermatozoa - Abnormal histological findings,"Abnormal findings in specimens from male genital organs, abnormal histological findings",39,1
R86.8,Abnormal spermatozoa - Other abnormal findings,"Abnormal findings in specimens from male genital organs, other abnormal findings",39,1
R86.9,Abnormal spermatozoa - Unspecified abnormal finding,"Abnormal findings in specimens from male genital organs, unspecified abnormal finding",39,1
B05.0+,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis,38,1
B05.0+G05.1,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis,38,1
G05.1*B05.0,"Encephalitis, myelitis or encephalomyelitis (in) measles",Measles complicated by encephalitis,38,1
M47.80,Cervical spondylosis without myelopathy or radiculopathy,"Other spondylosis, multiple sites in spine",38,0
M89.80,Infantile cortical hyperostoses,"Other specified disorders of bone, multiple sites",38,1
W01,Fall on same level,"Fall on same level from slipping, tripping and stumbling",38,1
M47.82,Thoracic spondylosis without myelopathy or radiculopathy,"Other spondylosis, cervical region",37,0
R86,Abnormal spermatozoa,Abnormal findings in specimens from male genital organs,37,1
R87.0,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal level of enzymes,"Abnormal findings in specimens from female genital organs, abnormal level of enzymes",37,1
R87.1,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal level of hormones,"Abnormal findings in specimens from female genital organs, abnormal level of hormones",37,1
R87.2,"Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal level of other drugs, medicaments and biological substances","Abnormal findings in specimens from female genital organs, abnormal level of other drugs, medicaments and biological substances",37,1
R87.3,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal level of substances chiefly nonmedicinal as to source,"Abnormal findings in specimens from female genital organs, abnormal level of substances chiefly nonmedicinal as to source",37,1
R87.4,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal immunological findings,"Abnormal findings in specimens from female genital organs, abnormal immunological findings",37,1
R87.5,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal microbiological findings,"Abnormal findings in specimens from female genital organs, abnormal microbiological findings",37,1
R87.6,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal cytological findings,"Abnormal findings in specimens from female genital organs, abnormal cytological findings",37,1
R87.7,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Abnormal histological findings,"Abnormal findings in specimens from female genital organs, abnormal histological findings",37,1
R87.8,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Other abnormal findings,"Abnormal findings in specimens from female genital organs, other abnormal findings",37,1
R87.9,Abnormal findings in secretions and smears from cervix uteri vagina vulva - Unspecified abnormal finding,"Abnormal findings in specimens from female genital organs, unspecified abnormal finding",37,1
V48.9,Car occupant injured in noncollision transport accident traffic accident,"Car occupant injured in noncollision transport accident, unspecified car occupant injured in traffic accident",37,1
D47.2,Monoclonal gammopathy,Monoclonal gammopathy of undetermined significance (MGUS),36,1
H54.1,"Blindness, one eye, low vision other eye","Severe visual impairment, binocular",36,1
C14.1&,Laryngopharynx,Malignant neoplasm of laryngopharynx unspecified,35,1
R87,Abnormal findings in secretions and smears from cervix uteri vagina vulva,Abnormal findings in specimens from female genital organs,35,1
C92.2,Subacute myeloid leukaemia,"Atypical chronic myeloid leukaemia, BCR/ABL- negative",33,0
F66.8,Other specified disorders of psychosexual development,Other psychosexual development disorders,33,1
O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,Gestational [pregnancy-induced] hypertension,32,1
O24.0,"Pre-existing diabetes mellitus, insulin-dependent","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, insulin-dependent",32,1
O24.1,"Pre-existing diabetes mellitus, non-insulin-dependent","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, non-insulin-dependent",32,1
O24.2,Pre-existing malnutrition-related diabetes mellitus,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus,32,1
O24.3,"Pre-existing diabetes mellitus, unspecified","Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified",32,1
V48.2,Car occupant injured in noncollision transport accident unspecified or nontraffic accident,"Car occupant injured in noncollision transport accident, person on outside of vehicle injured in nontraffic accident",32,0
G23.1,Progressive supranuclear ophthalmoplegia,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],30,1
C81.0&,Lymphocytic predominance,Nodular lymphocyte predominant Hodgkin lymphoma,29,0
C91.5,Adult T-cell leukaemia,Adult T-cell lymphoma/leukaemia [HTLV-1-associated],29,1
G55.3*,"Nerve root and plexus compressions in other dorsopathies (M45-M46+, M48.-+, M53-M54+)",Nerve root and plexus compressions in other dorsopathies,29,1
H54.3,"Unqualified visual loss, both eyes","Mild or no visual impairment, binocular",29,0
U07.1,2019-nCoV acute respiratory disease,Emergency use of U07.1,29,0
C81.3,Lymphocytic depletion,Lymphocyte depleted classical Hodgkin lymphoma,28,1
Q52.4,Cyst embryonic vaginal,Other congenital malformations of vagina,28,1
Z74.0,Reduced mobility,Need for assistance due to reduced mobility,28,1
C78.7&,Secondary malignant neoplasm of liver,Secondary malignant neoplasm of liver and intrahepatic bile duct,27,1
C81.1,Nodular sclerosis,Nodular sclerosis classical Hodgkin lymphoma,27,1
C81.2,Mixed cellularity,Mixed cellularity classical Hodgkin lymphoma,27,1
H54.2,"Low vision, both eyes","Moderate visual impairment, binocular",27,0
H54.6,"Unqualified visual loss, one eye","Moderate visual impairment, monocular",27,0
U06.9,"Zika virus disease, unspecified",Emergency use of U06.9,27,0
B05.1+,Meningitis (due to) measles,Measles complicated by meningitis,26,1
B05.1+G02.0,Meningitis (due to) measles,Measles complicated by meningitis,26,1
B05.3+,Otitis media in measles,Measles complicated by otitis media,26,1
B05.3+H67.1,Otitis media in measles,Measles complicated by otitis media,26,1
C84.4,Peripheral T-cell lymphoma,"Peripheral T-cell lymphoma, not elsewhere classified",26,1
G02.0*B05.1,Meningitis (due to) measles,Measles complicated by meningitis,26,1
H67.1*B05.3,Otitis media in measles,Measles complicated by otitis media,26,1
I20.1,Angina angiospastic,Angina pectoris with documented spasm,26,0
V11,Pedal cyclist injured in collision with other pedal cycle or other nonmotor vehicle,Pedal cyclist injured in collision with other pedal cycle,26,1
V28.2,Motorcycle rider injured in noncollision transport accidents unspecified or nontraffic accident,"Motorcycle rider injured in noncollision transport accident, unspecified motorcycle rider injured in nontraffic accident",26,1
B05.2+,Pneumonia in measles,Measles complicated by pneumonia,25,1
B05.2+J17.1,Pneumonia in measles,Measles complicated by pneumonia,25,1
H54.5,"Low vision, one eye","Severe visual impairment, monocular",25,0
J17.1*B05.2,Pneumonia in measles,Measles complicated by pneumonia,25,1
W68,Drowning and submersion in swimming-pool or bath,Drowning and submersion following fall into swimming-pool,25,0
C82,Follicular [nodular] non-Hodgkin's lymphoma,Follicular lymphoma,24,1
C90.2,"Plasmacytoma, extramedullary",Extramedullary plasmacytoma,24,1
C92.1,Chronic myeloid leukaemia,"Chronic myeloid leukaemia [CML], BCR/ABL-positive",24,0
H59.0,Vitreous syndrome following cataract surgery,Keratopathy (bullous aphakic) following cataract surgery,24,0
C51.1&,Labium minoris,Malignant neoplasm: Labium minus,23,1
C83.6,Undifferentiated (diffuse),Undifferentiated (diffuse) non-Hodgkin's lymphoma,23,1
C84,Peripheral and cutaneous T-cell lymphomas,Mature T/NK-cell lymphomas,23,0
D26.0&,Cervix uteri,Other benign neoplasm: Cervix uteri,23,1
D26.1&,Corpus uteri,Other benign neoplasm: Corpus uteri,23,1
D26.7&,Other parts of uterus,Other benign neoplasm: Other parts of uterus,23,1
D26.9&,"Uterus, unspecified","Other benign neoplasm: Uterus, unspecified",23,1
K43.9,Ventral hernia without obstruction or gangrene,Other and unspecified ventral hernia without obstruction or gangrene,23,1
L40.5+,"Arthropathic psoriasis (M07.0-M07.3*, M09.0*)",Arthropathic psoriasis,23,1
A49.1,"Streptococcal infection, unspecified","Streptococcal and enterococcal infection, unspecified site",22,1
A74.0,Paratrachoma,Chlamydial conjunctivitis,22,0
B96.5,Pseudomonas (aeruginosa)(mallei)(pseudomallei) as the cause of diseases classified to other chapters,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,22,1
C14.2&,Waldeyer's ring,Malignant neoplasm: Waldeyer ring,22,1
C17.3&,Meckel's diverticulum,Malignant neoplasm: Meckel diverticulum,22,1
C83.9,"Diffuse non-Hodgkin's lymphoma, unspecified","Non-follicular (diffuse) lymphoma, unspecified",22,1
E11.1,Non-insulin-dependent diabetes mellitus - With ketoacidosis,"Type 2 diabetes mellitus, with ketoacidosis",22,1
E11.2+,Non-insulin-dependent diabetes mellitus - With renal complications,"Type 2 diabetes mellitus, with renal complications",22,1
E11.3+,Non-insulin-dependent diabetes mellitus - With ophthalmic complications,"Type 2 diabetes mellitus, with ophthalmic complications",22,1
E11.4+,Non-insulin-dependent diabetes mellitus - With neurological complications,"Type 2 diabetes mellitus, with neurological complications",22,1
E11.5,Non-insulin-dependent diabetes mellitus - With peripheral circulatory complications,"Type 2 diabetes mellitus, with peripheral circulatory complications",22,1
E11.6,Non-insulin-dependent diabetes mellitus - With other specified complications,"Type 2 diabetes mellitus, with other specified complications",22,1
E11.7,Non-insulin-dependent diabetes mellitus - With multiple complications,"Type 2 diabetes mellitus, with multiple complications",22,1
E11.8,Non-insulin-dependent diabetes mellitus - With unspecified complications,"Type 2 diabetes mellitus, with unspecified complications",22,1
E11.9,Non-insulin-dependent diabetes mellitus - Without complications,"Type 2 diabetes mellitus, without complications",22,1
W31,Contact with machinery,Contact with other and unspecified machinery,22,1
B00.4,Herpes causing meningitis or encephalitis,Herpesviral encephalitis,21,0
E28.0#,Estrogen excess,Ovarian dysfunction: Estrogen excess,21,1
E28.1#,Androgen excess,Ovarian dysfunction: Androgen excess,21,1
G63.6*,"Polyneuropathy in other musculoskeletal disorders (M00-M25+, M40-M96+)",Polyneuropathy in other musculoskeletal disorders,21,1
K51.4,Pseudopolyposis of colon,Inflammatory polyps,21,0
C10.4&,Branchial cleft,Malignant neoplasm: Branchial cleft,20,1
C10.8&,Overlapping lesion of oropharynx,Malignant neoplasm: Overlapping lesion of oropharynx,20,1
C10.9&,"Oropharynx, unspecified","Malignant neoplasm: Oropharynx, unspecified",20,1
C11.0&,Superior wall of nasopharynx,Malignant neoplasm: Superior wall of nasopharynx,20,1
C11.1&,Posterior wall of nasopharynx,Malignant neoplasm: Posterior wall of nasopharynx,20,1
C11.2&,Lateral wall of nasopharynx,Malignant neoplasm: Lateral wall of nasopharynx,20,1
