ATCKOODI;MYYNTILUPANRO;PAATOSPVM;PAATTYMISPVM;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;PROSESSINIMI;TILANIMI;HALTIJANNIMI;PAKKAUSKOKO;NIMI;KAUPAN;VNRNRO;KAUPPAANTULOPVM;KAUPASTAPOISPVM
C01CA04;10647;12.02.1992;31.10.2009;ABBODOP;1 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;12 x 250 ml;;0;176818;17.03.1993;10.10.2002
C01CA04;10648;12.02.1992;31.10.2009;ABBODOP;2 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;12 x 500 ml;;0;133470;;18.11.1996
C01CA04;10648;12.02.1992;31.10.2009;ABBODOP;2 mg/ml;infuusioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOSPIRA ENTERPRISES;250 ml;;0;176859;17.03.1993;30.10.1995
J01FA01;8486;20.04.1983;20.04.2003;ABBOTICIN;250 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;100;Tablettipurkki;0;404962;;
J01FA01;9222;05.02.1986;05.02.2003;ABBOTICIN;100 mg/ml;rakeet oraalisuspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;200 ml;Pullo;0;103747;25.09.1986;
J01FA01;9222;05.02.1986;05.02.2003;ABBOTICIN;100 mg/ml;rakeet oraalisuspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;100 ml;Pullo;0;085845;25.02.1986;
J01FA01;8486;20.04.1983;20.04.2003;ABBOTICIN;250 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;40;Läpipainopakkaus;0;404996;;25.10.1999
J01FA01;35021;29.03.2017;29.03.2022;ABBOTICIN;;infuusiokuiva-aine, liuosta varten;Kansallinen;Myyntilupa myönnetty;ORIFARM;1 g;Injektiopullo;1;467014;01.12.2017;
J01FA01;8486;20.04.1983;20.04.2003;ABBOTICIN;250 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;32;Läpipainopakkaus;0;072744;15.05.1984;11.04.1997
J01FA01;9143;30.10.1985;;ABBOTICIN;1 g;infuusiokuiva-aine, liuosta varten;Kansallinen;Myyntilupa myönnetty;AMDIPHARM;1 g;Injektiopullo;1;405001;;
J01FA01;8485;20.04.1983;20.04.1999;ABBOTICIN;40 mg/ml;rakeet mikstuuraa varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;100 ml;Pullo;0;022533;;
J01FA01;8487;20.04.1983;20.04.2005;ABBOTICIN;500 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;20;Läpipainopakkaus;0;411496;15.05.1983;
J01FA01;8487;20.04.1983;20.04.2005;ABBOTICIN;500 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;30;Läpipainopakkaus;0;417568;;
J01FA01;9222;05.02.1986;05.02.2003;ABBOTICIN;100 mg/ml;rakeet oraalisuspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;50 ml;Pullo;0;088112;25.02.1986;
J01FA01;8485;20.04.1983;20.04.1999;ABBOTICIN;40 mg/ml;rakeet mikstuuraa varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;200 ml;Pullo;0;012989;;
J01FA01;8486;20.04.1983;20.04.2003;ABBOTICIN;250 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT SCANDINAVIA;24;Läpipainopakkaus;0;032078;;
J01FA01;9663;11.05.1988;11.05.1997;ABBOTICIN NOVUM;500 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT LABORATORIES;100;;0;004804;26.09.1988;
J01FA01;9663;11.05.1988;11.05.1997;ABBOTICIN NOVUM;500 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT LABORATORIES;40;;0;004721;26.09.1988;
J01FA01;12860;23.03.1998;;ABBOTICIN NOVUM;500 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;AMDIPHARM;40;Läpipainopakkaus;0;004721;;
J01FA01;9663;11.05.1988;11.05.1997;ABBOTICIN NOVUM;500 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ABBOTT LABORATORIES;30;;0;417337;26.09.1988;
J01FA01;12860;23.03.1998;;ABBOTICIN NOVUM;500 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;AMDIPHARM;100;Tablettipurkki;0;004804;;25.09.2003
V08CB02;11483;06.06.1994;06.06.2000;ABDOSCAN;23.4 mg Fe;rakeet oraalisuspensiota / peräruiskesuspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;AMERSHAM HEALTH;20 x 6 g;Pussi;0;398370;;
V08CB02;11483;06.06.1994;06.06.2000;ABDOSCAN;23.4 mg Fe;rakeet oraalisuspensiota / peräruiskesuspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;AMERSHAM HEALTH;40 x 6 g;;0;587840;15.04.1995;31.05.1999
J02AA01;11994;19.08.1996;01.04.2020;ABELCET;5 mg/ml;infuusiokonsentraatti, suspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;TEVA PHARMA;10 x 20 ml;Injektiopullo;0;387746;13.03.1997;
J02AA01;35019;31.05.2017;31.05.2022;ABELCET;5 mg/ml;infuusiokonsentraatti, suspensiota varten;Kansallinen;Myyntilupa myönnetty;PARANOVA;10 x 20 ml;Injektiopullo;1;456886;01.01.2018;
J02AA01;11994;19.08.1996;01.04.2020;ABELCET;5 mg/ml;infuusiokonsentraatti, suspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;TEVA PHARMA;10 x 10 ml;Injektiopullo;0;486647;;
N05AX12;18163;04.06.2004;;ABILIFY;15 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;28;Läpipainopakkaus;1;011118;21.06.2004;
N05AX12;19583;04.06.2004;;ABILIFY;5 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;28;Läpipainopakkaus;1;016606;07.10.2005;
N05AX12;35098;22.03.2017;;ABILIFY;15 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;PARANOVA;28;Läpipainopakkaus;1;391092;01.06.2017;
N05AX12;20913;08.07.2005;;ABILIFY;15 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;OTSUKA;28;Läpipainopakkaus;1;028141;23.03.2006;
N05AX12;37381;21.08.2019;;ABILIFY;15 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;ORIFARM;28 x 1;Läpipainopakkaus;1;186354;01.12.2019;
N05AX12;18163;04.06.2004;;ABILIFY;15 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;56;Läpipainopakkaus;1;011186;21.06.2004;
N05AX12;18164;04.06.2004;;ABILIFY;30 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;56;Läpipainopakkaus;1;011195;23.02.2005;
N05AX12;18162;04.06.2004;;ABILIFY;10 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;28;Läpipainopakkaus;1;011107;21.06.2004;
N05AX12;23315;14.02.2007;14.02.2012;ABILIFY;15 mg;tabletti;Keskitetty;Myyntilupa myönnetty;ORIFARM;28;Läpipainopakkaus;1;070405;01.02.2018;
N05AX12;37421;12.09.2019;;ABILIFY;10 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;ORIFARM;28 x 1;Läpipainopakkaus;1;105699;01.12.2019;
N05AX12;21864;04.10.2006;;ABILIFY;7.5 mg/ml;injektioneste, liuos;Keskitetty;Myyntilupa myönnetty;OTSUKA;1.3 ml;Injektiopullo;1;053923;05.02.2007;
N05AX12;18162;04.06.2004;;ABILIFY;10 mg;tabletti;Keskitetty;Myyntilupa myönnetty;OTSUKA;56;Läpipainopakkaus;1;011175;21.06.2004;
N05AX12;20911;08.07.2005;;ABILIFY;10 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;OTSUKA;28 x 1;Läpipainopakkaus;1;028132;23.06.2006;
N05AX12;20496;28.11.2005;;ABILIFY;1 mg/ml;oraaliliuos;Keskitetty;Myyntilupa myönnetty;OTSUKA;150 ml;Pullo;1;032533;04.10.2006;
N05AX12;35097;20.03.2017;;ABILIFY;10 mg;tabletti, suussa hajoava;Keskitetty;Myyntilupa myönnetty;PARANOVA;28 x 1;Läpipainopakkaus;0;596045;01.06.2017;
N05AX12;31277;18.11.2013;26.09.2023;ABILIFY MAINTENA;400 mg;injektiokuiva-aine ja liuotin, depotsuspensiota varten;Keskitetty;Myyntilupa myönnetty;OTSUKA;400 mg;Esitäytetty ruisku;0;555188;01.01.2016;04.10.2018
N05AX12;31277;18.11.2013;26.09.2023;ABILIFY MAINTENA;400 mg;injektiokuiva-aine ja liuotin, depotsuspensiota varten;Keskitetty;Myyntilupa myönnetty;OTSUKA;400 mg;Injektiopullo;1;063897;15.01.2014;
N05AX12;36396;28.04.2016;26.09.2023;ABILIFY MAINTENA;400 mg;injektiokuiva-aine ja liuotin, depotsuspensiota varten, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;OTSUKA;400 mg;Esitäytetty ruisku;1;555188;01.01.2016;
V08CA11;19730;03.10.2005;13.09.2011;ABLAVAR;0.25 mmol/ml;injektioneste, liuos;Keskitetty;Myyntilupa peruuntunut hakijan toimesta;TMC PHARMA SERVICES;10 ml;Injektiopullo;0;054378;01.09.2006;
L01CD01;35107;28.03.2017;;ABRAXANE;5 mg/ml;infuusiokuiva-aine, suspensiota varten;Keskitetty;Myyntilupa myönnetty;ORIFARM;100 mg;Injektiopullo;1;097068;01.12.2017;
L01CD01;37280;19.06.2019;;ABRAXANE;5 mg/ml;infuusiokuiva-aine, suspensiota varten;Keskitetty;Myyntilupa myönnetty;PARANOVA;100 mg;Injektiopullo;1;135477;01.01.2020;
L01CD01;22768;11.01.2008;;ABRAXANE;5 mg/ml;infuusiokuiva-aine, suspensiota varten;Keskitetty;Myyntilupa myönnetty;CELGENE EUROPE;100 mg;Injektiopullo;1;397641;02.05.2011;
N03AG01;8161;27.05.1981;;ABSENOR;100 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Tablettipurkki;1;007097;;
N03AG01;12147;23.10.1995;;ABSENOR;300 mg;depottabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Tölkki;1;106609;01.12.1995;
N03AG01;6376;19.04.1972;;ABSENOR;300 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Tablettipurkki;1;007111;;
N03AG01;6377;19.04.1972;;ABSENOR;200 mg/ml;tipat, liuos;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100 ml;Pullo;1;469395;01.12.1995;
N03AG01;6376;19.04.1972;;ABSENOR;300 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Läpipainopakkaus;0;056911;01.12.1995;01.08.2003
N03AG01;12148;23.10.1995;;ABSENOR;500 mg;depottabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Tölkki;1;106617;01.12.1995;
N03AG01;8162;27.05.1981;;ABSENOR;500 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Tablettipurkki;1;007134;;
N03AG01;8161;27.05.1981;;ABSENOR;100 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Läpipainopakkaus;0;056762;01.12.1995;01.08.2003
N03AG01;8162;27.05.1981;;ABSENOR;500 mg;enterotabletti;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;100;Läpipainopakkaus;0;056937;01.12.1995;01.08.2003
N03AG01;8163;27.05.1981;;ABSENOR;60 mg/ml;oraaliliuos;Kansallinen;Myyntilupa myönnetty;ORION CORPORATION;200 ml;Pullo;1;120535;01.12.1995;
N02AB03;22464;29.06.2009;;ABSTRAL;100 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;10;Läpipainopakkaus;1;029277;08.07.2010;
N02AB03;22464;29.06.2009;;ABSTRAL;100 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029300;08.07.2010;
N02AB03;22465;29.06.2009;;ABSTRAL;200 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029211;08.07.2010;
N02AB03;22468;29.06.2009;;ABSTRAL;600 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029357;08.07.2010;
N02AB03;22467;29.06.2009;;ABSTRAL;400 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029222;08.07.2010;
N02AB03;22465;29.06.2009;;ABSTRAL;200 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;10;Läpipainopakkaus;1;029311;08.07.2010;
N02AB03;22466;29.06.2009;;ABSTRAL;300 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029335;08.07.2010;
N02AB03;22469;29.06.2009;;ABSTRAL;800 mikrog;resoribletti;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;30;Läpipainopakkaus;1;029255;08.07.2010;
V01AA03;32830;05.11.2015;05.11.2020;ACARIZAX;;tabletti, kylmäkuivattu;Hajautettu;Myyntilupa myönnetty;ALK-ABELLO;90;Läpipainopakkaus;1;186748;01.08.2016;
V01AA03;32830;05.11.2015;05.11.2020;ACARIZAX;;tabletti, kylmäkuivattu;Hajautettu;Myyntilupa myönnetty;ALK-ABELLO;30;Läpipainopakkaus;1;555047;01.08.2016;
L03AA02;37518;21.10.2019;;ACCOFIL;48 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;PARANOVA;5 x 0.5 ml;Esitäytetty ruisku;1;574969;15.02.2020;
L03AA02;37539;29.10.2019;;ACCOFIL;48 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ORIFARM;5 x 0.5 ml;Esitäytetty ruisku;1;483829;15.01.2020;
L03AA02;37297;31.07.2019;;ACCOFIL;30 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ABACUS;5 x 0.5 ml;Esitäytetty ruisku;1;048854;01.09.2019;
L03AA02;37298;31.07.2019;;ACCOFIL;48 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ABACUS;5 x 0.5 ml;Esitäytetty ruisku;1;480363;01.09.2019;
L03AA02;37299;08.07.2019;;ACCOFIL;30 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ORIFARM;5 x 0.5 ml;Esitäytetty ruisku;1;096448;01.09.2019;
L03AA02;32203;18.09.2014;;ACCOFIL;48 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ACCORD;5 x 0.5 ml;Esitäytetty ruisku;1;569876;15.08.2015;
L03AA02;32202;18.09.2014;;ACCOFIL;30 MU / 0.5 ml;injektio-/infuusioneste, liuos, esitäytetty ruisku;Keskitetty;Myyntilupa myönnetty;ACCORD;5 x 0.5 ml;Esitäytetty ruisku;1;534589;15.08.2015;
R03DC01;12144;20.03.1996;20.03.2001;ACCOLATE;40 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ASTRAZENECA;28;Läpipainopakkaus;0;047589;;
R03DC01;16090;21.05.2001;21.05.2004;ACCOLATE;10 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ASTRAZENECA;28;Läpipainopakkaus;0;003761;15.04.2002;
R03DC01;12144;20.03.1996;20.03.2001;ACCOLATE;40 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ASTRAZENECA;98;Läpipainopakkaus;0;047613;;
R03DC01;12143;20.03.1996;01.06.2019;ACCOLATE;20 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ASTRAZENECA;98;Läpipainopakkaus;0;047563;15.08.1996;
C09AA06;10771;19.08.1992;;ACCUPRO;10 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;98;Läpipainopakkaus;0;410316;15.10.1992;
C09AA06;10772;19.08.1992;;ACCUPRO;20 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;98;Läpipainopakkaus;1;410738;15.10.1992;
C09AA06;10771;19.08.1992;;ACCUPRO;10 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Tablettipurkki;0;410571;;10.01.2001
C09AA06;10772;19.08.1992;;ACCUPRO;20 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Tablettipurkki;0;410746;;10.01.2001
C09AA06;10770;19.08.1992;;ACCUPRO;5 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Tablettipurkki;0;410241;;10.01.2001
C09BA06;11619;28.11.1994;;ACCUPRO COMP;10 mg / 12.5 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Läpipainopakkaus;0;569764;15.01.1996;
C09BA06;11620;28.11.1994;;ACCUPRO COMP;20 mg / 12.5 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;30;Läpipainopakkaus;0;569772;15.01.1996;01.02.1998
C09BA06;11620;28.11.1994;;ACCUPRO COMP;20 mg / 12.5 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Läpipainopakkaus;1;569798;15.01.1996;
D06BB;12643;12.10.1998;22.06.1999;ACCUSITE;;injektiogeeli;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;MATRIX;30 mg + 0.1 mg;Injektiopullo;0;007369;;
C07AB04;18580;11.11.2004;30.04.2009;ACEBUTOLOL ALTERNOVA;400 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA OY;100;Läpipainopakkaus;0;050279;15.11.2006;
C07AB04;18579;11.11.2004;30.04.2009;ACEBUTOLOL ALTERNOVA;200 mg;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ALTERNOVA OY;100;Läpipainopakkaus;0;050270;15.11.2006;
C09AA14;13284;15.06.1998;19.12.2002;ACECOR;5 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;50;Läpipainopakkaus;0;545095;;
C09AA14;13285;15.06.1998;19.12.2002;ACECOR;10 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;50;Läpipainopakkaus;0;544585;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;120;Läpipainopakkaus;0;544650;;
C09AA14;13284;15.06.1998;19.12.2002;ACECOR;5 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;100;Läpipainopakkaus;0;544841;;
C09AA14;13284;15.06.1998;19.12.2002;ACECOR;5 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;56;Läpipainopakkaus;0;545103;;
C09AA14;13285;15.06.1998;19.12.2002;ACECOR;10 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;90;Läpipainopakkaus;0;544619;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;60;Läpipainopakkaus;0;544783;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;56;Läpipainopakkaus;0;544734;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;10;Läpipainopakkaus;0;544643;;
C09AA14;13284;15.06.1998;19.12.2002;ACECOR;5 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;280;Läpipainopakkaus;0;544890;;
C09AA14;13285;15.06.1998;19.12.2002;ACECOR;10 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;120;Läpipainopakkaus;0;544536;;
C09AA14;13285;15.06.1998;19.12.2002;ACECOR;10 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;30;Läpipainopakkaus;0;544577;;
C09AA14;13285;15.06.1998;19.12.2002;ACECOR;10 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;28;Läpipainopakkaus;0;544569;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;280;Läpipainopakkaus;0;544676;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;100;Läpipainopakkaus;0;544627;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;30;Läpipainopakkaus;0;544700;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;28;Läpipainopakkaus;0;544684;;
C09AA14;13286;15.06.1998;19.12.2002;ACECOR;20 mg;tabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;SANKYO PHARMA;50;Läpipainopakkaus;0;544718;;
