ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
0052A,CLOSTR PERFR RUOKAMY,CLOSTRIDIUM PERFRINGENS RUOKAMYRKYTYS,005.2,Food poisoning due to Clostridium perfringens (C. welchii),4_digit_level,005.2,"Other food poisoning (bacterial), Food poisoning due to Clostridium perfringens [C. welchii]",unique_parent_match,0
0053A,MUU CLOSTR RUOKAMYRK,INTOXICATIO ALIMENTARIA E CLOSTRIDIUM ALIUM,005.3,Food poisoning due to other Clostridia,4_digit_level,005.3,"Other food poisoning (bacterial), Food poisoning due to other Clostridia",unique_parent_match,0
0054A,VIBR PARAHEM RUOKAMY,VIBRIO PARAHAEMOLYTICUS RUOKAMYRKYTYS,005.4,Food poisoning due to Vibrio parahaemolyticus,4_digit_level,005.4,"Other food poisoning (bacterial), Food poisoning due to Vibrio parahaemolyticus",unique_parent_match,0
0058X,INTOX ALIMENTAR ALIA,INTOXICATIO ALIMENTARIA ALIA DEFINITA,005.8,Other bacterial food poisoning,4_digit_level,005.8,"Other food poisoning (bacterial), Other bacterial food poisoning",unique_parent_match,0
0059X,INTOX ALIMENTARI NUD,INTOXICATIO ALIMENTARIA NUD,005.9,"Food poisoning, unspecified",4_digit_level,005.9,"Other food poisoning (bacterial), Food poisoning, unspecified",unique_parent_match,0
006,AMEBATAUDIT,AMOEBIASIS,006,Amebiasis,4_digit_level,006,Amoebiasis,full_match,0
0060A,AMEBADYSENTERIA ACUT,AMOEBIASIS CUM DYSENTERIA ACUTA,006.0,Acute amebic dysentery without mention of abscess,4_digit_level,006.0,"Amoebiasis, Acute amoebic dysentery without mention of abscess",unique_parent_match,0
0061A,AMEBADYSENTERIA CHRO,AMOEBIASIS CUM DYSENTERIA CHRONICA,006.1,Chronic intestinal amebiasis without mention of abscess,4_digit_level,006.1,"Amoebiasis, Chronic intestinal amoebiasis without mention of abscess",unique_parent_match,0
0062A,AMEBACOLIT NONDYSENT,AMOEBIASIS CUM COLITIDEM NONDYSTENTERICA,006.2,Amebic nondysenteric colitis,4_digit_level,006.2,"Amoebiasis, Amoebic nondysenteric colitis",unique_parent_match,0
0063A,AMEBA MAKSA-ABSKESSI,AMOEBIASIS CUM ABSCESSU HEPATIS,006.3,Amebic liver abscess,4_digit_level,006.3,"Amoebiasis, Amoebic liver abscess",unique_parent_match,0
0068X,"AMEBATAUTI, MUU ELIN",AMOEBISAIS LOCO ALIO,006.8,Amebic infection of other sites,4_digit_level,006.8,"Amoebiasis, Amoebic infection of other sites",unique_parent_match,0
0069X,AMEBATAUTI NUD,AMOEBIASIS NUD,006.9,"Amebiasis, unspecified",4_digit_level,006.9,"Amoebiasis, unspecified",unique_parent_match,0
007,MB PROTOZ INTEST ALI,MORBI PROTOZOICI INTESTINALES ALII,007,Other protozoal intestinal diseases,4_digit_level,007,Other protozoal intestinal diseases,full_match,0
0070A,BALANTIDIASIS,BALANTIDIASIS,007.0,Balantidiasis,4_digit_level,007.0,"Other protozoal intestinal diseases, Balantidiasis",unique_parent_match,0
0071A,GIARDIASIS,GIARDIASIS,007.1,Giardiasis,4_digit_level,007.1,"Other protozoal intestinal diseases, Giardiasis",unique_parent_match,0
0072A,COCCIDIOSIS/ISOSPORI,COCCIDIOSIS ET ISOSPORIASIS,007.2,Coccidiosis,4_digit_level,007.2,"Other protozoal intestinal diseases, Coccidiosis",unique_parent_match,0
0073A,TRICHOMONIAS INTESTI,TRICHOMONIASIS INTESTINALIS,007.3,Intestinal trichomoniasis,4_digit_level,007.3,"Other protozoal intestinal diseases, Intestinal trichomoniasis",unique_parent_match,0
0078A,CRYPTOSPORIDIOSIS,CRYPTOSPORIDIOSIS,007.8,Other specified protozoal intestinal diseases,4_digit_level,007.8,"Other protozoal intestinal diseases, Other specified protozoal intestinal diseases",parent_match,0
0078X,MB PROTOZ INTEST ALI,MORBUS PROTOZOICUS INTESTINALIS ALIA,007.8,Other specified protozoal intestinal diseases,4_digit_level,007.8,"Other protozoal intestinal diseases, Other specified protozoal intestinal diseases",parent_match,0
0079X,MB PROTOZ INTEST NUD,MORBUS PROTOZOICUS INTESTINALIS NUD,007.9,Unspecified protozoal intestinal disease,4_digit_level,007.9,"Other protozoal intestinal diseases, Unspecified protozoal intestinal disease",unique_parent_match,0
008,ENTERIT P.ORGANIS AL,ENTERITIS PER ORGANISMATA ALIA SPECIFICATA,008,Intestinal infections due to other organisms,4_digit_level,008,Intestinal infections due to other organisms,full_match,0
0080A,ENTER E.COLI TOXINUM,ENTERITIS E. COLI PATHOGENICA PER TOXINUM,008.0,Intestinal infection due to escherichia coli [E. coli],4_digit_level,008.0,"Intestinal infections due to other organisms, Escherichia coli [E. coli]",parent_match,0
0080B,ENTER E.COLI INVASIV,ENTERITIS E. COLI PATHOGENICA INVASIVA,008.0,Intestinal infection due to escherichia coli [E. coli],4_digit_level,008.0,"Intestinal infections due to other organisms, Escherichia coli [E. coli]",parent_match,0
0081A,ENTERITIS ARIZONA,ENTERITIS ARIZONA,008.1,Intestinal infection due to arizona group of paracolon bacilli,4_digit_level,008.1,"Intestinal infections due to other organisms, Arizona group of paracolon bacilli",unique_parent_match,0
0082A,ENTER AEROBAC AEROGE,ENTERITIS AEROBACTER AEROGENES,008.2,Intestinal infection due to aerobacter aerogenes,4_digit_level,008.2,"Intestinal infections due to other organisms, Aerobacter aerogenes",unique_parent_match,0
0083A,ENTERIT PROTEU MIRAB,ENTERITIS PROTEUS MIRABILIS,008.3,Intestinal infection due to proteus (mirabilis) (morganii),4_digit_level,008.3,"Intestinal infections due to other organisms, Proteus (mirabilis) (morganii)",unique_parent_match,0
0084A,ENTERITIS STAPHYLOCC,ENTERITIS STAPHYLOCOCCICA,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0084B,ENTERITIS PSEUDOMON,ENTERITIS PSEUDOMONAS,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0084C,ENTER YERS ENTEROCOL,ENTERITIS YERSINIA ENTEROCOLITICA,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0084D,ENTER YERS PSEUDOTUB,ENTERITIS YERSINIA PSEUDOTUBERCULOSA,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0084E,ENTERIT CAMPYLOBACT,ENTERITIS CAMPYLOBACTER,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0084F,ENTER CLOSTR DIFFICI,ENTERITIS CLOSTRIDIUM DIFFICILE,008.4,Intestinal infection due to other specified bacteria,4_digit_level,008.4,"Intestinal infections due to other organisms, Other specified bacteria",parent_match,0
0085X,ENTER BACT ALIA/NUD,ENTERITIS BACTERIA ALIA SEU NUD,008.5,"Bacterial enteritis, unspecified",4_digit_level,008.5,"Intestinal infections due to other organisms, Bacterial enteritis, unspecified",unique_parent_match,0
0086A,ENTERIT VIROSA ROTA,ENTERITIS VIROSA ROTA,008.6,Enteritis due to specified virus,4_digit_level,008.6,"Intestinal infections due to other organisms, Enteritis due to specified virus",parent_match,0
0086B,ENTER VIROSA NORWALK,ENTERITIS VIROSA NORWALK,008.6,Enteritis due to specified virus,4_digit_level,008.6,"Intestinal infections due to other organisms, Enteritis due to specified virus",parent_match,0
0086C,ENTER VIROSA AL DEFI,ENTERITIS VIROSA ALIA DEFINITA SEU NUD,008.6,Enteritis due to specified virus,4_digit_level,008.6,"Intestinal infections due to other organisms, Enteritis due to specified virus",parent_match,0
0086X,ENTERITIS VIROSA NUD,ENTERITIS VIROSA NUD,008.6,Enteritis due to specified virus,4_digit_level,008.6,"Intestinal infections due to other organisms, Enteritis due to specified virus",parent_match,0
0088X,ENTERIT P.ORGANIS AL,ENTERITIS PER ORGANISMATA ALIA (NONBACT.NONVIR),008.8,"Intestinal infection due to other organism, not elsewhere classified",4_digit_level,008.8,"Intestinal infections due to other organisms, Other organism, not elsewhere classified",unique_parent_match,0
009,INFECT INTESTIN ALIA,INFECTIO INTESTINALIS ALIA,009,Ill-defined intestinal infections,4_digit_level,009,Ill-defined intestinal infections,full_match,0
0092A,DIARRHOEA INFECTIOSA,RIPULI TARTUNTATAUTIPERÄINEN,009.2,Infectious diarrhea,4_digit_level,009.2,"Ill-defined intestinal infections, Infectious diarrhoea",unique_parent_match,0
0093A,DIARRH INFECT SUSPEC,RIPULI EPÄILTY TARTUNTATAUTIPERÄISEKSI,009.3,Diarrhea of presumed infectious origin,4_digit_level,009.3,"Ill-defined intestinal infections, Diarrhoea of presumed infectious origin",unique_parent_match,0
010,PRIMÄÄRITUBERKULOOSI,TUBERCULOSIS PRIMARIA,010,Primary tuberculous infection,4_digit_level,010,Primary tuberculous infection,full_match,0
0100A,PRIM TUB COMPLEX-A,"COMPLEXUS TUBERCULOSIS PRIMARIUS, BAKTER.VARMA",010.0,Primary tuberculous infection,4_digit_level,010.0,Primary tuberculous infection,parent_match,0
0100B,PRIM TUB COMPLEX-B,"COMPLEXUS TUBERCULOSIS PRIMARIUS, HISTOL.VARMA",010.0,Primary tuberculous infection,4_digit_level,010.0,Primary tuberculous infection,parent_match,0
0100X,PRIM TUB COMPLEX-X,"COMPLEXUS TUBERCULOSIS PRIMARIUS, EPÄILTY",010.0,Primary tuberculous infection,4_digit_level,010.0,Primary tuberculous infection,parent_match,0
0101A,PRIM TUB PLEURIT-A,"TUBERCULOSIS PRIM. CUM PLEURITIDE, BAKTER.VARMA",010.1,Tuberculous pleurisy in primary progressive tuberculosis,4_digit_level,010.1,"Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",parent_match,0
0101B,PRIM TUB PLEURIT-B,"TUBERCULOSIS PRIM. CUM PLEURITIDE, HISTOL.VARMA",010.1,Tuberculous pleurisy in primary progressive tuberculosis,4_digit_level,010.1,"Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",parent_match,0
0101X,PRIM TUB PLEURIT-X,"TUBERCULOSIS PRIMARIA CUM PLEURITIDE, EPÄILTY",010.1,Tuberculous pleurisy in primary progressive tuberculosis,4_digit_level,010.1,"Primary tuberculous infection, Tuberculous pleurisy in primary progressive tuberculosis",parent_match,0
0108A,PRIM TUB ALIA-A,"TUBERCULOSIS PRIMARIA ALIA, BAKTERIOLOG. VARMA",010.8,Other primary progressive tuberculosis,4_digit_level,010.8,"Primary tuberculous infection, Other primary progressive tuberculosis",parent_match,0
0108B,PRIM TUB ALIA-B,"TUBERCULOSIS PRIMARIA ALIA, HISTOLOGISESTI VARMA",010.8,Other primary progressive tuberculosis,4_digit_level,010.8,"Primary tuberculous infection, Other primary progressive tuberculosis",parent_match,0
0108X,PRIM TUB ALIA-X,"TUBERCULOSIS PRIMARIA ALIA, EPÄILTY",010.8,Other primary progressive tuberculosis,4_digit_level,010.8,"Primary tuberculous infection, Other primary progressive tuberculosis",parent_match,0
0109A,PRIM TUB NUD-A,"TUBERCULOSIS PRIMARIA NUD, BAKTERIOLOG. VARMA",010.9,"Primary tuberculous infection, unspecified type",4_digit_level,010.9,"Primary tuberculous infection, unspecified",parent_match,0
0109B,PRIM TUB NUD-B,"TUBERCULOSIS PRIMARIA NUD, HISTOLOGISESTI VARMA",010.9,"Primary tuberculous infection, unspecified type",4_digit_level,010.9,"Primary tuberculous infection, unspecified",parent_match,0
0109X,PRIM TUB NUD-X,"TUBERCULOSIS PRIMARIA NUD, EPÄILTY",010.9,"Primary tuberculous infection, unspecified type",4_digit_level,010.9,"Primary tuberculous infection, unspecified",parent_match,0
011,KEUHKOTUBERKULOOSI,TUBERCULOSIS PULMONUM,011,Pulmonary tuberculosis,4_digit_level,011,Pulmonary tuberculosis,full_match,0
0110A,TUB PULM INFILTRAT-A,"TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA",011.0,"Tuberculosis of lung, infiltrative",4_digit_level,011.0,"Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",parent_match,0
0110B,TUB PULM INFILTRAT-B,"TUBERCULOSIS PULMONUM INFILTRATIVA, HISTOL.VARMA",011.0,"Tuberculosis of lung, infiltrative",4_digit_level,011.0,"Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",parent_match,0
0110X,TUB PULM INFILTRAT-X,"TUBERCULOSIS PULMONUM INFILTRATIVA, EPÄILTY",011.0,"Tuberculosis of lung, infiltrative",4_digit_level,011.0,"Pulmonary tuberculosis, Tuberculosis of lung, infiltrative",parent_match,0
0112A,TUB PULM CAVERNOSA-A,"TUBERCULOSIS PULMONUM CAVERNOSA, BAKTERIOL.VARMA",011.2,Tuberculosis of lung with cavitation,4_digit_level,011.2,"Pulmonary tuberculosis, Tuberculosis of lung with cavitation",parent_match,0
0112B,TUB PULM CAVERNOSA-B,"TUBERCULOSIS PULMONUM CAVERNOSA, HISTOLOG. VARMA",011.2,Tuberculosis of lung with cavitation,4_digit_level,011.2,"Pulmonary tuberculosis, Tuberculosis of lung with cavitation",parent_match,0
0112X,TUB PULM CAVERNOSA-X,"TUBERCULOSIS PULMONUM CAVERNOSA, EPÄILTY",011.2,Tuberculosis of lung with cavitation,4_digit_level,011.2,"Pulmonary tuberculosis, Tuberculosis of lung with cavitation",parent_match,0
0113A,TUB PULM ET BRONCH-A,"TUBERCULOSIS PULM. ET BRONCHIALIS, BAKTER.VARMA",011.3,Tuberculosis of bronchus,4_digit_level,011.3,"Pulmonary tuberculosis, Tuberculosis of bronchus",parent_match,0
0113B,TUB PULM ET BRONCH-B,"TUBERCULOSIS PULM. ET BRONCHIALIS,HISTOLOG.VARMA",011.3,Tuberculosis of bronchus,4_digit_level,011.3,"Pulmonary tuberculosis, Tuberculosis of bronchus",parent_match,0
0113X,TUB PULM ET BRONCH-X,"TUBERCULOSIS PULMONUM ET BRONCHIALIS, EPÄILTY",011.3,Tuberculosis of bronchus,4_digit_level,011.3,"Pulmonary tuberculosis, Tuberculosis of bronchus",parent_match,0
0116A,TUB PULM + PNEUMON-A,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,BAKTER.VARMA",011.6,Tuberculous pneumonia [any form],4_digit_level,011.6,"Pulmonary tuberculosis, Tuberculous pneumonia [any form]",parent_match,0
0116B,TUB PULM + PNEUMON-B,"TUBERCULOSIS PULMONUM CUM PNEUMONIA,HISTOL.VARMA",011.6,Tuberculous pneumonia [any form],4_digit_level,011.6,"Pulmonary tuberculosis, Tuberculous pneumonia [any form]",parent_match,0
0116X,TUB PULM + PNEUMON-X,"TUBERCULOSIS PULMONUM CUM PNEUMONIA, EPÄILTY",011.6,Tuberculous pneumonia [any form],4_digit_level,011.6,"Pulmonary tuberculosis, Tuberculous pneumonia [any form]",parent_match,0
0118A,TUB PULM ALIA DEF-A,"TUBERCULOSIS PULMONUM ALIA, BAKTERIOLOG.VARMA",011.8,Other specified pulmonary tuberculosis,4_digit_level,011.8,"Pulmonary tuberculosis, Other specified pulmonary tuberculosis",parent_match,0
0118B,TUB PULM ALIA DEF-B,"TUBERCULOSIS PULMONUM ALIA,HISTOLOGISESTI VARMA",011.8,Other specified pulmonary tuberculosis,4_digit_level,011.8,"Pulmonary tuberculosis, Other specified pulmonary tuberculosis",parent_match,0
0118X,TUB PULM ALIA DEF-X,"TUBERCULOSIS PULMONUM ALIA, EPÄILTY",011.8,Other specified pulmonary tuberculosis,4_digit_level,011.8,"Pulmonary tuberculosis, Other specified pulmonary tuberculosis",parent_match,0
0119A,TUB PULM NUD-A,"TUBERCULOSIS PULMONUM NUD, BAKTERIOLOG. VARMA",011.9,Unspecified pulmonary tuberculosis,4_digit_level,011.9,"Pulmonary tuberculosis, unspecified",parent_match,0
0119B,TUB PULM NUD-B,"TUBERCULOSIS PULMONUM NUD, HISTOLOGISESTI VARMA",011.9,Unspecified pulmonary tuberculosis,4_digit_level,011.9,"Pulmonary tuberculosis, unspecified",parent_match,0
0119X,TUB PULM NUD-X,"TUBERCULOSIS PULMONUM NUD, EPÄILTY",011.9,Unspecified pulmonary tuberculosis,4_digit_level,011.9,"Pulmonary tuberculosis, unspecified",parent_match,0
012,TUB MUU HENGITYSELIN,TUBERCULOSIS ALIA ORGANORUM RESPIRATIONIS,012,Other respiratory tuberculosis,4_digit_level,012,Other respiratory tuberculosis,full_match,0
0120A,TUBERC PLEURAE-A,"TUBERCULOSIS PLEURAE, BAKTERIOLOGISESTI VARMA",012.0,Tuberculous pleurisy,4_digit_level,012.0,"Other respiratory tuberculosis, Tuberculous pleurisy",parent_match,0
0120B,TUBERC PLEURAE-B,"TUBERCULOSIS PLEURAE, HISTOLOGISESTI VARMENNETTU",012.0,Tuberculous pleurisy,4_digit_level,012.0,"Other respiratory tuberculosis, Tuberculous pleurisy",parent_match,0
0120X,TUBERC PLEURAE-X,"TUBERCULOSIS PLEURAE, EPÄILTY",012.0,Tuberculous pleurisy,4_digit_level,012.0,"Other respiratory tuberculosis, Tuberculous pleurisy",parent_match,0
0121A,VÄLIKARS RAUHASTUB-A,"TUB. LYMPHONODORUM INTRATHORACALES, BAKTER.VARMA",012.1,Tuberculosis of intrathoracic lymph nodes,4_digit_level,012.1,"Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",parent_match,0
0121B,VÄLIKARS RAUHASTUB-B,"TUB. LYMPHONODORUM INTRATHORACALES, HISTOL.VARMA",012.1,Tuberculosis of intrathoracic lymph nodes,4_digit_level,012.1,"Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",parent_match,0
0121X,VÄLIKARS RAUHASTUB-X,"TUB. LYMPHONODORUM INTRATHORACALES, EPÄILTY",012.1,Tuberculosis of intrathoracic lymph nodes,4_digit_level,012.1,"Other respiratory tuberculosis, Tuberculosis of intrathoracic lymph nodes",parent_match,0
0122A,TUB TRAC ET BRONCH-A,"TUBERCULOSIS TRACHEAE ET BRONCHI,BAKTERIOL.VARMA",012.2,Isolated tracheal or bronchial tuberculosis,4_digit_level,012.2,"Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",parent_match,0
0122B,TUB TRAC ET BRONCH-B,"TUBERCULOSIS TRACHEAE ET BRONCHI,HISTOLOG.VARMA",012.2,Isolated tracheal or bronchial tuberculosis,4_digit_level,012.2,"Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",parent_match,0
0122X,TUB TRAC ET BRONCH-X,"TUBERCULOSIS TRACHEAE ET BRONCHI, EPÄILTY",012.2,Isolated tracheal or bronchial tuberculosis,4_digit_level,012.2,"Other respiratory tuberculosis, Isolated tracheal or bronchial tuberculosis",parent_match,0
0123A,LARYNGITIS TUBERCU-A,"LARYNGITIS TUBERCULOSA,BAKTERIOLOGISETI VARMA",012.3,Tuberculous laryngitis,4_digit_level,012.3,"Other respiratory tuberculosis, Tuberculous laryngitis",parent_match,0
0123B,LARYNGITIS TUBERCU-B,"LARYNGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",012.3,Tuberculous laryngitis,4_digit_level,012.3,"Other respiratory tuberculosis, Tuberculous laryngitis",parent_match,0
0123X,LARYNGITIS TUBERCU-X,"LARYNGITIS TUBERCULOSA,EPÄILTY",012.3,Tuberculous laryngitis,4_digit_level,012.3,"Other respiratory tuberculosis, Tuberculous laryngitis",parent_match,0
0128A,TUB ORGAN RESP ALI-A,"TUB. ORGANORUM RESPIRATIONIS ALIA,BAKTERIOL.VARMA",012.8,Other specified respiratory tuberculosis,4_digit_level,012.8,"Other respiratory tuberculosis, Other specified respiratory tuberculosis",parent_match,0
0128B,TUB ORGAN RESP ALI-B,"TUB. ORGANORUM RESPIRATIONIS ALIA,HISTOLOG.VARMA",012.8,Other specified respiratory tuberculosis,4_digit_level,012.8,"Other respiratory tuberculosis, Other specified respiratory tuberculosis",parent_match,0
0128X,TUB ORGAN RESP ALI-X,"TUB. ORGANORUM RESPIRATIONIS ALIA, EPÄILTY",012.8,Other specified respiratory tuberculosis,4_digit_level,012.8,"Other respiratory tuberculosis, Other specified respiratory tuberculosis",parent_match,0
013,TUB MENING/KESKUSHER,TUB. MENINGUM ET SYSTEMATIS NERVORUM CENTRALIS,013,Tuberculosis of meninges and central nervous system,4_digit_level,013,Tuberculosis of meninges and central nervous system,full_match,0
0130A,MENINGITIS TUBERC-A,"MENINGITIS TUBERCULOSA, BAKTERIOLOGISESTI VARMA",013.0,Tuberculous meningitis,4_digit_level,013.0,"Tuberculosis of meninges and central nervous system, Tuberculous meningitis",parent_match,0
0130B,MENINGITIS TUBERC-B,"MENINGITIS TUBERCULOSA, HISTOLOGISESTI VARMA",013.0,Tuberculous meningitis,4_digit_level,013.0,"Tuberculosis of meninges and central nervous system, Tuberculous meningitis",parent_match,0
0130X,MENINGITIS TUBERC-X,"MENINGITIS TUBERCULOSA, EPÄILTY",013.0,Tuberculous meningitis,4_digit_level,013.0,"Tuberculosis of meninges and central nervous system, Tuberculous meningitis",parent_match,0
0131A,TUBERCULOM MENING-A,"TUBERCULOMA MENINGUM,BAKTERIOLOGISESTI VARMENNETTU",013.1,Tuberculoma of meninges,4_digit_level,013.1,"Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",parent_match,0
0131B,TUBERCULOM MENING-B,"TUBERCULOMA MENINGUM,HISTOLOGISESTI VARMENNETTU",013.1,Tuberculoma of meninges,4_digit_level,013.1,"Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",parent_match,0
0131X,TUBERCULOM MENING-X,"TUBERCULOMA MENINGUM, EPÄILTY",013.1,Tuberculoma of meninges,4_digit_level,013.1,"Tuberculosis of meninges and central nervous system, Tuberculoma of meninges",parent_match,0
0132A,AIVOTUBERKULOOMA-A,"TUBERCULOMA CEREBRI,BAKTERIOLOGISESTI VARMENNETTU",013.2,Tuberculoma of brain,4_digit_level,013.2,"Tuberculosis of meninges and central nervous system, Tuberculoma of brain",parent_match,0
0132B,AIVOTUBERKULOOMA-B,"TUBERCULOMA CEREBRI, HISTOLOGISESTI VARMENNETTU",013.2,Tuberculoma of brain,4_digit_level,013.2,"Tuberculosis of meninges and central nervous system, Tuberculoma of brain",parent_match,0
