Code,n_codes,freq_finngen_per,Finnish,English
62699,2158,0.49689%,"Kuukautishäiriöt, Meno metrorraghis NUD","Disorders of menstruation, Other"
46100,1860,0.42827%,"Äkillinen sivuontelontulehdus, Maxillaris","Acute sinusitis, Maxillaris"
73799,1786,0.41123%,"Vaivaisenluu, hara-isovarvas",Hallux valgus and varus
63701,1693,0.38982%,"Raskaudenaikainen kouristusuhka, raskauskouristus ja tarkemmin määrittelemätön myrkytystila, Hypertonia","Pre-eclampsia, eclampsia and toxaemia, unspecified, Hypertonia"
66180,1692,0.38959%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
71238,1691,0.38936%,"Reumaattiset niveltulehdukset ja vastaavat tilat, Arthritis rheumatoides alia definita","Rheumatoid arthritis and allied conditions, Arthritis rheumatoides alia definita"
69100,1690,0.38913%,"Lapsuusajan ihottumat ja vastaavanlaiset tilat, Eczema atopicum. Prurigo Besnier. Eczema pruriginosum allergicum","Infantile eczema and related conditions, Eczema atopicum. Prurigo Besnier. Eczema pruriginosum allergicum"
46699,1671,0.38476%,NA,Acute bronchitis and bronchiolitis
65400,1648,0.37946%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
29599,1599,0.36818%,"Jakomielitauti, NUD","Schizophrenia, Unspecified type"
48609,1520,0.34999%,"Tarkemmin määrittelemätön keuhkokuume, Pneumonia NUD","Pneumonia, unspecified"
59010,1494,0.34400%,"Munuaisen tartuntataudit, Pyelonephritis","Infections of kidney, Pyelonephritis"
30041,1491,0.34331%,"Neuroosi, Depressiva","Neuroses, Depressiva"
Y4300,1463,0.33686%,"Ehkäisevä sterilisoiminen, Laillinen sterilisoiminen, lääketieteelliset syyt (sairaus tai ruumiinvamma)",NA
84500,1450,0.33387%,Nilkan ja jalan nyrjähtäminen,"Sprains and strains of ankle and foot, Ankle"
Y0599,1413,0.32535%,Ruuansulatuselinten tutkiminen,Investigation of digestive system
84400,1396,0.32144%,Polven ja säären nyrjähtäminen,Sprains and strains of knee and leg
63499,1359,0.31292%,"Muut raskaudenajan lisätaudit, Alii definiti","Other complications of pregnancy, Other"
72880,1348,0.31038%,"Selkäsärky, Syndroma radicularis extremitatum inferiorum","Vertebrogenic pain syndrome, Radicula syndrome of lower limbs"
50499,1307,0.30094%,Nenän väliseinän vinous,Deflected nasal septum
63703,1287,0.29634%,"Raskaudenaikainen kouristusuhka, raskauskouristus ja tarkemmin määrittelemätön myrkytystila, Prae-eclampsia levis","Pre-eclampsia, eclampsia and toxaemia, unspecified, Prae-eclampsia levis"
79199,1251,0.28805%,NA,Headache
57409,1217,0.28022%,"Sappikivitauti, NUD","Cholelithiasis, Unspecified"
62620,1195,0.27515%,"Kuukautishäiriöt, Runsas kuukautisvuoto","Disorders of menstruation, Excessive"
65710,1195,0.27515%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
46099,1186,0.27308%,"Vilustuminen, lentsu",Acute nasopharyngitis (common cold)
62800,1178,0.27124%,"Naisen hedelmättömyys, Sterilitas primaria","Sterility, female, Sterilitas primaria"
64594,1177,0.27101%,"Muu keskenmeno, Retentio ovi (partialis)","Other abortion, Retentio ovi (partialis)"
29510,1158,0.26663%,"Jakomielitauti, Typus hebephrenicus","Schizophrenia, Hebephrenic type"
78020,1150,0.26479%,"Hermoston ja aistinelinten oireet, Convulsiones","Certain symptoms referable to nervous system and special senses, Convulsions"
49099,1096,0.25236%,NA,"Bronchitis, unspecified"
60500,1065,0.24522%,"Esinahan taudit, Phimosis","Redundant prepuce and phimosis, Phimosis"
Y0609,1062,0.24453%,"Virtsa- ja sukuelinten tutkiminen, Sukuelimet",NA
30300,1044,0.24039%,"Alkoholismi, Jaksottainen alkoholin väärinkäyttö","Alcoholism, Episodic excessive drinking"
82400,1044,0.24039%,"Kehräsmurtuma, Ei-Komplis. (tai tark. Määrittelemätön)","Fracture of ankle, Closed"
71239,1022,0.23532%,"Reumaattiset niveltulehdukset ja vastaavat tilat, Arthritis rheumatoides NUD","Rheumatoid arthritis and allied conditions, Arthritis rheumatoides NUD"
59203,1008,0.23210%,"Munuaiskivi ja virtsanjohdinkivi, Calculus ureteris","Calculus of kidney and ureter, Calculus ureteris"
37301,995,0.22910%,"Karsastus, Concomitans divergens","Strabismus, Concomitans divergens"
64099,993,0.22864%,"Lääketieteellisestä syystä suoritettu raskauden keinokeskeytys, Tarkemmin määrittelemätön laillinen raskauden keskeytys","Abortion induced for medical indications, Without mention of sepsis or toxaemia"
22099,982,0.22611%,Munasarjojen hyvänlaatuinen kasvain,"Benign neoplasm of ovary, Other and unspecified"
48509,972,0.22381%,"Tarkemmin määrittelemätön katarrikeuhkokuume, Bronchopneumonia NUD","Bronchopneumonia, unspecified"
29580,953,0.21943%,"Jakomielitauti, Alia definita","Schizophrenia, Other"
30320,949,0.21851%,"Alkoholismi, Chronicus (""alcoholic addition"")","Alcoholism, Alcoholic addiction"
29530,947,0.21805%,"Jakomielitauti, Typus paranoides","Schizophrenia, Paranoid type"
30000,947,0.21805%,"Neuroosi, Angoris","Neuroses, Anxiety neurosis"
50199,941,0.21667%,Kurkkupaise,Peritonsillar abscess
72870,939,0.21621%,"Selkäsärky, Lumbalgia","Vertebrogenic pain syndrome, Lumbalgia"
78050,930,0.21414%,"Hermoston ja aistinelinten oireet, Vertigo","Certain symptoms referable to nervous system and special senses, Vertigo"
Y4308,923,0.21252%,"Ehkäisevä sterilisoiminen, Muista syistä suoritettu laillinen ehkäisevä sterilisoiminen",NA
50301,915,0.21068%,"Krooninen sivuontelontulehdus, Maxillaris NUD","Chronic sinusitis, Maxillaris NUD"
54091,915,0.21068%,"Äkillinen umpilisäkkeentulehdus, Gangraenosa, peritonitide non indicata","Acute appendicitis, Gangraenosa, peritonitide non indicata"
57401,913,0.21022%,"Sappikivitauti, Cum cholecystitide chronica","Cholelithiasis, Cum cholecystitide chronica"
62650,912,0.20999%,"Kuukautishäiriöt, Epäsäännölliset kuukautiset","Disorders of menstruation, Irregular"
E9179,903,0.20792%,"Esineen aiheuttama isku tai iskeytyminen esinettä vastaan. Sisältää potkaisun paikallaan seisovaan tai liikkuvan esineesseen (ihmiseen), päälle astumisen tai heitetyn (lennätettävän) esineen iskun. Ei sisällä kaatumista törmättyään yhteen toisen henkilön kanssa (E 886,9) tai kompastumista esineeseen (E 885,9), putoavan esineen iskua (E 916,9) eikä tuliaseen ammusta (E 922)",Striking against or struck accidentally by objects
61520,888,0.20447%,"Muut munasarjan ja munanjohtimen sairaudet, Cysta (cystis) follicularis ovarii (retentio)","Other diseases of ovary and Fallopian tube, Cysta (cystis) follicularis ovarii (retentio)"
78629,869,0.20009%,"Virtsa- ja sukuelinten oireet, Incontinentia urinae","Symptoms referable to genito-urinary system, Incontinentia urinae"
62530,866,0.19940%,"Muut kohdun sairaudet, Endometriosis ovarii","Other diseases of uterus, Endometriosis ovarii"
61610,861,0.19825%,"Kohdun vieruskudoksen ja lantio-vatsakalvon sairaudet, Adhaesiones pelviperitonei feminae","Diseases of parametrium and pelvic peritoneum (female), Pelvic peritoneal adhesions, female"
65006,860,0.19802%,"Synnytys, ei tietoa komplikaatiosta, Perä- tai jalkatarjonta","Delivery without mention of complication, Complete or incomplete breech presentation"
42792,858,0.19756%,"Oireiset sydäntaudit, Fibrillatio auricularis","Symptomatic heart disease, Fibrillatio auricularis"
62532,858,0.19756%,"Muut kohdun sairaudet, Endometriosis retro-cervicalis sive retrouterina","Other diseases of uterus, Endometriosis retro-cervicalis sive retrouterina"
30180,853,0.19641%,"Luonteen sairaalloismus, Immatura","Personality disorders, Immatura"
63496,838,0.19295%,"Muut raskaudenajan lisätaudit, Labores inhibiti","Other complications of pregnancy, Labores inhibiti"
Y0499,837,0.19272%,Hengityselinten tutkiminen,Investigation of respiratory system
30188,834,0.19203%,"Luonteen sairaalloismus, Alia definita","Personality disorders, Alia definita"
67000,819,0.18858%,"Lapsivuodekuume, Endometritis","Sepsis of childbirth and the puerperium, Endometritis"
56310,816,0.18789%,"Krooninen suolitulehdus ja haavainen paksusuolentulehdus, Colitis ulcerosa","Chronic enteritis and ulcerative colitis, Ulcerative colitis"
13599,805,0.18535%,"Sarkoidoosi, NUD","Sarcoidosis, Unspecified"
38110,804,0.18512%,"Keskikorvan tulehdus ilman kartiolisäkkeen tulehduksen oireita, Chronica","Otitis media without mention of mastoiditis, Chronic"
35399,799,0.18397%,"Iskias Ei sisällä nikamanvälilevytyrää (725), lanneristipunoksen hermojuuritulehdusta (728)",Sciatica
56500,786,0.18098%,"Peräpykimä ja peräsuoliavanne, Fissura ani","Anal fissure and fistula, Anal fissure"
65700,783,0.18029%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
79399,768,0.17684%,NA,"Observation, without need for further medical care, Unspecified"
Y1901,759,0.17476%,"Muut tutkimukset, Raskaustutkimus",NA
30310,755,0.17384%,"Alkoholismi, Jatkuva alkoholin väärinkäyttö","Alcoholism, Habitual excessive drinking"
Y4301,742,0.17085%,"Ehkäisevä sterilisoiminen, Laillinen sterilisoiminen, lääketieteellissosiaaliset syyt (heikkous)",NA
41399,714,0.16440%,"Sydänkouristukset, Hypertonia non indicata","Angina pectoris, Without mention of hypertensive disease"
57408,713,0.16417%,"Sappikivitauti, Alia definita","Cholelithiasis, Alia definita"
Y0399,711,0.16371%,Verenkiertoelinten tutkiminen,Investigation of circulatory system
64090,710,0.16348%,"Lääketieteellisestä syystä suoritettu raskauden keinokeskeytys, Naisen sairaus tai ruumiinvika (lääketiet. Syy)",NA
64190,705,0.16233%,"Muun laillisen syyn perusteella suoritettu raskauden keinokeskeytys, Humanitäärinen syy",NA
71200,705,0.16233%,"Reumaattiset niveltulehdukset ja vastaavat tilat, Juvenilis (Morbus Still)","Rheumatoid arthritis and allied conditions, Juvenile rheumatoid arthritis"
29570,703,0.16187%,"Jakomielitauti, Typus schizo affectivus","Schizophrenia, Schizo-affective type"
29999,703,0.16187%,NA,Unspecified psychosis
30088,701,0.16141%,"Neuroosi, Alia definita","Neuroses, Other"
30040,700,0.16118%,"Neuroosi, Neurotico-depressiva","Neuroses, Neurotico-depressiva"
64598,695,0.16003%,"Muu keskenmeno, Abortus alius",Other abortion
49302,694,0.15980%,"Astma, Rhinitis allergica cum asthmate bronchiali","Asthma, Rhinitis allergica cum asthmate bronchiali"
54090,693,0.15957%,"Äkillinen umpilisäkkeentulehdus, Phlegmonosa, peritonitide non indicata","Acute appendicitis, Phlegmonosa, peritonitide non indicata"
38402,682,0.15703%,"Muut korvatulehdukset, Rhinosalpingitis (otosalpingitis) non definita","Other inflammatory diseases of ear, Rhinosalpingitis (otosalpingitis) non definita"
66100,675,0.15542%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
24199,670,0.15427%,"Myrkytön kyhmystruuma, NUD","Non-toxic nodular goitre, Unspecified"
21900,660,0.15197%,"Muu kohdun hyvänlaatuinen kasvain, Papilloma uteri, polypus uteri","Other benign neoplasm of uterus, Papiloma, polyp"
E8849,660,0.15197%,"Muunlainen putoaminen tasolta toiselle. Sisältää putoamisen sängystä (tai muulta huonekalulta) ja ajoneuvosta, joka ei ole liikenteessä",Other fall from one level to another
E8191,657,0.15128%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa, Matkustaja autossa tai muussa moottoriajoneuvossa lukuunottamatta moottoripyörää","Motor vehicle traffic accident of unspecified nature, Passenger in motor vehicle other than motorcycle"
46401,655,0.15082%,"Äkillinen kurkunpääntulehdus ja henkitorventulehdus, Laryngitis acuta (subglottica)","Acute laryngitis and tracheitis, Laryngitis acuta (subglottica)"
65300,653,0.15036%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
E8190,634,0.14598%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa","Motor vehicle traffic accident of unspecified nature, Driver of motor vehicle other than motorcycle"
Y0209,633,0.14575%,"Hermoston ja aistinelinten tutkiminen, Hermosto",NA
71301,630,0.14506%,"Nivelrikot ja vastaavat tilat, Arthritis (arthrosis) genus","Osteo-arthritis and allied conditions, Arthritis (arthrosis) genus"
45100,628,0.14460%,"Laskimotulehdus- ja laskimotukkotulehdus, Extremitatum inferiorum","Phlebitis and thrombophlebitis, Of lower extremities"
Y0699,628,0.14460%,"Virtsa- ja sukuelinten tutkiminen, Virtsaelimet. Ei sisällä virtsatutkimuksia umpieritys- ja aineen vaihduntahäiriöiden toteamiseksi (Y 00.99)",NA
73109,627,0.14437%,"Nivelvoidekalvon, limapussin- sekä jännetupentulehdus, NUD","Synovitis, bursitis and tenosynovitis, Unspecified"
Y4302,622,0.14322%,"Ehkäisevä sterilisoiminen, Laillinen sterilisoiminen, sosiaaliset syyt",NA
27799,605,0.13930%,"Liikalihavuus, ei umpierityshäiriöistä johtuva",Obesity not specified as of endocrine origin
37300,603,0.13884%,"Karsastus, Concomitans convergens","Strabismus, Concomitans convergens"
34609,601,0.13838%,"Migreeni, Hemicrania NUD","Migraine, Unspecified"
67008,592,0.13631%,"Lapsivuodekuume, Alia definita","Sepsis of childbirth and the puerperium, Alia definita"
54199,590,0.13585%,Tarkemmin määrittelemätön umpilisäkkoentulehdus,"Appendicitis, unqualified"
92200,586,0.13493%,Vartalon ruhjevamma,"Contusion of trunk, Current in jury"
42798,585,0.13470%,"Oireiset sydäntaudit, Alia arrhytmia definita","Symptomatic heart disease, Alia arrhytmia definita"
63494,579,0.13332%,"Muut raskaudenajan lisätaudit, Insufficientia cervicis","Other complications of pregnancy, Insufficientia cervicis"
E9509,573,0.13194%,Kiinteilla tai juoksevilla aineilla aiheutettu itsemurha jne. Sisältää kohdissa E 859.9 ja E 869.9 mainitut aineet,"Suicide and self-inflicted poisoning by solid or liquid substances, Other and unspecified solid and liquid substances"
61207,570,0.13125%,"Äkillinen munanjohtimen- ja munasarjantulehdus, Salpingo-oophoritis acuta suspecta","Acute salpingitis and oophoritis, suspecta"
73398,569,0.13101%,"Muut lihaston, jänteiden ja peitinkalvojen sairaudet, Alii definiti","Other diseases of muscle, tendon and fascia, Alii definiti"
28920,564,0.12986%,"Muut veren ja vertamuodostavien elinten taudit, Lymphadenitis mesenterica acuta sive chronica","Other disease of blood and blood-forming organs, Nonspecific mesenteric lymphadenitis"
50709,556,0.12802%,"Heinänuha, NUD","Hay fever, Unspecified"
21799,547,0.12595%,Nisän hyvänlaatuinen kasvain,Benign neoplasm of breast
63702,544,0.12526%,"Raskaudenaikainen kouristusuhka, raskauskouristus ja tarkemmin määrittelemätön myrkytystila, Oedema","Pre-eclampsia, eclampsia and toxaemia, unspecified, Oedema"
34599,539,0.12411%,"Kaatumatauti, NUD","Epilepsy, Other and unspecified"
62670,522,0.12019%,"Kuukautishäiriöt, Metrorrhagia post menopausin","Disorders of menstruation, Postmenopausal bleeding"
63700,519,0.11950%,"Raskaudenaikainen kouristusuhka, raskauskouristus ja tarkemmin määrittelemätön myrkytystila, Albuminuria (proteinuria)","Pre-eclampsia, eclampsia and toxaemia, unspecified, Albuminuria (proteinuria)"
62630,510,0.11743%,"Kuukautishäiriöt, Algomenorrhoea (dysmenorrhoea)","Disorders of menstruation, Painful"
59000,505,0.11628%,"Munuaisen tartuntataudit, Pyelonephritis chronica","Infections of kidney, Pyelonephritis chronica"
62801,501,0.11536%,"Naisen hedelmättömyys, Sterilitas secundaria","Sterility, female, Sterilitas secundaria"
82321,493,0.11352%,"Sääri- ja pohjeluun murtuma, Diaphysaria, Non complicata (sive NUD)","Fracture of tibia and fibula, Shaft, closed"
71240,485,0.11167%,"Reumaattiset niveltulehdukset ja vastaavat tilat, Spondylitis ankylopoetica (Morbus von Bechterew)","Rheumatoid arthritis and allied conditions, Spondylitis ankylopoietica"
75210,481,0.11075%,"Sukuelinten synnynnäiset epämuodostumat, Retentio testis, cryptorehismus, ectopia testis","Congenital anomalies of genital organs, Undescended testicle"
68599,480,0.11052%,NA,Pilonidal cyst
63150,478,0.11006%,"Kohdunulkoinen raskaus, Tubaria rupta, sepsi non indicata","Ectopic pregnancy, Tubaria rupta, sepsi non indicata"
13597,473,0.10891%,"Sarkoidoosi, Suspecta","Sarcoidosis, Suspecta"
29560,470,0.10822%,"Jakomielitauti, Residualis",Residual schizophrenia
25002,466,0.10730%,"Sokeritauti, Retinopathia diabetica","Diabetes mellitus, Retinopathia diabetica"
56109,466,0.10730%,"Muu kuin haavainen maha-suoli- ja paksusuolentulehdus, jonka syynä ei ole tartuma, NUD","Gastro-enteritis and colitis, except ulcerative, of non-infectious origin, Unspecified"
62191,466,0.10730%,"Muut kohdunkaulan sairaudet, Dysplasia portionis uteri","Other diseases of cervix, Dysplasia portionis uteri"
78880,460,0.10592%,"Muita yleisiä oireita, Febris incertae causae","Other general symptoms, Pyrexia of unknown origin"
69619,459,0.10569%,"Hilsetystauti ja vastaavanlaiset tilat, Psoriasis alia sive NUD (vulgaris)","Psoriasis and similar disorders, Psoriasis alia sive NUD (vulgaris)"
38401,456,0.10500%,"Muut korvatulehdukset, Rhinosalpingitis (otosalpingitis) chronica adhaesiva","Other inflammatory diseases of ear, Rhinosalpingitis (otosalpingitis) chronica adhaesiva"
62533,453,0.10431%,"Muut kohdun sairaudet, Adenomyosis uteri","Other diseases of uterus, Adenomyosis uteri"
E9199,450,0.10361%,"Fyysinen liikarasitus, rasittavat (kestokyvyn ylittävät) liikkeet. Sisältää ruumillisen liikarasituksen, taivutuksen, venytyksen, kiertämisen, nostamisen ja vetämisen aiheuttaman uupumisen tai vahingoittumisen",Over-exertion and strenuous movements
62200,449,0.10338%,"Kohdun, emättimen ja hävyn infektiotaudit (poikkeuksena kohdunkaula), Endometritis acuta","Infective diseases of uterus (except cervix), vagina and vulva, Endometritis acuta"
78930,449,0.10338%,"Tuntemattomasta syystä johtuvat virtsan poikkeavuudet, Haematuria","Abnormal urinary constituents of unspecified cause, Haematuria"
E8879,449,0.10338%,Muut ja tarkemmin määrittelemättömät kaatumiset. Sisältää luunmurtuman ilman selittävää syytä (tarkemmin määrittelemättömän murtuman),Other and unspecified fall
99810,448,0.10315%,"Muut kirurgisiin toimenpiteisiin liittyvät komplikaatiot, Leikkauksen jälkeinen verenvuoto tai verenpurkauma","Other complications of surgical procedures, Postoperative haemorrhage or haematoma"
92100,447,0.10292%,"Ruhjevamma silmässä, silmäkuopassa ja silmäluomessa","Contusion of eye and orbit, Current injury"
62698,440,0.10131%,"Kuukautishäiriöt, Alia definita","Disorders of menstruation, Alia definita"
79388,439,0.10108%,NA,"Observation, without need for further medical care, Morbi alii definiti"
82300,438,0.10085%,"Sääri- ja pohjeluun murtuma, Partis superioris sive tibiae et fibulae NUD, Non complicata (sive NUD)","Fracture of tibia and fibula, Upper end or unspecified part, closed"
46209,437,0.10062%,"Äkillinen nielutulehdus, NUD","Acute pharyngitis, Unspecified"
72908,437,0.10062%,"Muut nivelsairaudet, Alii definiti","Other diseases of joint, Alii definiti"
50708,434,0.09993%,"Heinänuha, Alia definita","Hay fever, Alia definita"
47099,433,0.09970%,NA,"Influenza, unqualified"
65200,429,0.09878%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
E8192,429,0.09878%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa, Moottoripyörän kuljettaja","Motor vehicle traffic accident of unspecified nature, Motorcyclist"
E8261,427,0.09832%,"Polkupyörätapaturma, Polkupyöräilijä (määritelmä g)","Pedal cycle accident, Pedal cyclist"
03400,424,0.09763%,"Streptokokin aiheuttama kitarisatulehdus ja tulirokko, Tonsillitis streptococcica","Streptococcal sore throat and scarlet fever, Streptococcal sore throat"
E9399,423,0.09740%,Lääketieteellisten toimenpiteiden yhteydessa syntyneet komplikaatiot ja epäonnistumiset (myöhäisempiä haittavaikutuksia lukuunottamatta).,NA
41291,421,0.09694%,"Krooniset verensalpaus-sydäntaudit, Status post infarctum cordis, hypertonia non indicata","Chronic ischaemic heart disease, Status post infarctum cordis, hypertonia non indicata"
65210,419,0.09648%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
41099,417,0.09602%,"Äkillinen salpauspesäke sydänlihaksessa, Hypertonia non indicata","Acute myocardial infarction, Without mention of hypertensive disease"
99850,417,0.09602%,"Muut kirurgisiin toimenpiteisiin liittyvät komplikaatiot, Leikkauksenjälkeinen haavainfektio","Other complications of surgical procedures, Postoperative wound infection"
29500,414,0.09533%,"Jakomielitauti, Typus simplex","Schizophrenia, Simple type"
61000,412,0.09486%,NA,"Chronic cystic disease of breast, Fibroadenomatosis mammae"
25009,409,0.09417%,"Sokeritauti, NUD","Diabetes mellitus, Unspecified"
65696,406,0.09348%,"Synnytys, jossa sivuhäiriönä sikiön poikkeava tarjonta (asento), Perä- tai jalkatarjonta","Delivery complicated by malpresentation of foetus, Complete or incomplete breech presentation"
71798,406,0.09348%,"Muu reuma paitsi nivelissä, Rheumatismus musculorum alius, fibrosis et myalgia alia","Other nonarticular rheumatism, Other muscular rheumatism, fibrositis and myalgia"
62400,402,0.09256%,"Kohdun virheasento, Retroversio (retroflexio)","Malposition of uterus, Retroversion and retroflexion"
50300,399,0.09187%,"Krooninen sivuontelontulehdus, Maxillaris cum empyemate","Chronic sinusitis, Maxillaris cum empyemate"
63500,398,0.09164%,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Pyelonephritis","Urinary infections arising during pregnancy and the puerperium, Pyelonephritis"
63151,394,0.09072%,"Kohdunulkoinen raskaus, Tubaria NUD sepsi non indicata","Ectopic pregnancy, Tubaria NUD sepsi non indicata"
63900,390,0.08980%,"Muut raskauden ja lapsivuoteuden aikaiset myrkytystilat, Pruritus","Other toxaemias of pregnancy and the puerperium, Pruritus"
65310,386,0.08888%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
61521,385,0.08865%,"Muut munasarjan ja munanjohtimen sairaudet, Cysta (cystis) corporis lutei ovarii","Other diseases of ovary and Fallopian tube, Cysta (cystis) corporis lutei ovarii"
28000,381,0.08773%,"Raudanpuutevähäverisyys, Posthaemorrhagica","Iron deficiency anaemias, Posthaemorrhagica"
63899,381,0.08773%,"Raskaudenaikainen liiallinen oksentelu, Neuritide non indicata","Hyperemesis gravidarum, Without mention of neuritis"
57400,380,0.08750%,"Sappikivitauti, Cum cholecystitide acuta","Cholelithiasis, Cum cholecystitide acuta"
59902,378,0.08704%,"Muut virtsateiden taudit, Infectiones tractuum urinariorum NUD","Other diseases of urinary tract, Infectiones tractuum urinariorum NUD"
40299,376,0.08658%,"Itsenäinen verenpainetauti, johon liittyy sydäntauti",Hypertensive heart disease
62301,370,0.08519%,"Kohdun ja emättimen esiinluiskahdus, Cystocele alia","Uterovaginal prolapse, Cystocele alia"
Y0099,368,0.08473%,Umpieritysjärjestelmän ja aineenvaihdunnan tutkiminen,Investigation of endocrine system and metabolism
29540,364,0.08381%,"Jakomielitauti, Acuta alia sive NUD",Acute schizophrenia episode
78898,362,0.08335%,"Muita yleisiä oireita, Muut tarkemmin määrittelemättömät oireet, joita ei ole luokiteltu muualla","Other general symptoms, Alia symptomata definita, alibi non clasificabilia"
E8196,358,0.08243%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa, Polkupyöräilijä (myös matkustaja) (määritelmä g)","Motor vehicle traffic accident of unspecified nature, Pedal cyclist"
E8197,355,0.08174%,"Auton ja muun ajoneuvon kuljettaja, lukuunottamatta moottoripyörän kuljettajaa, Jalankulkija (määritelmä i)","Motor vehicle traffic accident of unspecified nature, Pedestrian"
42700,352,0.08105%,"Oireiset sydäntaudit, Incompensatio cordis. Oedema cardiale","Symptomatic heart disease, Congestive heart failure"
53502,352,0.08105%,"Mahakatarri ja pohjukaissuolentulehdus, Gastritis acuta NUD","Gastritis and duodenitis, Gastritis acuta NUD"
21499,351,0.08082%,Rasvakasvain,"Lipoma, Other and unspecified"
63299,349,0.08036%,"Raskaudentilaan liittyvä verenvuoto, NUD","Haemorrhage of pregnancy, Other and unspecified"
