concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,tmp_name_fi
23,"Other Salmonella infections, With food as vehicle of infection",Condition,ICD8fi,4-digit ICD8fi,NA,0030,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista"
24,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Breslau (typhi murium)",Condition,ICD8fi,5-digit ICD8fi,NA,00300,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Breslau (typhi murium)"
25,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Oranienburg",Condition,ICD8fi,5-digit ICD8fi,NA,00301,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Oranienburg"
26,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Montevideo",Condition,ICD8fi,5-digit ICD8fi,NA,00302,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Montevideo"
27,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria Newcastle",Condition,ICD8fi,5-digit ICD8fi,NA,00303,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria Newcastle"
28,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria enteritidis Gärtner",Condition,ICD8fi,5-digit ICD8fi,NA,00304,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria enteritidis Gärtner"
29,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria cholerae suis",Condition,ICD8fi,5-digit ICD8fi,NA,00305,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria cholerae suis"
30,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria alia",Condition,ICD8fi,5-digit ICD8fi,NA,00306,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria alia"
31,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00307,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria suspecta"
32,"Other Salmonella infections, With food as vehicle of infection, Causa alimentaria NUD",Condition,ICD8fi,5-digit ICD8fi,NA,00309,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria NUD"
33,"Other Salmonella infections, Without mention of food as vehicle of infection",Condition,ICD8fi,4-digit ICD8fi,NA,0039,1970-01-01,2299-11-03,NA,Muut salmonellataudit
34,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Breslau (typhi murium)",Condition,ICD8fi,5-digit ICD8fi,NA,00390,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Breslau (typhi murium)"
35,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Oranienburg",Condition,ICD8fi,5-digit ICD8fi,NA,00391,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Oranienburg"
36,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Montevideo",Condition,ICD8fi,5-digit ICD8fi,NA,00392,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Montevideo"
37,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, Newcastle",Condition,ICD8fi,5-digit ICD8fi,NA,00393,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, Newcastle"
38,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, enteritidis Gärtner",Condition,ICD8fi,5-digit ICD8fi,NA,00394,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, enteritidis Gärtner"
39,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, cholerae suis",Condition,ICD8fi,5-digit ICD8fi,NA,00395,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, cholerae suis"
40,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, alia",Condition,ICD8fi,5-digit ICD8fi,NA,00396,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, alia"
41,"Other Salmonella infections, Without mention of food as vehicle of infection, Causa alimentaria non indicata, suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00397,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, suspecta"
42,"Other Salmonella infections, Without mention of food as vehicle of infection, UNS",Condition,ICD8fi,5-digit ICD8fi,NA,00399,1970-01-01,2299-11-03,NA,"Muut salmonellataudit, NUD"
43,Bacillary dysentery,Condition,ICD8fi,3-digit ICD8fi,NA,004,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti"
44,"Bacillary dysentery, Shiga",Condition,ICD8fi,5-digit ICD8fi,NA,00400,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Shiga"
45,"Bacillary dysentery, Flexner",Condition,ICD8fi,5-digit ICD8fi,NA,00410,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Flexner"
46,"Bacillary dysentery, Boyd",Condition,ICD8fi,5-digit ICD8fi,NA,00420,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Boyd"
47,"Bacillary dysentery, Soone",Condition,ICD8fi,5-digit ICD8fi,NA,00430,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Sonne"
48,"Bacillary dysentery, Schmitz-(Stutzer)",Condition,ICD8fi,5-digit ICD8fi,NA,00440,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Schmitz Stutzer"
49,"Bacillary dysentery, Other bacillary",Condition,ICD8fi,5-digit ICD8fi,NA,00480,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Alia"
50,"Bacillary dysentery, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00497,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, Suspecta"
51,"Bacillary dysentery, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00499,1970-01-01,2299-11-03,NA,"Basillipunatauti, punatauti, NUD"
52,Food poisoning (bacterial),Condition,ICD8fi,3-digit ICD8fi,NA,005,1970-01-01,2299-11-03,NA,Äkillinen ruokamyrkytys
53,"Food poisoning (bacterial), Staphylococcal",Condition,ICD8fi,5-digit ICD8fi,NA,00500,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, Staphylococcica"
54,"Food poisoning (bacterial), Botulism",Condition,ICD8fi,5-digit ICD8fi,NA,00510,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, Botulismus"
55,"Food poisoning (bacterial), Due to other clostridia",Condition,ICD8fi,5-digit ICD8fi,NA,00520,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, Aliae clostridicae"
56,"Food poisoning (bacterial), Other specified bacterial food poisoning",Condition,ICD8fi,5-digit ICD8fi,NA,00580,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, Aliae bactericae"
57,"Food poisoning (bacterial), Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00597,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, Suspecta"
58,"Food poisoning (bacterial), Food poisoning, unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00599,1970-01-01,2299-11-03,NA,"Äkillinen ruokamyrkytys, NUD"
59,Amoebiasis,Condition,ICD8fi,3-digit ICD8fi,NA,006,1970-01-01,2299-11-03,NA,Ameebatauti
60,"Amoebiasis, With liver abscess",Condition,ICD8fi,5-digit ICD8fi,NA,00600,1970-01-01,2299-11-03,NA,"Ameebatauti, Cum abscessu hepatis"
61,"Amoebiasis, Sine abscessu hepatis",Condition,ICD8fi,5-digit ICD8fi,NA,00690,1970-01-01,2299-11-03,NA,"Ameebatauti, Sine abscessu hepatis"
62,"Amoebiasis, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00697,1970-01-01,2299-11-03,NA,"Ameebatauti, Suspecta"
63,"Amoebiasis, Without mention of liver abscess",Condition,ICD8fi,5-digit ICD8fi,NA,00699,1970-01-01,2299-11-03,NA,"Ameebatauti, NUD"
64,Other protozoal intestinal diseases,Condition,ICD8fi,3-digit ICD8fi,NA,007,1970-01-01,2299-11-03,NA,Muut alkueläinten aiheuttamat suolistotaudit
65,"Other protozoal intestinal diseases, Balantidiasis",Condition,ICD8fi,5-digit ICD8fi,NA,00700,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, Balantidiasis"
66,"Other protozoal intestinal diseases, Giardiasis",Condition,ICD8fi,5-digit ICD8fi,NA,00710,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, Giardiasis, Lambliasis"
67,"Other protozoal intestinal diseases, Coccidiosis",Condition,ICD8fi,5-digit ICD8fi,NA,00720,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, Coccidiosis"
68,"Other protozoal intestinal diseases, Alia",Condition,ICD8fi,5-digit ICD8fi,NA,00796,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, Alia"
69,"Other protozoal intestinal diseases, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,00797,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, Suspecta"
70,"Other protozoal intestinal diseases, Other and unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00799,1970-01-01,2299-11-03,NA,"Muut alkueläinten aiheuttamat suolistotaudit, NUD"
71,Enteritis due to other specified organism,Condition,ICD8fi,3-digit ICD8fi,NA,008,1970-01-01,2299-11-03,NA,Muun tietyn eliön aiheuttama suolitulehdus
72,"Enteritis due to other specified organism, Escherichia coli",Condition,ICD8fi,5-digit ICD8fi,NA,00800,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Escherichia coli"
73,"Enteritis due to other specified organism, Arizona",Condition,ICD8fi,5-digit ICD8fi,NA,00810,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Arizona"
74,"Enteritis due to other specified organism, Other specified bacteria",Condition,ICD8fi,5-digit ICD8fi,NA,00820,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Bacterica alia specificata"
75,"Enteritis due to other specified organism, Bacterial enteritis, unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00830,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Bacterica NUD"
76,"Enteritis due to other specified organism, Enteritis due to specified virus",Condition,ICD8fi,5-digit ICD8fi,NA,00880,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Virosa specificata"
77,"Enteritis due to other specified organism, Other organism, not elsewhere classified",Condition,ICD8fi,5-digit ICD8fi,NA,00898,1970-01-01,2299-11-03,NA,"Muun tietyn eliön aiheuttama suolitulehdus, Virosa NUD"
78,Diarrhoeal disease,Condition,ICD8fi,3-digit ICD8fi,NA,009,1970-01-01,2299-11-03,NA,Ripuli
79,"Diarrhoeal disease, Dysentery, unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,00900,1970-01-01,2299-11-03,NA,"Ripuli, Diarrhoea dysenterica NUD"
80,"Diarrhoeal disease, Diarrhoea",Condition,ICD8fi,5-digit ICD8fi,NA,00919,1970-01-01,2299-11-03,NA,"Ripuli, Diarrhoea NUD"
81,"Diarrhoeal disease, Gastroenteritis (acuta) (infectiosa)",Condition,ICD8fi,5-digit ICD8fi,NA,00920,1970-01-01,2299-11-03,NA,"Ripuli, Gastroenteritis (acuta) (infectiosa)"
82,"Diarrhoeal disease, Enterocolitis sive colitis (acuta) (infectiosa)",Condition,ICD8fi,5-digit ICD8fi,NA,00921,1970-01-01,2299-11-03,NA,"Ripuli, Enterocolitis sive colitis (acuta) (infectiosa)"
83,Other diarrhoeal disease,Condition,ICD8fi,5-digit ICD8fi,NA,00998,1970-01-01,2299-11-03,NA,"Ripuli, Diarrhoea alia"
84,Silicotuberculosis,Condition,ICD8fi,3-digit ICD8fi,NA,010,1970-01-01,2299-11-03,NA,NA
85,Silicotuberculosis,Condition,ICD8fi,5-digit ICD8fi,NA,01099,1970-01-01,2299-11-03,NA,NA
86,Pulmonary tuberculosis,Condition,ICD8fi,3-digit ICD8fi,NA,011,1970-01-01,2299-11-03,NA,Keuhkotuberkuloosi
87,"Pulmonary tuberculosis, Cavernosa",Condition,ICD8fi,5-digit ICD8fi,NA,01101,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Cavernosa"
88,"Pulmonary tuberculosis, Non cavernosa",Condition,ICD8fi,5-digit ICD8fi,NA,01102,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Non cavernosa"
89,"Pulmonary tuberculosis, Bronchialis",Condition,ICD8fi,5-digit ICD8fi,NA,01103,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Bronchialis"
90,"Pulmonary tuberculosis, Tuberculoma pulmonum",Condition,ICD8fi,5-digit ICD8fi,NA,01104,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Tuberculoma pulmonum"
91,"Pulmonary tuberculosis, Disseminata pulmonum",Condition,ICD8fi,5-digit ICD8fi,NA,01105,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Disseminata pulmonum"
92,"Pulmonary tuberculosis, Pulmonum alia sive NUD",Condition,ICD8fi,5-digit ICD8fi,NA,01106,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Pulmonum alia sive NUD"
93,"Pulmonary tuberculosis, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01107,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Suspecta"
94,"Pulmonary tuberculosis, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,01109,1970-01-01,2299-11-03,NA,"Keuhkotuberkuloosi, Tuberculosis NUD"
95,Other respiratory tuberculosis,Condition,ICD8fi,3-digit ICD8fi,NA,012,1970-01-01,2299-11-03,NA,Muiden hengityselinten tuberkuloosi
96,"Other respiratory tuberculosis, Primary",Condition,ICD8fi,5-digit ICD8fi,NA,01200,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Complexus tuberculosus primarius cum symptomatibus"
97,"Other respiratory tuberculosis, Tuberculosis pleurae, pleuritis exsudativa tuberculosa",Condition,ICD8fi,5-digit ICD8fi,NA,01210,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Tuberculosis pleurae, pleuritis exsudativa tuberculosa"
98,"Other respiratory tuberculosis, Empyema pleurae tuberculosum",Condition,ICD8fi,5-digit ICD8fi,NA,01211,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Empyema pleurae tuberculosum"
99,"Other respiratory tuberculosis, Fistula tuberculosa pleurae",Condition,ICD8fi,5-digit ICD8fi,NA,01212,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Fistula tuberculosa pleurae"
100,"Other respiratory tuberculosis, Pleurisy with effusion without mention of cause",Condition,ICD8fi,5-digit ICD8fi,NA,01220,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata"
101,"Other respiratory tuberculosis, Tuberculous laryngitis",Condition,ICD8fi,5-digit ICD8fi,NA,01230,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Laryngis"
102,"Other respiratory tuberculosis, Tracheae",Condition,ICD8fi,5-digit ICD8fi,NA,01290,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Tracheae"
103,"Other respiratory tuberculosis, Pharyngis",Condition,ICD8fi,5-digit ICD8fi,NA,01291,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Pharyngis"
104,"Other respiratory tuberculosis, Lymphonodorum tracheobronchialium et mediastini",Condition,ICD8fi,5-digit ICD8fi,NA,01292,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Lymphonodorum tracheobronchialium et mediastini"
105,"Other respiratory tuberculosis, Alia",Condition,ICD8fi,5-digit ICD8fi,NA,01296,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Alia"
106,"Other respiratory tuberculosis, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01297,1970-01-01,2299-11-03,NA,"Muiden hengityselinten tuberkuloosi, Suspecta"
107,Tuberculosis of meninges and central nervous system,Condition,ICD8fi,3-digit ICD8fi,NA,013,1970-01-01,2299-11-03,NA,Aivokalvo- ja keskushermostotuberkuloosi
108,"Tuberculosis of meninges and central nervous system, Tuberculous meningitis",Condition,ICD8fi,5-digit ICD8fi,NA,01300,1970-01-01,2299-11-03,NA,"Aivokalvo- ja keskushermostotuberkuloosi, Meningum"
109,"Tuberculosis of meninges and central nervous system, Systematis nervosi centralis, meningibus exceptis",Condition,ICD8fi,5-digit ICD8fi,NA,01390,1970-01-01,2299-11-03,NA,"Aivokalvo- ja keskushermostotuberkuloosi, Systematis nervosi centralis, meningibus exceptis"
110,"Tuberculosis of meninges and central nervous system, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01397,1970-01-01,2299-11-03,NA,"Aivokalvo- ja keskushermostotuberkuloosi, Suspecta"
111,"Tuberculosis of meninges and central nervous system, Other central nervous system",Condition,ICD8fi,5-digit ICD8fi,NA,01399,1970-01-01,2299-11-03,NA,"Aivokalvo- ja keskushermostotuberkuloosi, NUD"
112,"Tuberculosis of intestines, peritoneum and mesenteric glands",Condition,ICD8fi,3-digit ICD8fi,NA,014,1970-01-01,2299-11-03,NA,"Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi"
113,"Tuberculosis of intestines, peritoneum and mesenteric glands, Intestinorum",Condition,ICD8fi,5-digit ICD8fi,NA,01400,1970-01-01,2299-11-03,NA,"Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Intestinorum"
114,"Tuberculosis of intestines, peritoneum and mesenteric glands, Peritonei et lymphonodorum mesenterii",Condition,ICD8fi,5-digit ICD8fi,NA,01401,1970-01-01,2299-11-03,NA,"Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Peritonei et lymphonodorum mesenterii"
115,"Tuberculosis of intestines, peritoneum and mesenteric glands, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01407,1970-01-01,2299-11-03,NA,"Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Suspecta"
116,"Tuberculosis of intestines, peritoneum and mesenteric glands, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,01409,1970-01-01,2299-11-03,NA,"Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, NUD"
117,Tuberculosis of bones and joints,Condition,ICD8fi,3-digit ICD8fi,NA,015,1970-01-01,2299-11-03,NA,Luu- ja niveltuberkuloosi
118,"Tuberculosis of bones and joints, Of vertebral column",Condition,ICD8fi,5-digit ICD8fi,NA,01500,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, Columnae vertebralis"
119,"Tuberculosis of bones and joints, Of hip",Condition,ICD8fi,5-digit ICD8fi,NA,01510,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, Coxae"
120,"Tuberculosis of bones and joints, Of knee",Condition,ICD8fi,5-digit ICD8fi,NA,01520,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, Genus"
121,"Tuberculosis of bones and joints, Of other specified bones and joints",Condition,ICD8fi,5-digit ICD8fi,NA,01588,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, Alia"
122,"Tuberculosis of bones and joints, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01597,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, Suspecta"
123,"Tuberculosis of bones and joints, Of unspecified bones and joints",Condition,ICD8fi,5-digit ICD8fi,NA,01599,1970-01-01,2299-11-03,NA,"Luu- ja niveltuberkuloosi, NUD"
124,Tuberculosis of genito-urinary system,Condition,ICD8fi,3-digit ICD8fi,NA,016,1970-01-01,2299-11-03,NA,Virtsa- ja sukuelintuberkuloosi
125,"Tuberculosis of genito-urinary system, Renis",Condition,ICD8fi,5-digit ICD8fi,NA,01600,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Renis"
126,"Tuberculosis of genito-urinary system, Ureteris",Condition,ICD8fi,5-digit ICD8fi,NA,01601,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Ureteris"
127,"Tuberculosis of genito-urinary system, Vesicae urinariae",Condition,ICD8fi,5-digit ICD8fi,NA,01602,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Vesicae urinariae"
128,"Tuberculosis of genito-urinary system, Urethrae",Condition,ICD8fi,5-digit ICD8fi,NA,01603,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Urethrae"
129,"Tuberculosis of genito-urinary system, Prostatae, vesiculae seminalis sive testis",Condition,ICD8fi,5-digit ICD8fi,NA,01604,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Prostatae, vesiculae seminalis sive testis"
130,"Tuberculosis of genito-urinary system, Salpingis",Condition,ICD8fi,5-digit ICD8fi,NA,01605,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Salpingis"
131,"Tuberculosis of genito-urinary system, Endometrii",Condition,ICD8fi,5-digit ICD8fi,NA,01606,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Endometrii"
132,"Tuberculosis of genito-urinary system, Alia",Condition,ICD8fi,5-digit ICD8fi,NA,01607,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Alia"
133,"Tuberculosis of genito-urinary system, Suspecta",Condition,ICD8fi,5-digit ICD8fi,NA,01608,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, Suspecta"
134,"Tuberculosis of genito-urinary system, Unspecified",Condition,ICD8fi,5-digit ICD8fi,NA,01609,1970-01-01,2299-11-03,NA,"Virtsa- ja sukuelintuberkuloosi, NUD"
135,Tuberculosis of other organs,Condition,ICD8fi,3-digit ICD8fi,NA,017,1970-01-01,2299-11-03,NA,Muiden elinten tuberkuloosi
136,"Tuberculosis of other organs, Erythema induratum tuberculosum",Condition,ICD8fi,5-digit ICD8fi,NA,01701,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Erythema induratum tuberculosum"
137,"Tuberculosis of other organs, Erythema nodosum tuberculosum",Condition,ICD8fi,5-digit ICD8fi,NA,01702,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Erythema nodosum tuberculosum"
138,"Tuberculosis of other organs, Lupus tuberculosus",Condition,ICD8fi,5-digit ICD8fi,NA,01703,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Lupus tuberculosus"
139,"Tuberculosis of other organs, Alia cutis et subcutis",Condition,ICD8fi,5-digit ICD8fi,NA,01708,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Alia cutis et subcutis"
140,"Tuberculosis of other organs, Cutis et subcutis NUD",Condition,ICD8fi,5-digit ICD8fi,NA,01709,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Cutis et subcutis NUD"
141,"Tuberculosis of other organs, Lymphonodorum colli",Condition,ICD8fi,5-digit ICD8fi,NA,01710,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Lymphonodorum colli"
142,"Tuberculosis of other organs, Lymphonodorum periphericorum aliorum",Condition,ICD8fi,5-digit ICD8fi,NA,01718,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Lymphonodorum periphericorum aliorum"
143,"Tuberculosis of other organs, Lymphonodorum NUD",Condition,ICD8fi,5-digit ICD8fi,NA,01719,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Lymphonodorum NUD"
144,"Tuberculosis of other organs, Conjunctivitis tuberculosa",Condition,ICD8fi,5-digit ICD8fi,NA,01720,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Conjunctivitis tuberculosa"
145,"Tuberculosis of other organs, Keratitis tuberculosa",Condition,ICD8fi,5-digit ICD8fi,NA,01721,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Keratitis tuberculosa"
146,"Tuberculosis of other organs, Iritis et iridocyclitis tuberculosa",Condition,ICD8fi,5-digit ICD8fi,NA,01722,1970-01-01,2299-11-03,NA,"Muiden elinten tuberkuloosi, Iritis et iridocyclitis tuberculosa"
