code,name_la,name_fi,name_en,name_se,name_en_source
01200,"Tuberculosis alia organorum respirationis, Complexus tuberculosus primarius cum symptomatibus","Muiden hengityselinten tuberkuloosi, Complexus tuberculosus primarius cum symptomatibus","Other respiratory tuberculosis, Primary",NA,THL
01210,"Tuberculosis alia organorum respirationis, Tuberculosis pleurae, pleuritis exsudativa tuberculosa","Muiden hengityselinten tuberkuloosi, Tuberculosis pleurae, pleuritis exsudativa tuberculosa","Other respiratory tuberculosis, Tuberculosis pleurae, pleuritis exsudativa tuberculosa",NA,THL
01211,"Tuberculosis alia organorum respirationis, Empyema pleurae tuberculosum","Muiden hengityselinten tuberkuloosi, Empyema pleurae tuberculosum","Other respiratory tuberculosis, Empyema pleurae tuberculosum",NA,THL
01212,"Tuberculosis alia organorum respirationis, Fistula tuberculosa pleurae","Muiden hengityselinten tuberkuloosi, Fistula tuberculosa pleurae","Other respiratory tuberculosis, Fistula tuberculosa pleurae",NA,THL
01220,"Tuberculosis alia organorum respirationis, Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata","Muiden hengityselinten tuberkuloosi, Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata","Other respiratory tuberculosis, Pleurisy with effusion without mention of cause",NA,THL
01230,"Tuberculosis alia organorum respirationis, Laryngis","Muiden hengityselinten tuberkuloosi, Laryngis","Other respiratory tuberculosis, Tuberculous laryngitis",NA,THL
01290,"Tuberculosis alia organorum respirationis, Tracheae","Muiden hengityselinten tuberkuloosi, Tracheae","Other respiratory tuberculosis, Tracheae",NA,THL
01291,"Tuberculosis alia organorum respirationis, Pharyngis","Muiden hengityselinten tuberkuloosi, Pharyngis","Other respiratory tuberculosis, Pharyngis",NA,THL
01292,"Tuberculosis alia organorum respirationis, Lymphonodorum tracheobronchialium et mediastini","Muiden hengityselinten tuberkuloosi, Lymphonodorum tracheobronchialium et mediastini","Other respiratory tuberculosis, Lymphonodorum tracheobronchialium et mediastini",NA,THL
01296,"Tuberculosis alia organorum respirationis, Alia","Muiden hengityselinten tuberkuloosi, Alia","Other respiratory tuberculosis, Alia",NA,THL
01297,"Tuberculosis alia organorum respirationis, Suspecta","Muiden hengityselinten tuberkuloosi, Suspecta","Other respiratory tuberculosis, Suspecta",NA,THL
013,Tuberculosis meningum et systematis nervosi centralis,Aivokalvo- ja keskushermostotuberkuloosi,Tuberculosis of meninges and central nervous system,Tuberkulos i hjärnhinnorna och centrala nervsystemet,THL
01300,"Tuberculosis meningum et systematis nervosi centralis, Meningum","Aivokalvo- ja keskushermostotuberkuloosi, Meningum","Tuberculosis of meninges and central nervous system, Tuberculous meningitis",NA,THL
01390,"Tuberculosis meningum et systematis nervosi centralis, Systematis nervosi centralis, meningibus exceptis","Aivokalvo- ja keskushermostotuberkuloosi, Systematis nervosi centralis, meningibus exceptis","Tuberculosis of meninges and central nervous system, Systematis nervosi centralis, meningibus exceptis",NA,THL
01397,"Tuberculosis meningum et systematis nervosi centralis, Suspecta","Aivokalvo- ja keskushermostotuberkuloosi, Suspecta","Tuberculosis of meninges and central nervous system, Suspecta",NA,THL
01399,"Tuberculosis meningum et systematis nervosi centralis, NUD","Aivokalvo- ja keskushermostotuberkuloosi, NUD","Tuberculosis of meninges and central nervous system, Other central nervous system",NA,THL
014,"Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii","Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi","Tuberculosis of intestines, peritoneum and mesenteric glands","Tuberkulos i tarmarna, peritoneum och mesentariallymfkörtlarna",THL
01400,"Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Intestinorum","Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Intestinorum","Tuberculosis of intestines, peritoneum and mesenteric glands, Intestinorum",NA,THL
01401,"Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Peritonei et lymphonodorum mesenterii","Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Peritonei et lymphonodorum mesenterii","Tuberculosis of intestines, peritoneum and mesenteric glands, Peritonei et lymphonodorum mesenterii",NA,THL
01407,"Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Suspecta","Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Suspecta","Tuberculosis of intestines, peritoneum and mesenteric glands, Suspecta",NA,THL
01409,"Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, NUD","Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, NUD","Tuberculosis of intestines, peritoneum and mesenteric glands, Unspecified",NA,THL
015,Tuberculosis ossium et articulorum,Luu- ja niveltuberkuloosi,Tuberculosis of bones and joints,Ben- och ledtuberkulos,THL
01500,"Tuberculosis ossium et articulorum, Columnae vertebralis","Luu- ja niveltuberkuloosi, Columnae vertebralis","Tuberculosis of bones and joints, Of vertebral column",NA,THL
01510,"Tuberculosis ossium et articulorum, Coxae","Luu- ja niveltuberkuloosi, Coxae","Tuberculosis of bones and joints, Of hip",NA,THL
01520,"Tuberculosis ossium et articulorum, Genus","Luu- ja niveltuberkuloosi, Genus","Tuberculosis of bones and joints, Of knee",NA,THL
01588,"Tuberculosis ossium et articulorum, Alia","Luu- ja niveltuberkuloosi, Alia","Tuberculosis of bones and joints, Of other specified bones and joints",NA,THL
01597,"Tuberculosis ossium et articulorum, Suspecta","Luu- ja niveltuberkuloosi, Suspecta","Tuberculosis of bones and joints, Suspecta",NA,THL
01599,"Tuberculosis ossium et articulorum, NUD","Luu- ja niveltuberkuloosi, NUD","Tuberculosis of bones and joints, Of unspecified bones and joints",NA,THL
016,Tuberculosis uro-genitalis,Virtsa- ja sukuelintuberkuloosi,Tuberculosis of genito-urinary system,Tuberkulos i urin- och könsorgan,THL
01600,"Tuberculosis uro-genitalis, Renis","Virtsa- ja sukuelintuberkuloosi, Renis","Tuberculosis of genito-urinary system, Renis",NA,THL
01601,"Tuberculosis uro-genitalis, Ureteris","Virtsa- ja sukuelintuberkuloosi, Ureteris","Tuberculosis of genito-urinary system, Ureteris",NA,THL
01602,"Tuberculosis uro-genitalis, Vesicae urinariae","Virtsa- ja sukuelintuberkuloosi, Vesicae urinariae","Tuberculosis of genito-urinary system, Vesicae urinariae",NA,THL
01603,"Tuberculosis uro-genitalis, Urethrae","Virtsa- ja sukuelintuberkuloosi, Urethrae","Tuberculosis of genito-urinary system, Urethrae",NA,THL
01604,"Tuberculosis uro-genitalis, Prostatae, vesiculae seminalis sive testis","Virtsa- ja sukuelintuberkuloosi, Prostatae, vesiculae seminalis sive testis","Tuberculosis of genito-urinary system, Prostatae, vesiculae seminalis sive testis",NA,THL
01605,"Tuberculosis uro-genitalis, Salpingis","Virtsa- ja sukuelintuberkuloosi, Salpingis","Tuberculosis of genito-urinary system, Salpingis",NA,THL
01606,"Tuberculosis uro-genitalis, Endometrii","Virtsa- ja sukuelintuberkuloosi, Endometrii","Tuberculosis of genito-urinary system, Endometrii",NA,THL
01607,"Tuberculosis uro-genitalis, Alia","Virtsa- ja sukuelintuberkuloosi, Alia","Tuberculosis of genito-urinary system, Alia",NA,THL
01608,"Tuberculosis uro-genitalis, Suspecta","Virtsa- ja sukuelintuberkuloosi, Suspecta","Tuberculosis of genito-urinary system, Suspecta",NA,THL
01609,"Tuberculosis uro-genitalis, NUD","Virtsa- ja sukuelintuberkuloosi, NUD","Tuberculosis of genito-urinary system, Unspecified",NA,THL
017,Tuberculosis aliorum organorum,Muiden elinten tuberkuloosi,Tuberculosis of other organs,Tuberkulos i andra organ,THL
01701,"Tuberculosis aliorum organorum, Erythema induratum tuberculosum","Muiden elinten tuberkuloosi, Erythema induratum tuberculosum","Tuberculosis of other organs, Erythema induratum tuberculosum",NA,THL
01702,"Tuberculosis aliorum organorum, Erythema nodosum tuberculosum","Muiden elinten tuberkuloosi, Erythema nodosum tuberculosum","Tuberculosis of other organs, Erythema nodosum tuberculosum",NA,THL
01703,"Tuberculosis aliorum organorum, Lupus tuberculosus","Muiden elinten tuberkuloosi, Lupus tuberculosus","Tuberculosis of other organs, Lupus tuberculosus",NA,THL
01708,"Tuberculosis aliorum organorum, Alia cutis et subcutis","Muiden elinten tuberkuloosi, Alia cutis et subcutis","Tuberculosis of other organs, Alia cutis et subcutis",NA,THL
01709,"Tuberculosis aliorum organorum, Cutis et subcutis NUD","Muiden elinten tuberkuloosi, Cutis et subcutis NUD","Tuberculosis of other organs, Cutis et subcutis NUD",NA,THL
01710,"Tuberculosis aliorum organorum, Lymphonodorum colli","Muiden elinten tuberkuloosi, Lymphonodorum colli","Tuberculosis of other organs, Lymphonodorum colli",NA,THL
01718,"Tuberculosis aliorum organorum, Lymphonodorum periphericorum aliorum","Muiden elinten tuberkuloosi, Lymphonodorum periphericorum aliorum","Tuberculosis of other organs, Lymphonodorum periphericorum aliorum",NA,THL
01719,"Tuberculosis aliorum organorum, Lymphonodorum NUD","Muiden elinten tuberkuloosi, Lymphonodorum NUD","Tuberculosis of other organs, Lymphonodorum NUD",NA,THL
01720,"Tuberculosis aliorum organorum, Conjunctivitis tuberculosa","Muiden elinten tuberkuloosi, Conjunctivitis tuberculosa","Tuberculosis of other organs, Conjunctivitis tuberculosa",NA,THL
01721,"Tuberculosis aliorum organorum, Keratitis tuberculosa","Muiden elinten tuberkuloosi, Keratitis tuberculosa","Tuberculosis of other organs, Keratitis tuberculosa",NA,THL
01722,"Tuberculosis aliorum organorum, Iritis et iridocyclitis tuberculosa","Muiden elinten tuberkuloosi, Iritis et iridocyclitis tuberculosa","Tuberculosis of other organs, Iritis et iridocyclitis tuberculosa",NA,THL
01723,"Tuberculosis aliorum organorum, Retinitis et chorioiditis tuberculosa","Muiden elinten tuberkuloosi, Retinitis et chorioiditis tuberculosa","Tuberculosis of other organs, Retinitis et chorioiditis tuberculosa",NA,THL
01729,"Tuberculosis aliorum organorum, Oculi NUD","Muiden elinten tuberkuloosi, Oculi NUD","Tuberculosis of other organs, Oculi NUD",NA,THL
01731,"Tuberculosis aliorum organorum, Otitis media tuberculosa","Muiden elinten tuberkuloosi, Otitis media tuberculosa","Tuberculosis of other organs, Otitis media tuberculosa",NA,THL
01732,"Tuberculosis aliorum organorum, Otitis alia tuberculosa","Muiden elinten tuberkuloosi, Otitis alia tuberculosa","Tuberculosis of other organs, Otitis alia tuberculosa",NA,THL
01739,"Tuberculosis aliorum organorum, Auria NUD","Muiden elinten tuberkuloosi, Auria NUD","Tuberculosis of other organs, Auria NUD",NA,THL
01791,"Tuberculosis aliorum organorum, Pericardii","Muiden elinten tuberkuloosi, Pericardii","Tuberculosis of other organs, Pericardii",NA,THL
01793,"Tuberculosis aliorum organorum, Cavi oris","Muiden elinten tuberkuloosi, Cavi oris","Tuberculosis of other organs, Cavi oris",NA,THL
01794,"Tuberculosis aliorum organorum, Hepatitis, lienis","Muiden elinten tuberkuloosi, Hepatitis, lienis","Tuberculosis of other organs, Hepatitis, lienis",NA,THL
01795,"Tuberculosis aliorum organorum, Glandulae suprarenalis","Muiden elinten tuberkuloosi, Glandulae suprarenalis","Tuberculosis of other organs, Glandulae suprarenalis",NA,THL
01796,"Tuberculosis aliorum organorum, Aliorum organorum","Muiden elinten tuberkuloosi, Aliorum organorum","Tuberculosis of other organs, Aliorum organorum",NA,THL
01797,"Tuberculosis aliorum organorum, Suspecta","Muiden elinten tuberkuloosi, Suspecta","Tuberculosis of other organs, Suspecta",NA,THL
018,Tuberculosis disseminata,Yleistuberkuloosi (miliaarituberkuloosi),Disseminated tuberculosis,Disseminerad tuberkulos (miliartuberkulos),THL
01800,"Tuberculosis disseminata, Acuta, non pulmonalis","Yleistuberkuloosi (miliaarituberkuloosi), Acuta, non pulmonalis","Disseminated tuberculosis, Acute miliary tuberculosis specified as nonpulmonary",NA,THL
01810,"Tuberculosis disseminata, Acuta, NUD","Yleistuberkuloosi (miliaarituberkuloosi), Acuta, NUD","Disseminated tuberculosis, Acute miliary tuberculosis unspecified",NA,THL
01898,"Tuberculosis disseminata, Alia, chronica inclusa","Yleistuberkuloosi (miliaarituberkuloosi), Alia, chronica inclusa",Other forms of disseminated tuberculosis,NA,THL
019,Tuberculosis sequelae,Tuberkuloosin jälkitila,Late effects of tuberculosis,Sena besvär av tuberkulos,THL
01900,"Tuberculosis sequelae, Bronchiectasia","Tuberkuloosin jälkitila, Bronchiectasia","Late effects of tuberculosis, Bronchiectasia",NA,THL
01901,"Tuberculosis sequelae, Emphysema","Tuberkuloosin jälkitila, Emphysema","Late effects of tuberculosis, Emphysema",NA,THL
01902,"Tuberculosis sequelae, Atelectasis pulmonis","Tuberkuloosin jälkitila, Atelectasis pulmonis","Late effects of tuberculosis, Atelectasis pulmonis",NA,THL
01903,"Tuberculosis sequelae, Fibrosis pulmonum","Tuberkuloosin jälkitila, Fibrosis pulmonum","Late effects of tuberculosis, Fibrosis pulmonum",NA,THL
01904,"Tuberculosis sequelae, Adhaesiones pleurae","Tuberkuloosin jälkitila, Adhaesiones pleurae","Late effects of tuberculosis, Adhaesiones pleurae",NA,THL
01908,"Tuberculosis sequelae, Sequelae aliae o tuberculosis organorum respirationis","Tuberkuloosin jälkitila, Sequelae aliae o tuberculosis organorum respirationis","Late effects of tuberculosis, Sequelae aliae o tuberculosis organorum respirationis",NA,THL
01909,"Tuberculosis sequelae, Sequelae NUD o tuberculosis organorum respirationis","Tuberkuloosin jälkitila, Sequelae NUD o tuberculosis organorum respirationis","Late effects of tuberculosis, Sequelae NUD o tuberculosis organorum respirationis",NA,THL
01910,"Tuberculosis sequelae, Organorum systematis nervosi","Tuberkuloosin jälkitila, Organorum systematis nervosi","Late effects of tuberculosis, Of central nervous system",NA,THL
01920,"Tuberculosis sequelae, Hydronephrosis","Tuberkuloosin jälkitila, Hydronephrosis","Late effects of tuberculosis, Hydronephrosis",NA,THL
01921,"Tuberculosis sequelae, Strictura ureteris","Tuberkuloosin jälkitila, Strictura ureteris","Late effects of tuberculosis, Strictura ureteris",NA,THL
01928,"Tuberculosis sequelae, Sequelae aliae, organorum urogenitalium","Tuberkuloosin jälkitila, Sequelae aliae, organorum urogenitalium","Late effects of tuberculosis, Sequelae aliae, organorum urogenitalium",NA,THL
