Code	DF6_Freq	Latin	Finnish	Swedish	English	Uncertain_language	Needs_LAT_trans	Finnish_requires_review	Needs_FIN_trans	English_requires_review	needs_ENG_trans	Comments
00797	2	Morbi protozoici intestinales alii, Suspecta	Muut alkueläinten aiheuttamat suolistotaudit, Suspecta		Other protozoal intestinal diseases, Suspecta		0	1	0	1	0	
00799	8	Morbi protozoici intestinales alii, NUD	Muut alkueläinten aiheuttamat suolistotaudit, NUD		Other protozoal intestinal diseases, Other and unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
008	0	Enteritis per organismata alia specificata	Muun tietyn eliön aiheuttama suolitulehdus	Enteritis av annan specificerad organism	Enteritis due to other specified organism		0	0	0	0	0	
	NA						0	0	0	0	0	
00800	2	Enteritis per organismata alia specificata, Escherichia coli	Muun tietyn eliön aiheuttama suolitulehdus, Escherichia coli		Enteritis due to other specified organism, Escherichia coli		0	1	0	0	0	
00810	0	Enteritis per organismata alia specificata, Arizona	Muun tietyn eliön aiheuttama suolitulehdus, Arizona		Enteritis due to other specified organism, Arizona		0	1	0	0	0	
00820	31	Enteritis per organismata alia specificata, Bacterica alia specificata	Muun tietyn eliön aiheuttama suolitulehdus, Bacterica alia specificata		Enteritis due to other specified organism, Other specified bacteria		0	1	0	0	0	
00830	3	Enteritis per organismata alia specificata, Bacterica NUD	Muun tietyn eliön aiheuttama suolitulehdus, Bacterica NUD		Enteritis due to other specified organism, Bacterial enteritis, unspecified		0	1	0	0	0	
00880	85	Enteritis per organismata alia specificata, Virosa specificata	Muun tietyn eliön aiheuttama suolitulehdus, Virosa specificata		Enteritis due to other specified organism, Enteritis due to specified virus		0	1	0	0	0	
00898	91	Enteritis per organismata alia specificata, Virosa NUD	Muun tietyn eliön aiheuttama suolitulehdus, Virosa NUD		Enteritis due to other specified organism, Other organism, not elsewhere classified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
009	0	Diarrhoea	Ripuli	Diarré	Diarrhoeal disease		0	0	0	0	0	
	NA						0	0	0	0	0	
00900	16	Diarrhoea dysenterica NUD	Ripuli, Diarrhoea dysenterica NUD		Diarrhoeal disease, Dysentery, unspecified		0	1	0	0	0	
00919	391	Diarrhoea NUD	Ripuli, Diarrhoea NUD		Diarrhoeal disease, Diarrhoea		0	1	0	0	0	
00920	3639	Diarrhoea, Gastroenteritis (acuta) (infectiosa)	Ripuli, Gastroenteritis (acuta) (infectiosa)		Diarrhoeal disease, Gastroenteritis (acuta) (infectiosa)		0	1	0	1	0	
00921	91	Diarrhoea, Enterocolitis sive colitis (acuta) (infectiosa)	Ripuli, Enterocolitis sive colitis (acuta) (infectiosa)		Diarrhoeal disease, Enterocolitis sive colitis (acuta) (infectiosa)		0	1	0	1	0	
00998	87	Diarrhoea alia	Ripuli, Diarrhoea alia		Other diarrhoeal disease		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
010-019	0	TUBERCULOSIS 	 Tuberkuloosi	Tuberkulos	Tuberculosis		0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
010	0	Silicotuberculosis			Silicotuberculosis		0	1	1	0	0	
	NA						0	0	0	0	0	
01099	0	Silicotuberculosis			Silicotuberculosis		0	1	1	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
011	0	Tuberculosis	Keuhkotuberkuloosi	Lungtuberkulos	Pulmonary tuberculosis		0	0	0	0	0	
	NA						0	0	0	0	0	
01101	96	Tuberculosis, Cavernosa	Keuhkotuberkuloosi, Cavernosa		Pulmonary tuberculosis, Cavernosa		0	1	0	1	0	
01102	366	Tuberculosis, Non cavernosa	Keuhkotuberkuloosi, Non cavernosa		Pulmonary tuberculosis, Non cavernosa		0	1	0	1	0	
01103	9	Tuberculosis, Bronchialis	Keuhkotuberkuloosi, Bronchialis		Pulmonary tuberculosis, Bronchialis		0	1	0	1	0	
01104	31	Tuberculosis, Tuberculoma pulmonum	Keuhkotuberkuloosi, Tuberculoma pulmonum		Pulmonary tuberculosis, Tuberculoma pulmonum		0	1	0	1	0	
01105	2	Tuberculosis, Disseminata pulmonum	Keuhkotuberkuloosi, Disseminata pulmonum		Pulmonary tuberculosis, Disseminata pulmonum		0	1	0	1	0	
01106	18	Tuberculosis, Pulmonum alia sive NUD	Keuhkotuberkuloosi, Pulmonum alia sive NUD		Pulmonary tuberculosis, Pulmonum alia sive NUD		0	1	0	1	0	
01107	201	Tuberculosis, Suspecta	Keuhkotuberkuloosi, Suspecta		Pulmonary tuberculosis, Suspecta		0	1	0	1	0	
01109	20	Tuberculosis NUD	Keuhkotuberkuloosi, Tuberculosis NUD		Pulmonary tuberculosis, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
012	0	Tuberculosis alia organorum respirationis	Muiden hengityselinten tuberkuloosi	Tuberkulos i andra andningsorgan	Other respiratory tuberculosis		0	0	0	0	0	
	NA						0	0	0	0	0	
01200	0	Tuberculosis alia organorum respirationis, Complexus tuberculosus primarius cum symptomatibus	Muiden hengityselinten tuberkuloosi, Complexus tuberculosus primarius cum symptomatibus		Other respiratory tuberculosis, Primary		0	1	0	0	0	
01210	134	Tuberculosis alia organorum respirationis, Tuberculosis pleurae, pleuritis exsudativa tuberculosa	Muiden hengityselinten tuberkuloosi, Tuberculosis pleurae, pleuritis exsudativa tuberculosa		Other respiratory tuberculosis, Tuberculosis pleurae, pleuritis exsudativa tuberculosa		0	1	0	1	0	
01211	0	Tuberculosis alia organorum respirationis, Empyema pleurae tuberculosum	Muiden hengityselinten tuberkuloosi, Empyema pleurae tuberculosum		Other respiratory tuberculosis, Empyema pleurae tuberculosum		0	1	0	1	0	
01212	0	Tuberculosis alia organorum respirationis, Fistula tuberculosa pleurae	Muiden hengityselinten tuberkuloosi, Fistula tuberculosa pleurae		Other respiratory tuberculosis, Fistula tuberculosa pleurae		0	1	0	1	0	
01220	200	Tuberculosis alia organorum respirationis, Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata	Muiden hengityselinten tuberkuloosi, Pleuritis exsudativa, serofibrinosa, serosa, causa non indicata		Other respiratory tuberculosis, Pleurisy with effusion without mention of cause		0	1	0	0	0	
01230	3	Tuberculosis alia organorum respirationis, Laryngis	Muiden hengityselinten tuberkuloosi, Laryngis		Other respiratory tuberculosis, Tuberculous laryngitis		0	1	0	0	0	
01290	0	Tuberculosis alia organorum respirationis, Tracheae	Muiden hengityselinten tuberkuloosi, Tracheae		Other respiratory tuberculosis, Tracheae		0	1	0	1	0	
01291	1	Tuberculosis alia organorum respirationis, Pharyngis	Muiden hengityselinten tuberkuloosi, Pharyngis		Other respiratory tuberculosis, Pharyngis		0	1	0	1	0	
01292	12	Tuberculosis alia organorum respirationis, Lymphonodorum tracheobronchialium et mediastini	Muiden hengityselinten tuberkuloosi, Lymphonodorum tracheobronchialium et mediastini		Other respiratory tuberculosis, Lymphonodorum tracheobronchialium et mediastini		0	1	0	1	0	
01296	0	Tuberculosis alia organorum respirationis, Alia	Muiden hengityselinten tuberkuloosi, Alia		Other respiratory tuberculosis, Alia		0	1	0	1	0	
01297	26	Tuberculosis alia organorum respirationis, Suspecta	Muiden hengityselinten tuberkuloosi, Suspecta		Other respiratory tuberculosis, Suspecta		0	1	0	1	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
013	0	Tuberculosis meningum et systematis nervosi centralis	Aivokalvo- ja keskushermostotuberkuloosi	 Tuberkulos i hjärnhinnorna och centrala nervsystemet	Tuberculosis of meninges and central nervous system		0	0	0	0	0	
	NA						0	0	0	0	0	
01300	8	Tuberculosis meningum et systematis nervosi centralis, Meningum	Aivokalvo- ja keskushermostotuberkuloosi, Meningum		Tuberculosis of meninges and central nervous system, Tuberculous meningitis		0	1	0	0	0	
01390	0	Tuberculosis meningum et systematis nervosi centralis, Systematis nervosi centralis, meningibus exceptis	Aivokalvo- ja keskushermostotuberkuloosi, Systematis nervosi centralis, meningibus exceptis		Tuberculosis of meninges and central nervous system, Systematis nervosi centralis, meningibus exceptis		0	1	0	1	0	
01397	9	Tuberculosis meningum et systematis nervosi centralis, Suspecta	Aivokalvo- ja keskushermostotuberkuloosi, Suspecta		Tuberculosis of meninges and central nervous system, Suspecta		0	1	0	1	0	
01399	0	Tuberculosis meningum et systematis nervosi centralis, NUD	Aivokalvo- ja keskushermostotuberkuloosi, NUD		Tuberculosis of meninges and central nervous system, Other central nervous system		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
014	0	Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii	Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi	Tuberkulos i tarmarna, peritoneum och mesentariallymfkörtlarna	Tuberculosis of intestines, peritoneum and mesenteric glands		0	0	0	0	0	
	NA						0	0	0	0	0	
01400	2	Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Intestinorum	Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Intestinorum		Tuberculosis of intestines, peritoneum and mesenteric glands, Intestinorum		0	1	0	1	0	
01401	4	Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Peritonei et lymphonodorum mesenterii	Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Peritonei et lymphonodorum mesenterii		Tuberculosis of intestines, peritoneum and mesenteric glands, Peritonei et lymphonodorum mesenterii		0	1	0	1	0	
01407	4	Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, Suspecta	Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, Suspecta		Tuberculosis of intestines, peritoneum and mesenteric glands, Suspecta		0	1	0	1	0	
01409	0	Tuberculosis intestinorum, peritonei et lymphonodorum mesenterii, NUD	Suoliston, vatsakalvon ja suoliliepeen imusolmuketutuberkuloosi, NUD		Tuberculosis of intestines, peritoneum and mesenteric glands, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
015	0	Tuberculosis ossium et articulorum	Luu- ja niveltuberkuloosi	Ben- och ledtuberkulos	Tuberculosis of bones and joints		0	0	0	0	0	
	NA						0	0	0	0	0	
01500	47	Tuberculosis ossium et articulorum, Columnae vertebralis	Luu- ja niveltuberkuloosi, Columnae vertebralis		Tuberculosis of bones and joints, Of vertebral column		0	1	0	0	0	
01510	21	Tuberculosis ossium et articulorum, Coxae	Luu- ja niveltuberkuloosi, Coxae		Tuberculosis of bones and joints, Of hip		0	1	0	0	0	
01520	11	Tuberculosis ossium et articulorum, Genus	Luu- ja niveltuberkuloosi, Genus		Tuberculosis of bones and joints, Of knee		0	1	0	0	0	
01588	20	Tuberculosis ossium et articulorum, Alia	Luu- ja niveltuberkuloosi, Alia		Tuberculosis of bones and joints, Of other specified bones and joints		0	1	0	0	0	
01597	17	Tuberculosis ossium et articulorum, Suspecta	Luu- ja niveltuberkuloosi, Suspecta		Tuberculosis of bones and joints, Suspecta		0	1	0	1	0	
01599	0	Tuberculosis ossium et articulorum, NUD	Luu- ja niveltuberkuloosi, NUD		Tuberculosis of bones and joints, Of unspecified bones and joints		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
016	0	Tuberculosis uro-genitalis	Virtsa- ja sukuelintuberkuloosi	Tuberkulos i urin- och könsorgan	Tuberculosis of genito-urinary system		0	0	0	0	0	
	NA						0	0	0	0	0	
01600	47	Tuberculosis uro-genitalis, Renis	Virtsa- ja sukuelintuberkuloosi, Renis		Tuberculosis of genito-urinary system, Renis		0	1	0	1	0	
01601	1	Tuberculosis uro-genitalis, Ureteris	Virtsa- ja sukuelintuberkuloosi, Ureteris		Tuberculosis of genito-urinary system, Ureteris		0	1	0	1	0	
01602	0	Tuberculosis uro-genitalis, Vesicae urinariae	Virtsa- ja sukuelintuberkuloosi, Vesicae urinariae		Tuberculosis of genito-urinary system, Vesicae urinariae		0	1	0	1	0	
01603	0	Tuberculosis uro-genitalis, Urethrae	Virtsa- ja sukuelintuberkuloosi, Urethrae		Tuberculosis of genito-urinary system, Urethrae		0	1	0	1	0	
01604	13	Tuberculosis uro-genitalis, Prostatae, vesiculae seminalis sive testis	Virtsa- ja sukuelintuberkuloosi, Prostatae, vesiculae seminalis sive testis		Tuberculosis of genito-urinary system, Prostatae, vesiculae seminalis sive testis		0	1	0	1	0	
01605	9	Tuberculosis uro-genitalis, Salpingis	Virtsa- ja sukuelintuberkuloosi, Salpingis		Tuberculosis of genito-urinary system, Salpingis		0	1	0	1	0	
01606	7	Tuberculosis uro-genitalis, Endometrii	Virtsa- ja sukuelintuberkuloosi, Endometrii		Tuberculosis of genito-urinary system, Endometrii		0	1	0	1	0	
01607	4	Tuberculosis uro-genitalis, Alia	Virtsa- ja sukuelintuberkuloosi, Alia		Tuberculosis of genito-urinary system, Alia		0	1	0	1	0	
01608	8	Tuberculosis uro-genitalis, Suspecta	Virtsa- ja sukuelintuberkuloosi, Suspecta		Tuberculosis of genito-urinary system, Suspecta		0	1	0	1	0	
01609	7	Tuberculosis uro-genitalis, NUD	Virtsa- ja sukuelintuberkuloosi, NUD		Tuberculosis of genito-urinary system, Unspecified		0	1	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
	NA						0	0	0	0	0	
017	0	Tuberculosis aliorum organorum	Muiden elinten tuberkuloosi	Tuberkulos i andra organ	Tuberculosis of other organs		0	0	0	0	0	
	NA						0	0	0	0	0	
01701	9	Tuberculosis aliorum organorum, Erythema induratum tuberculosum	Muiden elinten tuberkuloosi, Erythema induratum tuberculosum		Tuberculosis of other organs, Erythema induratum tuberculosum		0	1	0	1	0	
01702	2	Tuberculosis aliorum organorum, Erythema nodosum tuberculosum	Muiden elinten tuberkuloosi, Erythema nodosum tuberculosum		Tuberculosis of other organs, Erythema nodosum tuberculosum		0	1	0	1	0	
01703	3	Tuberculosis aliorum organorum, Lupus tuberculosus	Muiden elinten tuberkuloosi, Lupus tuberculosus		Tuberculosis of other organs, Lupus tuberculosus		0	1	0	1	0	
01708	6	Tuberculosis aliorum organorum, Alia cutis et subcutis	Muiden elinten tuberkuloosi, Alia cutis et subcutis		Tuberculosis of other organs, Alia cutis et subcutis		0	1	0	1	0	
01709	5	Tuberculosis aliorum organorum, Cutis et subcutis NUD	Muiden elinten tuberkuloosi, Cutis et subcutis NUD		Tuberculosis of other organs, Cutis et subcutis NUD		0	1	0	1	0	
01710	109	Tuberculosis aliorum organorum, Lymphonodorum colli	Muiden elinten tuberkuloosi, Lymphonodorum colli		Tuberculosis of other organs, Lymphonodorum colli		0	1	0	1	0	
01718	26	Tuberculosis aliorum organorum, Lymphonodorum periphericorum aliorum	Muiden elinten tuberkuloosi, Lymphonodorum periphericorum aliorum		Tuberculosis of other organs, Lymphonodorum periphericorum aliorum		0	1	0	1	0	
01719	13	Tuberculosis aliorum organorum, Lymphonodorum NUD	Muiden elinten tuberkuloosi, Lymphonodorum NUD		Tuberculosis of other organs, Lymphonodorum NUD		0	1	0	1	0	
01720	0	Tuberculosis aliorum organorum, Conjunctivitis tuberculosa	Muiden elinten tuberkuloosi, Conjunctivitis tuberculosa		Tuberculosis of other organs, Conjunctivitis tuberculosa		0	1	0	1	0	
01721	0	Tuberculosis aliorum organorum, Keratitis tuberculosa	Muiden elinten tuberkuloosi, Keratitis tuberculosa		Tuberculosis of other organs, Keratitis tuberculosa		0	1	0	1	0	
01722	0	Tuberculosis aliorum organorum, Iritis et iridocyclitis tuberculosa	Muiden elinten tuberkuloosi, Iritis et iridocyclitis tuberculosa		Tuberculosis of other organs, Iritis et iridocyclitis tuberculosa		0	1	0	1	0	
01723	0	Tuberculosis aliorum organorum, Retinitis et chorioiditis tuberculosa	Muiden elinten tuberkuloosi, Retinitis et chorioiditis tuberculosa		Tuberculosis of other organs, Retinitis et chorioiditis tuberculosa		0	1	0	1	0	
